username,week
Y1050160,1
Y1050161,1
Y1050162,1
Y1050164,1
Y1050165,1
Y1050166,1
Y1050167,1
Y1050168,1
Y1050169,1
Y1050170,1
Y1050171,1
Y1050172,1
Y1050173,1
Y1050174,1
Y1050175,1
Y1050176,1
Y1050177,1
Y1050178,1
Y1050179,1
Y1050180,1
Y1050181,1
Y1050182,1
Y1050185,1
Y1050186,1
Y1050187,1
Y1050188,1
Y1050189,1
Y1050190,1
Y1050192,1
Y1050193,1
Y1050194,1
Y1050195,1
Y1050196,1
Y1050197,1
Y1050198,1
Y1050199,1
Y1050200,1
Y1050201,1
Y1050202,1
Y1050203,1
Y1050204,1
Y1050205,1
Y1050206,1
Y1050207,1
Y1050208,1
Y1050209,1
Y1050211,1
Y1050212,1
Y1050214,1
Y1050215,1
Y1050218,1
Y1050219,1
Y1050222,1
Y1050225,1
Y1050226,1
Y1050229,1
Y1050232,1
Y1050233,1
Y1050235,1
Y1050236,1
Y1050237,1
Y1050238,1
Y1050239,1
Y1050240,1
Y1050241,1
Y1050242,1
Y1050243,1
Y1050244,1
Y1050245,1
Y1050246,1
Y1050247,1
Y1050248,1
Y1050249,1
Y1050250,1
Y1050252,1
Y1050253,1
Y1050254,1
Y1050255,1
Y1050256,1
Y1050257,1
Y1050258,1
Y1050259,1
Y1050260,1
Y1050261,1
Y1050262,1
Y1050263,1
Y1050264,1
Y1050265,1
Y1050266,1
Y1050267,1
Y1050268,1
Y1050270,1
Y1050273,1
Y1050323,1
Y1050384,1
Y9999986,1
Y9999990,1
Y9999992,1
Y9999995,1
Y9999997,1
Y9999998,1
chunghsing,1
dahua,1
dongirl,1
gaoshi,1
hgvf,1
hsingda,1
jinhe,1
pingzhen,1
richardwilly11532,1
staff,1
verified,1
yangmei,1
Y1050163,1
Y1050183,1
Y1050184,1
Y1050191,1
Y1050210,1
Y1050213,1
Y1050216,1
Y1050217,1
Y1050220,1
Y1050221,1
Y1050223,1
Y1050224,1
Y1050227,1
Y1050228,1
Y1050230,1
Y1050231,1
Y1050234,1
Y1050251,1
Y1050269,1
Y1050271,1
Y1050272,1
Y9999987,1
Y9999988,1
Y9999989,1
Y9999991,1
Y9999993,1
Y9999994,1
Y9999996,1
Y9999999,1
