username,week
Y1050160,1
Y1050160,2
Y1050160,3
Y1050160,4
Y1050160,5
Y1050160,6
Y1050161,1
Y1050161,2
Y1050161,3
Y1050161,4
Y1050161,5
Y1050161,6
Y1050162,1
Y1050162,2
Y1050162,3
Y1050162,4
Y1050162,5
Y1050162,6
Y1050164,1
Y1050164,2
Y1050164,3
Y1050164,4
Y1050164,5
Y1050164,6
Y1050165,1
Y1050165,2
Y1050165,3
Y1050165,4
Y1050165,5
Y1050165,6
Y1050166,1
Y1050166,2
Y1050166,3
Y1050166,4
Y1050166,5
Y1050166,6
Y1050167,1
Y1050167,2
Y1050167,3
Y1050167,4
Y1050167,5
Y1050167,6
Y1050168,1
Y1050168,2
Y1050168,3
Y1050168,4
Y1050168,5
Y1050168,6
Y1050169,1
Y1050169,2
Y1050169,3
Y1050169,4
Y1050169,5
Y1050169,6
Y1050170,1
Y1050170,2
Y1050170,3
Y1050170,4
Y1050170,5
Y1050170,6
Y1050171,1
Y1050171,2
Y1050171,3
Y1050171,4
Y1050171,5
Y1050171,6
Y1050172,1
Y1050172,2
Y1050172,3
Y1050172,4
Y1050172,5
Y1050172,6
Y1050173,1
Y1050173,2
Y1050173,3
Y1050173,4
Y1050173,5
Y1050173,6
Y1050174,1
Y1050174,2
Y1050174,3
Y1050174,4
Y1050174,5
Y1050174,6
Y1050175,1
Y1050175,2
Y1050175,3
Y1050175,4
Y1050175,5
Y1050175,6
Y1050176,1
Y1050176,2
Y1050176,3
Y1050176,4
Y1050176,5
Y1050176,6
Y1050177,1
Y1050177,2
Y1050177,3
Y1050177,4
Y1050177,5
Y1050177,6
Y1050178,1
Y1050178,2
Y1050178,3
Y1050178,4
Y1050178,5
Y1050178,6
Y1050179,1
Y1050179,2
Y1050179,3
Y1050179,4
Y1050179,5
Y1050179,6
Y1050180,1
Y1050180,2
Y1050180,3
Y1050180,4
Y1050180,5
Y1050180,6
Y1050181,1
Y1050181,2
Y1050181,3
Y1050181,4
Y1050181,5
Y1050181,6
Y1050182,1
Y1050182,2
Y1050182,3
Y1050182,4
Y1050182,5
Y1050182,6
Y1050184,1
Y1050184,2
Y1050184,3
Y1050184,4
Y1050184,5
Y1050184,6
Y1050185,1
Y1050185,2
Y1050185,3
Y1050185,4
Y1050185,5
Y1050185,6
Y1050186,1
Y1050186,2
Y1050186,3
Y1050186,4
Y1050186,5
Y1050186,6
Y1050187,1
Y1050187,2
Y1050187,3
Y1050187,4
Y1050187,5
Y1050187,6
Y1050188,1
Y1050188,2
Y1050188,3
Y1050188,4
Y1050188,5
Y1050188,6
Y1050189,1
Y1050189,2
Y1050189,3
Y1050189,4
Y1050189,5
Y1050189,6
Y1050190,1
Y1050190,2
Y1050190,3
Y1050190,4
Y1050190,5
Y1050190,6
Y1050191,1
Y1050191,2
Y1050191,3
Y1050191,4
Y1050191,5
Y1050191,6
Y1050192,1
Y1050192,2
Y1050192,3
Y1050192,4
Y1050192,5
Y1050192,6
Y1050193,1
Y1050193,2
Y1050193,3
Y1050193,4
Y1050193,5
Y1050193,6
Y1050194,1
Y1050194,2
Y1050194,3
Y1050194,4
Y1050194,5
Y1050194,6
Y1050195,1
Y1050195,2
Y1050195,3
Y1050195,4
Y1050195,5
Y1050195,6
Y1050196,1
Y1050196,2
Y1050196,3
Y1050196,4
Y1050196,5
Y1050196,6
