username,final_score
Y1050160,30
Y1050161,40
Y1050162,30
Y1050163,0
Y1050164,0
Y1050165,0
Y1050166,20
Y1050167,30
Y1050168,10
Y1050169,0
Y1050170,10
Y1050171,10
Y1050172,10
Y1050173,70
Y1050174,80
Y1050175,30
Y1050176,90
Y1050177,20
Y1050178,20
Y1050179,95
Y1050180,40
Y1050181,20
Y1050182,90
Y1050183,10
Y1050184,10
Y1050185,99
Y1050186,85
Y1050187,20
Y1050188,45
Y1050189,91
Y1050190,90
Y1050191,40
Y1050192,70
Y1050193,20
Y1050194,20
Y1050195,40
Y1050196,10
Y1050197,80
Y1050198,20
Y1050199,30
Y1050200,30
Y1050201,68
Y1050202,75
Y1050203,10
Y1050204,90
Y1050205,88
Y1050206,70
Y1050207,40
Y1050208,70
Y1050209,85
Y1050210,20
Y1050211,40
Y1050212,20
Y1050213,10
Y1050214,20
Y1050215,20
Y1050216,10
Y1050217,10
Y1050218,10
Y1050219,20
Y1050220,30
Y1050221,80
Y1050222,50
Y1050223,20
Y1050224,68
Y1050225,75
Y1050226,40
Y1050227,10
Y1050228,66
Y1050229,99
Y1050230,0
Y1050231,10
Y1050232,10
Y1050233,10
Y1050234,10
Y1050235,10
Y1050236,20
Y1050237,0
Y1050238,40
Y1050239,10
Y1050240,10
Y1050241,20
Y1050242,20
Y1050243,10
Y1050244,10
Y1050245,10
Y1050246,30
Y1050247,30
Y1050248,30
Y1050249,30
Y1050250,10
Y1050251,0
Y1050252,10
Y1050253,10
Y1050254,20
Y1050255,40
Y1050256,30
Y1050257,40
Y1050258,10
Y1050259,80
Y1050260,50
Y1050261,82
Y1050262,50
Y1050263,40
Y1050264,40
Y1050265,20
Y1050266,40
Y1050267,30
Y1050268,60
Y1050269,10
Y1050270,40
Y1050271,0
Y1050272,0
Y1050273,40
Y9999986,58
Y9999987,27
Y9999988,33
Y9999989,59
Y9999990,63
Y9999991,36
Y9999992,38
Y9999993,49
Y9999994,20
Y9999995,57
Y9999996,54
Y9999997,58
Y9999998,49
Y9999999,73
