username,week
Y1050274,1
Y1050274,2
Y1050274,3
Y1050274,4
Y1050274,5
Y1050274,6
Y1050275,1
Y1050275,2
Y1050275,3
Y1050275,4
Y1050275,5
Y1050275,6
Y1050276,1
Y1050276,2
Y1050276,3
Y1050276,4
Y1050276,5
Y1050276,6
Y1050277,1
Y1050277,2
Y1050277,3
Y1050277,4
Y1050277,5
Y1050277,6
Y1050278,1
Y1050278,2
Y1050278,3
Y1050278,4
Y1050278,5
Y1050278,6
Y1050279,1
Y1050279,2
Y1050279,3
Y1050279,4
Y1050279,5
Y1050279,6
Y1050280,1
Y1050280,2
Y1050280,3
Y1050280,4
Y1050280,5
Y1050280,6
Y1050281,1
Y1050281,2
Y1050281,3
Y1050281,4
Y1050281,5
Y1050281,6
Y1050282,1
Y1050282,2
Y1050282,3
Y1050282,4
Y1050282,5
Y1050282,6
Y1050283,1
Y1050283,2
Y1050283,3
Y1050283,4
Y1050283,5
Y1050283,6
Y1050284,1
Y1050284,2
Y1050284,3
Y1050284,4
Y1050284,5
Y1050284,6
Y1050285,1
Y1050285,2
Y1050285,3
Y1050285,4
Y1050285,5
Y1050285,6
Y1050286,1
Y1050286,2
Y1050286,3
Y1050286,4
Y1050286,5
Y1050286,6
Y1050287,1
Y1050287,2
Y1050287,3
Y1050287,4
Y1050287,5
Y1050287,6
Y1050288,1
Y1050288,2
Y1050288,3
Y1050288,4
Y1050288,5
Y1050288,6
Y1050289,1
Y1050289,2
Y1050289,3
Y1050289,4
Y1050289,5
Y1050289,6
Y1050290,1
Y1050290,2
Y1050290,3
Y1050290,4
Y1050290,5
Y1050290,6
Y1050291,1
Y1050291,2
Y1050291,3
Y1050291,4
Y1050291,5
Y1050291,6
Y1050292,1
Y1050292,2
Y1050292,3
Y1050292,4
Y1050292,5
Y1050292,6
Y1050293,1
Y1050293,2
Y1050293,3
Y1050293,4
Y1050293,5
Y1050293,6
Y1050294,1
Y1050294,2
Y1050294,3
Y1050294,4
Y1050294,5
Y1050294,6
Y1050295,1
Y1050295,2
Y1050295,3
Y1050295,4
Y1050295,5
Y1050295,6
Y1050296,1
Y1050296,2
Y1050296,3
Y1050296,4
Y1050296,5
Y1050296,6
Y1050297,1
Y1050297,2
Y1050297,3
Y1050297,4
Y1050297,5
Y1050297,6
Y1050298,1
Y1050298,2
Y1050298,3
Y1050298,4
Y1050298,5
Y1050298,6
Y1050299,1
Y1050299,2
Y1050299,3
Y1050299,4
Y1050299,5
Y1050299,6
Y1050300,1
Y1050300,2
Y1050300,3
Y1050300,4
Y1050300,5
Y1050300,6
Y1050301,1
Y1050301,2
Y1050301,3
Y1050301,4
Y1050301,5
Y1050301,6
Y1050302,1
Y1050302,2
Y1050302,3
Y1050302,4
