username,week
Bryan,1
Bryan,2
Y1050211,1
Y1050211,2
Y1050274,1
Y1050274,2
Y1050275,1
Y1050275,2
Y1050276,1
Y1050276,2
Y1050277,1
Y1050277,2
Y1050278,1
Y1050278,2
Y1050279,1
Y1050279,2
Y1050280,1
Y1050280,2
Y1050281,1
Y1050281,2
Y1050282,1
Y1050282,2
Y1050283,1
Y1050283,2
Y1050284,1
Y1050284,2
Y1050286,1
Y1050286,2
Y1050287,1
Y1050287,2
Y1050289,1
Y1050289,2
Y1050291,1
Y1050291,2
Y1050292,1
Y1050292,2
Y1050293,1
Y1050293,2
Y1050294,1
Y1050294,2
Y1050295,1
Y1050295,2
Y1050296,1
Y1050296,2
Y1050297,1
Y1050297,2
Y1050298,1
Y1050298,2
Y1050299,1
Y1050299,2
Y1050300,1
Y1050300,2
Y1050301,1
Y1050301,2
Y1050302,1
Y1050302,2
Y1050303,1
Y1050303,2
Y1050304,1
Y1050304,2
Y1050305,1
Y1050305,2
Y1050306,1
Y1050306,2
Y1050307,1
Y1050307,2
Y1050308,1
Y1050308,2
Y1050310,1
Y1050310,2
Y1050311,1
Y1050311,2
Y1050312,1
Y1050312,2
Y1050313,1
Y1050313,2
Y1050314,1
Y1050314,2
Y1050315,1
Y1050315,2
Y1050316,1
Y1050316,2
Y1050317,1
Y1050317,2
Y1050318,1
Y1050318,2
Y1050319,1
Y1050319,2
Y1050320,1
Y1050320,2
Y1050321,1
Y1050321,2
Y1050322,1
Y1050322,2
Y1050323,1
Y1050323,2
Y1050324,1
Y1050324,2
Y1050325,1
Y1050325,2
Y1050326,1
Y1050326,2
Y1050328,1
Y1050328,2
Y1050329,1
Y1050329,2
Y1050330,1
Y1050330,2
Y1050331,1
Y1050331,2
Y1050332,1
Y1050332,2
Y1050333,1
Y1050333,2
Y1050334,1
Y1050334,2
Y1050335,1
Y1050335,2
Y1050336,1
Y1050336,2
Y1050337,1
Y1050337,2
Y1050338,1
Y1050338,2
Y1050339,1
Y1050339,2
Y1050340,1
Y1050340,2
Y1050341,1
Y1050341,2
Y1050342,1
Y1050342,2
Y1050344,1
Y1050344,2
Y1050345,1
Y1050345,2
Y1050346,1
Y1050346,2
Y1050347,1
Y1050347,2
Y1050348,1
Y1050348,2
Y1050349,1
Y1050349,2
Y1050350,1
Y1050350,2
Y1050351,1
Y1050351,2
Y1050352,1
Y1050352,2
Y1050353,1
Y1050353,2
Y1050354,1
Y1050354,2
Y1050355,1
Y1050355,2
Y1050356,1
Y1050356,2
Y1050357,1
Y1050357,2
Y1050358,1
Y1050358,2
Y1050359,1
Y1050359,2
Y1050360,1
Y1050360,2
Y1050361,1
Y1050361,2
Y1050362,1
Y1050362,2
Y1050364,1
Y1050364,2
Y1050365,1
Y1050365,2
Y1050366,1
Y1050366,2
Y1050367,1
Y1050367,2
Y1050368,1
Y1050368,2
Y1050369,1
Y1050369,2
Y1050370,1
Y1050370,2
Y1050371,1
Y1050371,2
Y1050372,1
Y1050372,2
Y1050373,1
Y1050373,2
Y1050374,1
Y1050374,2
Y1050375,1
Y1050375,2
Y1050376,1
Y1050376,2
Y1050377,1
Y1050377,2
Y1050378,1
Y1050378,2
Y1050379,1
Y1050379,2
Y1050380,1
Y1050380,2
Y1050381,1
Y1050381,2
Y1050382,1
Y1050382,2
Y1050383,1
Y1050383,2
Y1050384,1
Y1050384,2
Y1050385,1
Y1050385,2
Y1050386,1
Y1050386,2
Y1050387,1
Y1050387,2
Y1050388,1
Y1050388,2
Y1050390,1
Y1050390,2
Y1050391,1
Y1050391,2
Y1050394,1
Y1050394,2
Y1050395,1
Y1050395,2
Y1050396,1
Y1050396,2
Y1050398,1
Y1050398,2
Y1050400,1
Y1050400,2
Y1050401,1
Y1050401,2
Y1050403,1
Y1050403,2
Y1050406,1
Y1050406,2
Y1050407,1
Y1050407,2
Y1050408,1
Y1050408,2
Y1050410,1
Y1050410,2
Y1050411,1
Y1050411,2
Y1050412,1
Y1050412,2
Y1050413,1
Y1050413,2
Y1050414,1
Y1050414,2
Y1050415,1
Y1050415,2
Y1050416,1
Y1050416,2
Y1050417,1
Y1050417,2
Y1050418,1
Y1050418,2
Y1050420,1
Y1050420,2
Y1050421,1
Y1050421,2
Y1050422,1
Y1050422,2
Y1050424,1
Y1050424,2
Y1050425,1
Y1050425,2
Y1050426,1
Y1050426,2
Y1050427,1
Y1050427,2
Y1050428,1
Y1050428,2
Y1050432,1
Y1050432,2
Y1050434,1
Y1050434,2
Y1050436,1
Y1050436,2
Y1050437,1
Y1050437,2
Y1050439,1
Y1050439,2
Y1050440,1
Y1050440,2
Y1050442,1
Y1050442,2
Y1050443,1
Y1050443,2
Y1050444,1
Y1050444,2
Y1050445,1
Y1050445,2
Y1050447,1
Y1050447,2
Y1050448,1
Y1050448,2
Y1050449,1
Y1050449,2
Y1050450,1
Y1050450,2
Y1050452,1
Y1050452,2
Y1050453,1
Y1050453,2
Y1050454,1
Y1050454,2
Y9999984,1
Y9999984,2
Y9999985,1
Y9999985,2
ariel880505,1
ariel880505,2
bryanlee,1
bryanlee,2
chunghsing,1
chunghsing,2
gaoshi,1
gaoshi,2
guest,1
guest,2
jiangong,1
jiangong,2
jinhe,1
jinhe,2
koso019003,1
koso019003,2
lioho,1
lioho,2
peter94135,1
peter94135,2
pingzhen,1
pingzhen,2
staff,1
