username,final_score
Y1050274,80
Y1050275,20
Y1050276,40
Y1050277,10
Y1050278,54
Y1050279,70
Y1050280,10
Y1050281,10
Y1050282,10
Y1050283,20
Y1050284,30
Y1050285,0
Y1050286,72
Y1050287,50
Y1050288,0
Y1050289,60
Y1050290,0
Y1050291,40
Y1050292,50
Y1050293,80
Y1050294,40
Y1050295,30
Y1050296,20
Y1050297,10
Y1050298,10
Y1050299,10
Y1050300,10
Y1050301,10
Y1050302,10
Y1050303,20
Y1050304,10
Y1050305,20
Y1050306,10
Y1050307,10
Y1050308,10
Y1050309,0
Y1050310,10
Y1050311,20
Y1050312,10
Y1050313,30
Y1050314,30
Y1050315,20
Y1050316,10
Y1050317,55
Y1050318,40
Y1050319,76
Y1050320,10
Y1050321,20
Y1050322,99
Y1050323,88
Y1050324,30
Y1050325,20
Y1050326,20
Y1050327,0
Y1050328,71
Y1050329,20
Y1050330,10
Y1050331,10
Y1050332,40
Y1050333,10
Y1050334,20
Y1050335,10
Y1050336,50
Y1050337,10
Y1050338,10
Y1050339,20
Y1050340,10
Y1050341,20
Y1050342,50
Y1050343,0
Y1050344,40
Y1050345,10
Y1050346,50
Y1050347,20
Y1050348,10
Y1050349,65
Y1050350,10
Y1050351,70
Y1050352,80
Y1050353,50
Y1050354,50
Y1050355,10
Y1050356,30
Y1050357,20
Y1050358,50
Y1050359,20
Y1050360,30
Y1050361,30
Y1050362,80
Y1050363,0
Y1050364,72
Y1050365,96
Y1050366,10
Y1050367,90
Y1050368,20
Y1050369,10
Y1050370,20
Y1050371,40
Y1050372,50
Y1050373,20
Y1050374,30
Y1050375,30
Y1050376,90
Y1050377,40
Y1050378,93
Y1050379,60
Y1050380,80
Y1050381,55
Y1050382,20
Y1050383,10
Y1050384,30
Y1050385,40
Y1050386,30
Y1050387,10
Y1050388,20
Y1050389,0
Y1050390,10
Y1050391,10
Y1050392,20
Y1050393,0
Y1050394,20
Y1050395,10
Y1050396,20
Y1050397,20
Y1050398,0
Y1050399,0
Y1050400,20
Y1050401,10
Y1050402,0
Y1050403,20
Y1050404,10
Y1050405,10
Y1050406,10
Y1050407,10
Y1050408,10
Y1050409,10
Y1050410,20
Y1050411,10
Y1050412,30
Y1050413,60
Y1050414,53
Y1050415,30
Y1050416,63
Y1050417,62
Y1050418,20
Y1050419,10
Y1050420,75
Y1050421,60
Y1050422,40
Y1050423,10
Y1050424,30
Y1050425,10
Y1050426,40
Y1050427,96
Y1050428,20
Y1050429,10
Y1050430,0
Y1050431,0
Y1050432,0
Y1050433,0
Y1050434,20
Y1050435,10
Y1050436,10
Y1050437,0
Y1050438,10
Y1050439,10
Y1050440,10
Y1050441,0
Y1050442,10
Y1050443,0
Y1050444,10
Y1050445,20
Y1050446,0
Y1050447,10
Y1050448,20
Y1050449,20
Y1050450,10
Y1050451,0
Y1050452,40
Y1050453,20
Y1050454,90
Y9999984,66
Y9999985,59
