username,qz_mean
Y1050160,30.5
Y1050161,48.75
Y1050162,38.75
Y1050163,0
Y1050164,0
Y1050165,0
Y1050166,20
Y1050167,49
Y1050168,6.25
Y1050169,0
Y1050170,0
Y1050171,19.5
Y1050172,23.25
Y1050173,80.75
Y1050174,79.75
Y1050175,39.75
Y1050176,79
Y1050177,19.5
Y1050178,25
Y1050179,96.25
Y1050180,41.5
Y1050181,33.75
Y1050182,86.25
Y1050183,0
Y1050184,5.75
Y1050185,82.25
Y1050186,78.25
Y1050187,17.5
Y1050188,47.25
Y1050189,93.5
Y1050190,81.25
Y1050191,41.5
Y1050192,61.5
Y1050193,13.75
Y1050194,21.25
Y1050195,53.75
Y1050196,5
Y1050197,80.75
Y1050198,37.25
Y1050199,30
Y1050200,25.25
Y1050201,61.5
Y1050202,73.75
Y1050203,0
Y1050204,83
Y1050205,82.5
Y1050206,82.5
Y1050207,70.75
Y1050208,62.5
Y1050209,78.5
Y1050210,27.5
Y1050211,11.25
Y1050212,6.25
Y1050213,0
Y1050214,24.5
Y1050215,23.75
Y1050216,5
Y1050217,0
Y1050218,0
Y1050219,31
Y1050220,27.5
Y1050221,77.75
Y1050222,58.25
Y1050223,20.75
Y1050224,89.75
Y1050225,72
Y1050226,55.5
Y1050227,17.5
Y1050228,62.75
Y1050229,96.25
Y1050230,0
Y1050231,0
Y1050232,0
Y1050233,0
Y1050234,0
Y1050235,0
Y1050236,0
Y1050237,0
Y1050238,78.5
Y1050239,0
Y1050240,0
Y1050241,25
Y1050242,20
Y1050243,0
Y1050244,0
Y1050245,0
Y1050246,17.5
Y1050247,21.75
Y1050248,28.75
Y1050249,36.25
Y1050250,0
Y1050251,0
Y1050252,0
Y1050253,10
Y1050254,17.5
Y1050255,61
Y1050256,41
Y1050257,81.25
Y1050258,0
Y1050259,93.75
Y1050260,66.5
Y1050261,76.75
Y1050262,90
Y1050263,60
Y1050264,82.75
Y1050265,35
Y1050266,84
Y1050267,54.25
Y1050268,81
Y1050269,12.5
Y1050270,47.5
Y1050271,0
Y1050272,0
Y1050273,53.5
Y9999986,67
Y9999987,48.25
Y9999988,48.25
Y9999989,73.25
Y9999990,87
Y9999991,70.75
Y9999992,43.25
Y9999993,88.25
Y9999994,31.25
Y9999995,74.25
Y9999996,81
Y9999997,86.25
Y9999998,58.5
Y9999999,100
