username,qz_mean
Y1050274,6
Y1050275,3.5
Y1050276,1
Y1050277,0
Y1050278,2
Y1050279,5
Y1050280,0
Y1050281,0
Y1050282,3
Y1050283,0
Y1050284,3
Y1050285,0
Y1050286,5
Y1050287,7
Y1050288,0
Y1050289,5.5
Y1050290,0
Y1050291,7
Y1050292,4
Y1050293,9.5
Y1050294,2.5
Y1050295,4.5
Y1050296,0
Y1050297,1
Y1050298,2
Y1050299,2
Y1050300,1
Y1050301,0
Y1050302,0
Y1050303,2
Y1050304,0
Y1050305,4.5
Y1050306,0.5
Y1050307,0
Y1050308,0
Y1050309,0
Y1050310,0
Y1050311,2
Y1050312,2
Y1050313,1.5
Y1050314,0.5
Y1050315,2
Y1050316,0
Y1050317,4
Y1050318,5.5
Y1050319,6
Y1050320,2
Y1050321,5
Y1050322,10
Y1050323,9
Y1050324,3.5
Y1050325,2
Y1050326,3.5
Y1050327,0
Y1050328,6.5
Y1050329,5
Y1050330,0
Y1050331,0
Y1050332,3.5
Y1050333,0.5
Y1050334,2
Y1050335,2
Y1050336,5.5
Y1050337,2
Y1050338,2
Y1050339,3
Y1050340,1
Y1050341,1.5
Y1050342,5.5
Y1050343,0
Y1050344,6.5
Y1050345,1
Y1050346,1
Y1050347,7
Y1050348,0
Y1050349,4
Y1050350,0
Y1050351,6
Y1050352,7.5
Y1050353,2
Y1050354,4.5
Y1050355,0
Y1050356,1.5
Y1050357,1
Y1050358,1.5
Y1050359,1
Y1050360,1
Y1050361,3
Y1050362,7
Y1050363,0
Y1050364,7.5
Y1050365,6.5
Y1050366,1
Y1050367,6.5
Y1050368,2
Y1050369,1
Y1050370,2
Y1050371,2.5
Y1050372,3.5
Y1050373,1
Y1050374,4
Y1050375,1.5
Y1050376,9
Y1050377,5.5
Y1050378,8
Y1050379,6
Y1050380,4
Y1050381,4.5
Y1050382,2
Y1050383,0
Y1050384,2
Y1050385,8
Y1050386,2.5
Y1050387,0
Y1050388,3.5
Y1050389,0
Y1050390,0
Y1050391,1
Y1050392,4
Y1050393,0
Y1050394,2
Y1050395,0
Y1050396,2
Y1050397,2
Y1050398,0
Y1050399,0
Y1050400,2
Y1050401,1
Y1050402,0
Y1050403,1
Y1050404,0
Y1050405,0
Y1050406,0
Y1050407,2.5
Y1050408,0
Y1050409,0
Y1050410,1
Y1050411,0
Y1050412,3
Y1050413,5
Y1050414,3.5
Y1050415,4.5
Y1050416,3.5
Y1050417,4.5
Y1050418,0.5
Y1050419,1.5
Y1050420,3.5
Y1050421,5
Y1050422,3.5
Y1050423,0
Y1050424,0
Y1050425,0
Y1050426,7
Y1050427,9
Y1050428,2
Y1050429,0
Y1050430,0
Y1050431,0
Y1050432,0
Y1050433,0
Y1050434,2
Y1050435,0
Y1050436,0
Y1050437,0
Y1050438,2.5
Y1050439,2
Y1050440,0
Y1050441,0
Y1050442,2
Y1050443,0
Y1050444,1
Y1050445,4
Y1050446,0
Y1050447,0
Y1050448,2
Y1050449,1.5
Y1050450,1
Y1050451,0
Y1050452,3.5
Y1050453,1
Y1050454,9.5
Y9999984,7
Y9999985,7.5
