username,hw_sum
Y1050244,0
Y1050202,117.42
Y1050195,23.5
Y1050235,2.25
Y1050185,170
Y1050214,4.75
Y1050266,13
Y9999994,0
Y1050197,92
Y1050167,22
Y9999986,12
Y1050164,0
Y1050223,4
Y1050218,0
Y1050206,48.5
Y1050240,7.5
Y1050234,6
Y1050172,0
Y1050209,139.35
Y1050246,56.83
Y1050191,5
Y1050178,5.25
Y1050161,0
Y1050255,52.67
Y9999992,0
Y1050190,118.79
Y1050268,0
Y1050168,17.5
Y1050229,169.67
Y1050265,0
Y1050160,0
Y1050219,22
Y1050224,42
Y1050231,6
Y1050258,5
Y1050182,121
Y1050165,0
Y1050256,11.25
Y1050225,131.3
Y1050249,12
Y1050260,0
Y1050232,0
Y1050170,56.55
Y1050220,0
Y1050181,0
Y9999987,0
Y1050252,0
Y1050184,11
Y1050222,0
Y1050245,0
Y1050162,0
Y1050233,0
Y1050226,0
Y1050228,96.46
Y1050193,1
Y1050250,12.5
Y1050247,60
Y1050272,0
Y1050216,0
Y1050251,0
Y1050166,0
Y1050238,41
Y1050174,114.07
Y1050242,0
Y1050271,0
Y9999995,0
Y1050180,6
Y1050269,0
Y1050207,0
Y1050169,0
Y1050263,0
Y9999999,0
Y9999997,0
Y1050248,28.5
Y1050208,113
Y1050261,102.67
Y1050188,46
Y1050200,26
Y1050189,127.84
Y1050213,0
Y1050199,70.5
Y1050267,29
Y9999998,0
Y1050253,4
Y1050264,7.5
Y1050187,0
Y1050257,3
Y1050196,0
Y1050163,0
Y1050177,18
Y1050211,32.25
Y9999993,0
Y1050221,121.54
Y1050243,0
Y1050217,0
Y1050259,104.62
Y1050173,18
Y9999990,0
Y1050212,0
Y1050175,9
Y1050186,143.42
Y1050273,77.25
Y1050236,18
Y1050183,0
Y9999989,0
Y1050179,135.67
Y1050194,16
Y1050254,25
Y1050215,0
Y1050241,9.75
Y1050203,0
Y1050204,113.21
Y1050171,9
Y1050239,1
Y1050192,133.67
Y1050198,0
Y1050210,0
Y1050230,0
Y9999988,0
Y1050227,0
Y9999996,0
Y1050270,79.33
Y1050237,0
Y1050176,161.24
Y1050205,131.09
Y1050262,21
Y9999991,0
Y1050201,112.95
