username,hw_mean
Y1050411,0.545454545
Y1050310,0
Y1050426,0
Y1050429,0
Y1050334,2.545454545
Y1050444,0.757272727
Y1050447,0
Y1050357,4.03
Y1050389,0
Y1050279,9.431818182
Y1050275,3.636363636
Y1050376,9
Y1050396,5.272727273
Y1050369,0
Y1050443,0
Y1050412,4.272727273
Y1050329,2.272727273
Y1050392,0
Y1050307,2.575454545
Y1050425,0
Y1050418,2.363636364
Y1050289,1.636363636
Y1050287,0
Y1050422,0
Y1050282,0
Y1050315,3.015454545
Y1050356,4.5
Y1050345,0
Y1050323,9.25
Y1050368,4.318181818
Y1050388,0
Y1050328,10
Y1050319,2.909090909
Y1050367,9.265454545
Y1050427,8.129090909
Y1050313,3
Y1050311,0.5
Y1050342,0
Y1050438,1.454545455
Y1050450,0.386363636
Y1050448,1.727272727
Y1050332,6.477272727
Y1050420,9.704545455
Y1050314,4
Y1050430,0
Y1050276,6.477272727
Y1050431,0
Y1050278,6.735454545
Y1050366,0
Y1050312,0
Y1050402,0
Y1050360,4.181818182
Y1050432,0
Y1050364,0.818181818
Y1050348,0
Y1050309,0
Y1050408,0
Y1050280,0.636363636
Y1050419,0
Y1050404,0
Y1050384,0
Y1050317,6.272727273
Y1050349,6.704545455
Y1050302,4.454545455
Y1050300,0
Y1050341,1.333636364
Y1050324,4.060909091
Y1050437,0
Y1050387,0
Y1050377,2.818181818
Y1050413,6.295454545
Y1050421,6.924545455
Y1050344,3.545454545
Y1050327,0
Y1050433,0
Y1050428,0
Y1050378,10
Y1050297,0
Y1050405,0
Y1050371,0.704545455
Y1050439,0
Y1050373,0
Y1050298,0
Y1050354,7.03
Y1050277,0
Y1050414,7.818181818
Y1050292,7.606363636
Y1050355,0
Y1050383,0
Y1050337,0.727272727
Y1050305,3.909090909
Y1050281,0
Y1050415,4.75
Y1050347,0
Y1050330,0
Y1050435,0
Y1050440,3.454545455
Y1050391,0
Y1050451,0
Y1050397,0
Y1050284,0
Y1050398,0
Y1050417,5.659090909
Y1050343,0
Y1050336,0
Y1050291,0
Y1050449,0
Y1050326,0
Y1050358,7.310909091
Y1050445,0
Y1050318,4.909090909
Y1050322,8.772727273
Y1050454,7.636363636
Y1050290,0
Y1050306,4.613636364
Y1050399,0
Y1050362,7.75
Y1050380,10
Y1050361,4.356363636
Y1050395,0
Y1050293,7.961818182
Y1050386,3.120909091
Y1050363,0
Y1050304,0
Y1050299,0
Y9999984,4.227272727
Y1050331,0.727272727
Y1050446,0
Y1050423,0.151818182
Y1050379,0
Y1050285,0
Y1050382,0
Y1050288,0
Y1050390,0.606363636
Y1050365,9.909090909
Y1050296,2.727272727
Y1050401,0
Y1050352,8.568181818
Y1050381,7.954545455
Y1050375,0
Y1050400,2.340909091
Y1050441,0
Y1050321,0
Y1050338,0
Y1050346,4.189090909
Y1050303,3.424545455
Y1050409,0
Y1050301,2.727272727
Y1050283,0.545454545
Y1050335,0
Y1050359,3.946363636
Y1050286,4.060909091
Y1050294,0
Y1050436,0.909090909
Y1050407,1.75
Y1050424,0
Y1050393,0
Y1050316,1.636363636
Y1050340,0
Y1050374,0
Y1050403,0.909090909
Y1050325,3.22
Y1050416,7.454545455
Y1050453,0.613636364
Y1050274,8.765454545
Y1050353,7.477272727
Y1050295,0.727272727
Y1050333,0
Y9999985,0
Y1050350,0
Y1050372,8.174545455
Y1050452,0
Y1050442,0
Y1050406,0
Y1050308,3.068181818
Y1050320,0
Y1050434,0
Y1050410,0
Y1050339,2.386363636
Y1050370,0
Y1050394,1.818181818
Y1050351,5.909090909
Y1050385,3.636363636
