username,hw_sum
Y1050411,6
Y1050310,0
Y1050426,0
Y1050429,0
Y1050334,28
Y1050444,8.33
Y1050447,0
Y1050357,44.33
Y1050389,0
Y1050279,160.75
Y1050275,40
Y1050376,151.33
Y1050396,58
Y1050369,0
Y1050443,0
Y1050412,54
Y1050329,25
Y1050392,0
Y1050307,28.33
Y1050425,0
Y1050418,34
Y1050289,18
Y1050287,0
Y1050422,0
Y1050282,0
Y1050315,33.17
Y1050356,54.5
Y1050345,0
Y1050323,153.75
Y1050368,47.5
Y1050388,0
Y1050328,180
Y1050319,87
Y1050367,143.92
Y1050427,140.42
Y1050313,33
Y1050311,5.5
Y1050342,0
Y1050438,16
Y1050450,4.25
Y1050448,19
Y1050332,101.25
Y1050420,155.75
Y1050314,44
Y1050430,0
Y1050276,128.58
Y1050431,0
Y1050278,130.08
Y1050366,0
Y1050312,0
Y1050402,0
Y1050360,46
Y1050432,0
Y1050364,53
Y1050348,0
Y1050309,0
Y1050408,0
Y1050280,7
Y1050419,0
Y1050404,0
Y1050384,0
Y1050317,108.33
Y1050349,121.75
Y1050302,49
Y1050300,0
Y1050341,14.67
Y1050324,44.67
Y1050437,0
Y1050387,0
Y1050377,46
Y1050413,99.25
Y1050421,128.17
Y1050344,39
Y1050327,0
Y1050433,0
Y1050428,0
Y1050378,170
Y1050297,0
Y1050405,0
Y1050371,7.75
Y1050439,0
Y1050373,0
Y1050298,0
Y1050354,86.33
Y1050277,0
Y1050414,142
Y1050292,83.67
Y1050355,0
Y1050383,0
Y1050337,8
Y1050305,43
Y1050281,0
Y1050415,52.25
Y1050347,0
Y1050330,0
Y1050435,0
Y1050440,38
Y1050391,0
Y1050451,0
Y1050397,0
Y1050284,0
Y1050398,0
Y1050417,98.25
Y1050343,0
Y1050336,0
Y1050291,0
Y1050449,0
Y1050326,0
Y1050358,112.42
Y1050445,0
Y1050318,82
Y1050322,149.5
Y1050454,147
Y1050290,0
Y1050306,56.75
Y1050399,0
Y1050362,131.58
Y1050380,170
Y1050361,47.92
Y1050395,0
Y1050293,142.58
Y1050386,34.33
Y1050363,0
Y1050304,0
Y1050299,0
Y9999984,72.5
Y1050331,8
Y1050446,0
Y1050423,1.67
Y1050379,0
Y1050285,0
Y1050382,0
Y1050288,0
Y1050390,6.67
Y1050365,175
Y1050296,30
Y1050401,0
Y1050352,153.25
Y1050381,118.5
Y1050375,0
Y1050400,25.75
Y1050441,0
Y1050321,0
Y1050338,0
Y1050346,61.08
Y1050303,37.67
Y1050409,0
Y1050301,30
Y1050283,6
Y1050335,0
Y1050359,43.42
Y1050286,75.67
Y1050294,0
Y1050436,10
Y1050407,19.25
Y1050424,0
Y1050393,0
Y1050316,18
Y1050340,0
Y1050374,0
Y1050403,10
Y1050325,35.42
Y1050416,131
Y1050453,6.75
Y1050274,154.42
Y1050353,98.25
Y1050295,8
Y1050333,0
Y9999985,0
Y1050350,0
Y1050372,149.92
Y1050452,0
Y1050442,0
Y1050406,0
Y1050308,33.75
Y1050320,0
Y1050434,0
Y1050410,0
Y1050339,26.25
Y1050370,0
Y1050394,20
Y1050351,104
Y1050385,40
