username,week,mt_practice_sum,mt_unit_sum,first_three_week_homework_complete_num,last_three_week_homework_complete_num,mt_online_num_day,mt_online_practice_num_day,repeat_num
Y1050174,1,-1,-1,-1,-1,-1,-1,-1
Y1050174,2,-1,-1,-1,-1,-1,-1,-1
Y1050174,3,-1,-1,-1,-1,-1,-1,-1
Y1050174,4,7,3,0,3,5,6,3
Y1050174,5,-1,-1,-1,-1,-1,-1,-1
Y1050176,1,-1,-1,-1,-1,-1,-1,-1
Y1050176,2,-1,-1,-1,-1,-1,-1,-1
Y1050176,3,-1,-1,-1,-1,-1,-1,-1
Y1050176,4,19,3,0,3,2,4,3
Y1050176,5,-1,-1,-1,-1,-1,-1,-1
Y1050179,1,-1,-1,-1,-1,-1,-1,-1
Y1050179,2,-1,-1,-1,-1,-1,-1,-1
Y1050179,3,-1,-1,-1,-1,-1,-1,-1
Y1050179,4,10,3,0,3,6,5,3
Y1050179,5,-1,-1,-1,-1,-1,-1,-1
Y1050182,1,-1,-1,-1,-1,-1,-1,-1
Y1050182,2,-1,-1,-1,-1,-1,-1,-1
Y1050182,3,-1,-1,-1,-1,-1,-1,-1
Y1050182,4,4,3,0,3,1,4,1
Y1050182,5,-1,-1,-1,-1,-1,-1,-1
Y1050185,1,-1,-1,-1,-1,-1,-1,-1
Y1050185,2,-1,-1,-1,-1,-1,-1,-1
Y1050185,3,-1,-1,-1,-1,-1,-1,-1
Y1050185,4,18,3,0,3,3,4,3
Y1050185,5,-1,-1,-1,-1,-1,-1,-1
Y1050186,1,-1,-1,-1,-1,-1,-1,-1
Y1050186,2,-1,-1,-1,-1,-1,-1,-1
Y1050186,3,-1,-1,-1,-1,-1,-1,-1
Y1050186,4,10,3,0,3,3,5,3
Y1050186,5,-1,-1,-1,-1,-1,-1,-1
Y1050189,1,-1,-1,-1,-1,-1,-1,-1
Y1050189,2,-1,-1,-1,-1,-1,-1,-1
Y1050189,3,-1,-1,-1,-1,-1,-1,-1
Y1050189,4,4,3,0,3,1,3,1
Y1050189,5,-1,-1,-1,-1,-1,-1,-1
Y1050190,1,-1,-1,-1,-1,-1,-1,-1
Y1050190,2,-1,-1,-1,-1,-1,-1,-1
Y1050190,3,-1,-1,-1,-1,-1,-1,-1
Y1050190,4,6,3,0,3,2,4,1
Y1050190,5,-1,-1,-1,-1,-1,-1,-1
Y1050192,1,-1,-1,-1,-1,-1,-1,-1
Y1050192,2,-1,-1,-1,-1,-1,-1,-1
Y1050192,3,-1,-1,-1,-1,-1,-1,-1
Y1050192,4,22,3,0,3,3,7,3
Y1050192,5,-1,-1,-1,-1,-1,-1,-1
Y1050197,1,-1,-1,-1,-1,-1,-1,-1
Y1050197,2,-1,-1,-1,-1,-1,-1,-1
Y1050197,3,-1,-1,-1,-1,-1,-1,-1
Y1050197,4,1,1,0,1,1,1,0
Y1050197,5,-1,-1,-1,-1,-1,-1,-1
Y1050201,1,-1,-1,-1,-1,-1,-1,-1
Y1050201,2,-1,-1,-1,-1,-1,-1,-1
Y1050201,3,-1,-1,-1,-1,-1,-1,-1
Y1050201,4,9,3,0,3,3,6,3
Y1050201,5,-1,-1,-1,-1,-1,-1,-1
Y1050202,1,-1,-1,-1,-1,-1,-1,-1
Y1050202,2,-1,-1,-1,-1,-1,-1,-1
Y1050202,3,-1,-1,-1,-1,-1,-1,-1
Y1050202,4,6,3,0,3,3,4,2
Y1050202,5,-1,-1,-1,-1,-1,-1,-1
Y1050204,1,-1,-1,-1,-1,-1,-1,-1
Y1050204,2,-1,-1,-1,-1,-1,-1,-1
Y1050204,3,-1,-1,-1,-1,-1,-1,-1
Y1050204,4,1,1,0,1,1,1,0
Y1050204,5,-1,-1,-1,-1,-1,-1,-1
Y1050205,1,-1,-1,-1,-1,-1,-1,-1
Y1050205,2,-1,-1,-1,-1,-1,-1,-1
Y1050205,3,-1,-1,-1,-1,-1,-1,-1
Y1050205,4,8,3,0,3,1,3,3
Y1050205,5,-1,-1,-1,-1,-1,-1,-1
Y1050208,1,-1,-1,-1,-1,-1,-1,-1
Y1050208,2,-1,-1,-1,-1,-1,-1,-1
Y1050208,3,-1,-1,-1,-1,-1,-1,-1
Y1050208,4,11,3,0,3,1,3,3
Y1050208,5,-1,-1,-1,-1,-1,-1,-1
Y1050209,1,-1,-1,-1,-1,-1,-1,-1
Y1050209,2,-1,-1,-1,-1,-1,-1,-1
Y1050209,3,-1,-1,-1,-1,-1,-1,-1
Y1050209,4,7,3,0,3,2,5,2
Y1050209,5,-1,-1,-1,-1,-1,-1,-1
Y1050221,1,-1,-1,-1,-1,-1,-1,-1
Y1050221,2,-1,-1,-1,-1,-1,-1,-1
Y1050221,3,-1,-1,-1,-1,-1,-1,-1
Y1050221,4,6,3,0,3,3,4,3
Y1050221,5,3,3,0,3,1,3,0
Y1050225,1,-1,-1,-1,-1,-1,-1,-1
Y1050225,2,-1,-1,-1,-1,-1,-1,-1
Y1050225,3,-1,-1,-1,-1,-1,-1,-1
Y1050225,4,4,3,0,3,2,4,1
Y1050225,5,-1,-1,-1,-1,-1,-1,-1
Y1050228,1,-1,-1,-1,-1,-1,-1,-1
Y1050228,2,-1,-1,-1,-1,-1,-1,-1
Y1050228,3,-1,-1,-1,-1,-1,-1,-1
Y1050228,4,3,3,0,3,1,3,0
Y1050228,5,-1,-1,-1,-1,-1,-1,-1
Y1050229,1,-1,-1,-1,-1,-1,-1,-1
Y1050229,2,-1,-1,-1,-1,-1,-1,-1
Y1050229,3,-1,-1,-1,-1,-1,-1,-1
Y1050229,4,10,3,0,3,37,6,3
Y1050229,5,-1,-1,-1,-1,-1,-1,-1
Y1050259,1,-1,-1,-1,-1,-1,-1,-1
Y1050259,2,-1,-1,-1,-1,-1,-1,-1
Y1050259,3,-1,-1,-1,-1,-1,-1,-1
Y1050259,4,4,3,0,3,4,4,1
Y1050259,5,-1,-1,-1,-1,-1,-1,-1
Y1050261,1,-1,-1,-1,-1,-1,-1,-1
Y1050261,2,-1,-1,-1,-1,-1,-1,-1
Y1050261,3,-1,-1,-1,-1,-1,-1,-1
Y1050261,4,3,3,0,3,1,3,0
Y1050261,5,-1,-1,-1,-1,-1,-1,-1
Y1050274,1,3,3,3,0,2,3,0
Y1050274,2,3,3,3,0,1,3,0
Y1050274,3,3,3,3,0,1,3,0
Y1050274,4,-1,-1,-1,-1,-1,-1,-1
Y1050274,5,3,3,0,3,1,3,0
Y1050275,1,3,3,3,0,1,3,0
Y1050275,2,-1,-1,-1,-1,-1,-1,-1
Y1050275,3,-1,-1,-1,-1,-1,-1,-1
Y1050275,4,-1,-1,-1,-1,-1,-1,-1
Y1050275,5,-1,-1,-1,-1,-1,-1,-1
Y1050276,1,3,3,3,0,2,3,0
Y1050276,2,3,3,3,0,2,3,0
Y1050276,3,3,3,3,0,2,3,0
Y1050276,4,-1,-1,-1,-1,-1,-1,-1
Y1050276,5,3,3,0,3,1,3,0
Y1050278,1,3,3,3,0,1,3,0
Y1050278,2,3,3,3,0,3,3,0
Y1050278,3,3,3,3,0,3,3,0
Y1050278,4,-1,-1,-1,-1,-1,-1,-1
Y1050278,5,3,3,0,3,1,3,0
Y1050279,1,3,3,3,0,2,3,0
Y1050279,2,3,3,3,0,3,3,0
Y1050279,3,3,3,3,0,3,3,0
Y1050279,4,-1,-1,-1,-1,-1,-1,-1
Y1050279,5,3,3,0,3,1,3,0
Y1050280,1,1,1,1,0,1,1,0
Y1050280,2,1,1,1,0,1,1,0
Y1050280,3,-1,-1,-1,-1,-1,-1,-1
Y1050280,4,-1,-1,-1,-1,-1,-1,-1
Y1050280,5,-1,-1,-1,-1,-1,-1,-1
Y1050283,1,1,1,1,0,1,1,0
Y1050283,2,-1,-1,-1,-1,-1,-1,-1
Y1050283,3,-1,-1,-1,-1,-1,-1,-1
Y1050283,4,-1,-1,-1,-1,-1,-1,-1
Y1050283,5,-1,-1,-1,-1,-1,-1,-1
