username,week,mt_practice_sum,mt_unit_sum,first_three_week_homework_complete_num,last_three_week_homework_complete_num,mt_online_num_day,mt_online_practice_num_day,repeat_num
Y1050174,1,-1,-1,-1,-1,-1,-1,-1
Y1050174,2,-1,-1,-1,-1,-1,-1,-1
Y1050176,1,-1,-1,-1,-1,-1,-1,-1
Y1050176,2,-1,-1,-1,-1,-1,-1,-1
Y1050179,1,-1,-1,-1,-1,-1,-1,-1
Y1050179,2,-1,-1,-1,-1,-1,-1,-1
Y1050182,1,-1,-1,-1,-1,-1,-1,-1
Y1050182,2,-1,-1,-1,-1,-1,-1,-1
Y1050185,1,-1,-1,-1,-1,-1,-1,-1
Y1050185,2,-1,-1,-1,-1,-1,-1,-1
Y1050186,1,-1,-1,-1,-1,-1,-1,-1
Y1050186,2,-1,-1,-1,-1,-1,-1,-1
Y1050189,1,-1,-1,-1,-1,-1,-1,-1
Y1050189,2,-1,-1,-1,-1,-1,-1,-1
Y1050190,1,-1,-1,-1,-1,-1,-1,-1
Y1050190,2,-1,-1,-1,-1,-1,-1,-1
Y1050192,1,-1,-1,-1,-1,-1,-1,-1
Y1050192,2,-1,-1,-1,-1,-1,-1,-1
Y1050197,1,-1,-1,-1,-1,-1,-1,-1
Y1050197,2,-1,-1,-1,-1,-1,-1,-1
Y1050201,1,-1,-1,-1,-1,-1,-1,-1
Y1050201,2,-1,-1,-1,-1,-1,-1,-1
Y1050202,1,-1,-1,-1,-1,-1,-1,-1
Y1050202,2,-1,-1,-1,-1,-1,-1,-1
Y1050204,1,-1,-1,-1,-1,-1,-1,-1
Y1050204,2,-1,-1,-1,-1,-1,-1,-1
Y1050205,1,-1,-1,-1,-1,-1,-1,-1
Y1050205,2,-1,-1,-1,-1,-1,-1,-1
Y1050208,1,-1,-1,-1,-1,-1,-1,-1
Y1050208,2,-1,-1,-1,-1,-1,-1,-1
Y1050209,1,-1,-1,-1,-1,-1,-1,-1
Y1050209,2,-1,-1,-1,-1,-1,-1,-1
Y1050221,1,-1,-1,-1,-1,-1,-1,-1
Y1050221,2,-1,-1,-1,-1,-1,-1,-1
Y1050225,1,-1,-1,-1,-1,-1,-1,-1
Y1050225,2,-1,-1,-1,-1,-1,-1,-1
Y1050228,1,-1,-1,-1,-1,-1,-1,-1
Y1050228,2,-1,-1,-1,-1,-1,-1,-1
Y1050229,1,-1,-1,-1,-1,-1,-1,-1
Y1050229,2,-1,-1,-1,-1,-1,-1,-1
Y1050259,1,-1,-1,-1,-1,-1,-1,-1
Y1050259,2,-1,-1,-1,-1,-1,-1,-1
Y1050261,1,-1,-1,-1,-1,-1,-1,-1
Y1050261,2,-1,-1,-1,-1,-1,-1,-1
Y1050274,1,3,3,3,0,2,3,0
Y1050274,2,3,3,3,0,1,3,0
Y1050275,1,3,3,3,0,1,3,0
Y1050275,2,-1,-1,-1,-1,-1,-1,-1
Y1050276,1,3,3,3,0,2,3,0
Y1050276,2,3,3,3,0,2,3,0
Y1050278,1,3,3,3,0,1,3,0
Y1050278,2,3,3,3,0,3,3,0
Y1050279,1,3,3,3,0,2,3,0
Y1050279,2,3,3,3,0,3,3,0
Y1050280,1,1,1,1,0,1,1,0
Y1050280,2,1,1,1,0,1,1,0
Y1050283,1,1,1,1,0,1,1,0
Y1050283,2,-1,-1,-1,-1,-1,-1,-1
Y1050286,1,3,3,3,0,2,3,0
Y1050286,2,1,1,1,0,1,1,0
Y1050292,1,3,3,3,0,2,3,0
Y1050292,2,3,3,3,0,3,3,0
Y1050293,1,3,3,3,0,1,3,0
Y1050293,2,3,3,3,0,1,3,0
Y1050295,1,1,1,1,0,1,1,0
Y1050295,2,-1,-1,-1,-1,-1,-1,-1
Y1050296,1,3,3,3,0,1,3,0
Y1050296,2,-1,-1,-1,-1,-1,-1,-1
Y1050301,1,3,3,3,0,1,3,0
Y1050301,2,-1,-1,-1,-1,-1,-1,-1
Y1050302,1,3,3,3,0,2,3,0
Y1050302,2,-1,-1,-1,-1,-1,-1,-1
Y1050303,1,3,3,3,0,1,3,0
Y1050303,2,-1,-1,-1,-1,-1,-1,-1
Y1050305,1,3,3,3,0,1,3,0
Y1050305,2,-1,-1,-1,-1,-1,-1,-1
Y1050306,1,3,3,3,0,2,3,0
Y1050306,2,3,3,3,0,3,3,0
Y1050307,1,3,3,3,0,1,3,0
Y1050307,2,-1,-1,-1,-1,-1,-1,-1
Y1050308,1,3,3,3,0,1,3,0
Y1050308,2,-1,-1,-1,-1,-1,-1,-1
Y1050311,1,1,1,1,0,1,1,0
Y1050311,2,-1,-1,-1,-1,-1,-1,-1
Y1050313,1,3,3,3,0,2,3,0
Y1050313,2,-1,-1,-1,-1,-1,-1,-1
Y1050314,1,3,3,3,0,2,3,0
Y1050314,2,2,2,2,0,2,2,0
Y1050315,1,2,2,2,0,1,2,0
Y1050315,2,1,1,1,0,1,1,0
Y1050316,1,3,3,3,0,1,3,0
Y1050316,2,1,1,1,0,1,1,0
Y1050317,1,3,3,3,0,1,3,0
Y1050317,2,3,3,3,0,2,3,0
Y1050318,1,3,3,3,0,2,3,0
Y1050318,2,3,3,3,0,3,3,0
Y1050319,1,-1,-1,-1,-1,-1,-1,-1
Y1050319,2,-1,-1,-1,-1,-1,-1,-1
Y1050322,1,3,3,3,0,2,3,0
Y1050322,2,3,3,3,0,3,3,0
Y1050323,1,3,3,3,0,3,3,0
Y1050323,2,3,3,3,0,3,3,0
Y1050324,1,3,3,3,0,2,3,0
Y1050324,2,-1,-1,-1,-1,-1,-1,-1
Y1050325,1,3,3,3,0,2,3,0
Y1050325,2,-1,-1,-1,-1,-1,-1,-1
Y1050328,1,3,3,3,0,1,3,0
Y1050328,2,3,3,3,0,2,3,0
Y1050329,1,3,3,3,0,1,3,0
Y1050329,2,-1,-1,-1,-1,-1,-1,-1
Y1050331,1,1,1,1,0,1,1,0
Y1050331,2,-1,-1,-1,-1,-1,-1,-1
Y1050332,1,3,3,3,0,2,3,0
Y1050332,2,3,3,3,0,1,3,0
Y1050333,1,1,1,1,0,1,1,0
Y1050333,2,-1,-1,-1,-1,-1,-1,-1
Y1050334,1,3,3,3,0,2,3,0
Y1050334,2,-1,-1,-1,-1,-1,-1,-1
Y1050335,1,1,1,1,0,1,1,0
Y1050335,2,-1,-1,-1,-1,-1,-1,-1
Y1050336,1,1,1,1,0,1,1,0
Y1050336,2,-1,-1,-1,-1,-1,-1,-1
Y1050337,1,1,1,1,0,1,1,0
Y1050337,2,-1,-1,-1,-1,-1,-1,-1
Y1050339,1,1,1,1,0,1,1,0
Y1050339,2,-1,-1,-1,-1,-1,-1,-1
Y1050344,1,3,3,3,0,2,3,0
Y1050344,2,-1,-1,-1,-1,-1,-1,-1
Y1050346,1,3,3,3,0,2,3,0
Y1050346,2,3,3,3,0,2,3,0
Y1050349,1,3,3,3,0,2,3,0
Y1050349,2,3,3,3,0,2,3,0
Y1050350,1,1,1,1,0,1,1,0
Y1050350,2,-1,-1,-1,-1,-1,-1,-1
Y1050351,1,3,3,3,0,3,3,0
Y1050351,2,3,3,3,0,1,3,0
Y1050352,1,3,3,3,0,1,3,0
Y1050352,2,3,3,3,0,2,3,0
Y1050353,1,3,3,3,0,2,3,0
Y1050353,2,3,3,3,0,2,3,0
Y1050354,1,3,3,3,0,2,3,0
Y1050354,2,2,2,2,0,1,2,0
Y1050356,1,3,3,3,0,2,3,0
Y1050356,2,1,1,1,0,1,1,0
Y1050357,1,3,3,3,0,2,3,0
Y1050357,2,-1,-1,-1,-1,-1,-1,-1
Y1050358,1,3,3,3,0,1,3,0
Y1050358,2,3,3,3,0,1,3,0
Y1050359,1,3,3,3,0,1,3,0
Y1050359,2,-1,-1,-1,-1,-1,-1,-1
Y1050360,1,3,3,3,0,1,3,0
Y1050360,2,-1,-1,-1,-1,-1,-1,-1
Y1050361,1,3,3,3,0,2,3,0
Y1050361,2,1,1,1,0,1,1,0
