username,active_num_days,active_avg_count,active_sum_count,problem_num_days,problem_avg_count,problem_sum_count,video_num_days,video_avg_count,video_sum_count,forum_num_days,forum_avg_count,forum_sum_count,num_watched,num_complete,num_incomplete,complete_rate,incomplete_rate,watched_time_hour,watched_time_weekday,seek_video_sum,seek_video_avg,pause_video_sum,pause_video_avg,stop_video_sum,stop_video_avg,video_forward_seek_sum,video_forward_seek_avg,video_backward_seek_sum,video_backward_seek_avg,video_pause_forward_seek_sum,video_pause_forward_seek_avg,video_pause_backward_seek_sum,video_pause_backward_seek_avg,video_stop_backward_seek_sum,video_stop_backward_seek_avg,all_type_video_forward_seek_sum,all_type_video_forward_seek_avg,all_type_video_backward_seek_sum,all_type_video_backward_seek_avg,all_type_video_seek_sum,all_type_video_seek_avg,video_pause_sum,video_pause_avg,video_stop_sum,video_stop_avg,video_play_sum,video_play_avg,video_events_sum,video_events_avg,mt_practice_sum,mt_unit_sum,mt_online_num_day,mt_online_practice_num_day,hw_mean,qz_mean,final_score
Y1050160,1.2,94.6,174.2,1.2,7.7666666666,14.6,1.2,8.1666666666,15.6,0.0,0.0,0.0,1.6,0.0,1.6,0.0,0.6,4.012965315000001,0.6,1.2,0.45,1.6,0.6,0.0,0.0,4.4,1.9,2.0,0.85,4.2,2.1,1.0,0.25,0.0,0.0,8.6,4.0,3.0,1.1,11.6,5.1,6.8,2.95,0.0,0.0,13.2,5.7,31.6,13.75,0.0,0.0,0.0,0.0,0.0,29.4,30.0
Y1050161,0.6,46.4,46.6,0.2,7.8,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,40.0
Y1050162,2.2,349.93333334000005,1009.0,2.2,16.233333334,46.4,2.2,77.19999998600001,222.8,0.0,0.0,0.0,9.0,7.0,2.0,0.6195238094000001,0.18047619060000003,8.9790556802,3.2,8.2,0.7057142858000001,8.8,0.7866666666000001,0.2,0.014285714199999999,38.4,3.0352380954,64.4,5.973333334,76.0,6.9780952374,22.6,2.0780952382,0.2,0.014285714199999999,114.4,10.013333334,87.2,8.065714285199999,201.6,18.079047618,107.0,9.8119047626,0.2,0.014285714199999999,210.6,18.879047618,519.4,46.784285714,0.0,0.0,0.0,0.0,0.0,36.0,30.0
Y1050163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y1050164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y1050165,0.2,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y1050166,0.8,10.6,21.2,0.2,0.2,0.2,0.4,1.8,3.6,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.2,0.2543716266,0.6,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.8,0.8,0.8,0.8,0.0,0.0,0.8,0.8,1.0,1.0,1.8,1.8,1.8,1.8,0.0,0.0,2.0,2.0,5.6,5.6,0.0,0.0,0.0,0.0,0.0,16.0,20.0
Y1050167,0.8,138.1,276.2,0.4,37.2,37.2,0.6,8.5,11.0,0.0,0.0,0.0,4.0,1.8,2.2,0.1797979798,0.2202020202,1.9145297331999998,1.6,1.4,0.1474747476,3.4,0.3333333334,0.2,0.0222222222,0.8,0.0848484848,0.6,0.06666666660000001,3.4,0.34141414140000004,0.4,0.040404040399999994,0.0,0.0,4.2,0.42626262620000005,1.0,0.10707070700000001,5.2,0.5333333334000001,6.8,0.6747474748,0.2,0.0222222222,9.2,0.9333333333999999,21.4,2.1636363636,0.0,0.0,0.0,0.0,0.0,39.2,30.0
Y1050168,0.6,18.9,32.8,0.4,1.2,1.2,0.2,0.4,0.4,0.0,0.0,0.0,0.4,0.0,0.4,0.0,0.2,1.4547079927999997,1.4,0.0,0.0,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.0,0.0,0.4,0.2,0.8,0.4,0.0,0.0,0.0,0.0,0.0,6.6,10.0
Y1050169,0.8,95.06666666,230.4,0.8,8.0,18.8,0.8,14.0,34.8,0.0,0.0,0.0,2.6,0.6,2.0,0.1363636364,0.2636363636,2.6416398738,1.4,1.6,0.309090909,2.6,0.4,0.0,0.0,12.2,2.4181818182,5.6,0.509090909,10.2,0.9272727272000001,2.4,0.21818181820000002,0.0,0.0,22.4,3.3454545454,8.0,0.7272727272000001,30.4,4.072727272,15.0,1.5272727272000002,0.0,0.0,33.0,4.472727272,78.4,10.072727272,0.0,0.0,0.0,0.0,0.0,0.0,0.0
