username,active_num_days,active_avg_count,active_sum_count,problem_num_days,problem_avg_count,problem_sum_count,video_num_days,video_avg_count,video_sum_count,forum_num_days,forum_avg_count,forum_sum_count,num_watched,num_complete,num_incomplete,complete_rate,incomplete_rate,watched_time_hour,watched_time_weekday,seek_video_sum,seek_video_avg,pause_video_sum,pause_video_avg,stop_video_sum,stop_video_avg,video_forward_seek_sum,video_forward_seek_avg,video_backward_seek_sum,video_backward_seek_avg,video_pause_forward_seek_sum,video_pause_forward_seek_avg,video_pause_backward_seek_sum,video_pause_backward_seek_avg,video_stop_backward_seek_sum,video_stop_backward_seek_avg,all_type_video_forward_seek_sum,all_type_video_forward_seek_avg,all_type_video_backward_seek_sum,all_type_video_backward_seek_avg,all_type_video_seek_sum,all_type_video_seek_avg,video_pause_sum,video_pause_avg,video_stop_sum,video_stop_avg,video_play_sum,video_play_avg,video_events_sum,video_events_avg,mt_practice_sum,mt_unit_sum,mt_online_num_day,mt_online_practice_num_day,hw_mean,qz_mean,final_score
Y1050274,3.0,100.5,279.5,1.0,22.5,22.5,1.0,15.5,15.5,0.0,0.0,0.0,5.0,4.0,1.0,0.7916666665000001,0.2083333335,11.030859501,6.5,1.0,0.25,5.0,1.0,0.0,0.0,1.5,0.375,0.5,0.125,8.0,1.9583333335,0.5,0.125,0.0,0.0,9.5,2.3333333335,1.0,0.25,10.5,2.5833333335,13.5,3.0833333335,0.0,0.0,15.5,3.5833333335,39.5,9.25,3.0,3.0,1.5,3.0,8.49,8.5,80.0
Y1050275,4.0,221.66666665,977.0,2.0,23.333333335,37.0,3.0,45.4,173.0,0.0,0.0,0.0,21.0,17.5,3.5,0.8014705879999999,0.19852941200000002,12.437353495,4.5,13.5,0.6360294120000001,19.5,0.9080882355,1.5,0.044117647,16.0,0.805147059,43.0,1.551470588,52.5,1.6875,21.5,0.6323529410000001,0.0,0.0,68.5,2.4926470590000003,64.5,2.1838235294999997,133.0,4.676470588,90.0,3.125,1.5,0.044117647,154.0,5.676470588,378.5,13.522058825,1.5,1.5,0.5,1.5,5.0,7.5,20.0
Y1050276,2.0,254.0,672.0,1.0,79.0,79.0,1.0,15.5,31.0,0.0,0.0,0.0,8.0,4.5,3.5,0.28125,0.21875,1.6497501030000001,3.0,1.0,0.0625,8.0,0.5,0.0,0.0,0.5,0.03125,1.5,0.09375,12.5,0.78125,4.0,0.25,0.0,0.0,13.0,0.8125,5.5,0.34375,18.5,1.15625,24.5,1.53125,0.0,0.0,26.5,1.65625,69.5,4.34375,3.0,3.0,2.0,3.0,5.84375,5.0,40.0
Y1050277,1.5,358.66666664999997,1076.0,1.5,20.833333335,62.5,1.5,58.166666649999996,174.5,0.0,0.0,0.0,12.0,12.0,0.0,0.5,0.0,6.115136335,2.5,8.0,0.3333333335,12.0,0.5,2.0,0.0833333335,12.0,0.5,27.5,1.1458333335,89.0,3.7083333335,20.5,0.8541666665000001,0.0,0.0,101.0,4.208333333500001,48.0,2.0,149.0,6.208333335,119.5,4.979166666499999,2.0,0.0833333335,161.0,6.708333335,431.5,17.979166665,0.0,0.0,0.0,0.0,0.0,3.0,10.0
Y1050278,3.0,121.5,387.0,2.0,26.166666665,48.5,2.0,6.333333333500001,15.0,0.0,0.0,0.0,7.0,6.0,1.0,0.9,0.1,10.0606767735,6.0,1.0,0.1,5.0,0.65,2.5,0.4,2.5,0.25,2.0,0.2,1.0,0.1,1.0,0.1,0.0,0.0,3.5,0.35,3.0,0.3,6.5,0.65,6.5,0.8,2.5,0.4,13.5,1.65,29.0,3.5,3.0,3.0,2.0,3.0,7.51125,6.0,54.0
Y1050279,5.0,520.375,2602.0,5.0,37.458333335,179.0,4.0,54.733333335,233.0,0.0,0.0,0.0,18.0,14.0,4.0,0.7532467535,0.24675324650000002,7.473971700500001,2.0,10.5,0.581168831,17.5,0.9642857145000001,1.5,0.081168831,18.0,0.883116883,25.0,1.3311688309999998,117.0,5.9805194805,32.0,1.7532467535,0.0,0.0,135.0,6.8636363635,57.0,3.0844155845,192.0,9.948051947,163.0,8.5259740265,1.5,0.081168831,210.0,10.948051947,566.5,29.503246750000002,3.0,3.0,2.5,3.0,9.21875,7.0,70.0
Y1050280,3.0,45.66666667,137.0,0.0,0.0,0.0,1.5,11.5,19.0,0.0,0.0,0.0,4.0,3.5,0.5,0.9166666665000001,0.0833333335,3.72802669,2.5,0.5,0.0833333335,3.0,0.8333333334999999,2.0,0.6666666665000001,0.0,0.0,0.5,0.0833333335,9.5,2.4166666665000003,3.0,0.5,0.0,0.0,9.5,2.4166666665000003,3.5,0.5833333335,13.0,3.0,14.5,3.25,2.0,0.6666666665000001,17.0,4.0,46.5,10.916666665000001,1.0,1.0,1.0,1.0,0.875,3.0,10.0
Y1050281,1.0,129.0,129.0,0.5,4.0,4.0,0.5,20.0,20.0,0.0,0.0,0.0,1.5,0.5,1.0,0.1666666665,0.3333333335,6.1060995,0.5,1.5,0.5,1.5,0.5,0.5,0.1666666665,1.5,0.5,2.0,0.6666666665,12.5,4.166666666499999,1.0,0.3333333335,0.0,0.0,14.0,4.666666666499999,3.0,1.0,17.0,5.666666665,14.5,4.833333333500001,0.5,0.1666666665,18.5,6.166666665,50.5,16.833333335,0.0,0.0,0.0,0.0,0.0,3.0,10.0
Y1050282,2.5,216.66666665000002,524.5,2.0,13.75,27.5,2.5,33.416666665,82.0,0.0,0.0,0.0,6.0,4.5,1.5,0.625,0.375,7.377665659,2.0,3.0,0.5,5.0,0.8125,2.0,0.3125,10.5,2.5,5.0,0.6875,16.5,2.5625,2.5,0.375,0.0,0.0,27.0,5.0625,7.5,1.0625,34.5,6.125,22.0,3.4375,2.0,0.3125,40.5,7.125,99.0,17.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0
Y1050283,2.0,184.5,369.0,1.0,19.25,38.5,1.0,17.25,34.5,0.0,0.0,0.0,5.0,1.0,4.0,0.1,0.4,3.5987127845,1.0,2.0,0.2,5.0,0.5,0.5,0.05,7.5,0.75,11.0,1.1,4.5,0.45,1.0,0.1,0.0,0.0,12.0,1.2,12.0,1.2,24.0,2.4,10.0,1.0,0.5,0.05,29.0,2.9,63.5,6.35,0.5,0.5,0.5,0.5,0.75,3.0,20.0
Y1050284,3.0,104.99999998500002,315.0,0.5,10.5,10.5,3.0,7.8333333315,23.5,0.0,0.0,0.0,5.5,1.0,4.5,0.14285714300000002,0.857142857,7.472271494999999,2.0,1.0,0.14285714300000002,5.5,1.0,0.5,0.07142857150000001,2.0,0.2857142855,3.0,0.4285714285,8.0,1.1964285715,1.5,0.2142857145,0.0,0.0,10.0,1.482142857,4.5,0.642857143,14.5,2.125,14.5,2.3392857145,0.5,0.07142857150000001,20.0,3.125,49.5,7.660714285,0.0,0.0,0.0,0.0,0.0,7.0,30.0
Y1050285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y1050286,4.0,247.93333335,1066.0,2.0,32.5,65.0,3.5,47.208333335,180.0,0.0,0.0,0.0,11.5,10.5,1.0,0.9333333335,0.0666666665,6.2343161155,2.0,8.0,0.6208333335,11.5,1.0,1.5,0.1583333335,20.0,1.4791666665,17.5,1.2541666665,72.0,5.4416666665,13.5,1.075,1.0,0.0958333335,92.0,6.920833335,32.0,2.425,124.0,9.345833335,96.0,7.420833335,1.5,0.1583333335,136.0,10.379166665,357.5,27.304166665,2.0,2.0,1.5,2.0,4.58375,9.0,72.0
Y1050287,3.5,186.79166665000002,651.5,1.5,21.5,35.5,3.0,26.75,86.5,0.0,0.0,0.0,10.0,8.0,2.0,0.846153846,0.153846154,6.9437727395,2.0,6.0,0.5604395605,9.0,0.89010989,3.5,0.3351648355,10.0,0.8351648355000001,11.5,1.0164835165,29.0,2.923076923,4.0,0.3406593405,2.0,0.153846154,39.0,3.7582417585,17.5,1.510989011,56.5,5.269230769,40.0,4.0,4.0,0.37362637400000004,67.0,6.3406593405,167.5,15.983516484999999,0.0,0.0,0.0,0.0,0.0,9.0,50.0
Y1050288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y1050289,4.5,620.9,2737.0,2.5,35.166666665,83.5,4.0,163.9,603.5,0.5,0.5,0.5,24.5,20.0,4.5,0.8191666665,0.1808333335,6.562516603500001,1.0,24.0,0.9791666665000001,24.0,0.98,7.5,0.30916666649999996,86.5,3.5258333334999996,214.5,8.745000000000001,176.0,7.1733333335000005,70.5,2.8766666665000002,2.0,0.0833333335,262.5,10.699166666499998,287.0,11.705,549.5,22.404166664999998,263.0,10.723333335,7.5,0.30916666649999996,574.0,23.404166664999998,1394.0,56.840833335,0.0,0.0,0.0,0.0,2.25,6.0,60.0
Y1050290,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y1050291,1.0,245.5,491.0,0.5,56.5,56.5,0.5,16.5,16.5,0.0,0.0,0.0,5.0,4.0,1.0,0.4,0.1,3.0334382545,2.0,1.5,0.15,4.0,0.4,1.0,0.1,4.5,0.45,1.5,0.15,1.5,0.15,1.5,0.15,0.0,0.0,6.0,0.6,3.0,0.3,9.0,0.9,6.0,0.6,1.0,0.1,14.0,1.4,30.0,3.0,0.0,0.0,0.0,0.0,0.0,9.0,40.0
Y1050292,5.0,221.625,1209.0,3.5,35.5,146.0,4.0,19.8666666665,92.0,0.0,0.0,0.0,9.0,3.5,5.5,0.4125,0.5875,11.22911316,1.0,5.0,0.525,8.0,0.8875,0.5,0.0625,49.5,4.95,10.5,1.075,12.0,1.3,3.0,0.3375,0.0,0.0,61.5,6.25,13.5,1.4125,75.0,7.6625,22.5,2.475,0.5,0.0625,84.0,8.6625,182.0,18.8625,3.0,3.0,2.5,3.0,7.83375,6.0,50.0
