,comp 1,comp 2,comp 3,comp 4,comp 5,comp 6,comp 7,comp 8,comp 9,comp 10,comp 11,comp 12,comp 13,comp 14,comp 15,comp 16,comp 17,comp 18,comp 19,comp 20,comp 21,comp 22,comp 23,comp 24,comp 25
active_num_days,0.1253950965962303,-0.1574988203744944,-0.09674379975228173,0.009654761444161792,-0.30028576463182416,-0.08395937329938985,-0.08583733864826387,-0.13890087669887566,-0.13366408775359723,0.12359027989781869,-0.12403342194709613,0.05493562935983814,0.11903325953215022,-0.06560304196451709,0.25538486263787313,-0.2044858673713904,0.10582041414177173,-0.09780339268841376,0.10973137927683951,0.4840924175280321,0.11322252250844375,-0.15558612216616793,0.16463371133692523,0.33739075170432237,0.08293121751641862
active_avg_count,0.13851839601613924,-0.03525374520109137,-0.022982021653867576,0.060310815600159495,0.2964989002048163,0.28026071064897545,0.01454905972777214,0.2246240883135754,-0.017089940831264066,-0.06666222272405598,0.040075506063486956,0.08169760252768793,-0.010981702742037722,-0.07369998786061524,-0.16008475105396527,0.030135581214352773,-0.05910031673692315,0.2825726295018198,0.15552772408269108,-0.31738388773949155,-0.0879948143094633,-0.15699152548483172,0.4227635470093747,0.24668498855810844,0.3162603876833293
active_sum_count,0.17459818454225362,-0.05981893663021176,-0.062857431232963,0.060446196831149,0.05334368521689409,0.1110219163227181,-0.18709368412540406,0.06968277475096446,0.0023228454144018085,0.0687815686508865,-0.087331174824338,0.11291209248544438,0.0741594808151294,-0.02574398584673972,0.09141719878736834,-0.037889168811684325,0.005023291066008382,0.03180124676186063,0.04636500763637602,-0.12178667336187712,-0.038328016929462444,0.05250131285565195,-0.060076397185418864,0.27074696956409117,-0.27779150039042394
problem_num_days,0.1182520807690397,-0.1903135420960994,-0.06461422759297462,-0.0017756484416747119,-0.20947406816979341,0.03869926587245627,-0.2694530524844734,-0.13927746914267017,-0.04261623304640641,0.07717689642191058,-0.25894558565492604,0.16839889280156212,0.050094213946783206,-0.007853038894063585,0.2839806246724239,-0.0031794353341251603,-0.2592879250388167,0.1439347864045355,0.13929992274592273,-0.13373472938584974,-0.23717955541454572,0.02094101748489388,0.20921743472900856,-0.2021890793389146,0.25575884213475664
problem_avg_count,0.07756348790000739,-0.14055141778571587,-0.10071438924223086,0.06377101039874578,0.41576863406468734,0.22458054584111822,-0.009557203938756892,0.16542013896579807,-0.1815300269287638,0.16629901712061496,-0.10097773950169989,0.22077113149132907,0.06603006013400875,0.04167456066641462,-0.1700695371819727,-0.0176728096712169,0.1823463542427891,-0.06225379879401616,-0.1563347055365584,0.3769688003960015,0.35644139866920077,-0.08777431871760383,-0.044976063044908525,-0.26028595934536813,0.25894199386479916
problem_sum_count,0.1039854682575973,-0.20350863395267688,-0.09897335779723526,0.043583859739493885,0.17107642850189775,0.19363330602821083,-0.2385771418027989,0.07691124807458374,-0.1347149466001392,0.18404390906938412,-0.1921842459387174,0.31664315484304306,0.06954697607753502,-0.027086035661034943,0.08818104062477267,0.058445682736629534,-0.014984283293946826,0.01421443502513308,-0.01982351888066461,-0.10580238888190688,-0.10318539620480234,0.16680071507682698,-0.2864933008975197,0.041242496451084104,-0.42216681677039597
video_num_days,0.13914679674297703,-0.15312525275865518,-0.041322204983234856,-0.1043116515197992,-0.2698625730849742,0.015029138338504028,-0.1197168944860158,-0.20517433949796193,0.06190116481006347,0.022332754011535366,-0.12095242213921206,-0.018125599176346294,0.0399066606867807,0.08717655633526153,-0.05521559507466195,0.1166022757648636,0.006777277879673027,0.016298870585698025,-0.06466012672601648,-0.14574248690103375,0.26865924107846473,-0.18626834745808377,0.05123860010373015,-0.2737150187387249,0.19920551233796135
video_avg_count,0.13894066434321736,0.1663642058629972,-0.1062445772774543,0.013850137582287037,0.20682036277106924,-0.00749640788016126,0.1377045592064438,0.026769298813618697,-0.0009142346471680551,-0.09107395307755717,0.10205122775743658,-0.09029722155183001,0.0017330349775533938,-0.12790308378698612,0.25831580343877547,0.20933698344865165,-0.03910637125235995,0.3317578865056674,0.32621469077138937,0.4868295326700132,-0.2816554321106677,9.889360475870412e-07,0.08462569872302643,-0.25214170384933443,-0.12581123028492133
video_sum_count,0.1779982691907142,0.11922854815617782,-0.06804969528761803,0.0007298744010605374,0.044494759771438006,-0.0346835625603269,-0.0414840405903049,-0.009507466042208618,0.0649820710499868,-0.003728728896926675,-0.01973635456671191,-0.0750932437023151,0.0346363174938078,-0.0011717098226682598,0.013324723709670055,0.027019035682611645,-0.05226601935736243,0.025930471771228578,0.009033620024724853,-0.0496936455899519,0.17456673307817314,0.07699690419535199,-0.005910154049680441,0.08334818442169989,0.021606872460162192
forum_num_days,0.04061825560305251,-0.007207054405973623,0.031703964218187435,0.07000450888236265,-0.10477948084888895,-0.020382982884801948,0.0823002248114133,0.24477504384309134,0.6467227693355995,0.6044952790706241,0.21736859699428246,0.12596841856292423,-0.005929058612364341,-0.003564390552554947,0.07161419148052939,-0.11298747712287516,0.10350846222770285,0.06584695011809501,-0.052054738175326076,0.03790458814674247,-0.07669654645857257,-0.07499580545838633,0.04082910750726268,0.010339289422096831,0.02341004245161445
num_watched,0.1607326989814985,-0.12388578777648077,-0.06769448379980154,-0.11772963026389127,0.03859104766346774,0.11881929075020908,-0.05832327727914166,-0.0686813553670021,0.21780925451223968,-0.19670019893925914,0.02041760986714436,-0.0632679610923059,0.004551101783710508,0.04802401500582967,-0.022978320382403272,0.038310696555126644,0.014781263682126504,-0.07226546048248286,-0.1544962765994918,0.0610296093574102,-0.05015836617805205,-0.1275901455141178,0.08667285471465198,-0.04476057979227589,-0.17138560825424842
num_complete,0.16215332531565924,-0.10374547562959845,0.06207063558137444,-0.1054058267859422,0.12439230368218435,0.008335547274902821,-0.024774358964627652,-0.14300339602677495,0.2235961087914478,-0.17187679130068223,-0.08112047166849506,0.009940737253250148,-0.10901787035827758,0.10279039496520508,-0.039572191289049624,-0.12077912122765533,-0.06519989044175009,0.0265364719182725,-0.13476166188415153,0.07933885954952319,0.004238286234160268,-0.06085545573230479,0.1217869250442999,-0.03910656505345919,-0.2066333854093597
num_incomplete,0.04425603967038411,-0.08414481942264562,-0.3257990888605239,-0.06390445837407367,-0.19073418634090636,0.2955099799173904,-0.09632067376399911,0.15477537575798797,0.05087244772256248,-0.11674408291708041,0.24528929139585678,-0.19123082069002764,0.2689371797597603,-0.11481662313171406,0.03229284043070432,0.3861910207633711,0.19282793654426153,-0.25419790801673947,-0.09225465751257483,-0.025065153483909017,-0.14302359964370984,-0.1950268073500792,-0.057065773068306645,-0.026578382771712483,0.03229191411764505
complete_rate,0.15387065194550345,-0.102448329064664,0.12433380706603217,-0.0950165256458691,0.04262762210988141,0.010510051902870542,0.17758149200182322,-0.22791529227348722,0.08647475368955695,0.024383318786719677,-0.21619335491004882,-0.016852558872434642,-0.1320192378785974,0.07369202123748901,-0.0642467258958398,0.09689917973142509,0.36155717250201047,0.13790506459844387,-0.0879417758194087,-0.0027707282902013075,-0.09169551987947516,0.03261310991155642,-0.033150920207329335,-0.0007096937443784035,-0.018626037793989518
incomplete_rate,-0.015779334867282696,-0.055736081491477074,-0.3008584070755681,0.0193370313985867,-0.32922669544258343,0.2750130827534232,0.07702336519608216,0.17829786389740454,-0.22074240695162384,0.09003916912400353,0.2382245290276016,-0.21846803604735998,0.028451586992643718,0.06594629277752034,-0.10350591158213412,-0.24657700253197376,-0.2428058793520092,0.3089217191114115,-0.13317044467818367,0.03842822326549228,0.11354935139766059,0.17934353309516068,-0.05534773470336968,-0.09754773326150479,-0.11065356930393472
