,comp 1,comp 2,comp 3,comp 4,comp 5,comp 6,comp 7,comp 8,comp 9,comp 10,comp 11,comp 12,comp 13,comp 14,comp 15,comp 16,comp 17
active_num_days,0.144307753431,-0.128505298086,-0.0534541017423,-0.0526611911149,0.0917526212086,-0.242471561104,-0.0459112762398,-0.20169396262,-0.0338462471894,-0.165917428156,0.0475797803496,-0.11725420198,0.035641542554,0.226087296568,-0.0761936062049,-0.111735591503,-0.163915920781
active_avg_count,0.143905224834,-0.0608968002338,-0.0589081952417,-0.0656855453599,0.0288201387312,0.338416586823,-0.0459265789828,0.186752039757,-0.189850841342,0.151821029359,0.0994761247975,0.105453651679,0.0106094625763,-0.112226540927,0.0656136465742,0.00885837754869,0.00492517163709
active_sum_count,0.169361369773,-0.0603447029919,-0.0484128531214,0.0200951983684,-0.033483939843,0.0797451909535,-0.152466186167,-0.03427291603,-0.177628689794,-0.0416674912362,0.0276063314856,-0.0256980533448,-0.0405057239549,0.0684756162693,-0.0582414357875,0.0498946338818,-0.0440919181609
problem_num_days,0.136099135701,-0.171093973794,-0.0388042235397,-0.0312842802962,0.0240692270754,-0.139847289146,-0.144748766532,-0.283018084164,-0.156938665553,-0.244898857915,0.0955206517507,-0.0604936990265,0.0446635603891,0.172902397818,-0.171514614825,0.0461385622572,-0.240962313337
problem_avg_count,0.10553846137,-0.152999942052,-0.101369034228,-0.096874343956,-0.0104175526106,0.389114048087,0.055454305184,0.137650888614,-0.414046149721,-0.00104777364308,0.22629622955,0.0437415758183,-0.173786346564,0.0348486830623,0.000637288601721,-0.0361371964727,0.0907527948683
problem_sum_count,0.127057112777,-0.201475852404,-0.0881181246536,-0.0430215171465,-0.0457899213417,0.167451017181,-0.114886709612,-0.075172790741,-0.389587349991,-0.14345991372,0.14591978833,-0.0289926388388,-0.128979253149,0.057579905818,-0.104256449887,0.122892705698,-0.0825016504583
video_num_days,0.150789499562,-0.125018664386,0.00755262780276,-0.0640998403764,0.0511386389552,-0.206219076483,-0.126695625242,-0.218839822926,0.0508499418709,-0.217425598574,-0.0486633038686,-0.0138782569725,0.0302209680434,0.0452508660819,0.00399665727974,-0.00689291764959,0.0810018997191
video_avg_count,0.135068023786,0.155705616447,-0.116645825182,-0.0463332227861,-0.077139488148,0.22991316725,0.142874508551,0.0828860252741,0.143128729139,0.182057445652,-0.0542883079485,0.0316942782603,0.165108551704,0.151597257212,-0.098362792042,0.0398419259095,-0.201958383585
video_sum_count,0.169908502213,0.11860617825,-0.0270286639203,0.028333145058,-0.0885028572127,0.0232238749246,-0.066052472256,-0.00369956747919,0.0416936640386,0.0189992231268,-0.0563286320272,0.0367488482549,0.00506505579228,0.0666262019561,-0.0271564087598,0.0609490941539,-0.0304185929532
forum_num_days,0.054824324697,0.091867179781,-0.028130568258,0.0869559538647,-0.0278637917076,-0.197679640928,-0.173481847489,0.712224207869,-0.220749657693,-0.432285877681,-0.337190493155,-0.118474639532,0.072037775243,-0.0127620777408,-0.0137725361545,-0.0923327773089,0.0192409157514
num_watched,0.160416422813,-0.116421741441,0.00597971324201,-0.0776622549543,-0.0732988547343,0.101954076785,-0.196861134244,-0.0327950844272,0.161579491496,-0.0325153472286,-0.0854838672309,0.0537298661228,0.0282137772118,-0.0299893449746,0.0174353828386,-0.0498663202995,0.133131194713
num_complete,0.15629924761,-0.0990052553555,0.107110092684,-0.00949658563787,-0.116032158027,0.150962601895,-0.115904760213,-0.048956672011,0.168986382343,-0.159768472102,-0.0376521806765,0.130366787773,0.0901277312942,-0.0931690360266,0.0153464840584,-0.127416814726,0.0300907766581
num_incomplete,0.0994664890727,-0.107121263969,-0.241517726172,-0.208369332314,0.0625703598987,-0.061776673696,-0.305840187747,0.0208332140465,0.0722136511637,0.28996081713,-0.163501060941,-0.155574551338,-0.134163448836,0.136237404635,0.0147849737801,0.159941981833,0.323753777886
complete_rate,0.150677257845,-0.0997914557407,0.140592408276,-0.0663166930263,0.0552463408486,0.0813072379754,0.117066110284,-0.0100758888147,0.137560224905,-0.267948602894,0.0512908214667,0.162062303646,0.16434641874,0.0187380860927,-0.0958223770112,-0.217560593595,0.196113174391
incomplete_rate,0.0521066139509,-0.0925665856639,-0.250478681869,-0.259563022377,0.331570394173,-0.224908749937,-0.0663013959824,0.0903280311496,-0.0495781796052,0.327134102132,-0.210786852242,-0.127041378594,-0.159385643999,-0.0169054341755,0.0589233945381,-0.0831099699497,-0.291183397004
watched_time_hour,0.122513508819,-0.153764655845,0.0277601735515,-0.126338116393,0.182458497368,-0.0611218238543,0.105551462396,0.0549375988408,0.0694503546168,-0.117971156541,0.100969501018,-0.12661225313,0.258198779729,-0.599100961535,-0.0944082109085,0.579660884693,-0.133737867501
watched_time_weekday,0.0971553893534,-0.101124552558,-0.0286687412066,-0.269225483586,0.289811294305,0.0924887934142,0.0916019965837,0.273009621804,0.209890212727,0.0913754662885,0.116020343297,0.298914944687,0.188076219987,0.100842964509,-0.217954631311,-0.155214116558,-0.178105577419
seek_video_sum,0.158957494664,-0.0318106846029,-0.0541837519202,-0.118472583063,-0.184595313981,0.00665162606768,-0.166499282955,-0.0147206072053,0.146256420808,0.0303090131191,-0.0188189884193,0.00587680277087,-0.0479131146893,-0.0743124159042,0.0502121756518,0.0660025086381,0.301425976545
seek_video_avg,0.150366429832,-0.0180067982726,-0.10800520953,-0.206774424031,0.00802947951173,-0.123511138117,0.051157527562,-0.00591966495103,0.0241827285534,-0.0102632478396,0.044690597265,-0.0242368790674,-0.0749001625861,-0.241462961215,0.154675926246,-0.0621031010001,0.358273290247
pause_video_sum,0.162450122659,-0.104310426464,0.000931904126754,-0.0613716262446,-0.0646625589631,0.102057589201,-0.194850597785,-0.0374115606685,0.151449964762,-0.0487609094637,-0.0809057451093,0.11061404574,0.0319243164308,-0.0210965029097,0.000980952283044,-0.0575199713071,0.104564484721
pause_video_avg,0.1500849269,-0.112523910972,-0.0303802159612,-0.167714401422,0.219509937548,-0.0421869446999,0.04685223768,0.0139426872907,0.079787223807,-0.0698363123507,-0.0581576384671,0.128061165247,0.0291951075409,0.00717476429815,-0.0625638298804,-0.233244541116,-0.0426968377106
stop_video_sum,0.13282031927,-0.0789629881586,0.300867121763,-0.021698208125,-0.0778673937244,0.0916006045982,-0.033689196848,0.00307781134647,0.0835020965842,0.0376362497691,-0.0575265072339,-0.222191851374,-0.2371683931,-0.150365620372,0.104493586912,-0.0896586968295,-0.198944826003
stop_video_avg,0.101728173509,-0.0785156476407,0.360220630146,-0.110677814519,0.0624069524743,0.0281320055018,0.213932683614,0.109025978006,0.0550898683268,0.0278228188895,-0.022425309631,-0.271900914234,-0.11559843386,0.249660445843,-0.148247483072,0.114144880544,0.13783321309
video_forward_seek_sum,0.117997839152,0.0951349540902,-0.21870964383,-0.127977216767,-0.270630185011,0.147762632657,0.196483632678,-0.103552494654,0.0599337257456,-0.0413110296151,-0.271741988537,-0.131900376626,0.143997421806,0.0628938698207,-0.113693071794,0.0419167636177,-0.113318954652
video_forward_seek_avg,0.10401982719,0.101775800001,-0.244621012575,-0.160980137852,-0.163600541844,0.0706379735383,0.355312774781,-0.129406626619,-0.103789229254,-0.115813756598,-0.190486166889,-0.223385981292,0.041848831189,-0.113592836472,0.0384370252062,-0.160981937016,0.0178599426153
video_backward_seek_sum,0.138453553702,0.135001960828,-0.00805507921728,-0.0635645586957,-0.274127016806,-0.18531303538,-0.0895298938519,0.152883779376,0.101188510598,0.0950461514689,0.283492615467,-0.018559723001,-0.0310148844758,0.0586069345078,-0.0712912095481,-0.0136931643542,-0.10786755177
video_backward_seek_avg,0.132070692534,0.150969012282,-0.0288041546596,-0.108718268799,-0.183367412451,-0.26782588884,0.0490064095465,0.118438147213,-0.00426692531187,0.0304285281797,0.43102123178,-0.0103509076559,-0.0511454160312,-0.0276197502967,-0.0541070877855,-0.0373043270124,0.0273703697611
video_pause_forward_seek_sum,0.155398212457,0.127940982881,0.0470059745382,0.155626886991,0.113772986536,0.023637655152,-0.106112139048,0.0299979892486,0.0577934249605,-0.0430200836343,-0.02165625887,0.16151005345,-0.137871941584,0.0772779330578,0.051936672361,0.245840518642,-0.0507026476334
video_pause_forward_seek_avg,0.145814784691,0.149963797176,0.038634362,0.107399159924,0.236995334383,-0.0391751743954,0.0698228463497,-0.0169819332347,0.0307858684746,-0.0813726549417,0.0131867977001,0.210261136573,-0.274067490232,0.0473889946545,0.144447124826,0.109788920354,0.019508814304
video_pause_backward_seek_sum,0.132321813201,0.117665324195,0.114160590986,0.198578900823,0.158876688032,0.0995510688453,-0.186518128457,-0.0961279138938,-0.141976787276,0.184285204932,-0.0918344567416,-0.186758639458,0.267273946103,-0.0957990993099,-0.122795078473,-0.140855385655,0.0621467054718
video_pause_backward_seek_avg,0.12691318667,0.129991233307,0.105342750611,0.183838931232,0.250237002293,0.0602640452233,-0.065821068719,-0.141502777545,-0.19647608161,0.179594979698,-0.0666266748369,-0.17357601264,0.283463670704,-0.1308213469,-0.0811554771523,-0.223107272146,0.131691381791
video_stop_backward_seek_sum,0.106306529609,-0.0626462799067,0.243897937234,-0.133947829701,-0.258089814262,-0.149355106689,-0.0449067631626,-0.0585432737517,-0.181081785474,0.148278553446,-0.196704813679,0.332048934059,-0.0761537861489,-0.231718695258,0.156196467435,-0.182370468861,-0.269487019076
