,comp 1,comp 2,comp 3,comp 4,comp 5,comp 6,comp 7,comp 8,comp 9,comp 10,comp 11,comp 12,comp 13,comp 14
active_num_days,0.222694546,0.022666415,-0.019393926,0.587443596,-0.199989234,0.186915348,0.196089224,-0.355332753,-0.112321488,0.283669958,0.432882714,-0.258704458,-0.12345995,-0.031417359
active_sum_count,0.265612604,0.095762164,0.071696604,0.097954959,0.155977406,0.059929228,-0.165611145,-0.088310695,-0.129110753,0.527144389,-0.165460731,0.564521419,0.384861194,-0.220787664
video_num_days,0.234883391,0.06265791,-0.082616879,0.511142617,-0.187795698,0.194809532,0.015034397,-0.004845478,0.120728051,-0.480035657,-0.583572668,0.091244968,0.057829328,-0.011156172
num_watched,0.257164683,0.17429866,-0.064369654,0.008645586,-0.17672285,-0.129392774,-0.32115631,0.155457076,0.037131952,0.046808445,0.136252331,-0.025994749,0.034801931,0.451487525
num_complete,0.251372311,0.173413276,-0.155412815,-0.11172573,-0.084540336,-0.11773868,-0.278967914,0.142757155,0.131443483,0.032208681,-0.026816389,-0.53901646,0.236250608,-0.619279266
seek_video_sum,0.243715756,0.206279772,0.14832748,-0.050936689,-0.241616882,-0.084877987,-0.036054241,0.297237643,-0.149838653,-0.045691941,0.092723926,0.334320169,-0.680932691,-0.323043369
pause_video_sum,0.260033586,0.166038799,-0.028484623,0.029734722,-0.128734569,-0.083185849,-0.342768354,0.195726564,0.055852311,0.028612531,0.111835073,-0.032098463,0.102407236,0.442642405
stop_video_sum,0.188652531,0.214897678,-0.496835678,-0.215153756,0.053148613,-0.042058651,0.222214895,-0.204208089,0.005558261,-0.0592174,0.023489939,0.101197644,-0.055280927,0.038868417
video_sum_count,0.237546624,0.193957328,0.277721028,-0.096994286,0.281687152,0.142376599,0.051212929,-0.095734314,-0.038577727,-0.112287478,-0.021169919,-0.065004513,0.052416244,0.107696577
video_forward_seek_sum,0.164692999,0.168732025,0.52381432,-0.24299029,-0.182114589,-0.261532321,-0.007645803,-0.608175313,0.19037296,-0.167906261,-0.031888837,-0.005648018,0.017706694,-0.009796992
video_backward_seek_sum,0.196314674,0.223179936,0.273237194,-0.163435198,-0.121205957,0.185752418,0.644608209,0.421776271,-0.05135259,0.139123292,-0.081586138,-0.1676901,0.216674895,0.104435462
video_pause_sum,0.216824132,0.118756897,0.081104949,0.020945498,0.703152847,0.344863631,-0.173867341,0.010824625,-0.027608839,-0.169026493,0.109025457,-0.132374311,-0.220582053,5.90E-05
video_stop_sum,0.186457049,0.21014042,-0.504748152,-0.219908666,0.033209213,-0.049507214,0.24333164,-0.222502099,0.009082368,-0.045473466,0.001304639,0.105153916,-0.026668695,0.043098343
homework_num,0.223439421,-0.325419478,-0.004869324,-0.11966092,-0.070675575,0.056290804,-0.009491705,-0.010004624,-0.201059022,-0.13470387,0.07369471,0.018529346,0.081843983,-0.015404393
homework_complete_num,0.223439421,-0.325419478,-0.004869324,-0.11966092,-0.070675575,0.056290804,-0.009491705,-0.010004624,-0.201059022,-0.13470387,0.07369471,0.018529346,0.081843983,-0.015404393
first_three_week_homework_complete_num,0.223439421,-0.325419478,-0.004869324,-0.11966092,-0.070675575,0.056290804,-0.009491705,-0.010004624,-0.201059022,-0.13470387,0.07369471,0.018529346,0.081843983,-0.015404393
last_three_week_homework_complete_num,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Problem_num_day,0.208137424,-0.316434491,-0.005644893,-0.038528699,0.01119449,0.164466903,0.098291431,0.107932097,0.841474883,0.061386681,0.218352288,0.196313851,-0.03429674,-0.054874594
Cumulative_num_days,0.223439421,-0.325419478,-0.004869324,-0.11966092,-0.070675575,0.056290804,-0.009491705,-0.010004624,-0.201059022,-0.13470387,0.07369471,0.018529346,0.081843983,-0.015404393
repeat_num,0,0,0,0,0,0,0,0,0,0,0,0,0,0
exam_mean,0.193104535,-0.135326375,0.037209146,0.329155071,0.370892947,-0.764625208,0.258933543,0.157392949,-0.002610635,-0.104358768,0.071801547,0.018133965,0.063413525,-0.014794203
hw_mean,0.220405837,-0.305678948,-0.025967483,-0.103230871,0.062096164,-0.089947885,-0.007258567,-0.098110772,0.02971903,0.472800885,-0.556031835,-0.301010182,-0.409498768,0.17987604
Regression P>|t|,0,0,0.126,0,0,0,0,0.971,0.142,0.056,0.118,0,0.276,0.067
