username,active_num_days,active_avg_count,active_sum_count,problem_num_days,problem_avg_count,problem_sum_count,video_num_days,video_avg_count,video_sum_count,forum_num_days,forum_avg_count,forum_sum_count,num_watched,num_complete,num_incomplete,complete_rate,incomplete_rate,watched_time_hour,watched_time_weekday,seek_video_sum,seek_video_avg,pause_video_sum,pause_video_avg,stop_video_sum,stop_video_avg,video_forward_seek_sum,video_forward_seek_avg,video_backward_seek_sum,video_backward_seek_avg,video_pause_forward_seek_sum,video_pause_forward_seek_avg,video_pause_backward_seek_sum,video_pause_backward_seek_avg,video_stop_backward_seek_sum,video_stop_backward_seek_avg,all_type_video_forward_seek_sum,all_type_video_forward_seek_avg,all_type_video_backward_seek_sum,all_type_video_backward_seek_avg,all_type_video_seek_sum,all_type_video_seek_avg,video_pause_sum,video_pause_avg,video_stop_sum,video_stop_avg,video_play_sum,video_play_avg,video_events_sum,video_events_avg,mt_practice_sum,mt_unit_sum,mt_online_num_day,mt_online_practice_num_day,hw_mean,qz_mean,final_score
Y1050167,1.166666667,142.0277778,311,0.666666667,35.41666667,39.83333333,0.833333333,9,13,0,0,0,4,2,2,0.27483165,0.22516835,3.213253956,2.333333333,1.333333333,0.16456229,3.5,0.444444445,0.5,0.101851852,0.833333333,0.112373737,0.666666667,0.097222222,3.833333333,0.534511785,0.5,0.0753367,0.166666667,0.041666667,4.666666667,0.646885522,1.333333333,0.214225589,6,0.861111111,7.166666667,0.937289562,0.5,0.101851852,10,1.361111111,23.66666667,3.261363636,0.666666667,0.5,0.833333333,0.5,1.294117647,47.66666667,30
Y1050168,1,59.58333333,158.8333333,0.666666667,5.583333333,10.16666667,0.666666667,4.666666667,13.33333333,0,0,0,1.833333333,1.333333333,0.5,0.148148148,0.185185185,3.626316996,1.5,1,0.111111111,1.333333333,0.277777778,0.833333333,0.092592593,4.166666667,0.462962963,2.5,0.277777778,1.333333333,0.148148148,1.333333333,0.148148148,0.666666667,0.074074074,5.5,0.611111111,4.5,0.5,10,1.111111111,4,0.574074074,1,0.111111111,11.83333333,1.444444445,26.83333333,3.24074074,0.666666667,0.666666667,0.166666667,0.666666667,1.029411765,11.33333333,10
Y1050170,1.333333333,150.3472222,355.1666667,0.833333333,21.83333333,30.16666667,1,18.95833333,32.33333333,0,0,0,5.166666667,4.666666667,0.5,0.438492064,0.061507937,3.105629501,2.666666667,2.166666667,0.21031746,5,0.486111111,1,0.093253968,1,0.083333333,2.666666667,0.271825397,17.33333333,1.583333333,3.166666667,0.293650794,0,0,18.33333333,1.666666667,5.833333333,0.565476191,24.16666667,2.232142857,24.5,2.259920635,1,0.093253968,29.33333333,2.732142857,79,7.317460317,1.333333333,1.166666667,0.833333333,1.166666667,3.326470588,0,10
Y1050171,2.833333333,161.7138889,491,2.166666667,25.38888889,65,2.333333333,7.819444445,21,0,0,0,8.166666667,8,0.166666667,0.80952381,0.023809524,5.68261827,1.5,0.833333333,0.080176768,7.5,0.766594517,1.833333333,0.187590188,0.5,0.051136364,1,0.095328283,7.166666667,0.756132756,1.833333333,0.191107504,0,0,7.666666667,0.80726912,2.833333333,0.286435787,10.5,1.093704906,15.16666667,1.57783189,1.833333333,0.187590188,18.66666667,1.92703824,46.16666667,4.786165224,0.333333333,0.333333333,0.166666667,0.333333333,0.529411765,13,10
Y1050172,0.5,157.5,157.5,0.166666667,7.666666667,7.666666667,0.333333333,24.5,24.5,0,0,0,1.5,1.333333333,0.166666667,0.166666667,0.166666667,2.080798553,0.5,1,0.125,1.333333333,0.3125,0.333333333,0.041666667,2.166666667,0.270833333,1.5,0.1875,17.83333333,5,0.666666667,0.083333333,0.166666667,0.020833333,20,5.270833333,2.333333333,0.291666667,22.33333333,5.5625,19.66666667,5.375,0.333333333,0.041666667,23.83333333,5.895833333,66.16666667,16.875,0.333333333,0.333333333,0.166666667,0.333333333,0,15.5,10
Y1050173,3,226.2555556,554.8333333,2,20.83333333,45.66666667,1.666666667,34.52777778,50.83333333,0,0,0,5.666666667,3.666666667,2,0.480555556,0.352777778,7.244952281,2.5,3.166666667,0.447222222,5.5,0.819444445,1.166666667,0.211111111,7.5,0.975,4.833333333,0.530555556,23.66666667,4.044444445,4,0.775,0.166666667,0.055555556,31.16666667,5.019444445,9,1.361111111,40.16666667,6.380555556,32,5.466666667,1.166666667,0.211111111,45.83333333,7.213888889,119.1666667,19.27222222,0.833333333,0.833333333,0.333333333,0.833333333,1.058823529,87.16666667,70
Y1050174,5.166666667,117.8809524,613.3333333,3.333333333,21.23611111,73.33333333,1,11.75,20.33333333,0,0,0,3,2.166666667,0.833333333,0.411111111,0.255555556,5.69172846,2,1,0.311111111,2.833333333,0.5,0.5,0.107407407,4.5,0.603703704,0.833333333,0.12962963,10.16666667,1.803703704,1.166666667,0.166666667,0,0,14.66666667,2.407407407,2,0.296296296,16.66666667,2.703703704,13.66666667,2.362962963,0.5,0.107407407,19.66666667,3.37037037,50.5,8.544444445,5.666666667,2.833333333,1.833333333,3.666666667,6.71,83.33333333,80
Y1050175,2.666666667,177.8472222,575.6666667,2.5,18.26388889,54,2.666666667,12.09722222,40,0,0,0,8.666666667,5.833333333,2.833333333,0.536556036,0.296777297,11.86364906,1.333333333,4.333333333,0.453403078,7.5,0.701058201,1,0.088504089,3.333333333,0.321849447,4.5,0.45995671,14.33333333,1.328342953,4.833333333,0.412578163,0.166666667,0.011904762,17.66666667,1.6501924,9.5,0.884439635,27.16666667,2.534632035,25.5,2.325817701,1,0.088504089,35.83333333,3.367965368,89.5,8.316919192,0.5,0.333333333,0.333333333,0.333333333,0.529411765,37.16666667,30
Y1050176,4.333333333,233.0916667,993.1666667,3,28.11111111,85.16666667,3.833333333,24.43888889,89.16666667,0,0,0,10,8.666666667,1.333333333,0.837606838,0.162393163,10.53130432,1.166666667,6.166666667,0.581131831,10,1,0,0,25.5,2.519295519,9.666666667,0.918172106,31.16666667,3.180911681,5.5,0.615821679,0,0,56.66666667,5.7002072,15.16666667,1.533993784,71.83333333,7.234200984,46,4.743120306,0,0,81.83333333,8.234200984,199.6666667,20.21152227,14.16666667,3,2,3.666666667,9.484705882,81,90
Y1050177,2.333333333,302.3472222,738.3333333,1,45.41666667,62.66666667,1.166666667,41,64,0,0,0,5.166666667,2.5,2.666666667,0.282142857,0.38452381,7.771230455,1.833333333,5,0.642857143,4.166666667,0.538095238,0.333333333,0.058333333,18,2.310714286,19.5,2.167857143,5.5,0.614285714,5.333333333,0.533333333,0.333333333,0.058333333,23.5,2.925,25.16666667,2.75952381,48.66666667,5.68452381,13,1.478571429,0.333333333,0.058333333,53.83333333,6.351190476,115.8333333,13.57261905,1.333333333,0.833333333,0.333333333,0.833333333,1.058823529,28.83333333,20
