username,qz_mean,final_score
Y1050167,-0.07776391464750895,30
Y1050168,-1.3213860575566683,10
Y1050170,-1.7093048909393915,10
Y1050171,-1.2643391701636308,10
Y1050172,-1.1787688392452154,10
Y1050173,1.274247313863456,70
Y1050174,1.1430394728936981,80
Y1050175,-0.4371593045048541,30
Y1050176,1.0631738308172707,90
Y1050177,-0.7223937411277599,20
Y1050178,-0.59689058899999,20
Y1050179,1.5880051936694588,95
Y1050180,0.04773923713797971,40
Y1050182,1.3427035785981885,90
Y1050184,-1.064675064801422,10
Y1050185,1.3940457771492376,99
Y1050186,1.1601535390773812,85
Y1050188,0.17324238926574947,45
Y1050189,1.428273909516604,91
Y1050190,1.3312942009142121,90
Y1050191,-0.28313270885170616,40
Y1050192,0.5782752888321558,70
Y1050193,-0.8250781382298585,20
Y1050194,-0.8536015817552366,20
Y1050195,0.10478612453101707,40
Y1050197,1.0460597646335876,80
Y1050199,-0.5113202580815746,30
Y1050200,-0.7623265619948328,30
Y1050201,0.5497518453067777,68
Y1050202,0.9148519240061108,75
Y1050204,1.3369988897562004,90
Y1050205,1.2286098038121136,88
Y1050206,1.2229051153124066,70
Y1050208,0.5440471564647896,70
Y1050209,1.0802878970009537,85
Y1050211,-0.5512530792909288,40
Y1050214,-0.950581290015347,20
Y1050219,-0.5455483904489408,20
Y1050221,1.0460597646335876,80
Y1050223,-0.8650109590969315,20
Y1050224,1.2400191814960897,68
Y1050225,0.7323018844853038,75
Y1050226,0.3729064946279586,40
Y1050227,-1.0931985083267999,10
Y1050228,0.5611612226484727,66
Y1050229,1.7135083457972284,99
Y1050231,-1.4811173418122074,10
Y1050234,-1.5096407854744982,10
Y1050235,-1.452593898184145,10
Y1050236,-1.1673594619035204,20
Y1050238,0.6239127988834982,40
Y1050239,-1.4811173418122074,10
Y1050240,-1.5381642291025606,10
Y1050241,-0.6653468537347225,20
Y1050242,-0.739507807311443,20
Y1050246,-0.9962188000666895,30
Y1050247,-0.6425280987090511,30
Y1050248,-0.5398437016069526,30
Y1050249,-0.3801124174540978,30
Y1050250,-1.7093048909393915,10
Y1050253,-1.1673594619035204,10
Y1050254,-0.8364875155715534,20
Y1050255,0.22458458781679877,40
Y1050256,-0.2888373976936942,30
Y1050257,0.5155237129394115,40
Y1050258,-1.3385001237403513,10
Y1050259,1.3427035785981885,80
Y1050261,1.103106652026625,82
Y1050262,0.9148519240061108,50
Y1050264,0.7494159506689868,40
Y1050266,0.7779393945366461,40
Y1050267,0.042034548638272745,30
Y1050270,-0.072059226147802,40
Y1050273,-0.48850150305590334,40
Y9999986,0.7893487718783411,58
Y9999993,0.8064628380620242,49
