evaluation_num,score,num_of_same,num_of_positive,num_of_negative,posi_error,nega_error,max_posi_error,min_nega_error,mean_posi_error_rate,mean_nega_error_rate,max_posi_error_rate,min_naga_error_rate
1,0 to 10,8,1,0,7.0817322805,,7.0817322805,0.0,inf,0.0,inf,0.0
1,10 to 20,0,15,13,9.9585963966,-4.7458423591,18.7277889436,-10.0,0.99585963966,-0.47458423591,1.87277889436,-1.0
1,20 to 30,0,18,3,19.4271175233,-10.306898367,38.5773251903,-27.0,0.971355876164,-0.398678251685,1.92886625951,-1.0
1,30 to 40,0,12,4,15.8652288904,-10.9842337309,29.2999066247,-22.1745564027,0.515839015121,-0.366141124362,0.976663554157,-0.739151880092
1,40 to 50,0,14,4,12.3783307477,-15.7177612227,24.9840299514,-33.8372898188,0.30453367601,-0.388123606379,0.624600748785,-0.84593224547
1,50 to 60,0,2,6,2.55094213645,-5.26402138382,3.5060580009,-10.209767715,0.051018842729,-0.0962063961407,0.070121160018,-0.1890697725
1,60 to 70,0,1,4,22.7313630686,-15.314015666,22.7313630686,-19.9695160078,0.378856051143,-0.230435397596,0.378856051143,-0.293669353056
1,70 to 80,0,0,7,,-16.579595792,0.0,-26.6310936001,0.0,-0.231845683934,0.0,-0.380444194287
1,80 to 90,0,0,8,,-29.4275493253,0.0,-41.00276619,0.0,-0.355533574965,0.0,-0.465940524886
1,90 to 100,0,0,8,,-35.7944587913,0.0,-45.79472297,0.0,-0.385390799782,0.0,-0.462572959293
2,0 to 10,8,1,0,5.97528784036,,5.97528784036,0.0,inf,0.0,inf,0.0
2,10 to 20,0,16,12,9.86946396863,-5.11374863627,20.3135758861,-10.0,0.986946396862,-0.511374863627,2.03135758861,-1.0
2,20 to 30,0,18,3,19.1621950739,-10.9677577234,40.8065237725,-27.0,0.958109753695,-0.431721219503,2.04032618862,-1.0
2,30 to 40,0,12,4,15.6587028753,-10.2590943582,29.2501839563,-21.1607962813,0.50828579595,-0.341969811939,0.975006131877,-0.705359876044
2,40 to 50,0,14,4,12.6727213036,-16.6405304649,25.5184963376,-36.7577338633,0.311494431966,-0.410649727486,0.63796240844,-0.918943346583
2,50 to 60,0,3,5,2.10578126557,-6.45684087528,3.1282449446,-10.4991304743,0.0416287726944,-0.118286151932,0.062564898892,-0.1922355121
