evaluation_num,score,num_of_same,num_of_positive,num_of_negative,posi_error,nega_error,max_posi_error,min_nega_error,mean_posi_error_rate,mean_nega_error_rate,max_posi_error_rate,min_naga_error_rate
1,0 to 10,20,1,0,30.2549103414,,30.2549103414,0.0,inf,0.0,inf,0.0
1,10 to 20,0,41,16,14.9605508519,-5.70950787467,33.9223156173,-10.0,1.49605508519,-0.570950787467,3.39223156173,-1.0
1,20 to 30,0,30,6,15.5138252586,-4.71223673906,34.1768973206,-16.6836595271,0.775691262932,-0.235611836953,1.70884486603,-0.834182976357
1,30 to 40,0,12,3,9.20094809383,-5.324060282,27.7545534804,-11.6139066086,0.306698269794,-0.177468676067,0.92515178268,-0.387130220287
1,40 to 50,0,7,5,8.3584797463,-6.78943009388,20.8025321789,-20.4971495433,0.208961993658,-0.169735752347,0.520063304473,-0.512428738583
1,50 to 60,0,2,12,0.34126622125,-13.1502315481,0.5511455987,-32.5712013216,0.006825324425,-0.252582315738,0.011022911974,-0.603170394844
1,60 to 70,0,0,8,,-22.1345828867,0.0,-36.6934603913,0.0,-0.353220599801,0.0,-0.564514775251
1,70 to 80,0,0,7,,-26.0075830421,0.0,-38.854061521,0.0,-0.357175547967,0.0,-0.518054153613
1,80 to 90,0,0,6,,-28.5621737453,0.0,-48.0480764288,0.0,-0.353344343873,0.0,-0.60060095536
1,90 to 100,0,0,7,,-42.6003602858,0.0,-71.7158504216,0.0,-0.458791655924,0.0,-0.796842782462
2,0 to 10,20,1,0,17.6095495159,,17.6095495159,0.0,inf,0.0,inf,0.0
2,10 to 20,0,40,17,15.2531909503,-5.74355000709,32.3765893294,-10.0,1.52531909503,-0.574355000709,3.23765893294,-1.0
2,20 to 30,0,30,6,16.1981858283,-4.44881040646,35.2658802033,-15.219758954,0.809909291416,-0.222440520323,1.76329401017,-0.760987947698
2,30 to 40,0,10,5,10.2312021612,-4.16727036084,27.801235351,-12.9018303301,0.341040072039,-0.138909012028,0.926707845033,-0.430061011003
2,40 to 50,0,7,5,6.91624707419,-6.12550558208,16.1513129849,-18.0543144196,0.172906176855,-0.153137639552,0.403782824622,-0.45135786049
2,50 to 60,0,1,13,0.9036196804,-12.3114444359,0.9036196804,-29.1366334904,0.018072393608,-0.236341587748,0.018072393608,-0.539567286859
2,60 to 70,0,0,8,,-22.0635732692,0.0,-34.832577243,0.0,-0.352954750547,0.0,-0.535885803738
2,70 to 80,0,0,7,,-25.6877386366,0.0,-41.1549446462,0.0,-0.352522436411,0.0,-0.548732595283
2,80 to 90,0,0,6,,-28.2489162985,0.0,-48.2730578942,0.0,-0.349398558357,0.0,-0.603413223678
2,90 to 100,0,0,7,,-44.2497298968,0.0,-69.328554986,0.0,-0.47617886875,0.0,-0.770317277622
3,0 to 10,20,1,0,8.16754184571,,8.16754184571,0.0,inf,0.0,inf,0.0
3,10 to 20,0,41,16,14.9506628491,-6.87113474514,35.7909839406,-10.0,1.49506628491,-0.687113474514,3.57909839406,-1.0
3,20 to 30,0,31,5,15.5794408609,-5.1346195283,33.716725897,-15.2412925211,0.778972043044,-0.256730976415,1.68583629485,-0.762064626055
3,30 to 40,0,11,4,9.7511922,-5.07269540315,28.4128488195,-12.2850499323,0.32503974,-0.169089846772,0.94709496065,-0.40950166441
3,40 to 50,0,7,5,7.01372381593,-6.37394676422,17.992796653,-17.6075311923,0.175343095398,-0.159348669105,0.449819916325,-0.440188279808
3,50 to 60,0,2,12,1.7249430701,-14.1668787938,3.0766279784,-33.9881014579,0.034498861402,-0.270903901352,0.061532559568,-0.629409286257
3,60 to 70,0,0,8,,-23.1674165446,0.0,-35.7891476828,0.0,-0.370107749935,0.0,-0.550602272043
3,70 to 80,0,0,7,,-25.922196115,0.0,-42.1864209009,0.0,-0.355819594325,0.0,-0.562485612012
3,80 to 90,0,0,6,,-27.9342032432,0.0,-47.7939061615,0.0,-0.346404545807,0.0,-0.597423827019
3,90 to 100,0,0,7,,-43.5285849267,0.0,-72.691931698,0.0,-0.468214875256,0.0,-0.807688129978
4,0 to 10,20,1,0,23.6838194288,,23.6838194288,0.0,inf,0.0,inf,0.0
4,10 to 20,0,39,18,15.722092021,-5.59122029153,35.3412968142,-10.0,1.5722092021,-0.559122029153,3.53412968142,-1.0
4,20 to 30,0,30,6,16.3318344281,-4.55361009825,33.5470326292,-16.4694983509,0.816591721406,-0.227680504913,1.67735163146,-0.823474917546
4,30 to 40,0,10,5,10.3422528854,-4.098071662,27.7021031569,-12.2505373194,0.344741762845,-0.136602388733,0.923403438563,-0.40835124398
4,40 to 50,0,7,5,7.66706312804,-6.67279162244,21.1119804828,-21.9355772433,0.191676578201,-0.166819790561,0.52779951207,-0.548389431082
4,50 to 60,0,1,13,2.7426874601,-12.4899812479,2.7426874601,-33.2064267677,0.054853749202,-0.239071740211,0.054853749202,-0.614933829031
4,60 to 70,0,0,8,,-22.286207106,0.0,-33.5307864116,0.0,-0.356154356863,0.0,-0.515858252486
4,70 to 80,0,0,7,,-25.7608729702,0.0,-41.8988969183,0.0,-0.353741812996,0.0,-0.558651958911
4,80 to 90,0,0,6,,-28.3997743777,0.0,-47.7161374032,0.0,-0.350705775752,0.0,-0.59645171754
4,90 to 100,0,0,7,,-43.6298395012,0.0,-70.8293494212,0.0,-0.469953788288,0.0,-0.786992771347
5,0 to 10,20,1,0,20.6617105294,,20.6617105294,0.0,inf,0.0,inf,0.0
5,10 to 20,0,40,17,15.6793457741,-5.71843197865,35.8891660708,-10.0,1.56793457741,-0.571843197865,3.58891660708,-1.0
5,20 to 30,0,31,5,15.7312351388,-6.11544181433,36.3776005483,-15.201123492,0.786561756941,-0.305772090717,1.81888002742,-0.760056174598
5,30 to 40,0,10,5,10.8398942676,-3.88948722942,28.9465459847,-12.0803886558,0.361329808918,-0.129649574314,0.964884866157,-0.40267962186
5,40 to 50,0,8,4,7.53105935014,-7.7768076562,20.5490081934,-19.9247866515,0.188276483753,-0.194420191405,0.513725204835,-0.498119666287
5,50 to 60,0,0,14,,-11.8186322737,0.0,-32.0567787698,0.0,-0.226519469121,0.0,-0.593644051293
5,60 to 70,0,0,8,,-22.0776296563,0.0,-36.1045106016,0.0,-0.352682258299,0.0,-0.555454009255
5,70 to 80,0,0,7,,-25.9256783838,0.0,-40.7047110876,0.0,-0.356104221096,0.0,-0.542729481168
5,80 to 90,0,0,6,,-27.8037046946,0.0,-47.623921755,0.0,-0.34413075914,0.0,-0.595299021937
5,90 to 100,0,0,7,,-43.2800645492,0.0,-72.5589350578,0.0,-0.466281387672,0.0,-0.806210389531
