evaluation_num,kfold_split_num,label_val_predict,label_val_test,positive_error,negative_error,positive_error_rate,negative_error_rate
1.0,1.0,192.42405692,10.0,3.8716998569,0.0,0.38716998569,0.0
1.0,1.0,6703.35413274,80.0,1.8740137818,0.0,0.0234251722725,0.0
1.0,1.0,1327.70291454,30.0,6.4376579179,0.0,0.214588597263,0.0
1.0,1.0,14.7257778072,10.0,0.0,-6.16258188267,0.0,-0.616258188267
1.0,1.0,163.559394871,10.0,2.7890341649,0.0,0.27890341649,0.0
1.0,1.0,166.170956311,10.0,2.890731411,0.0,0.2890731411,0.0
1.0,1.0,3460.95066236,55.0,3.8298449969,0.0,0.0696335453982,0.0
1.0,1.0,8901.85332149,88.0,6.3496333935,0.0,0.0721549249261,0.0
1.0,1.0,72.6518461859,10.0,0.0,-1.47639476595,0.0,-0.147639476595
1.0,1.0,381.439731148,20.0,0.0,-0.4695178977,0.0,-0.023475894885
1.0,1.0,3991.25739819,70.0,0.0,-6.82360094,0.0,-0.0974800134286
1.0,1.0,115.915903945,10.0,0.7664248451,0.0,0.07664248451,0.0
1.0,1.0,249.308797719,10.0,5.7895154365,0.0,0.57895154365,0.0
1.0,1.0,69.4078630877,10.0,0.0,-1.6688618372,0.0,-0.16688618372
1.0,1.0,71.5006714674,10.0,0.0,-1.54419303275,0.0,-0.154419303275
1.0,1.0,1328.9307678,40.0,0.0,-3.5454972904,0.0,-0.08863743226
1.0,1.0,0.434507739754,10.0,0.0,-9.34082798925,0.0,-0.934082798925
1.0,1.0,0.0,0.0,0.0,0.0,,0.0
1.0,1.0,0.0,0.0,0.0,0.0,,0.0
1.0,2.0,3367.610634,54.0,4.0311178076,0.0,0.0746503297704,0.0
1.0,2.0,0.0,0.0,0.0,0.0,,0.0
1.0,2.0,2076.74783304,40.0,5.5713488174,0.0,0.139283720435,0.0
1.0,2.0,2356.94644056,50.0,0.0,-1.4516072299,0.0,-0.029032144598
1.0,2.0,554.41760143,20.0,3.5460740131,0.0,0.177303700655,0.0
1.0,2.0,4688.21804432,71.0,0.0,-2.5294366584,0.0,-0.0356258684282
1.0,2.0,7312.81774212,90.0,0.0,-4.4849852826,0.0,-0.0498331698067
1.0,2.0,422.21473671,20.0,0.5478645292,0.0,0.02739322646,0.0
1.0,2.0,2838.79896486,60.0,0.0,-6.7196193251,0.0,-0.111993655418
1.0,2.0,1.58647429892,10.0,0.0,-8.74044678599,0.0,-0.874044678599
1.0,2.0,0.0,0.0,0.0,0.0,,0.0
1.0,2.0,454.919916709,20.0,1.3288517438,0.0,0.06644258719,0.0
1.0,2.0,0.0,0.0,0.0,0.0,,0.0
1.0,2.0,48.3313722997,10.0,0.0,-3.04792316644,0.0,-0.304792316644
1.0,2.0,343.508633808,20.0,0.0,-1.4660140874,0.0,-0.07330070437
1.0,2.0,2542.81936863,60.0,0.0,-9.5736242763,0.0,-0.159560404605
1.0,2.0,4677.60282817,63.0,5.393002772,0.0,0.0856032186032,0.0
1.0,2.0,136.618797137,10.0,1.688404388,0.0,0.1688404388,0.0
1.0,2.0,528.246008613,20.0,2.9836030381,0.0,0.149180151905,0.0
1.0,3.0,741.070083786,20.0,7.2226024433,0.0,0.361130122165,0.0
1.0,3.0,21.3407488479,10.0,0.0,-5.38039516323,0.0,-0.538039516323
1.0,3.0,6.55465152096,10.0,0.0,-7.43979463305,0.0,-0.743979463305
1.0,3.0,533.95698898,30.0,0.0,-6.8924906366,0.0,-0.229749687887
1.0,3.0,183.118372252,10.0,3.5321237155,0.0,0.35321237155,0.0
1.0,3.0,202.804975991,10.0,4.2409612032,0.0,0.42409612032,0.0
1.0,3.0,168.793799323,10.0,2.9920667841,0.0,0.29920667841,0.0
1.0,3.0,184.603231442,10.0,3.5868771777,0.0,0.35868771777,0.0
1.0,3.0,727.504083613,20.0,6.9722836188,0.0,0.34861418094,0.0
1.0,3.0,3457.31098829,65.0,0.0,-6.2010970486,0.0,-0.0954014930554
1.0,3.0,693.146522539,20.0,6.3276759806,0.0,0.31638379903,0.0
