username,active_num_days,active_sum_count,video_num_days,num_watched,num_complete,seek_video_sum,pause_video_sum,stop_video_sum,video_sum_count,video_forward_seek_sum,video_backward_seek_sum,video_pause_sum,video_stop_sum,mt_practice_sum,mt_unit_sum,mt_online_num_day,mt_online_practice_num_day,hw_mean,qz_mean,final_score
Y1050160,1.0,822.0,1.0,10.0,6.0,8.0,10.0,0.0,84.0,28.0,12.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,3.0
Y1050161,2.0,656.0,1.0,6.0,1.0,3.0,6.0,0.0,43.0,6.0,5.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,4.0
Y1050162,3.0,1377.0,2.0,13.0,11.0,11.0,13.0,1.0,264.0,39.0,82.0,118.0,1.0,0.0,0.0,0.0,0.0,0.0,85.0,3.0
Y1050163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y1050164,3.0,109.0,3.0,6.0,4.0,1.0,4.0,2.0,12.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y1050165,2.0,141.0,2.0,3.0,1.0,2.0,3.0,1.0,34.0,3.0,1.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y1050166,3.0,288.0,3.0,3.0,0.0,1.0,3.0,0.0,17.0,4.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,2.0
Y1050167,3.0,485.0,2.0,4.0,3.0,1.0,4.0,2.0,23.0,1.0,1.0,9.0,2.0,4.0,3.0,5.0,3.0,7.333333333,90.0,3.0
Y1050168,3.0,789.0,3.0,9.0,8.0,6.0,6.0,5.0,78.0,25.0,15.0,22.0,6.0,4.0,4.0,1.0,4.0,5.833333333,35.0,1.0
Y1050169,3.0,953.0,3.0,11.0,9.0,6.0,10.0,1.0,142.0,61.0,15.0,52.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y1050170,3.0,697.0,1.0,12.0,11.0,4.0,11.0,2.0,54.0,1.0,4.0,43.0,2.0,5.0,4.0,4.0,4.0,9.666666667,0.0,1.0
Y1050171,5.0,691.0,3.0,11.0,11.0,2.0,10.0,2.0,45.0,2.0,3.0,28.0,2.0,2.0,2.0,1.0,2.0,3.0,0.0,1.0
Y1050172,1.0,834.0,1.0,8.0,8.0,6.0,7.0,2.0,127.0,13.0,9.0,98.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,1.0
Y1050173,4.0,681.0,3.0,10.0,8.0,6.0,10.0,1.0,80.0,16.0,11.0,43.0,1.0,3.0,3.0,1.0,3.0,3.333333333,100.0,7.0
Y1050174,5.0,910.0,2.0,9.0,6.0,3.0,9.0,1.0,77.0,23.0,4.0,46.0,1.0,5.0,4.0,1.0,4.0,7.0,100.0,8.0
