username,active_num_days,active_avg_count,active_sum_count,problem_num_days,problem_avg_count,problem_sum_count,video_num_days,video_sum_count,forum_num_days,forum_avg_count,forum_sum_count,num_watched,num_complete,complete_rate,watched_time_hour,seek_video_sum,seek_video_avg,pause_video_sum,pause_video_avg,video_forward_seek_sum,video_backward_seek_sum,video_pause_forward_seek_sum,video_pause_forward_seek_avg,video_pause_backward_seek_sum,video_pause_backward_seek_avg,all_type_video_forward_seek_sum,all_type_video_forward_seek_avg,all_type_video_backward_seek_sum,all_type_video_backward_seek_avg,all_type_video_seek_sum,all_type_video_seek_avg,video_pause_sum,video_pause_avg,video_play_sum,video_play_avg,video_events_sum,video_events_avg,mt_practice_sum,mt_unit_sum,mt_online_practice_num_day,hw_mean,qz_mean,final_score
Y1050160,1,822,822,1,82,82,1,84,0,0,0,10,6,0.6,10.84917531,8,0.8,10,1,28,12,12,1.2,6,0.6,40,4,18,1.8,58,5.8,24,2.4,68,6.8,150,15,0,0,0,0,75,30
Y1050161,2,328,656,2,38.5,77,1,43,0,0,0,6,1,0.166666667,10.85981772,3,0.5,6,1,6,5,13,2.166666667,2,0.333333333,19,3.166666667,7,1.166666667,26,4.333333333,21,3.5,32,5.333333333,79,13.16666667,0,0,0,0,85,40
Y1050162,3,459,1377,2,28,56,2,264,0,0,0,13,11,0.846153846,4.45940118,11,0.846153846,13,1,39,82,82,6.307692308,24,1.846153846,121,9.307692308,107,8.230769231,228,17.53846154,118,9.076923077,241,18.53846154,588,45.23076923,0,0,0,0,85,30
Y1050164,3,36.33333333,109,0,0,0,3,12,0,0,0,6,4,0.666666667,7.430377629,1,0.166666667,4,0.666666667,0,0,1,0.166666667,0,0,1,0.166666667,1,0.166666667,2,0.333333333,5,0.833333333,8,1.333333333,17,2.833333333,0,0,0,0,0,0
Y1050165,2,70.5,141,0,0,0,2,34,0,0,0,3,1,0.333333333,7.498192814,2,0.666666667,3,1,3,1,22,7.333333333,1,0.333333333,25,8.333333333,2,0.666666667,27,9,25,8.333333333,30,10,83,27.66666667,0,0,0,0,0,0
Y1050166,3,96,288,2,5.5,11,3,17,0,0,0,3,0,0,7.578262403,1,0.333333333,3,1,4,0,8,2.666666667,0,0,12,4,0,0,12,4,11,3.666666667,15,5,38,12.66666667,0,0,0,0,85,20
Y1050167,3,161.6666667,485,2,26.5,53,2,23,0,0,0,4,3,0.75,9.706875068,1,0.25,4,1,1,1,6,1.5,1,0.25,7,1.75,3,0.75,10,2.5,9,2.25,14,3.5,35,8.75,4,3,3,7.333333333,90,30
Y1050168,3,263,789,2,27.5,55,3,78,0,0,0,9,8,0.888888889,14.48436201,6,0.666666667,6,0.666666667,25,15,8,0.888888889,8,0.888888889,33,3.666666667,27,3,60,6.666666667,22,2.444444444,69,7.666666667,157,17.44444444,4,4,4,5.833333333,35,10
Y1050169,3,317.6666667,953,2,40,80,3,142,0,0,0,11,9,0.818181818,2.614786922,6,0.545454545,10,0.909090909,61,15,39,3.545454545,4,0.363636364,100,9.090909091,19,1.727272727,119,10.81818182,52,4.727272727,130,11.81818182,302,27.45454545,0,0,0,0,0,0
Y1050170,3,232.3333333,697,1,70,70,1,54,0,0,0,12,11,0.916666667,6.627411596,4,0.333333333,11,0.916666667,1,4,32,2.666666667,1,0.083333333,33,2.75,5,0.416666667,38,3.166666667,43,3.583333333,50,4.166666667,133,11.08333333,5,4,4,9.666666667,0,10
Y1050171,5,138.2,691,2,36.5,73,3,45,0,0,0,11,11,1,10.48697963,2,0.181818182,10,0.909090909,2,3,16,1.454545455,4,0.363636364,18,1.636363636,7,0.636363636,25,2.272727273,28,2.545454545,36,3.272727273,91,8.272727273,2,2,2,3,0,10
Y1050172,1,834,834,1,46,46,1,127,0,0,0,8,8,1,3.29653254,6,0.75,7,0.875,13,9,88,11,4,0.5,101,12.625,14,1.75,115,14.375,98,12.25,123,15.375,338,42.25,2,2,2,0,0,10
Y1050173,4,170.25,681,3,18.33333333,55,3,80,0,0,0,10,8,0.8,10.15556932,6,0.6,10,1,16,11,31,3.1,4,0.4,47,4.7,15,1.5,62,6.2,43,4.3,72,7.2,178,17.8,3,3,3,3.333333333,100,70
Y1050174,5,182,910,4,18.75,75,2,77,0,0,0,9,6,0.666666667,13.20143725,3,0.333333333,9,1,23,4,32,3.555555556,6,0.666666667,55,6.111111111,10,1.111111111,65,7.222222222,46,5.111111111,74,8.222222222,186,20.66666667,5,4,4,7,100,80
Y1050175,3,220.6666667,662,3,19.66666667,59,3,38,0,0,0,12,10,0.833333333,11.97849931,3,0.25,10,0.833333333,3,2,11,0.916666667,6,0.5,14,1.166666667,8,0.666666667,22,1.833333333,25,2.083333333,34,2.833333333,83,6.916666667,0,0,0,0,40,30
Y1050176,5,144.8,724,2,26.5,53,5,86,0,0,0,8,8,1,10.7323966,4,0.5,8,1,8,15,40,5,9,1.125,48,6,24,3,72,9,57,7.125,80,10,209,26.125,30,4,6,10,80,90
Y1050177,2,440.5,881,2,48.5,97,2,48,0,0,0,7,1,0.142857143,12.97423287,6,0.857142857,3,0.428571429,5,20,2,0.285714286,0,0,7,1,20,2.857142857,27,3.857142857,4,0.571428571,34,4.857142857,65,9.285714286,7,4,4,6,95,20
Y1050178,1,517,517,1,41,41,1,81,0,0,0,10,5,0.5,7.515983928,9,0.9,8,0.8,36,9,11,1.1,3,0.3,47,4.7,12,1.2,59,5.9,18,1.8,69,6.9,147,14.7,2,2,2,1.75,95,20
Y1050179,6,446.3333333,2678,5,30.2,151,5,527,0,0,0,19,18,0.947368421,13.12791555,16,0.842105263,18,0.947368421,240,93,87,4.578947368,29,1.526315789,327,17.21052632,125,6.578947368,452,23.78947368,127,6.684210526,471,24.78947368,1056,55.57894737,4,2,4,8.166666667,78,95
Y1050180,3,205,615,2,23,46,3,57,0,0,0,10,8,0.8,11.42402483,3,0.3,9,0.9,4,8,11,1.1,3,0.3,15,1.5,12,1.2,27,2.7,21,2.1,37,3.7,87,8.7,2,2,2,2,90,40
Y1050181,5,101.4,507,4,21,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,20
