username,active_num_days,active_avg_count,active_sum_count,problem_num_days,problem_avg_count,problem_sum_count,video_num_days,video_avg_count,video_sum_count,forum_num_days,forum_avg_count,forum_sum_count,num_watched,num_complete,complete_rate,watched_time_hour,seek_video_sum,seek_video_avg,pause_video_sum,pause_video_avg,stop_video_sum,video_forward_seek_sum,video_forward_seek_avg,video_pause_forward_seek_sum,video_pause_forward_seek_avg,video_pause_backward_seek_sum,video_pause_backward_seek_avg,all_type_video_forward_seek_sum,all_type_video_forward_seek_avg,all_type_video_backward_seek_sum,all_type_video_seek_sum,all_type_video_seek_avg,video_pause_sum,video_pause_avg,video_stop_sum,video_play_sum,video_play_avg,video_events_sum,video_events_avg,mt_practice_sum,mt_unit_sum,mt_online_practice_num_day,hw_mean,qz_mean,indicator,final_score
Y1050160,2,464,570,2,45.16666667,53.5,2,46.16666667,54.5,0,0,0,7,3,0.3,12.25904451,5.5,0.775,7,1,0,17,2.15,6,0.6,5.5,0.925,23,2.75,13,36,4.65,16.5,2.325,0,43,5.65,95.5,12.625,0,0,0,0,77.5,0,30
Y1050161,1.5,279.5,443.5,1.5,38.75,58,0.5,21.5,21.5,0,0,0,3,0.5,0.083333334,5.42990886,1.5,0.25,3,0.5,0,3,0.5,6.5,1.083333334,1,0.166666667,9.5,1.583333334,3.5,13,2.166666667,10.5,1.75,0,16,2.666666667,39.5,6.583333335,0,0,0,0,82.5,0,40
Y1050162,3,545.8333334,1637.5,2.5,24.33333334,59,2.5,147.6666667,377,0,0,0,12.5,10.5,0.83974359,9.97844171,11,0.881410256,12.5,1,0.5,58,4.708333334,109,8.820512819,40,3.256410256,167,13.52884615,168,335,27.18589744,160.5,12.99679487,0.5,347.5,28.18589744,843.5,68.40705128,0,0,0,0,50,0,30
Y1050164,1.5,18.16666667,54.5,0,0,0,1.5,2,6,0,0,0,3,2,0.333333334,3.715188815,0.5,0.083333334,2,0.333333334,1,0,0,0.5,0.083333334,0,0,0.5,0.083333334,0.5,1,0.166666667,2.5,0.416666667,1,4,0.666666667,8.5,1.416666667,0,0,0,0,0,0,0
Y1050165,1.5,37.25,72.5,0,0,0,1,8.5,17,0,0,0,1.5,0.5,0.166666667,3.749096407,1,0.333333334,1.5,0.5,0.5,1.5,0.5,11,3.666666667,0.5,0.166666667,12.5,4.166666666,1,13.5,4.5,12.5,4.166666666,0.5,15,5,41.5,13.83333334,0,0,0,0,0,0,0
Y1050166,2.5,53.25,154.5,1.5,3.25,6,1.5,2.833333334,8.5,0,0,0,1.5,0,0,3.789131202,0.5,0.166666667,1.5,0.5,0,2,0.666666667,4,1.333333334,0,0,6,2,0,6,2,5.5,1.833333334,0,7.5,2.5,19,6.333333335,0,0,0,0,82.5,0,20
Y1050167,2.5,260.8333334,602.5,1.5,60.25,73.5,1.5,20.75,26.5,0,0,0,7.5,4,0.602272727,7.874064023,1.5,0.215909091,7.5,1,1,1,0.170454546,7.5,1.159090909,1,0.170454546,8.5,1.329545455,2,10.5,1.75,14.5,2.034090909,1,18,2.75,44,6.784090909,2,1.5,1.5,3.666666667,95,0,30
Y1050168,2.5,166.25,464,1.5,15.75,29.5,2,14,40,0,0,0,5.5,4,0.444444445,10.87895099,3,0.333333334,4,0.833333333,2.5,12.5,1.388888889,4,0.444444445,4,0.444444445,16.5,1.833333334,13.5,30,3.333333334,12,1.722222222,3,35.5,4.333333334,80.5,9.72222222,2,2,2,2.916666667,30,0,10
Y1050169,3,328,984,2.5,33.5,80.5,3,49.66666667,149,0,0,0,11,5.5,0.5,1.535665126,6,0.545454545,10.5,0.954545455,0.5,53,4.818181818,45,4.090909091,8,0.727272728,98,8.909090909,29.5,127.5,11.59090909,62.5,5.681818182,0.5,138.5,12.59090909,329,29.90909091,0,0,0,0,0,0,0
Y1050170,3.5,243.5416667,858,2,47.5,72.5,2.5,40.375,80.5,0,0,0,12,11.5,0.958333334,9.155215468,5,0.416666667,11.5,0.958333334,2.5,3,0.25,45,3.75,8,0.666666667,48,4,13.5,61.5,5.125,62.5,5.208333333,2.5,73.5,6.125,200,16.66666667,4,3.5,3.5,9.425,0,0,10
Y1050171,4.5,162.975,721,3,31.25,88.5,3.5,9.875,32,0,0,0,11,11,1,6.783263569,1.5,0.136363637,10.5,0.954545455,2,1,0.090909091,9.5,0.863636364,3,0.272727273,10.5,0.954545455,5,15.5,1.409090909,21,1.909090909,2,26.5,2.409090909,65,5.909090909,1,1,1,1.5,0,0,10
Y1050172,1,422.5,422.5,0.5,23,23,0.5,63.5,63.5,0,0,0,4,4,0.5,1.64826627,3,0.375,3.5,0.4375,1,6.5,0.8125,44,5.5,2,0.25,50.5,6.3125,7,57.5,7.1875,49,6.125,1,61.5,7.6875,169,21.125,1,1,1,0,22.5,0,10
Y1050173,4,165,660,3,17.5,52.5,3,21.33333334,64,0,0,0,8,5,0.566666667,9.31456028,4.5,0.55,8,1,1.5,10,1.133333334,28.5,3.716666666,4,0.533333334,38.5,4.85,11.5,50,6.266666667,38.5,4.983333334,1.5,58,7.266666667,148,18.73333334,1.5,1.5,1.5,1.666666667,90,1,70
Y1050174,4.5,202.75,902,4,20.75,83,2,25.75,51.5,0,0,0,7,5,0.733333334,12.71834455,2,0.266666667,7,1,1,12.5,1.477777778,25,3.577777778,3,0.333333334,37.5,5.055555556,5,42.5,5.611111111,34,4.755555556,1,49.5,6.611111111,127,17.13333334,4,3.5,3.5,7.345,100,1,80
Y1050175,3,227.8333334,683.5,3,20.83333334,62.5,3,10.66666667,32,0,0,0,9,6.5,0.666666667,13.56709088,4.5,0.625,7,0.75,1,2.5,0.291666667,11,1.375,3,0.25,13.5,1.666666667,7,20.5,2.5,19.5,2.208333333,1,29.5,3.5,70.5,8.291666667,0,0,0,0,35,0,30
Y1050176,4.5,189.4,830,2.5,25.25,62.5,4,26.76666667,97.5,0,0,0,8.5,8.5,1,10.36104779,4.5,0.527777778,8.5,1,0,24,2.722222222,35.5,4.222222222,7.5,0.895833333,59.5,6.944444444,16.5,76,8.944444445,51.5,6.118055556,0,84.5,9.944444445,212,25.00694445,19.5,3.5,5,9.706666667,80,1,90
Y1050177,3,411.625,1206,2,51.75,103.5,2.5,40.5,109.5,0,0,0,8.5,4,0.421428571,10.96486911,8,0.928571429,6,0.664285715,0,20.5,2.157142857,13,1.342857143,11.5,1.15,33.5,3.5,47,80.5,8.628571429,27,2.785714286,0,89,9.628571429,196.5,21.04285714,4,2.5,2.5,3,65,0,20
