username,active_num_days,active_avg_count,active_sum_count,problem_num_days,problem_avg_count,problem_sum_count,video_num_days,video_avg_count,video_sum_count,forum_num_days,forum_avg_count,forum_sum_count,num_watched,num_complete,num_incomplete,complete_rate,watched_time_hour,seek_video_sum,seek_video_avg,pause_video_sum,pause_video_avg,stop_video_sum,video_forward_seek_sum,video_forward_seek_avg,video_backward_seek_sum,video_pause_forward_seek_sum,video_pause_forward_seek_avg,video_pause_backward_seek_sum,video_pause_backward_seek_avg,video_stop_backward_seek_sum,all_type_video_forward_seek_sum,all_type_video_forward_seek_avg,all_type_video_backward_seek_sum,all_type_video_backward_seek_avg,all_type_video_seek_sum,all_type_video_seek_avg,video_pause_sum,video_pause_avg,video_stop_sum,video_play_sum,video_play_avg,video_events_sum,video_events_avg,mt_practice_sum,mt_unit_sum,mt_online_practice_num_day,hw_mean,qz_mean,final_score
Y1050160,2,371.3333333,504,2,35.94444444,47.33333333,2,37.61111111,50,0,0,0,5.333333333,2,3.333333333,0.2,9.128648565,4.333333333,0.85,5.333333333,1,0,15.66666667,3.6,7.333333333,9.666666667,3.233333333,3.666666667,0.616666667,0,25.33333333,6.833333333,11,2.433333333,36.33333333,9.266666667,17.33333333,4.716666667,0,41.66666667,10.26666667,95.33333333,24.25,0,0,0,0,77.5,30
Y1050161,1.666666667,186.6666667,296.3333333,1,25.83333333,38.66666667,0.333333333,14.33333333,14.33333333,0,0,0,2,0.333333333,1.666666667,0.055555556,3.61993924,1,0.166666667,2,0.333333333,0,2,0.333333333,1.666666667,4.333333333,0.722222222,0.666666667,0.111111111,0,6.333333333,1.055555556,2.333333333,0.388888889,8.666666667,1.444444444,7,1.166666667,0,10.66666667,1.777777778,26.33333333,4.38888889,0,0,0,0,82.5,40
Y1050162,3,553.5555556,1660.666667,2.666666667,24.88888889,65.33333333,2.666666667,137.2222222,367.6666667,0,0,0,13.33333333,11,2.333333333,0.826495726,10.68289063,12,0.898717949,13,0.977777778,0.333333333,63,4.761111111,111,118.6666667,8.947008546,36,2.793162393,0.333333333,181.6666667,13.70811966,147.3333333,11.46025641,329,25.16837607,167,12.66452992,0.333333333,342.3333333,26.16837607,838.6666667,64.02692308,0,0,0,0,50,30
Y1050164,1,12.11111111,36.33333333,0,0,0,1,1.333333333,4,0,0,0,2,1.333333333,0.666666667,0.222222222,2.476792543,0.333333333,0.055555556,1.333333333,0.222222222,0.666666667,0,0,0,0.333333333,0.055555556,0,0,0.333333333,0.333333333,0.055555556,0.333333333,0.055555556,0.666666667,0.111111111,1.666666667,0.277777778,0.666666667,2.666666667,0.444444444,5.666666667,0.944444444,0,0,0,0,0,0
Y1050165,1,24.83333333,48.33333333,0,0,0,0.666666667,5.666666667,11.33333333,0,0,0,1,0.333333333,0.666666667,0.111111111,2.499397605,0.666666667,0.222222222,1,0.333333333,0.333333333,1,0.333333333,0.333333333,7.333333333,2.444444444,0.333333333,0.111111111,0,8.333333333,2.777777778,0.666666667,0.222222222,9,3,8.333333333,2.777777778,0.333333333,10,3.333333333,27.66666667,9.222222223,0,0,0,0,0,0
Y1050166,1.666666667,35.5,103,1,2.166666667,4,1,1.888888889,5.666666667,0,0,0,1,0,1,0,2.526087468,0.333333333,0.111111111,1,0.333333333,0,1.333333333,0.444444444,0,2.666666667,0.888888889,0,0,0,4,1.333333333,0,0,4,1.333333333,3.666666667,1.222222222,0,5,1.666666667,12.66666667,4.222222223,0,0,0,0,82.5,20
Y1050167,2.333333333,284.0555556,622,1.333333333,70.83333333,79.66666667,1.666666667,18,26,0,0,0,8,4,4,0.5496633,6.426507911,2.666666667,0.329124579,7,0.888888889,1,1.666666667,0.224747475,1.333333333,7.666666667,1.069023569,1,0.150673401,0.333333333,9.333333333,1.293771044,2.666666667,0.428451178,12,1.722222222,14.33333333,1.874579125,1,20,2.722222222,47.33333333,6.522727273,1.333333333,1,1,2.444444444,95,30
Y1050168,2,119.1666667,317.6666667,1.333333333,11.16666667,20.33333333,1.333333333,9.333333333,26.66666667,0,0,0,3.666666667,2.666666667,1,0.296296296,7.252633991,2,0.222222222,2.666666667,0.555555556,1.666666667,8.333333333,0.925925926,5,2.666666667,0.296296296,2.666666667,0.296296296,1.333333333,11,1.222222222,9,1,20,2.222222222,8,1.148148148,2,23.66666667,2.888888889,53.66666667,6.48148148,1.333333333,1.333333333,1.333333333,1.944444444,30,10
Y1050169,2.333333333,264.3333333,701.6666667,2,26.66666667,58,2.333333333,39.11111111,105.3333333,0,0,0,8,4,4,0.5,5.274328764,4.666666667,0.696969697,7.666666667,0.96969697,0.333333333,40.66666667,5.878787879,14.33333333,30,2.727272727,5.333333333,0.484848485,0,70.66666667,8.606060606,19.66666667,1.787878788,90.33333333,10.39393939,42.33333333,4.121212121,0.333333333,98.33333333,11.39393939,231.3333333,25.93939394,0,0,0,0,0,0
Y1050170,2.666666667,300.6944444,710.3333333,1.666666667,43.66666667,60.33333333,2,37.91666667,64.66666667,0,0,0,10.33333333,9.333333333,1,0.876984127,6.211259002,4.333333333,0.420634921,10,0.972222222,2,2,0.166666667,5.333333333,34.66666667,3.166666667,6.333333333,0.587301587,0,36.66666667,3.333333333,11.66666667,1.130952381,48.33333333,4.464285714,49,4.51984127,2,58.66666667,5.464285714,158,14.63492063,2.666666667,2.333333333,2.333333333,6.283333333,0,10
