username,label,active_num_days,active_sum_count,video_num_days,num_watched,num_complete,seek_video_sum,pause_video_sum,stop_video_sum,video_sum_count,video_forward_seek_sum,video_backward_seek_sum,video_pause_sum,video_stop_sum,homework_num,homework_complete_num,first_three_week_homework_complete_num,last_three_week_homework_complete_num,Problem_num_day,Cumulative_num_days,repeat_num,exam_mean,hw_mean,indicator,final_score
Y1050160,0.25,1.5,217.75,1.5,2.0,0.0,1.5,2.0,0.0,19.5,5.5,2.5,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.5,0.0,0,30.0
Y1050161,0.25,0.75,58.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.75,0.0,0,40.0
Y1050162,0.25,2.75,1261.25,2.75,11.25,8.75,10.25,11.0,0.25,278.5,48.0,80.5,133.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.75,0.0,0,30.0
Y1050163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Y1050164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Y1050165,0.25,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Y1050166,0.5,1.0,26.5,0.5,0.25,0.0,0.25,0.25,0.0,4.5,0.0,0.25,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0,20.0
Y1050167,0.25,1.0,345.25,0.75,5.0,2.25,1.75,4.25,0.25,13.75,1.0,0.75,8.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0,30.0
Y1050168,0.25,0.75,41.0,0.25,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,0.0,0,10.0
Y1050169,0.25,1.0,288.0,1.0,3.25,0.75,2.0,3.25,0.0,43.5,15.25,7.0,18.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
