features_begin_index,features_mid_index,tn,fp,fn,tp,acc
1,1,86,5,6,22,0.907563025210084
1,2,86,5,5,23,0.9159663865546218
1,3,85,6,4,24,0.9159663865546218
1,4,81,10,5,23,0.8739495798319328
1,5,81,10,2,26,0.8991596638655462
1,6,81,10,3,25,0.8907563025210085
1,7,81,10,2,26,0.8991596638655462
1,8,82,9,2,26,0.907563025210084
1,9,81,10,2,26,0.8991596638655462
1,10,89,2,7,21,0.9243697478991597
1,11,90,1,16,12,0.8571428571428571
1,12,91,0,23,5,0.8067226890756303
1,13,91,0,23,5,0.8067226890756303
1,14,90,1,23,5,0.7983193277310925
1,15,90,1,22,6,0.8067226890756303
1,16,90,1,21,7,0.8151260504201681
1,17,90,1,21,7,0.8151260504201681
1,18,90,1,18,10,0.8403361344537815
1,19,90,1,18,10,0.8403361344537815
1,20,90,1,18,10,0.8403361344537815
1,21,90,1,17,11,0.8487394957983193
1,22,90,1,13,15,0.8823529411764706
1,23,89,2,12,16,0.8823529411764706
1,24,90,1,11,17,0.8991596638655462
1,25,90,1,10,18,0.907563025210084
1,26,90,1,12,16,0.8907563025210085
1,27,89,2,12,16,0.8823529411764706
1,28,88,3,12,16,0.8739495798319328
1,29,88,3,12,16,0.8739495798319328
1,30,88,3,11,17,0.8823529411764706
1,31,88,3,10,18,0.8907563025210085
1,32,88,3,10,18,0.8907563025210085
1,33,88,3,10,18,0.8907563025210085
1,34,88,3,9,19,0.8991596638655462
1,35,88,3,9,19,0.8991596638655462
1,36,88,3,9,19,0.8991596638655462
1,37,88,3,9,19,0.8991596638655462
1,38,88,3,9,19,0.8991596638655462
1,39,88,3,9,19,0.8991596638655462
1,40,87,4,9,19,0.8907563025210085
1,41,87,4,9,19,0.8907563025210085
1,42,87,4,9,19,0.8907563025210085
1,43,87,4,9,19,0.8907563025210085
1,44,87,4,9,19,0.8907563025210085
1,45,88,3,10,18,0.8907563025210085
1,46,87,4,10,18,0.8823529411764706
1,47,87,4,10,18,0.8823529411764706
1,48,87,4,10,18,0.8823529411764706
1,49,87,4,10,18,0.8823529411764706
1,50,87,4,8,20,0.8991596638655462
1,51,87,4,8,20,0.8991596638655462
1,52,87,4,8,20,0.8991596638655462
1,53,87,4,7,21,0.907563025210084
1,54,88,3,7,21,0.9159663865546218
2,2,87,4,25,3,0.7563025210084033
2,3,83,8,8,20,0.865546218487395
2,4,85,6,4,24,0.9159663865546218
2,5,83,8,3,25,0.907563025210084
2,6,79,12,2,26,0.8823529411764706
2,7,80,11,3,25,0.8823529411764706
2,8,80,11,3,25,0.8823529411764706
2,9,79,12,4,24,0.865546218487395
2,10,89,2,9,19,0.907563025210084
2,11,90,1,23,5,0.7983193277310925
2,12,91,0,24,4,0.7983193277310925
2,13,91,0,23,5,0.8067226890756303
2,14,91,0,23,5,0.8067226890756303
2,15,91,0,23,5,0.8067226890756303
2,16,91,0,23,5,0.8067226890756303
2,17,91,0,23,5,0.8067226890756303
2,18,91,0,23,5,0.8067226890756303
2,19,91,0,23,5,0.8067226890756303
2,20,91,0,21,7,0.8235294117647058
2,21,91,0,21,7,0.8235294117647058
2,22,90,1,19,9,0.8319327731092437
2,23,89,2,18,10,0.8319327731092437
2,24,90,1,16,12,0.8571428571428571
2,25,90,1,15,13,0.865546218487395
2,26,90,1,15,13,0.865546218487395
2,27,88,3,14,14,0.8571428571428571
2,28,88,3,14,14,0.8571428571428571
2,29,88,3,14,14,0.8571428571428571
2,30,88,3,14,14,0.8571428571428571
2,31,88,3,13,15,0.865546218487395
2,32,88,3,13,15,0.865546218487395
2,33,88,3,13,15,0.865546218487395
2,34,88,3,11,17,0.8823529411764706
2,35,88,3,12,16,0.8739495798319328
2,36,87,4,12,16,0.865546218487395
2,37,87,4,12,16,0.865546218487395
2,38,87,4,12,16,0.865546218487395
2,39,87,4,11,17,0.8739495798319328
2,40,87,4,11,17,0.8739495798319328
2,41,87,4,11,17,0.8739495798319328
2,42,87,4,11,17,0.8739495798319328
2,43,87,4,10,18,0.8823529411764706
2,44,87,4,11,17,0.8739495798319328
2,45,87,4,11,17,0.8739495798319328
2,46,87,4,11,17,0.8739495798319328
2,47,87,4,11,17,0.8739495798319328
2,48,87,4,10,18,0.8823529411764706
2,49,87,4,10,18,0.8823529411764706
2,50,87,4,9,19,0.8907563025210085
2,51,87,4,8,20,0.8991596638655462
2,52,87,4,7,21,0.907563025210084
2,53,87,4,7,21,0.907563025210084
2,54,87,4,7,21,0.907563025210084
3,3,86,5,7,21,0.8991596638655462
3,4,86,5,6,22,0.907563025210084
3,5,83,8,5,23,0.8907563025210085
3,6,80,11,4,24,0.8739495798319328
3,7,80,11,3,25,0.8823529411764706
3,8,81,10,3,25,0.8907563025210085
3,9,82,9,4,24,0.8907563025210085
3,10,89,2,11,17,0.8907563025210085
3,11,90,1,23,5,0.7983193277310925
3,12,91,0,24,4,0.7983193277310925
3,13,91,0,23,5,0.8067226890756303
3,14,91,0,23,5,0.8067226890756303
3,15,91,0,23,5,0.8067226890756303
3,16,91,0,23,5,0.8067226890756303
3,17,91,0,23,5,0.8067226890756303
3,18,91,0,23,5,0.8067226890756303
3,19,91,0,23,5,0.8067226890756303
3,20,91,0,21,7,0.8235294117647058
3,21,91,0,21,7,0.8235294117647058
3,22,90,1,20,8,0.8235294117647058
3,23,89,2,19,9,0.8235294117647058
3,24,90,1,17,11,0.8487394957983193
3,25,90,1,16,12,0.8571428571428571
3,26,90,1,15,13,0.865546218487395
3,27,89,2,14,14,0.865546218487395
3,28,88,3,14,14,0.8571428571428571
3,29,88,3,14,14,0.8571428571428571
3,30,88,3,14,14,0.8571428571428571
3,31,88,3,13,15,0.865546218487395
3,32,88,3,13,15,0.865546218487395
3,33,88,3,13,15,0.865546218487395
3,34,88,3,13,15,0.865546218487395
3,35,88,3,14,14,0.8571428571428571
