features_begin_index,features_mid_index,leaf_node_num,tn,fp,fn,tp,acc
1,1,3,86,5,5,23,0.9159663865546218
1,2,3,87,4,3,25,0.9411764705882353
1,3,3,87,4,1,27,0.957983193277311
1,4,3,87,4,1,27,0.957983193277311
1,5,3,87,4,2,26,0.9495798319327731
1,6,3,88,3,1,27,0.9663865546218487
1,7,3,88,3,1,27,0.9663865546218487
1,8,3,88,3,1,27,0.9663865546218487
1,9,3,89,2,3,25,0.957983193277311
1,10,3,89,2,3,25,0.957983193277311
1,11,3,89,2,3,25,0.957983193277311
1,12,3,88,3,1,27,0.9663865546218487
1,13,3,89,2,3,25,0.957983193277311
1,14,3,88,3,1,27,0.9663865546218487
1,15,3,88,3,1,27,0.9663865546218487
1,16,3,89,2,3,25,0.957983193277311
1,17,3,88,3,1,27,0.9663865546218487
1,18,3,89,2,3,25,0.957983193277311
1,19,3,89,2,3,25,0.957983193277311
1,20,3,88,3,1,27,0.9663865546218487
1,21,3,88,3,1,27,0.9663865546218487
1,22,3,88,3,1,27,0.9663865546218487
1,23,3,89,2,3,25,0.957983193277311
1,24,3,89,2,3,25,0.957983193277311
1,25,3,88,3,1,27,0.9663865546218487
1,26,3,88,3,1,27,0.9663865546218487
1,27,3,89,2,3,25,0.957983193277311
1,28,3,88,3,1,27,0.9663865546218487
1,29,3,89,2,3,25,0.957983193277311
1,30,3,88,3,1,27,0.9663865546218487
1,31,3,88,3,1,27,0.9663865546218487
1,32,3,88,3,1,27,0.9663865546218487
1,33,3,89,2,3,25,0.957983193277311
1,34,3,88,3,1,27,0.9663865546218487
1,35,3,89,2,3,25,0.957983193277311
1,36,3,89,2,3,25,0.957983193277311
1,37,3,89,2,3,25,0.957983193277311
1,38,3,89,2,3,25,0.957983193277311
1,39,3,88,3,1,27,0.9663865546218487
1,40,3,89,2,3,25,0.957983193277311
1,41,3,88,3,1,27,0.9663865546218487
1,42,3,88,3,1,27,0.9663865546218487
1,43,3,88,3,1,27,0.9663865546218487
1,44,3,88,3,1,27,0.9663865546218487
1,45,3,89,2,3,25,0.957983193277311
1,46,3,88,3,1,27,0.9663865546218487
1,47,3,89,2,3,25,0.957983193277311
1,48,3,89,2,3,25,0.957983193277311
1,49,3,88,3,1,27,0.9663865546218487
1,50,3,89,2,1,27,0.9747899159663865
1,51,3,89,2,1,27,0.9747899159663865
1,52,3,89,2,1,27,0.9747899159663865
1,53,3,89,2,0,28,0.9831932773109243
2,2,3,85,6,7,21,0.8907563025210085
2,3,3,88,3,3,25,0.9495798319327731
2,4,3,87,4,3,25,0.9411764705882353
2,5,3,89,2,4,24,0.9495798319327731
2,6,3,89,2,2,26,0.9663865546218487
2,7,3,89,2,2,26,0.9663865546218487
2,8,3,89,2,4,24,0.9495798319327731
2,9,3,89,2,4,24,0.9495798319327731
2,10,3,89,2,4,24,0.9495798319327731
2,11,3,89,2,4,24,0.9495798319327731
2,12,3,89,2,3,25,0.957983193277311
2,13,3,89,2,4,24,0.9495798319327731
2,14,3,89,2,3,25,0.957983193277311
2,15,3,89,2,3,25,0.957983193277311
2,16,3,89,2,2,26,0.9663865546218487
2,17,3,89,2,3,25,0.957983193277311
2,18,3,89,2,3,25,0.957983193277311
2,19,3,89,2,3,25,0.957983193277311
2,20,3,89,2,2,26,0.9663865546218487
2,21,3,89,2,3,25,0.957983193277311
2,22,3,89,2,3,25,0.957983193277311
2,23,3,89,2,2,26,0.9663865546218487
2,24,3,89,2,2,26,0.9663865546218487
2,25,3,89,2,2,26,0.9663865546218487
2,26,3,89,2,2,26,0.9663865546218487
2,27,3,89,2,2,26,0.9663865546218487
2,28,3,89,2,1,27,0.9747899159663865
2,29,3,89,2,2,26,0.9663865546218487
2,30,3,89,2,0,28,0.9831932773109243
2,31,3,89,2,0,28,0.9831932773109243
2,32,3,89,2,2,26,0.9663865546218487
2,33,3,89,2,0,28,0.9831932773109243
2,34,3,89,2,2,26,0.9663865546218487
2,35,3,89,2,2,26,0.9663865546218487
2,36,3,89,2,2,26,0.9663865546218487
2,37,3,89,2,0,28,0.9831932773109243
2,38,3,89,2,0,28,0.9831932773109243
2,39,3,89,2,0,28,0.9831932773109243
