features_begin_index,features_mid_index,tn,fp,fn,tp,acc
1,1,91,0,12,16,0.899159663866
1,2,91,0,9,19,0.924369747899
1,3,91,0,9,19,0.924369747899
1,4,91,0,9,19,0.924369747899
1,5,91,0,8,20,0.932773109244
1,6,91,0,7,21,0.941176470588
1,7,91,0,9,19,0.924369747899
1,8,91,0,10,18,0.915966386555
1,9,91,0,13,15,0.890756302521
1,10,91,0,12,16,0.899159663866
1,11,91,0,12,16,0.899159663866
1,12,91,0,12,16,0.899159663866
1,13,91,0,12,16,0.899159663866
1,14,91,0,11,17,0.90756302521
1,15,91,0,11,17,0.90756302521
1,16,91,0,11,17,0.90756302521
1,17,91,0,11,17,0.90756302521
1,18,91,0,9,19,0.924369747899
1,19,91,0,9,19,0.924369747899
1,20,91,0,9,19,0.924369747899
1,21,91,0,9,19,0.924369747899
1,22,91,0,5,23,0.957983193277
1,23,91,0,6,22,0.949579831933
1,24,91,0,7,21,0.941176470588
1,25,91,0,5,23,0.957983193277
1,26,91,0,5,23,0.957983193277
1,27,91,0,7,21,0.941176470588
1,28,91,0,7,21,0.941176470588
1,29,91,0,7,21,0.941176470588
1,30,91,0,7,21,0.941176470588
1,31,91,0,8,20,0.932773109244
1,32,91,0,8,20,0.932773109244
1,33,91,0,9,19,0.924369747899
1,34,91,0,9,19,0.924369747899
1,35,91,0,9,19,0.924369747899
1,36,91,0,9,19,0.924369747899
1,37,91,0,9,19,0.924369747899
1,38,91,0,9,19,0.924369747899
1,39,91,0,9,19,0.924369747899
1,40,91,0,9,19,0.924369747899
1,41,91,0,9,19,0.924369747899
1,42,91,0,9,19,0.924369747899
1,43,91,0,9,19,0.924369747899
1,44,91,0,11,17,0.90756302521
1,45,91,0,10,18,0.915966386555
1,46,91,0,11,17,0.90756302521
1,47,91,0,10,18,0.915966386555
1,48,91,0,11,17,0.90756302521
1,49,91,0,11,17,0.90756302521
1,50,91,0,9,19,0.924369747899
1,51,91,0,6,22,0.949579831933
1,52,91,0,6,22,0.949579831933
1,53,91,0,7,21,0.941176470588
1,54,91,0,6,22,0.949579831933
1,55,91,0,5,23,0.957983193277
2,2,91,0,22,6,0.81512605042
2,3,91,0,10,18,0.915966386555
2,4,91,0,11,17,0.90756302521
2,5,91,0,11,17,0.90756302521
2,6,91,0,9,19,0.924369747899
2,7,91,0,10,18,0.915966386555
2,8,91,0,10,18,0.915966386555
2,9,91,0,12,16,0.899159663866
2,10,91,0,12,16,0.899159663866
2,11,91,0,12,16,0.899159663866
2,12,91,0,12,16,0.899159663866
2,13,91,0,11,17,0.90756302521
2,14,91,0,11,17,0.90756302521
2,15,91,0,11,17,0.90756302521
2,16,91,0,11,17,0.90756302521
2,17,91,0,10,18,0.915966386555
2,18,91,0,9,19,0.924369747899
2,19,91,0,10,18,0.915966386555
2,20,91,0,9,19,0.924369747899
2,21,91,0,9,19,0.924369747899
2,22,91,0,7,21,0.941176470588
2,23,91,0,8,20,0.932773109244
2,24,91,0,10,18,0.915966386555
2,25,91,0,10,18,0.915966386555
2,26,91,0,9,19,0.924369747899
2,27,91,0,10,18,0.915966386555
2,28,91,0,9,19,0.924369747899
2,29,91,0,8,20,0.932773109244
2,30,91,0,9,19,0.924369747899
2,31,91,0,9,19,0.924369747899
2,32,91,0,9,19,0.924369747899
2,33,91,0,9,19,0.924369747899
2,34,91,0,10,18,0.915966386555
2,35,91,0,10,18,0.915966386555
2,36,91,0,10,18,0.915966386555
