features_begin_index,features_mid_index,tn,fp,fn,tp,acc
1,1,89,2,16,12,0.8487394957983193
1,2,87,4,11,17,0.8739495798319328
1,3,88,3,12,16,0.8739495798319328
1,4,87,4,11,17,0.8739495798319328
1,5,87,4,11,17,0.8739495798319328
1,6,87,4,11,17,0.8739495798319328
1,7,88,3,13,15,0.865546218487395
1,8,86,5,14,14,0.8403361344537815
1,9,86,5,12,16,0.8571428571428571
1,10,86,5,13,15,0.8487394957983193
1,11,86,5,13,15,0.8487394957983193
1,12,86,5,13,15,0.8487394957983193
1,13,86,5,12,16,0.8571428571428571
1,14,87,4,13,15,0.8571428571428571
1,15,87,4,17,11,0.8235294117647058
1,16,87,4,18,10,0.8151260504201681
1,17,88,3,15,13,0.8487394957983193
1,18,89,2,15,13,0.8571428571428571
1,19,89,2,17,11,0.8403361344537815
1,20,89,2,17,11,0.8403361344537815
1,21,89,2,17,11,0.8403361344537815
1,22,88,3,17,11,0.8319327731092437
1,23,86,5,16,12,0.8235294117647058
1,24,87,4,16,12,0.8319327731092437
1,25,86,5,16,12,0.8235294117647058
1,26,86,5,16,12,0.8235294117647058
1,27,88,3,15,13,0.8487394957983193
1,28,88,3,15,13,0.8487394957983193
1,29,89,2,15,13,0.8571428571428571
1,30,89,2,17,11,0.8403361344537815
1,31,89,2,17,11,0.8403361344537815
1,32,89,2,17,11,0.8403361344537815
1,33,90,1,17,11,0.8487394957983193
1,34,90,1,17,11,0.8487394957983193
1,35,90,1,17,11,0.8487394957983193
1,36,90,1,17,11,0.8487394957983193
1,37,90,1,18,10,0.8403361344537815
1,38,90,1,18,10,0.8403361344537815
1,39,90,1,19,9,0.8319327731092437
1,40,90,1,19,9,0.8319327731092437
1,41,90,1,19,9,0.8319327731092437
1,42,90,1,19,9,0.8319327731092437
1,43,90,1,19,9,0.8319327731092437
1,44,89,2,18,10,0.8319327731092437
1,45,89,2,15,13,0.8571428571428571
1,46,89,2,18,10,0.8319327731092437
1,47,90,1,13,15,0.8823529411764706
1,48,89,2,12,16,0.8823529411764706
2,2,89,2,24,4,0.7815126050420168
2,3,88,3,11,17,0.8823529411764706
2,4,86,5,10,18,0.8739495798319328
2,5,88,3,10,18,0.8907563025210085
2,6,86,5,10,18,0.8739495798319328
2,7,87,4,12,16,0.865546218487395
2,8,86,5,14,14,0.8403361344537815
2,9,85,6,15,13,0.8235294117647058
2,10,86,5,15,13,0.8319327731092437
2,11,86,5,15,13,0.8319327731092437
2,12,86,5,15,13,0.8319327731092437
2,13,87,4,14,14,0.8487394957983193
2,14,87,4,16,12,0.8319327731092437
2,15,86,5,18,10,0.8067226890756303
2,16,87,4,17,11,0.8235294117647058
2,17,88,3,15,13,0.8487394957983193
2,18,89,2,16,12,0.8487394957983193
2,19,89,2,16,12,0.8487394957983193
2,20,89,2,17,11,0.8403361344537815
2,21,89,2,16,12,0.8487394957983193
2,22,88,3,17,11,0.8319327731092437
2,23,86,5,16,12,0.8235294117647058
2,24,87,4,15,13,0.8403361344537815
2,25,86,5,16,12,0.8235294117647058
2,26,86,5,15,13,0.8319327731092437
2,27,88,3,15,13,0.8487394957983193
2,28,88,3,15,13,0.8487394957983193
2,29,89,2,16,12,0.8487394957983193
2,30,89,2,16,12,0.8487394957983193
2,31,89,2,17,11,0.8403361344537815
2,32,89,2,17,11,0.8403361344537815
2,33,89,2,17,11,0.8403361344537815
2,34,90,1,17,11,0.8487394957983193
2,35,90,1,17,11,0.8487394957983193
2,36,90,1,17,11,0.8487394957983193
2,37,90,1,17,11,0.8487394957983193
2,38,89,2,17,11,0.8403361344537815
2,39,89,2,18,10,0.8319327731092437
2,40,89,2,18,10,0.8319327731092437
2,41,89,2,18,10,0.8319327731092437
2,42,89,2,18,10,0.8319327731092437
2,43,89,2,18,10,0.8319327731092437
2,44,89,2,17,11,0.8403361344537815
2,45,89,2,15,13,0.8571428571428571
2,46,90,1,18,10,0.8403361344537815
2,47,89,2,15,13,0.8571428571428571
2,48,89,2,13,15,0.8739495798319328
3,3,86,5,13,15,0.8487394957983193
3,4,85,6,11,17,0.8571428571428571
3,5,85,6,11,17,0.8571428571428571
3,6,84,7,11,17,0.8487394957983193
3,7,87,4,12,16,0.865546218487395
3,8,86,5,14,14,0.8403361344537815
3,9,86,5,14,14,0.8403361344537815
3,10,88,3,13,15,0.865546218487395
3,11,88,3,13,15,0.865546218487395
3,12,88,3,13,15,0.865546218487395
3,13,88,3,15,13,0.8487394957983193
3,14,87,4,15,13,0.8403361344537815
3,15,87,4,17,11,0.8235294117647058
3,16,87,4,18,10,0.8151260504201681
3,17,88,3,14,14,0.8571428571428571
3,18,89,2,15,13,0.8571428571428571
3,19,89,2,17,11,0.8403361344537815
3,20,89,2,17,11,0.8403361344537815
3,21,89,2,17,11,0.8403361344537815
3,22,88,3,16,12,0.8403361344537815
3,23,85,6,15,13,0.8235294117647058
3,24,86,5,14,14,0.8403361344537815
3,25,85,6,15,13,0.8235294117647058
3,26,86,5,15,13,0.8319327731092437
3,27,88,3,15,13,0.8487394957983193
3,28,87,4,15,13,0.8403361344537815
3,29,88,3,15,13,0.8487394957983193
3,30,88,3,16,12,0.8403361344537815
3,31,89,2,16,12,0.8487394957983193
3,32,89,2,16,12,0.8487394957983193
3,33,88,3,16,12,0.8403361344537815
3,34,89,2,16,12,0.8487394957983193
3,35,89,2,16,12,0.8487394957983193
3,36,89,2,16,12,0.8487394957983193
3,37,89,2,16,12,0.8487394957983193
3,38,89,2,16,12,0.8487394957983193
3,39,89,2,17,11,0.8403361344537815
3,40,89,2,17,11,0.8403361344537815
3,41,89,2,17,11,0.8403361344537815
3,42,89,2,17,11,0.8403361344537815
3,43,89,2,17,11,0.8403361344537815
3,44,88,3,16,12,0.8403361344537815
3,45,89,2,15,13,0.8571428571428571
3,46,90,1,18,10,0.8403361344537815
3,47,89,2,15,13,0.8571428571428571
3,48,89,2,13,15,0.8739495798319328
4,4,80,11,11,17,0.8151260504201681
4,5,88,3,14,14,0.8571428571428571
4,6,85,6,13,15,0.8403361344537815
4,7,87,4,15,13,0.8403361344537815
4,8,85,6,14,14,0.8319327731092437
4,9,85,6,16,12,0.8151260504201681
4,10,86,5,15,13,0.8319327731092437
4,11,86,5,15,13,0.8319327731092437
4,12,86,5,15,13,0.8319327731092437
4,13,88,3,15,13,0.8487394957983193
4,14,87,4,17,11,0.8235294117647058
4,15,87,4,18,10,0.8151260504201681
4,16,87,4,19,9,0.8067226890756303
4,17,88,3,15,13,0.8487394957983193
4,18,89,2,15,13,0.8571428571428571
4,19,89,2,18,10,0.8319327731092437
4,20,89,2,18,10,0.8319327731092437
4,21,89,2,18,10,0.8319327731092437
4,22,88,3,16,12,0.8403361344537815
4,23,86,5,15,13,0.8319327731092437
4,24,87,4,16,12,0.8319327731092437
4,25,87,4,17,11,0.8235294117647058
4,26,87,4,15,13,0.8403361344537815
4,27,88,3,17,11,0.8319327731092437
4,28,88,3,16,12,0.8403361344537815
4,29,88,3,16,12,0.8403361344537815
4,30,88,3,17,11,0.8319327731092437
4,31,89,2,17,11,0.8403361344537815
4,32,89,2,17,11,0.8403361344537815
4,33,91,0,16,12,0.865546218487395
4,34,89,2,16,12,0.8487394957983193
4,35,90,1,16,12,0.8571428571428571
4,36,90,1,16,12,0.8571428571428571
4,37,90,1,16,12,0.8571428571428571
4,38,91,0,16,12,0.865546218487395
4,39,91,0,17,11,0.8571428571428571
4,40,91,0,17,11,0.8571428571428571
4,41,91,0,17,11,0.8571428571428571
4,42,91,0,17,11,0.8571428571428571
4,43,91,0,17,11,0.8571428571428571
4,44,90,1,17,11,0.8487394957983193
4,45,90,1,16,12,0.8571428571428571
4,46,90,1,17,11,0.8487394957983193
4,47,89,2,15,13,0.8571428571428571
4,48,89,2,13,15,0.8739495798319328
5,5,89,2,24,4,0.7815126050420168
5,6,86,5,14,14,0.8403361344537815
5,7,86,5,16,12,0.8235294117647058
5,8,87,4,17,11,0.8235294117647058
5,9,85,6,16,12,0.8151260504201681
5,10,87,4,16,12,0.8319327731092437
5,11,87,4,16,12,0.8319327731092437
5,12,87,4,16,12,0.8319327731092437
5,13,87,4,17,11,0.8235294117647058
5,14,84,7,19,9,0.7815126050420168
5,15,87,4,19,9,0.8067226890756303
5,16,87,4,19,9,0.8067226890756303
5,17,88,3,16,12,0.8403361344537815
5,18,89,2,18,10,0.8319327731092437
5,19,89,2,19,9,0.8235294117647058
5,20,88,3,18,10,0.8235294117647058
5,21,89,2,18,10,0.8319327731092437
5,22,88,3,16,12,0.8403361344537815
5,23,86,5,17,11,0.8151260504201681
5,24,86,5,15,13,0.8319327731092437
5,25,86,5,15,13,0.8319327731092437
5,26,86,5,14,14,0.8403361344537815
5,27,87,4,17,11,0.8235294117647058
5,28,87,4,15,13,0.8403361344537815
5,29,87,4,14,14,0.8487394957983193
5,30,88,3,17,11,0.8319327731092437
5,31,91,0,17,11,0.8571428571428571
5,32,91,0,17,11,0.8571428571428571
5,33,91,0,17,11,0.8571428571428571
5,34,90,1,16,12,0.8571428571428571
5,35,90,1,16,12,0.8571428571428571
5,36,91,0,15,13,0.8739495798319328
5,37,90,1,15,13,0.865546218487395
5,38,91,0,16,12,0.865546218487395
5,39,91,0,17,11,0.8571428571428571
5,40,91,0,15,13,0.8739495798319328
5,41,91,0,15,13,0.8739495798319328
5,42,91,0,15,13,0.8739495798319328
5,43,91,0,15,13,0.8739495798319328
5,44,90,1,18,10,0.8403361344537815
5,45,90,1,15,13,0.865546218487395
5,46,90,1,18,10,0.8403361344537815
5,47,89,2,17,11,0.8403361344537815
5,48,89,2,13,15,0.8739495798319328
6,6,85,6,16,12,0.8151260504201681
6,7,88,3,14,14,0.8571428571428571
6,8,87,4,17,11,0.8235294117647058
6,9,88,3,17,11,0.8319327731092437
6,10,88,3,17,11,0.8319327731092437
6,11,88,3,17,11,0.8319327731092437
6,12,88,3,17,11,0.8319327731092437
6,13,88,3,17,11,0.8319327731092437
6,14,89,2,18,10,0.8319327731092437
6,15,86,5,19,9,0.7983193277310925
6,16,87,4,19,9,0.8067226890756303
6,17,89,2,18,10,0.8319327731092437
6,18,89,2,21,7,0.8067226890756303
6,19,90,1,21,7,0.8151260504201681
6,20,90,1,21,7,0.8151260504201681
6,21,90,1,20,8,0.8235294117647058
6,22,89,2,16,12,0.8487394957983193
6,23,88,3,16,12,0.8403361344537815
6,24,88,3,16,12,0.8403361344537815
6,25,88,3,18,10,0.8235294117647058
6,26,88,3,15,13,0.8487394957983193
6,27,89,2,15,13,0.8571428571428571
6,28,89,2,15,13,0.8571428571428571
6,29,89,2,15,13,0.8571428571428571
6,30,91,0,17,11,0.8571428571428571
6,31,91,0,17,11,0.8571428571428571
6,32,91,0,17,11,0.8571428571428571
6,33,91,0,18,10,0.8487394957983193
6,34,90,1,16,12,0.8571428571428571
6,35,90,1,15,13,0.865546218487395
6,36,90,1,16,12,0.8571428571428571
6,37,90,1,15,13,0.865546218487395
6,38,90,1,15,13,0.865546218487395
6,39,90,1,16,12,0.8571428571428571
6,40,91,0,16,12,0.865546218487395
6,41,91,0,16,12,0.865546218487395
6,42,91,0,15,13,0.8739495798319328
6,43,91,0,15,13,0.8739495798319328
6,44,89,2,19,9,0.8235294117647058
6,45,89,2,18,10,0.8319327731092437
6,46,89,2,19,9,0.8235294117647058
6,47,89,2,19,9,0.8235294117647058
6,48,90,1,14,14,0.8739495798319328
7,7,79,12,13,15,0.7899159663865546
7,8,88,3,16,12,0.8403361344537815
7,9,89,2,16,12,0.8487394957983193
7,10,90,1,14,14,0.8739495798319328
7,11,90,1,14,14,0.8739495798319328
7,12,90,1,14,14,0.8739495798319328
7,13,87,4,17,11,0.8235294117647058
7,14,86,5,17,11,0.8151260504201681
7,15,88,3,19,9,0.8151260504201681
7,16,89,2,19,9,0.8235294117647058
7,17,88,3,18,10,0.8235294117647058
7,18,87,4,19,9,0.8067226890756303
7,19,88,3,19,9,0.8151260504201681
7,20,89,2,21,7,0.8067226890756303
7,21,89,2,21,7,0.8067226890756303
7,22,89,2,20,8,0.8151260504201681
7,23,88,3,17,11,0.8319327731092437
7,24,87,4,17,11,0.8235294117647058
7,25,89,2,20,8,0.8151260504201681
7,26,88,3,17,11,0.8319327731092437
7,27,90,1,16,12,0.8571428571428571
7,28,91,0,16,12,0.865546218487395
7,29,91,0,16,12,0.865546218487395
7,30,90,1,18,10,0.8403361344537815
7,31,89,2,18,10,0.8319327731092437
7,32,89,2,17,11,0.8403361344537815
7,33,89,2,18,10,0.8319327731092437
7,34,89,2,17,11,0.8403361344537815
7,35,89,2,16,12,0.8487394957983193
7,36,89,2,15,13,0.8571428571428571
7,37,90,1,17,11,0.8487394957983193
7,38,90,1,16,12,0.8571428571428571
7,39,89,2,16,12,0.8487394957983193
7,40,89,2,16,12,0.8487394957983193
7,41,89,2,16,12,0.8487394957983193
7,42,89,2,16,12,0.8487394957983193
7,43,89,2,16,12,0.8487394957983193
