features_begin_index,features_mid_index,tn,fp,fn,tp,acc
1,1,75,0,24,0,0.7575757575757576
1,2,75,0,24,0,0.7575757575757576
1,3,75,0,24,0,0.7575757575757576
1,4,75,0,24,0,0.7575757575757576
1,5,75,0,24,0,0.7575757575757576
1,6,75,0,24,0,0.7575757575757576
1,7,75,0,24,0,0.7575757575757576
1,8,74,1,23,1,0.7575757575757576
1,9,75,0,22,2,0.7777777777777778
1,10,75,0,22,2,0.7777777777777778
1,11,75,0,22,2,0.7777777777777778
1,12,74,1,18,6,0.8080808080808081
1,13,73,2,16,8,0.8181818181818182
1,14,72,3,14,10,0.8282828282828283
1,15,72,3,13,11,0.8383838383838383
1,16,72,3,14,10,0.8282828282828283
1,17,72,3,10,14,0.8686868686868687
1,18,72,3,10,14,0.8686868686868687
1,19,72,3,10,14,0.8686868686868687
1,20,73,2,14,10,0.8383838383838383
1,21,73,2,13,11,0.8484848484848485
1,22,73,2,14,10,0.8383838383838383
1,23,74,1,15,9,0.8383838383838383
1,24,70,5,13,11,0.8181818181818182
1,25,72,3,12,12,0.8484848484848485
1,26,73,2,11,13,0.8686868686868687
1,27,71,4,10,14,0.8585858585858586
1,28,70,5,11,13,0.8383838383838383
1,29,72,3,10,14,0.8686868686868687
1,30,73,2,11,13,0.8686868686868687
1,31,73,2,11,13,0.8686868686868687
1,32,72,3,10,14,0.8686868686868687
1,33,73,2,9,15,0.8888888888888888
1,34,73,2,9,15,0.8888888888888888
1,35,72,3,9,15,0.8787878787878788
1,36,73,2,9,15,0.8888888888888888
1,37,73,2,9,15,0.8888888888888888
1,38,71,4,8,16,0.8787878787878788
1,39,71,4,8,16,0.8787878787878788
1,40,72,3,10,14,0.8686868686868687
1,41,73,2,5,19,0.9292929292929293
1,42,73,2,5,19,0.9292929292929293
2,2,75,0,24,0,0.7575757575757576
2,3,75,0,24,0,0.7575757575757576
2,4,75,0,24,0,0.7575757575757576
2,5,75,0,24,0,0.7575757575757576
2,6,75,0,24,0,0.7575757575757576
2,7,75,0,24,0,0.7575757575757576
2,8,75,0,24,0,0.7575757575757576
2,9,75,0,22,2,0.7777777777777778
2,10,75,0,22,2,0.7777777777777778
2,11,75,0,22,2,0.7777777777777778
2,12,74,1,18,6,0.8080808080808081
2,13,74,1,20,4,0.7878787878787878
2,14,72,3,14,10,0.8282828282828283
2,15,72,3,14,10,0.8282828282828283
2,16,74,1,14,10,0.8484848484848485
2,17,72,3,13,11,0.8383838383838383
2,18,72,3,12,12,0.8484848484848485
2,19,72,3,12,12,0.8484848484848485
2,20,72,3,13,11,0.8383838383838383
2,21,73,2,12,12,0.8585858585858586
2,22,73,2,12,12,0.8585858585858586
2,23,74,1,14,10,0.8484848484848485
2,24,71,4,13,11,0.8282828282828283
2,25,71,4,12,12,0.8383838383838383
2,26,71,4,11,13,0.8484848484848485
2,27,71,4,11,13,0.8484848484848485
2,28,72,3,10,14,0.8686868686868687
2,29,72,3,10,14,0.8686868686868687
2,30,72,3,10,14,0.8686868686868687
2,31,72,3,10,14,0.8686868686868687
2,32,72,3,10,14,0.8686868686868687
2,33,71,4,11,13,0.8484848484848485
2,34,72,3,11,13,0.8585858585858586
2,35,73,2,8,16,0.898989898989899
2,36,72,3,9,15,0.8787878787878788
2,37,72,3,10,14,0.8686868686868687
2,38,70,5,7,17,0.8787878787878788
2,39,71,4,8,16,0.8787878787878788
2,40,72,3,10,14,0.8686868686868687
2,41,71,4,5,19,0.9090909090909091
2,42,73,2,6,18,0.9191919191919192
3,3,75,0,24,0,0.7575757575757576
3,4,75,0,24,0,0.7575757575757576
3,5,75,0,24,0,0.7575757575757576
3,6,75,0,24,0,0.7575757575757576
3,7,75,0,24,0,0.7575757575757576
3,8,75,0,24,0,0.7575757575757576
3,9,75,0,22,2,0.7777777777777778
3,10,75,0,22,2,0.7777777777777778
3,11,75,0,22,2,0.7777777777777778
3,12,74,1,20,4,0.7878787878787878
3,13,73,2,18,6,0.797979797979798
3,14,74,1,14,10,0.8484848484848485
3,15,73,2,14,10,0.8383838383838383
3,16,73,2,14,10,0.8383838383838383
3,17,72,3,12,12,0.8484848484848485
3,18,73,2,11,13,0.8686868686868687
3,19,73,2,11,13,0.8686868686868687
3,20,73,2,12,12,0.8585858585858586
3,21,73,2,12,12,0.8585858585858586
3,22,73,2,12,12,0.8585858585858586
3,23,73,2,14,10,0.8383838383838383
3,24,70,5,13,11,0.8181818181818182
3,25,71,4,11,13,0.8484848484848485
3,26,71,4,11,13,0.8484848484848485
3,27,71,4,10,14,0.8585858585858586
3,28,71,4,10,14,0.8585858585858586
3,29,72,3,10,14,0.8686868686868687
3,30,72,3,10,14,0.8686868686868687
3,31,72,3,10,14,0.8686868686868687
3,32,72,3,10,14,0.8686868686868687
3,33,71,4,10,14,0.8585858585858586
3,34,71,4,10,14,0.8585858585858586
3,35,71,4,10,14,0.8585858585858586
3,36,71,4,10,14,0.8585858585858586
3,37,71,4,10,14,0.8585858585858586
3,38,73,2,10,14,0.8787878787878788
3,39,72,3,9,15,0.8787878787878788
3,40,75,0,11,13,0.8888888888888888
3,41,72,3,5,19,0.9191919191919192
3,42,72,3,5,19,0.9191919191919192
4,4,75,0,24,0,0.7575757575757576
4,5,75,0,24,0,0.7575757575757576
4,6,75,0,24,0,0.7575757575757576
4,7,75,0,24,0,0.7575757575757576
4,8,75,0,24,0,0.7575757575757576
4,9,75,0,22,2,0.7777777777777778
4,10,75,0,22,2,0.7777777777777778
4,11,75,0,22,2,0.7777777777777778
4,12,75,0,22,2,0.7777777777777778
4,13,75,0,21,3,0.7878787878787878
4,14,74,1,19,5,0.797979797979798
4,15,74,1,19,5,0.797979797979798
4,16,75,0,19,5,0.8080808080808081
4,17,71,4,17,7,0.7878787878787878
4,18,70,5,15,9,0.797979797979798
4,19,70,5,15,9,0.797979797979798
4,20,74,1,18,6,0.8080808080808081
4,21,73,2,17,7,0.8080808080808081
4,22,74,1,19,5,0.797979797979798
4,23,73,2,17,7,0.8080808080808081
4,24,71,4,12,12,0.8383838383838383
4,25,70,5,12,12,0.8282828282828283
4,26,69,6,11,13,0.8282828282828283
4,27,69,6,11,13,0.8282828282828283
4,28,69,6,11,13,0.8282828282828283
4,29,71,4,11,13,0.8484848484848485
4,30,71,4,11,13,0.8484848484848485
4,31,71,4,11,13,0.8484848484848485
4,32,71,4,10,14,0.8585858585858586
4,33,71,4,10,14,0.8585858585858586
4,34,71,4,12,12,0.8383838383838383
4,35,71,4,10,14,0.8585858585858586
4,36,71,4,12,12,0.8383838383838383
4,37,71,4,12,12,0.8383838383838383
4,38,72,3,10,14,0.8686868686868687
4,39,70,5,9,15,0.8585858585858586
4,40,73,2,10,14,0.8787878787878788
4,41,71,4,5,19,0.9090909090909091
4,42,71,4,3,21,0.9292929292929293
5,5,75,0,24,0,0.7575757575757576
5,6,75,0,24,0,0.7575757575757576
5,7,75,0,24,0,0.7575757575757576
5,8,75,0,24,0,0.7575757575757576
5,9,75,0,22,2,0.7777777777777778
5,10,75,0,22,2,0.7777777777777778
5,11,75,0,22,2,0.7777777777777778
5,12,75,0,22,2,0.7777777777777778
5,13,75,0,21,3,0.7878787878787878
5,14,74,1,19,5,0.797979797979798
5,15,74,1,18,6,0.8080808080808081
5,16,74,1,18,6,0.8080808080808081
5,17,73,2,18,6,0.797979797979798
5,18,73,2,18,6,0.797979797979798
5,19,75,0,20,4,0.797979797979798
5,20,75,0,18,6,0.8181818181818182
5,21,75,0,19,5,0.8080808080808081
5,22,75,0,20,4,0.797979797979798
5,23,73,2,15,9,0.8282828282828283
5,24,71,4,12,12,0.8383838383838383
5,25,71,4,12,12,0.8383838383838383
5,26,70,5,12,12,0.8282828282828283
5,27,71,4,11,13,0.8484848484848485
5,28,71,4,11,13,0.8484848484848485
5,29,72,3,10,14,0.8686868686868687
5,30,72,3,10,14,0.8686868686868687
5,31,72,3,10,14,0.8686868686868687
5,32,72,3,10,14,0.8686868686868687
5,33,72,3,10,14,0.8686868686868687
5,34,71,4,10,14,0.8585858585858586
5,35,72,3,10,14,0.8686868686868687
5,36,72,3,10,14,0.8686868686868687
5,37,72,3,10,14,0.8686868686868687
5,38,72,3,10,14,0.8686868686868687
5,39,70,5,9,15,0.8585858585858586
5,40,73,2,10,14,0.8787878787878788
5,41,71,4,5,19,0.9090909090909091
5,42,71,4,3,21,0.9292929292929293
6,6,75,0,24,0,0.7575757575757576
6,7,75,0,24,0,0.7575757575757576
6,8,75,0,24,0,0.7575757575757576
6,9,75,0,22,2,0.7777777777777778
6,10,75,0,22,2,0.7777777777777778
6,11,75,0,22,2,0.7777777777777778
6,12,75,0,22,2,0.7777777777777778
6,13,75,0,21,3,0.7878787878787878
6,14,74,1,21,3,0.7777777777777778
6,15,74,1,20,4,0.7878787878787878
6,16,74,1,21,3,0.7777777777777778
6,17,75,0,20,4,0.797979797979798
6,18,75,0,19,5,0.8080808080808081
6,19,72,3,19,5,0.7777777777777778
6,20,75,0,20,4,0.797979797979798
6,21,75,0,19,5,0.8080808080808081
6,22,75,0,19,5,0.8080808080808081
6,23,73,2,16,8,0.8181818181818182
6,24,71,4,12,12,0.8383838383838383
6,25,71,4,12,12,0.8383838383838383
6,26,71,4,11,13,0.8484848484848485
6,27,71,4,10,14,0.8585858585858586
6,28,71,4,10,14,0.8585858585858586
6,29,71,4,11,13,0.8484848484848485
6,30,71,4,10,14,0.8585858585858586
6,31,71,4,11,13,0.8484848484848485
6,32,71,4,10,14,0.8585858585858586
6,33,71,4,12,12,0.8383838383838383
6,34,71,4,12,12,0.8383838383838383
6,35,71,4,12,12,0.8383838383838383
6,36,71,4,12,12,0.8383838383838383
6,37,71,4,12,12,0.8383838383838383
6,38,72,3,12,12,0.8484848484848485
6,39,71,4,9,15,0.8686868686868687
6,40,75,0,11,13,0.8888888888888888
6,41,71,4,5,19,0.9090909090909091
6,42,70,5,4,20,0.9090909090909091
7,7,75,0,24,0,0.7575757575757576
7,8,75,0,24,0,0.7575757575757576
7,9,75,0,22,2,0.7777777777777778
7,10,75,0,22,2,0.7777777777777778
7,11,75,0,22,2,0.7777777777777778
7,12,75,0,22,2,0.7777777777777778
7,13,75,0,22,2,0.7777777777777778
7,14,75,0,22,2,0.7777777777777778
7,15,75,0,22,2,0.7777777777777778
7,16,75,0,22,2,0.7777777777777778
7,17,75,0,21,3,0.7878787878787878
7,18,75,0,21,3,0.7878787878787878
7,19,75,0,21,3,0.7878787878787878
7,20,75,0,21,3,0.7878787878787878
7,21,75,0,21,3,0.7878787878787878
7,22,75,0,21,3,0.7878787878787878
7,23,74,1,20,4,0.7878787878787878
7,24,72,3,16,8,0.8080808080808081
7,25,72,3,16,8,0.8080808080808081
7,26,71,4,15,9,0.8080808080808081
7,27,72,3,17,7,0.797979797979798
7,28,73,2,17,7,0.8080808080808081
7,29,75,0,17,7,0.8282828282828283
7,30,75,0,18,6,0.8181818181818182
7,31,73,2,17,7,0.8080808080808081
7,32,73,2,17,7,0.8080808080808081
7,33,73,2,16,8,0.8181818181818182
7,34,73,2,16,8,0.8181818181818182
7,35,73,2,16,8,0.8181818181818182
7,36,73,2,16,8,0.8181818181818182
7,37,73,2,16,8,0.8181818181818182
7,38,73,2,14,10,0.8383838383838383
7,39,70,5,7,17,0.8787878787878788
7,40,67,8,9,15,0.8282828282828283
7,41,73,2,5,19,0.9292929292929293
7,42,72,3,3,21,0.9393939393939394
8,8,75,0,24,0,0.7575757575757576
8,9,75,0,22,2,0.7777777777777778
8,10,75,0,22,2,0.7777777777777778
8,11,75,0,22,2,0.7777777777777778
8,12,75,0,22,2,0.7777777777777778
8,13,75,0,22,2,0.7777777777777778
8,14,75,0,22,2,0.7777777777777778
8,15,75,0,22,2,0.7777777777777778
8,16,75,0,22,2,0.7777777777777778
8,17,75,0,22,2,0.7777777777777778
8,18,75,0,22,2,0.7777777777777778
8,19,75,0,22,2,0.7777777777777778
8,20,75,0,21,3,0.7878787878787878
8,21,75,0,21,3,0.7878787878787878
8,22,75,0,21,3,0.7878787878787878
8,23,75,0,21,3,0.7878787878787878
8,24,75,0,18,6,0.8181818181818182
8,25,74,1,18,6,0.8080808080808081
8,26,74,1,18,6,0.8080808080808081
8,27,75,0,18,6,0.8181818181818182
8,28,75,0,18,6,0.8181818181818182
8,29,75,0,19,5,0.8080808080808081
8,30,75,0,19,5,0.8080808080808081
8,31,75,0,19,5,0.8080808080808081
8,32,75,0,19,5,0.8080808080808081
8,33,75,0,18,6,0.8181818181818182
8,34,75,0,18,6,0.8181818181818182
8,35,75,0,18,6,0.8181818181818182
8,36,75,0,18,6,0.8181818181818182
8,37,74,1,18,6,0.8080808080808081
8,38,72,3,13,11,0.8383838383838383
8,39,69,6,8,16,0.8585858585858586
8,40,70,5,9,15,0.8585858585858586
8,41,71,4,4,20,0.9191919191919192
8,42,73,2,4,20,0.9393939393939394
9,9,75,0,22,2,0.7777777777777778
9,10,75,0,22,2,0.7777777777777778
9,11,75,0,22,2,0.7777777777777778
9,12,75,0,22,2,0.7777777777777778
9,13,75,0,22,2,0.7777777777777778
9,14,75,0,22,2,0.7777777777777778
9,15,75,0,22,2,0.7777777777777778
9,16,75,0,22,2,0.7777777777777778
9,17,75,0,22,2,0.7777777777777778
9,18,75,0,22,2,0.7777777777777778
9,19,75,0,22,2,0.7777777777777778
9,20,75,0,21,3,0.7878787878787878
9,21,75,0,21,3,0.7878787878787878
9,22,75,0,21,3,0.7878787878787878
9,23,75,0,21,3,0.7878787878787878
9,24,74,1,18,6,0.8080808080808081
9,25,74,1,18,6,0.8080808080808081
9,26,74,1,18,6,0.8080808080808081
9,27,75,0,18,6,0.8181818181818182
9,28,75,0,18,6,0.8181818181818182
9,29,75,0,17,7,0.8282828282828283
9,30,75,0,19,5,0.8080808080808081
9,31,75,0,19,5,0.8080808080808081
9,32,75,0,17,7,0.8282828282828283
9,33,75,0,18,6,0.8181818181818182
9,34,75,0,18,6,0.8181818181818182
9,35,75,0,18,6,0.8181818181818182
9,36,75,0,18,6,0.8181818181818182
9,37,75,0,18,6,0.8181818181818182
9,38,72,3,13,11,0.8383838383838383
9,39,70,5,8,16,0.8686868686868687
9,40,69,6,8,16,0.8585858585858586
9,41,70,5,4,20,0.9090909090909091
9,42,73,2,4,20,0.9393939393939394
10,10,75,0,22,2,0.7777777777777778
10,11,75,0,22,2,0.7777777777777778
10,12,75,0,22,2,0.7777777777777778
10,13,75,0,22,2,0.7777777777777778
10,14,75,0,22,2,0.7777777777777778
10,15,75,0,22,2,0.7777777777777778
10,16,75,0,22,2,0.7777777777777778
10,17,75,0,22,2,0.7777777777777778
10,18,75,0,22,2,0.7777777777777778
10,19,75,0,22,2,0.7777777777777778
10,20,75,0,21,3,0.7878787878787878
10,21,75,0,21,3,0.7878787878787878
10,22,75,0,21,3,0.7878787878787878
10,23,75,0,21,3,0.7878787878787878
10,24,73,2,18,6,0.797979797979798
10,25,74,1,18,6,0.8080808080808081
10,26,74,1,18,6,0.8080808080808081
10,27,75,0,18,6,0.8181818181818182
10,28,75,0,18,6,0.8181818181818182
10,29,75,0,19,5,0.8080808080808081
10,30,75,0,19,5,0.8080808080808081
10,31,75,0,19,5,0.8080808080808081
10,32,75,0,19,5,0.8080808080808081
10,33,75,0,18,6,0.8181818181818182
10,34,75,0,18,6,0.8181818181818182
10,35,75,0,18,6,0.8181818181818182
10,36,75,0,18,6,0.8181818181818182
10,37,75,0,18,6,0.8181818181818182
10,38,72,3,13,11,0.8383838383838383
10,39,70,5,8,16,0.8686868686868687
10,40,69,6,8,16,0.8585858585858586
10,41,69,6,4,20,0.898989898989899
10,42,73,2,4,20,0.9393939393939394
11,11,75,0,22,2,0.7777777777777778
11,12,75,0,22,2,0.7777777777777778
11,13,75,0,22,2,0.7777777777777778
11,14,75,0,22,2,0.7777777777777778
11,15,75,0,22,2,0.7777777777777778
11,16,75,0,22,2,0.7777777777777778
11,17,75,0,22,2,0.7777777777777778
11,18,75,0,22,2,0.7777777777777778
11,19,75,0,22,2,0.7777777777777778
11,20,75,0,21,3,0.7878787878787878
11,21,75,0,21,3,0.7878787878787878
11,22,75,0,21,3,0.7878787878787878
11,23,75,0,21,3,0.7878787878787878
11,24,74,1,18,6,0.8080808080808081
11,25,73,2,16,8,0.8181818181818182
11,26,74,1,17,7,0.8181818181818182
11,27,75,0,18,6,0.8181818181818182
11,28,75,0,17,7,0.8282828282828283
11,29,75,0,19,5,0.8080808080808081
11,30,75,0,19,5,0.8080808080808081
11,31,75,0,19,5,0.8080808080808081
11,32,75,0,19,5,0.8080808080808081
11,33,75,0,18,6,0.8181818181818182
11,34,75,0,18,6,0.8181818181818182
11,35,75,0,18,6,0.8181818181818182
11,36,75,0,18,6,0.8181818181818182
11,37,75,0,18,6,0.8181818181818182
11,38,72,3,13,11,0.8383838383838383
11,39,70,5,9,15,0.8585858585858586
11,40,69,6,9,15,0.8484848484848485
11,41,70,5,4,20,0.9090909090909091
11,42,73,2,4,20,0.9393939393939394
12,12,75,0,24,0,0.7575757575757576
12,13,75,0,24,0,0.7575757575757576
12,14,75,0,24,0,0.7575757575757576
12,15,75,0,24,0,0.7575757575757576
12,16,75,0,24,0,0.7575757575757576
12,17,75,0,24,0,0.7575757575757576
12,18,75,0,24,0,0.7575757575757576
12,19,75,0,24,0,0.7575757575757576
12,20,75,0,23,1,0.7676767676767676
12,21,75,0,23,1,0.7676767676767676
12,22,75,0,23,1,0.7676767676767676
12,23,75,0,23,1,0.7676767676767676
12,24,75,0,20,4,0.797979797979798
12,25,74,1,19,5,0.797979797979798
12,26,74,1,19,5,0.797979797979798
12,27,75,0,20,4,0.797979797979798
12,28,75,0,20,4,0.797979797979798
12,29,75,0,20,4,0.797979797979798
12,30,75,0,21,3,0.7878787878787878
12,31,75,0,21,3,0.7878787878787878
12,32,75,0,21,3,0.7878787878787878
12,33,75,0,21,3,0.7878787878787878
12,34,75,0,21,3,0.7878787878787878
12,35,75,0,21,3,0.7878787878787878
12,36,75,0,19,5,0.8080808080808081
12,37,75,0,21,3,0.7878787878787878
12,38,72,3,15,9,0.8181818181818182
12,39,68,7,10,14,0.8282828282828283
12,40,72,3,10,14,0.8686868686868687
12,41,71,4,5,19,0.9090909090909091
12,42,72,3,5,19,0.9191919191919192
13,13,75,0,24,0,0.7575757575757576
13,14,75,0,24,0,0.7575757575757576
13,15,75,0,24,0,0.7575757575757576
13,16,75,0,24,0,0.7575757575757576
13,17,75,0,24,0,0.7575757575757576
13,18,75,0,24,0,0.7575757575757576
13,19,75,0,24,0,0.7575757575757576
13,20,75,0,23,1,0.7676767676767676
13,21,75,0,23,1,0.7676767676767676
13,22,75,0,23,1,0.7676767676767676
13,23,75,0,23,1,0.7676767676767676
13,24,75,0,20,4,0.797979797979798
13,25,74,1,20,4,0.7878787878787878
13,26,74,1,20,4,0.7878787878787878
13,27,75,0,20,4,0.797979797979798
13,28,75,0,20,4,0.797979797979798
13,29,75,0,19,5,0.8080808080808081
13,30,75,0,19,5,0.8080808080808081
13,31,75,0,19,5,0.8080808080808081
13,32,75,0,20,4,0.797979797979798
13,33,75,0,21,3,0.7878787878787878
13,34,75,0,19,5,0.8080808080808081
13,35,75,0,19,5,0.8080808080808081
13,36,75,0,19,5,0.8080808080808081
13,37,75,0,19,5,0.8080808080808081
13,38,70,5,14,10,0.8080808080808081
13,39,68,7,10,14,0.8282828282828283
13,40,72,3,9,15,0.8787878787878788
13,41,71,4,5,19,0.9090909090909091
13,42,72,3,5,19,0.9191919191919192
14,14,75,0,24,0,0.7575757575757576
14,15,75,0,24,0,0.7575757575757576
14,16,75,0,24,0,0.7575757575757576
14,17,75,0,24,0,0.7575757575757576
14,18,75,0,24,0,0.7575757575757576
14,19,75,0,24,0,0.7575757575757576
14,20,75,0,23,1,0.7676767676767676
14,21,75,0,23,1,0.7676767676767676
14,22,75,0,23,1,0.7676767676767676
14,23,75,0,23,1,0.7676767676767676
14,24,75,0,21,3,0.7878787878787878
14,25,74,1,20,4,0.7878787878787878
14,26,74,1,20,4,0.7878787878787878
14,27,75,0,20,4,0.797979797979798
14,28,73,2,20,4,0.7777777777777778
14,29,75,0,20,4,0.797979797979798
14,30,75,0,20,4,0.797979797979798
14,31,75,0,20,4,0.797979797979798
14,32,75,0,20,4,0.797979797979798
14,33,75,0,19,5,0.8080808080808081
14,34,75,0,19,5,0.8080808080808081
14,35,74,1,20,4,0.7878787878787878
