features_begin_index,features_mid_index,tn,fp,fn,tp,acc
1,1,86,5,13,15,0.8487394957983193
1,2,88,3,13,15,0.865546218487395
1,3,87,4,12,16,0.865546218487395
1,4,87,4,12,16,0.865546218487395
1,5,87,4,11,17,0.8739495798319328
1,6,87,4,10,18,0.8823529411764706
1,7,87,4,11,17,0.8739495798319328
1,8,87,4,11,17,0.8739495798319328
1,9,86,5,10,18,0.8739495798319328
1,10,87,4,8,20,0.8991596638655462
1,11,87,4,8,20,0.8991596638655462
1,12,87,4,8,20,0.8991596638655462
1,13,86,5,9,19,0.8823529411764706
1,14,86,5,9,19,0.8823529411764706
1,15,86,5,9,19,0.8823529411764706
1,16,86,5,9,19,0.8823529411764706
1,17,87,4,10,18,0.8823529411764706
1,18,87,4,9,19,0.8907563025210085
1,19,87,4,9,19,0.8907563025210085
1,20,85,6,9,19,0.8739495798319328
1,21,86,5,8,20,0.8907563025210085
1,22,87,4,7,21,0.907563025210084
1,23,87,4,7,21,0.907563025210084
1,24,87,4,7,21,0.907563025210084
1,25,86,5,7,21,0.8991596638655462
1,26,86,5,8,20,0.8907563025210085
1,27,87,4,8,20,0.8991596638655462
1,28,87,4,8,20,0.8991596638655462
1,29,86,5,7,21,0.8991596638655462
1,30,87,4,8,20,0.8991596638655462
1,31,87,4,8,20,0.8991596638655462
1,32,87,4,8,20,0.8991596638655462
1,33,87,4,8,20,0.8991596638655462
1,34,87,4,7,21,0.907563025210084
1,35,87,4,8,20,0.8991596638655462
1,36,87,4,8,20,0.8991596638655462
1,37,87,4,7,21,0.907563025210084
1,38,87,4,7,21,0.907563025210084
1,39,87,4,6,22,0.9159663865546218
1,40,87,4,6,22,0.9159663865546218
1,41,87,4,7,21,0.907563025210084
1,42,87,4,7,21,0.907563025210084
1,43,87,4,7,21,0.907563025210084
1,44,88,3,7,21,0.9159663865546218
1,45,86,5,7,21,0.8991596638655462
1,46,88,3,6,22,0.9243697478991597
1,47,89,2,2,26,0.9663865546218487
1,48,90,1,1,27,0.9831932773109243
2,2,91,0,28,0,0.7647058823529411
2,3,87,4,14,14,0.8487394957983193
2,4,85,6,11,17,0.8571428571428571
2,5,85,6,10,18,0.865546218487395
2,6,85,6,11,17,0.8571428571428571
2,7,85,6,10,18,0.865546218487395
2,8,85,6,10,18,0.865546218487395
2,9,88,3,9,19,0.8991596638655462
2,10,88,3,8,20,0.907563025210084
2,11,88,3,8,20,0.907563025210084
2,12,88,3,8,20,0.907563025210084
2,13,87,4,9,19,0.8907563025210085
2,14,87,4,9,19,0.8907563025210085
2,15,87,4,9,19,0.8907563025210085
2,16,87,4,9,19,0.8907563025210085
2,17,87,4,9,19,0.8907563025210085
2,18,87,4,9,19,0.8907563025210085
2,19,87,4,9,19,0.8907563025210085
2,20,87,4,9,19,0.8907563025210085
2,21,87,4,9,19,0.8907563025210085
