features_begin_index,features_mid_index,leaf_node_num,tn,fp,fn,tp,acc
1,1,3,87,4,10,18,0.8823529411764706
1,2,3,90,1,8,20,0.9243697478991597
1,3,3,90,1,6,22,0.9411764705882353
1,4,3,89,2,9,19,0.907563025210084
1,5,3,90,1,8,20,0.9243697478991597
1,6,3,88,3,5,23,0.9327731092436975
1,7,3,90,1,4,24,0.957983193277311
1,8,3,89,2,5,23,0.9411764705882353
1,9,3,90,1,5,23,0.9495798319327731
1,10,3,88,3,5,23,0.9327731092436975
1,11,3,90,1,5,23,0.9495798319327731
1,12,3,90,1,6,22,0.9411764705882353
1,13,3,89,2,5,23,0.9411764705882353
1,14,3,89,2,7,21,0.9243697478991597
1,15,3,89,2,5,23,0.9411764705882353
1,16,3,90,1,3,25,0.9663865546218487
1,17,3,89,2,4,24,0.9495798319327731
1,18,3,89,2,6,22,0.9327731092436975
1,19,3,89,2,5,23,0.9411764705882353
1,20,3,90,1,4,24,0.957983193277311
1,21,3,90,1,3,25,0.9663865546218487
1,22,3,89,2,5,23,0.9411764705882353
1,23,3,89,2,1,27,0.9747899159663865
1,24,3,89,2,5,23,0.9411764705882353
1,25,3,89,2,7,21,0.9243697478991597
1,26,3,90,1,1,27,0.9831932773109243
1,27,3,89,2,4,24,0.9495798319327731
1,28,3,90,1,5,23,0.9495798319327731
1,29,3,89,2,2,26,0.9663865546218487
1,30,3,89,2,2,26,0.9663865546218487
1,31,3,90,1,1,27,0.9831932773109243
1,32,3,89,2,2,26,0.9663865546218487
1,33,3,89,2,5,23,0.9411764705882353
1,34,3,89,2,3,25,0.957983193277311
1,35,3,89,2,3,25,0.957983193277311
1,36,3,89,2,3,25,0.957983193277311
1,37,3,89,2,3,25,0.957983193277311
1,38,3,90,1,2,26,0.9747899159663865
1,39,3,89,2,2,26,0.9663865546218487
1,40,3,89,2,4,24,0.9495798319327731
1,41,3,89,2,4,24,0.9495798319327731
1,42,3,88,3,3,25,0.9495798319327731
1,43,3,89,2,5,23,0.9411764705882353
1,44,3,89,2,4,24,0.9495798319327731
1,45,3,89,2,4,24,0.9495798319327731
1,46,3,89,2,5,23,0.9411764705882353
1,47,3,89,2,4,24,0.9495798319327731
1,48,3,91,0,6,22,0.9495798319327731
1,49,3,89,2,2,26,0.9663865546218487
1,50,3,90,1,5,23,0.9495798319327731
1,51,3,91,0,4,24,0.9663865546218487
1,52,3,91,0,4,24,0.9663865546218487
1,53,3,91,0,5,23,0.957983193277311
2,2,3,90,1,14,14,0.8739495798319328
2,3,3,90,1,6,22,0.9411764705882353
2,4,3,89,2,6,22,0.9327731092436975
2,5,3,89,2,6,22,0.9327731092436975
2,6,3,89,2,4,24,0.9495798319327731
2,7,3,87,4,5,23,0.9243697478991597
2,8,3,88,3,4,24,0.9411764705882353
2,9,3,89,2,5,23,0.9411764705882353
2,10,3,88,3,5,23,0.9327731092436975
2,11,3,89,2,2,26,0.9663865546218487
2,12,3,88,3,5,23,0.9327731092436975
2,13,3,88,3,3,25,0.9495798319327731
2,14,3,88,3,3,25,0.9495798319327731
2,15,3,88,3,4,24,0.9411764705882353
2,16,3,88,3,3,25,0.9495798319327731
2,17,3,90,1,2,26,0.9747899159663865
2,18,3,89,2,3,25,0.957983193277311
2,19,3,90,1,3,25,0.9663865546218487
2,20,3,88,3,3,25,0.9495798319327731
2,21,3,89,2,4,24,0.9495798319327731
2,22,3,89,2,3,25,0.957983193277311
2,23,3,89,2,6,22,0.9327731092436975
2,24,3,89,2,5,23,0.9411764705882353
2,25,3,89,2,5,23,0.9411764705882353
2,26,3,89,2,4,24,0.9495798319327731
2,27,3,89,2,4,24,0.9495798319327731
2,28,3,88,3,2,26,0.957983193277311
2,29,3,89,2,1,27,0.9747899159663865
2,30,3,89,2,6,22,0.9327731092436975
2,31,3,91,0,4,24,0.9663865546218487
2,32,3,89,2,7,21,0.9243697478991597
2,33,3,89,2,2,26,0.9663865546218487
2,34,3,89,2,3,25,0.957983193277311
2,35,3,89,2,2,26,0.9663865546218487
2,36,3,89,2,2,26,0.9663865546218487
2,37,3,88,3,1,27,0.9663865546218487
2,38,3,90,1,1,27,0.9831932773109243
2,39,3,89,2,4,24,0.9495798319327731
2,40,3,89,2,3,25,0.957983193277311
2,41,3,89,2,4,24,0.9495798319327731
2,42,3,89,2,6,22,0.9327731092436975
2,43,3,89,2,3,25,0.957983193277311
2,44,3,90,1,4,24,0.957983193277311
2,45,3,89,2,4,24,0.9495798319327731
2,46,3,89,2,7,21,0.9243697478991597
2,47,3,90,1,3,25,0.9663865546218487
2,48,3,90,1,4,24,0.957983193277311
2,49,3,90,1,6,22,0.9411764705882353
2,50,3,89,2,3,25,0.957983193277311
2,51,3,89,2,5,23,0.9411764705882353
2,52,3,90,1,4,24,0.957983193277311
2,53,3,91,0,5,23,0.957983193277311
3,3,3,86,5,8,20,0.8907563025210085
3,4,3,88,3,7,21,0.9159663865546218
3,5,3,87,4,7,21,0.907563025210084
3,6,3,89,2,7,21,0.9243697478991597
3,7,3,88,3,4,24,0.9411764705882353
3,8,3,89,2,5,23,0.9411764705882353
3,9,3,88,3,5,23,0.9327731092436975
3,10,3,88,3,3,25,0.9495798319327731
3,11,3,89,2,4,24,0.9495798319327731
3,12,3,89,2,3,25,0.957983193277311
3,13,3,89,2,8,20,0.9159663865546218
3,14,3,88,3,5,23,0.9327731092436975
3,15,3,89,2,4,24,0.9495798319327731
3,16,3,88,3,2,26,0.957983193277311
3,17,3,88,3,4,24,0.9411764705882353
3,18,3,89,2,4,24,0.9495798319327731
3,19,3,88,3,1,27,0.9663865546218487
3,20,3,89,2,5,23,0.9411764705882353
3,21,3,89,2,4,24,0.9495798319327731
3,22,3,88,3,4,24,0.9411764705882353
3,23,3,88,3,6,22,0.9243697478991597
3,24,3,89,2,4,24,0.9495798319327731
3,25,3,88,3,4,24,0.9411764705882353
3,26,3,89,2,1,27,0.9747899159663865
3,27,3,89,2,4,24,0.9495798319327731
3,28,3,89,2,6,22,0.9327731092436975
3,29,3,89,2,3,25,0.957983193277311
3,30,3,89,2,1,27,0.9747899159663865
3,31,3,89,2,3,25,0.957983193277311
3,32,3,88,3,4,24,0.9411764705882353
3,33,3,90,1,2,26,0.9747899159663865
3,34,3,89,2,2,26,0.9663865546218487
3,35,3,89,2,1,27,0.9747899159663865
3,36,3,89,2,6,22,0.9327731092436975
3,37,3,89,2,4,24,0.9495798319327731
3,38,3,90,1,4,24,0.957983193277311
3,39,3,88,3,4,24,0.9411764705882353
3,40,3,89,2,6,22,0.9327731092436975
3,41,3,89,2,3,25,0.957983193277311
3,42,3,90,1,2,26,0.9747899159663865
3,43,3,89,2,3,25,0.957983193277311
3,44,3,89,2,2,26,0.9663865546218487
3,45,3,89,2,5,23,0.9411764705882353
3,46,3,89,2,5,23,0.9411764705882353
3,47,3,90,1,5,23,0.9495798319327731
3,48,3,91,0,6,22,0.9495798319327731
3,49,3,90,1,6,22,0.9411764705882353
3,50,3,91,0,4,24,0.9663865546218487
3,51,3,90,1,4,24,0.957983193277311
3,52,3,89,2,2,26,0.9663865546218487
3,53,3,91,0,6,22,0.9495798319327731
4,4,3,86,5,11,17,0.865546218487395
4,5,3,88,3,10,18,0.8907563025210085
4,6,3,89,2,8,20,0.9159663865546218
4,7,3,89,2,5,23,0.9411764705882353
4,8,3,88,3,5,23,0.9327731092436975
4,9,3,89,2,6,22,0.9327731092436975
4,10,3,89,2,5,23,0.9411764705882353
4,11,3,89,2,7,21,0.9243697478991597
4,12,3,89,2,5,23,0.9411764705882353
4,13,3,89,2,3,25,0.957983193277311
4,14,3,88,3,4,24,0.9411764705882353
4,15,3,89,2,4,24,0.9495798319327731
4,16,3,90,1,6,22,0.9411764705882353
4,17,3,89,2,5,23,0.9411764705882353
4,18,3,89,2,4,24,0.9495798319327731
4,19,3,89,2,2,26,0.9663865546218487
4,20,3,87,4,2,26,0.9495798319327731
4,21,3,89,2,6,22,0.9327731092436975
4,22,3,88,3,7,21,0.9159663865546218
4,23,3,89,2,5,23,0.9411764705882353
4,24,3,87,4,7,21,0.907563025210084
4,25,3,90,1,6,22,0.9411764705882353
4,26,3,89,2,3,25,0.957983193277311
4,27,3,90,1,6,22,0.9411764705882353
4,28,3,89,2,6,22,0.9327731092436975
4,29,3,89,2,4,24,0.9495798319327731
4,30,3,90,1,3,25,0.9663865546218487
4,31,3,89,2,3,25,0.957983193277311
4,32,3,89,2,2,26,0.9663865546218487
4,33,3,89,2,6,22,0.9327731092436975
4,34,3,89,2,1,27,0.9747899159663865
4,35,3,90,1,7,21,0.9327731092436975
4,36,3,89,2,8,20,0.9159663865546218
4,37,3,89,2,7,21,0.9243697478991597
4,38,3,88,3,4,24,0.9411764705882353
4,39,3,89,2,4,24,0.9495798319327731
4,40,3,89,2,4,24,0.9495798319327731
4,41,3,89,2,4,24,0.9495798319327731
4,42,3,89,2,4,24,0.9495798319327731
4,43,3,90,1,5,23,0.9495798319327731
4,44,3,89,2,2,26,0.9663865546218487
4,45,3,89,2,3,25,0.957983193277311
4,46,3,89,2,4,24,0.9495798319327731
4,47,3,90,1,5,23,0.9495798319327731
4,48,3,90,1,5,23,0.9495798319327731
4,49,3,91,0,6,22,0.9495798319327731
4,50,3,88,3,7,21,0.9159663865546218
4,51,3,91,0,7,21,0.9411764705882353
