features_begin_index,features_mid_index,leaf_node_num,tn,fp,fn,tp,acc
1,1,3,87,4,7,21,0.907563025210084
1,2,3,89,2,6,22,0.9327731092436975
1,3,3,87,4,5,23,0.9243697478991597
1,4,3,88,3,5,23,0.9327731092436975
1,5,3,88,3,4,24,0.9411764705882353
1,6,3,89,2,5,23,0.9411764705882353
1,7,3,89,2,4,24,0.9495798319327731
1,8,3,89,2,5,23,0.9411764705882353
1,9,3,88,3,5,23,0.9327731092436975
1,10,3,88,3,5,23,0.9327731092436975
1,11,3,89,2,4,24,0.9495798319327731
1,12,3,88,3,5,23,0.9327731092436975
1,13,3,89,2,5,23,0.9411764705882353
1,14,3,88,3,3,25,0.9495798319327731
1,15,3,89,2,3,25,0.957983193277311
1,16,3,89,2,2,26,0.9663865546218487
1,17,3,89,2,3,25,0.957983193277311
1,18,3,89,2,4,24,0.9495798319327731
1,19,3,89,2,3,25,0.957983193277311
1,20,3,89,2,4,24,0.9495798319327731
1,21,3,89,2,2,26,0.9663865546218487
1,22,3,88,3,3,25,0.9495798319327731
1,23,3,89,2,3,25,0.957983193277311
1,24,3,89,2,3,25,0.957983193277311
1,25,3,89,2,3,25,0.957983193277311
1,26,3,89,2,2,26,0.9663865546218487
1,27,3,89,2,2,26,0.9663865546218487
1,28,3,90,1,4,24,0.957983193277311
1,29,3,89,2,3,25,0.957983193277311
1,30,3,89,2,3,25,0.957983193277311
1,31,3,89,2,3,25,0.957983193277311
1,32,3,89,2,3,25,0.957983193277311
1,33,3,89,2,2,26,0.9663865546218487
1,34,3,89,2,3,25,0.957983193277311
1,35,3,89,2,2,26,0.9663865546218487
1,36,3,89,2,2,26,0.9663865546218487
1,37,3,89,2,2,26,0.9663865546218487
1,38,3,89,2,4,24,0.9495798319327731
1,39,3,89,2,4,24,0.9495798319327731
1,40,3,89,2,2,26,0.9663865546218487
1,41,3,89,2,3,25,0.957983193277311
1,42,3,88,3,3,25,0.9495798319327731
1,43,3,90,1,4,24,0.957983193277311
1,44,3,89,2,1,27,0.9747899159663865
1,45,3,88,3,3,25,0.9495798319327731
1,46,3,89,2,3,25,0.957983193277311
1,47,3,89,2,3,25,0.957983193277311
1,48,3,89,2,6,22,0.9327731092436975
1,49,3,90,1,3,25,0.9663865546218487
1,50,3,89,2,4,24,0.9495798319327731
1,51,3,91,0,2,26,0.9831932773109243
1,52,3,89,2,4,24,0.9495798319327731
1,53,3,90,1,3,25,0.9663865546218487
2,2,3,89,2,17,11,0.8403361344537815
2,3,3,86,5,4,24,0.9243697478991597
2,4,3,88,3,6,22,0.9243697478991597
2,5,3,89,2,6,22,0.9327731092436975
2,6,3,88,3,5,23,0.9327731092436975
2,7,3,89,2,6,22,0.9327731092436975
2,8,3,89,2,4,24,0.9495798319327731
2,9,3,89,2,5,23,0.9411764705882353
2,10,3,88,3,4,24,0.9411764705882353
2,11,3,89,2,4,24,0.9495798319327731
2,12,3,89,2,7,21,0.9243697478991597
2,13,3,89,2,4,24,0.9495798319327731
2,14,3,89,2,3,25,0.957983193277311
2,15,3,88,3,3,25,0.9495798319327731
2,16,3,87,4,2,26,0.9495798319327731
2,17,3,88,3,4,24,0.9411764705882353
2,18,3,89,2,4,24,0.9495798319327731
2,19,3,89,2,5,23,0.9411764705882353
2,20,3,88,3,5,23,0.9327731092436975
2,21,3,89,2,3,25,0.957983193277311
2,22,3,89,2,4,24,0.9495798319327731
2,23,3,89,2,4,24,0.9495798319327731
2,24,3,89,2,4,24,0.9495798319327731
2,25,3,89,2,4,24,0.9495798319327731
2,26,3,89,2,3,25,0.957983193277311
2,27,3,89,2,4,24,0.9495798319327731
2,28,3,88,3,4,24,0.9411764705882353
2,29,3,87,4,4,24,0.9327731092436975
2,30,3,89,2,3,25,0.957983193277311
2,31,3,89,2,4,24,0.9495798319327731
2,32,3,89,2,3,25,0.957983193277311
2,33,3,89,2,5,23,0.9411764705882353
2,34,3,87,4,3,25,0.9411764705882353
2,35,3,89,2,4,24,0.9495798319327731
2,36,3,89,2,3,25,0.957983193277311
2,37,3,90,1,2,26,0.9747899159663865
2,38,3,89,2,5,23,0.9411764705882353
2,39,3,89,2,4,24,0.9495798319327731
2,40,3,89,2,3,25,0.957983193277311
2,41,3,90,1,3,25,0.9663865546218487
2,42,3,89,2,4,24,0.9495798319327731
2,43,3,89,2,4,24,0.9495798319327731
2,44,3,89,2,4,24,0.9495798319327731
2,45,3,89,2,3,25,0.957983193277311
2,46,3,90,1,3,25,0.9663865546218487
2,47,3,89,2,4,24,0.9495798319327731
2,48,3,88,3,3,25,0.9495798319327731
2,49,3,89,2,5,23,0.9411764705882353
2,50,3,90,1,2,26,0.9747899159663865
2,51,3,89,2,4,24,0.9495798319327731
2,52,3,91,0,6,22,0.9495798319327731
2,53,3,90,1,5,23,0.9495798319327731
3,3,3,84,7,3,25,0.9159663865546218
3,4,3,89,2,7,21,0.9243697478991597
3,5,3,87,4,4,24,0.9327731092436975
3,6,3,88,3,4,24,0.9411764705882353
3,7,3,89,2,7,21,0.9243697478991597
3,8,3,88,3,6,22,0.9243697478991597
3,9,3,88,3,5,23,0.9327731092436975
3,10,3,88,3,5,23,0.9327731092436975
3,11,3,88,3,5,23,0.9327731092436975
3,12,3,89,2,4,24,0.9495798319327731
3,13,3,89,2,4,24,0.9495798319327731
3,14,3,89,2,4,24,0.9495798319327731
3,15,3,88,3,4,24,0.9411764705882353
3,16,3,90,1,5,23,0.9495798319327731
3,17,3,89,2,3,25,0.957983193277311
3,18,3,89,2,6,22,0.9327731092436975
3,19,3,88,3,5,23,0.9327731092436975
3,20,3,89,2,3,25,0.957983193277311
3,21,3,89,2,3,25,0.957983193277311
3,22,3,87,4,3,25,0.9411764705882353
3,23,3,89,2,5,23,0.9411764705882353
3,24,3,89,2,3,25,0.957983193277311
3,25,3,89,2,5,23,0.9411764705882353
3,26,3,89,2,3,25,0.957983193277311
3,27,3,89,2,4,24,0.9495798319327731
3,28,3,90,1,3,25,0.9663865546218487
3,29,3,88,3,4,24,0.9411764705882353
3,30,3,88,3,4,24,0.9411764705882353
3,31,3,90,1,3,25,0.9663865546218487
3,32,3,88,3,4,24,0.9411764705882353
3,33,3,90,1,4,24,0.957983193277311
3,34,3,88,3,3,25,0.9495798319327731
3,35,3,89,2,4,24,0.9495798319327731
3,36,3,89,2,2,26,0.9663865546218487
3,37,3,89,2,5,23,0.9411764705882353
3,38,3,90,1,4,24,0.957983193277311
3,39,3,89,2,3,25,0.957983193277311
3,40,3,90,1,2,26,0.9747899159663865
3,41,3,89,2,3,25,0.957983193277311
3,42,3,89,2,3,25,0.957983193277311
3,43,3,88,3,3,25,0.9495798319327731
3,44,3,88,3,4,24,0.9411764705882353
3,45,3,89,2,3,25,0.957983193277311
3,46,3,89,2,2,26,0.9663865546218487
3,47,3,90,1,4,24,0.957983193277311
3,48,3,90,1,5,23,0.9495798319327731
3,49,3,91,0,4,24,0.9663865546218487
3,50,3,91,0,6,22,0.9495798319327731
3,51,3,89,2,4,24,0.9495798319327731
3,52,3,89,2,3,25,0.957983193277311
3,53,3,90,1,3,25,0.9663865546218487
4,4,3,86,5,5,23,0.9159663865546218
4,5,3,90,1,6,22,0.9411764705882353
4,6,3,88,3,6,22,0.9243697478991597
4,7,3,89,2,7,21,0.9243697478991597
4,8,3,89,2,5,23,0.9411764705882353
4,9,3,88,3,6,22,0.9243697478991597
4,10,3,89,2,6,22,0.9327731092436975
4,11,3,89,2,7,21,0.9243697478991597
4,12,3,88,3,4,24,0.9411764705882353
4,13,3,88,3,3,25,0.9495798319327731
4,14,3,90,1,3,25,0.9663865546218487
4,15,3,88,3,3,25,0.9495798319327731
4,16,3,88,3,5,23,0.9327731092436975
4,17,3,88,3,5,23,0.9327731092436975
4,18,3,87,4,3,25,0.9411764705882353
4,19,3,89,2,4,24,0.9495798319327731
4,20,3,89,2,4,24,0.9495798319327731
4,21,3,89,2,3,25,0.957983193277311
4,22,3,89,2,4,24,0.9495798319327731
4,23,3,87,4,4,24,0.9327731092436975
4,24,3,88,3,4,24,0.9411764705882353
4,25,3,88,3,3,25,0.9495798319327731
4,26,3,89,2,3,25,0.957983193277311
4,27,3,88,3,5,23,0.9327731092436975
4,28,3,89,2,4,24,0.9495798319327731
4,29,3,89,2,5,23,0.9411764705882353
4,30,3,89,2,3,25,0.957983193277311
4,31,3,88,3,5,23,0.9327731092436975
4,32,3,89,2,3,25,0.957983193277311
4,33,3,89,2,3,25,0.957983193277311
4,34,3,89,2,4,24,0.9495798319327731
4,35,3,89,2,5,23,0.9411764705882353
4,36,3,89,2,6,22,0.9327731092436975
4,37,3,89,2,5,23,0.9411764705882353
4,38,3,90,1,5,23,0.9495798319327731
4,39,3,90,1,4,24,0.957983193277311
4,40,3,89,2,3,25,0.957983193277311
4,41,3,89,2,4,24,0.9495798319327731
4,42,3,89,2,3,25,0.957983193277311
4,43,3,89,2,4,24,0.9495798319327731
4,44,3,89,2,4,24,0.9495798319327731
4,45,3,90,1,7,21,0.9327731092436975
4,46,3,89,2,4,24,0.9495798319327731
4,47,3,87,4,5,23,0.9243697478991597
4,48,3,89,2,4,24,0.9495798319327731
4,49,3,90,1,2,26,0.9747899159663865
4,50,3,90,1,5,23,0.9495798319327731
4,51,3,90,1,3,25,0.9663865546218487
4,52,3,89,2,3,25,0.957983193277311
4,53,3,90,1,3,25,0.9663865546218487
5,5,3,88,3,10,18,0.8907563025210085
5,6,3,89,2,4,24,0.9495798319327731
5,7,3,88,3,6,22,0.9243697478991597
5,8,3,88,3,4,24,0.9411764705882353
5,9,3,89,2,4,24,0.9495798319327731
5,10,3,88,3,6,22,0.9243697478991597
5,11,3,89,2,7,21,0.9243697478991597
5,12,3,89,2,9,19,0.907563025210084
5,13,3,89,2,5,23,0.9411764705882353
5,14,3,86,5,3,25,0.9327731092436975
5,15,3,87,4,4,24,0.9327731092436975
5,16,3,88,3,6,22,0.9243697478991597
5,17,3,89,2,5,23,0.9411764705882353
5,18,3,88,3,4,24,0.9411764705882353
5,19,3,87,4,5,23,0.9243697478991597
5,20,3,89,2,5,23,0.9411764705882353
5,21,3,89,2,5,23,0.9411764705882353
5,22,3,87,4,6,22,0.9159663865546218
5,23,3,89,2,6,22,0.9327731092436975
5,24,3,87,4,4,24,0.9327731092436975
5,25,3,89,2,6,22,0.9327731092436975
5,26,3,88,3,6,22,0.9243697478991597
5,27,3,89,2,4,24,0.9495798319327731
5,28,3,88,3,6,22,0.9243697478991597
5,29,3,90,1,4,24,0.957983193277311
5,30,3,89,2,4,24,0.9495798319327731
5,31,3,90,1,5,23,0.9495798319327731
5,32,3,90,1,4,24,0.957983193277311
5,33,3,88,3,6,22,0.9243697478991597
5,34,3,89,2,4,24,0.9495798319327731
5,35,3,89,2,7,21,0.9243697478991597
5,36,3,87,4,5,23,0.9243697478991597
5,37,3,89,2,6,22,0.9327731092436975
5,38,3,89,2,5,23,0.9411764705882353
5,39,3,89,2,4,24,0.9495798319327731
5,40,3,89,2,4,24,0.9495798319327731
5,41,3,88,3,6,22,0.9243697478991597
5,42,3,89,2,7,21,0.9243697478991597
5,43,3,88,3,6,22,0.9243697478991597
5,44,3,88,3,6,22,0.9243697478991597
5,45,3,89,2,5,23,0.9411764705882353
5,46,3,91,0,8,20,0.9327731092436975
5,47,3,90,1,8,20,0.9243697478991597
5,48,3,90,1,7,21,0.9327731092436975
5,49,3,91,0,6,22,0.9495798319327731
5,50,3,91,0,4,24,0.9663865546218487
5,51,3,90,1,6,22,0.9411764705882353
5,52,3,91,0,7,21,0.9411764705882353
5,53,3,91,0,3,25,0.9747899159663865
6,6,3,89,2,5,23,0.9411764705882353
6,7,3,89,2,7,21,0.9243697478991597
6,8,3,89,2,8,20,0.9159663865546218
6,9,3,89,2,5,23,0.9411764705882353
6,10,3,88,3,5,23,0.9327731092436975
6,11,3,88,3,9,19,0.8991596638655462
6,12,3,90,1,7,21,0.9327731092436975
6,13,3,89,2,7,21,0.9243697478991597
6,14,3,89,2,6,22,0.9327731092436975
6,15,3,89,2,5,23,0.9411764705882353
6,16,3,88,3,5,23,0.9327731092436975
6,17,3,90,1,4,24,0.957983193277311
6,18,3,89,2,5,23,0.9411764705882353
6,19,3,89,2,5,23,0.9411764705882353
6,20,3,89,2,6,22,0.9327731092436975
6,21,3,89,2,5,23,0.9411764705882353
6,22,3,89,2,6,22,0.9327731092436975
6,23,3,88,3,6,22,0.9243697478991597
6,24,3,88,3,7,21,0.9159663865546218
6,25,3,89,2,7,21,0.9243697478991597
6,26,3,90,1,6,22,0.9411764705882353
6,27,3,90,1,6,22,0.9411764705882353
6,28,3,89,2,5,23,0.9411764705882353
6,29,3,89,2,7,21,0.9243697478991597
6,30,3,89,2,6,22,0.9327731092436975
6,31,3,89,2,5,23,0.9411764705882353
6,32,3,88,3,5,23,0.9327731092436975
6,33,3,89,2,6,22,0.9327731092436975
6,34,3,90,1,6,22,0.9411764705882353
6,35,3,90,1,4,24,0.957983193277311
6,36,3,90,1,8,20,0.9243697478991597
6,37,3,89,2,7,21,0.9243697478991597
6,38,3,90,1,6,22,0.9411764705882353
6,39,3,90,1,6,22,0.9411764705882353
6,40,3,90,1,1,27,0.9831932773109243
6,41,3,89,2,6,22,0.9327731092436975
6,42,3,89,2,5,23,0.9411764705882353
6,43,3,91,0,5,23,0.957983193277311
6,44,3,89,2,5,23,0.9411764705882353
6,45,3,90,1,7,21,0.9327731092436975
6,46,3,89,2,5,23,0.9411764705882353
6,47,3,89,2,7,21,0.9243697478991597
6,48,3,90,1,5,23,0.9495798319327731
6,49,3,91,0,9,19,0.9243697478991597
6,50,3,89,2,4,24,0.9495798319327731
6,51,3,91,0,7,21,0.9411764705882353
6,52,3,91,0,3,25,0.9747899159663865
6,53,3,91,0,5,23,0.957983193277311
7,7,3,88,3,11,17,0.8823529411764706
7,8,3,87,4,8,20,0.8991596638655462
7,9,3,87,4,7,21,0.907563025210084
7,10,3,87,4,7,21,0.907563025210084
7,11,3,89,2,10,18,0.8991596638655462
7,12,3,90,1,9,19,0.9159663865546218
7,13,3,90,1,9,19,0.9159663865546218
7,14,3,91,0,11,17,0.907563025210084
7,15,3,88,3,6,22,0.9243697478991597
7,16,3,88,3,8,20,0.907563025210084
7,17,3,89,2,5,23,0.9411764705882353
7,18,3,89,2,5,23,0.9411764705882353
7,19,3,89,2,5,23,0.9411764705882353
7,20,3,89,2,6,22,0.9327731092436975
7,21,3,87,4,6,22,0.9159663865546218
7,22,3,89,2,5,23,0.9411764705882353
7,23,3,88,3,6,22,0.9243697478991597
7,24,3,88,3,7,21,0.9159663865546218
7,25,3,89,2,8,20,0.9159663865546218
7,26,3,89,2,6,22,0.9327731092436975
7,27,3,91,0,5,23,0.957983193277311
7,28,3,88,3,6,22,0.9243697478991597
7,29,3,89,2,6,22,0.9327731092436975
7,30,3,90,1,7,21,0.9327731092436975
7,31,3,88,3,7,21,0.9159663865546218
7,32,3,89,2,5,23,0.9411764705882353
7,33,3,89,2,9,19,0.907563025210084
7,34,3,89,2,6,22,0.9327731092436975
7,35,3,91,0,6,22,0.9495798319327731
7,36,3,90,1,7,21,0.9327731092436975
7,37,3,88,3,7,21,0.9159663865546218
7,38,3,91,0,6,22,0.9495798319327731
7,39,3,90,1,7,21,0.9327731092436975
7,40,3,87,4,7,21,0.907563025210084
7,41,3,88,3,6,22,0.9243697478991597
7,42,3,89,2,6,22,0.9327731092436975
7,43,3,89,2,7,21,0.9243697478991597
7,44,3,88,3,5,23,0.9327731092436975
7,45,3,90,1,8,20,0.9243697478991597
7,46,3,90,1,7,21,0.9327731092436975
7,47,3,88,3,7,21,0.9159663865546218
7,48,3,91,0,7,21,0.9411764705882353
7,49,3,89,2,8,20,0.9159663865546218
7,50,3,91,0,9,19,0.9243697478991597
7,51,3,91,0,6,22,0.9495798319327731
7,52,3,91,0,7,21,0.9411764705882353
7,53,3,91,0,4,24,0.9663865546218487
8,8,3,86,5,9,19,0.8823529411764706
8,9,3,89,2,10,18,0.8991596638655462
8,10,3,91,0,15,13,0.8739495798319328
8,11,3,90,1,10,18,0.907563025210084
8,12,3,91,0,11,17,0.907563025210084
8,13,3,91,0,14,14,0.8823529411764706
8,14,3,88,3,11,17,0.8823529411764706
8,15,3,89,2,11,17,0.8907563025210085
8,16,3,87,4,8,20,0.8991596638655462
8,17,3,88,3,9,19,0.8991596638655462
8,18,3,90,1,11,17,0.8991596638655462
8,19,3,90,1,6,22,0.9411764705882353
8,20,3,87,4,6,22,0.9159663865546218
8,21,3,87,4,7,21,0.907563025210084
8,22,3,90,1,7,21,0.9327731092436975
8,23,3,88,3,7,21,0.9159663865546218
8,24,3,87,4,5,23,0.9243697478991597
8,25,3,90,1,5,23,0.9495798319327731
8,26,3,89,2,6,22,0.9327731092436975
8,27,3,88,3,8,20,0.907563025210084
8,28,3,89,2,7,21,0.9243697478991597
8,29,3,90,1,8,20,0.9243697478991597
8,30,3,89,2,6,22,0.9327731092436975
8,31,3,89,2,5,23,0.9411764705882353
8,32,3,88,3,7,21,0.9159663865546218
8,33,3,91,0,7,21,0.9411764705882353
8,34,3,89,2,8,20,0.9159663865546218
8,35,3,90,1,6,22,0.9411764705882353
8,36,3,88,3,7,21,0.9159663865546218
8,37,3,91,0,8,20,0.9327731092436975
8,38,3,90,1,7,21,0.9327731092436975
8,39,3,90,1,5,23,0.9495798319327731
8,40,3,91,0,7,21,0.9411764705882353
8,41,3,90,1,5,23,0.9495798319327731
8,42,3,91,0,8,20,0.9327731092436975
