features_begin_index,features_mid_index,tn,fp,fn,tp,acc
1,1,86,5,6,22,0.907563025210084
1,2,88,3,4,24,0.9411764705882353
1,3,89,2,6,22,0.9327731092436975
1,4,89,2,7,21,0.9243697478991597
1,5,90,1,6,22,0.9411764705882353
1,6,90,1,6,22,0.9411764705882353
1,7,90,1,6,22,0.9411764705882353
1,8,90,1,6,22,0.9411764705882353
1,9,89,2,6,22,0.9327731092436975
1,10,90,1,7,21,0.9327731092436975
1,11,90,1,7,21,0.9327731092436975
1,12,90,1,7,21,0.9327731092436975
1,13,90,1,6,22,0.9411764705882353
1,14,90,1,5,23,0.9495798319327731
1,15,90,1,6,22,0.9411764705882353
1,16,90,1,5,23,0.9495798319327731
1,17,90,1,4,24,0.957983193277311
1,18,90,1,5,23,0.9495798319327731
1,19,90,1,4,24,0.957983193277311
1,20,90,1,4,24,0.957983193277311
1,21,90,1,4,24,0.957983193277311
1,22,90,1,4,24,0.957983193277311
1,23,90,1,4,24,0.957983193277311
1,24,90,1,4,24,0.957983193277311
1,25,90,1,4,24,0.957983193277311
1,26,90,1,4,24,0.957983193277311
1,27,90,1,4,24,0.957983193277311
1,28,90,1,4,24,0.957983193277311
1,29,90,1,4,24,0.957983193277311
1,30,90,1,4,24,0.957983193277311
1,31,90,1,3,25,0.9663865546218487
1,32,90,1,4,24,0.957983193277311
1,33,90,1,4,24,0.957983193277311
1,34,90,1,4,24,0.957983193277311
1,35,90,1,4,24,0.957983193277311
1,36,90,1,4,24,0.957983193277311
1,37,90,1,4,24,0.957983193277311
1,38,90,1,4,24,0.957983193277311
1,39,90,1,4,24,0.957983193277311
1,40,90,1,4,24,0.957983193277311
1,41,90,1,5,23,0.9495798319327731
1,42,90,1,6,22,0.9411764705882353
1,43,91,0,5,23,0.957983193277311
1,44,91,0,3,25,0.9747899159663865
1,45,90,1,3,25,0.9663865546218487
1,46,90,1,4,24,0.957983193277311
1,47,91,0,5,23,0.957983193277311
1,48,91,0,5,23,0.957983193277311
1,49,91,0,5,23,0.957983193277311
1,50,91,0,4,24,0.9663865546218487
1,51,91,0,5,23,0.957983193277311
1,52,91,0,5,23,0.957983193277311
1,53,91,0,4,24,0.9663865546218487
1,54,91,0,4,24,0.9663865546218487
2,2,91,0,28,0,0.7647058823529411
2,3,88,3,7,21,0.9159663865546218
2,4,87,4,7,21,0.907563025210084
2,5,87,4,6,22,0.9159663865546218
2,6,86,5,6,22,0.907563025210084
2,7,87,4,6,22,0.9159663865546218
2,8,88,3,6,22,0.9243697478991597
2,9,87,4,6,22,0.9159663865546218
2,10,89,2,7,21,0.9243697478991597
2,11,89,2,7,21,0.9243697478991597
2,12,89,2,7,21,0.9243697478991597
2,13,90,1,6,22,0.9411764705882353
2,14,90,1,5,23,0.9495798319327731
2,15,88,3,4,24,0.9411764705882353
2,16,90,1,5,23,0.9495798319327731
2,17,89,2,4,24,0.9495798319327731
2,18,90,1,4,24,0.957983193277311
2,19,89,2,5,23,0.9411764705882353
2,20,89,2,5,23,0.9411764705882353
2,21,89,2,5,23,0.9411764705882353
2,22,89,2,6,22,0.9327731092436975
2,23,89,2,6,22,0.9327731092436975
2,24,89,2,6,22,0.9327731092436975
2,25,89,2,6,22,0.9327731092436975
2,26,89,2,6,22,0.9327731092436975
2,27,90,1,6,22,0.9411764705882353
2,28,90,1,6,22,0.9411764705882353
2,29,90,1,6,22,0.9411764705882353
2,30,90,1,6,22,0.9411764705882353
2,31,90,1,6,22,0.9411764705882353
2,32,90,1,6,22,0.9411764705882353
2,33,90,1,6,22,0.9411764705882353
2,34,90,1,6,22,0.9411764705882353
2,35,90,1,6,22,0.9411764705882353
2,36,90,1,6,22,0.9411764705882353
2,37,90,1,6,22,0.9411764705882353
2,38,90,1,6,22,0.9411764705882353
2,39,90,1,6,22,0.9411764705882353
2,40,90,1,6,22,0.9411764705882353
2,41,90,1,6,22,0.9411764705882353
2,42,91,0,6,22,0.9495798319327731
2,43,90,1,6,22,0.9411764705882353
2,44,90,1,6,22,0.9411764705882353
2,45,90,1,6,22,0.9411764705882353
2,46,90,1,6,22,0.9411764705882353
2,47,90,1,6,22,0.9411764705882353
2,48,90,1,6,22,0.9411764705882353
2,49,90,1,6,22,0.9411764705882353
2,50,90,1,6,22,0.9411764705882353
2,51,90,1,6,22,0.9411764705882353
2,52,90,1,6,22,0.9411764705882353
2,53,91,0,6,22,0.9495798319327731
2,54,91,0,4,24,0.9663865546218487
3,3,83,8,6,22,0.8823529411764706
3,4,87,4,7,21,0.907563025210084
3,5,88,3,8,20,0.907563025210084
3,6,88,3,7,21,0.9159663865546218
3,7,87,4,7,21,0.907563025210084
3,8,88,3,7,21,0.9159663865546218
3,9,88,3,7,21,0.9159663865546218
3,10,89,2,7,21,0.9243697478991597
3,11,89,2,7,21,0.9243697478991597
3,12,89,2,7,21,0.9243697478991597
3,13,90,1,6,22,0.9411764705882353
3,14,90,1,5,23,0.9495798319327731
3,15,89,2,4,24,0.9495798319327731
3,16,90,1,5,23,0.9495798319327731
3,17,89,2,4,24,0.9495798319327731
3,18,90,1,4,24,0.957983193277311
3,19,90,1,5,23,0.9495798319327731
3,20,88,3,5,23,0.9327731092436975
3,21,87,4,5,23,0.9243697478991597
3,22,87,4,6,22,0.9159663865546218
3,23,88,3,6,22,0.9243697478991597
3,24,88,3,6,22,0.9243697478991597
3,25,88,3,5,23,0.9327731092436975
3,26,88,3,6,22,0.9243697478991597
3,27,89,2,6,22,0.9327731092436975
3,28,89,2,6,22,0.9327731092436975
3,29,90,1,6,22,0.9411764705882353
3,30,90,1,5,23,0.9495798319327731
3,31,89,2,5,23,0.9411764705882353
3,32,89,2,5,23,0.9411764705882353
3,33,89,2,6,22,0.9327731092436975
3,34,89,2,6,22,0.9327731092436975
3,35,89,2,6,22,0.9327731092436975
3,36,89,2,6,22,0.9327731092436975
3,37,89,2,6,22,0.9327731092436975
3,38,89,2,6,22,0.9327731092436975
3,39,89,2,6,22,0.9327731092436975
3,40,89,2,6,22,0.9327731092436975
3,41,89,2,6,22,0.9327731092436975
3,42,90,1,6,22,0.9411764705882353
3,43,89,2,6,22,0.9327731092436975
3,44,89,2,6,22,0.9327731092436975
