features_begin_index,features_mid_index,tn,fp,fn,tp,acc
1,1,77,14,12,16,0.7815126050420168
1,2,78,13,4,24,0.8571428571428571
1,3,83,8,3,25,0.907563025210084
1,4,79,12,6,22,0.8487394957983193
1,5,80,11,3,25,0.8823529411764706
1,6,82,9,5,23,0.8823529411764706
1,7,76,15,3,25,0.8487394957983193
1,8,81,10,4,24,0.8823529411764706
1,9,83,8,3,25,0.907563025210084
1,10,83,8,6,22,0.8823529411764706
1,11,84,7,6,22,0.8907563025210085
1,12,88,3,7,21,0.9159663865546218
1,13,85,6,6,22,0.8991596638655462
1,14,84,7,6,22,0.8907563025210085
1,15,84,7,7,21,0.8823529411764706
1,16,84,7,8,20,0.8739495798319328
1,17,84,7,9,19,0.865546218487395
1,18,84,7,8,20,0.8739495798319328
1,19,84,7,10,18,0.8571428571428571
1,20,84,7,10,18,0.8571428571428571
1,21,85,6,10,18,0.865546218487395
1,22,84,7,11,17,0.8487394957983193
1,23,84,7,11,17,0.8487394957983193
1,24,83,8,10,18,0.8487394957983193
1,25,83,8,10,18,0.8487394957983193
1,26,83,8,11,17,0.8403361344537815
1,27,83,8,11,17,0.8403361344537815
1,28,83,8,11,17,0.8403361344537815
1,29,83,8,10,18,0.8487394957983193
1,30,83,8,10,18,0.8487394957983193
1,31,84,7,10,18,0.8571428571428571
1,32,82,9,10,18,0.8403361344537815
1,33,82,9,10,18,0.8403361344537815
1,34,82,9,9,19,0.8487394957983193
1,35,80,11,7,21,0.8487394957983193
1,36,81,10,8,20,0.8487394957983193
1,37,80,11,8,20,0.8403361344537815
1,38,81,10,8,20,0.8487394957983193
1,39,80,11,8,20,0.8403361344537815
1,40,81,10,8,20,0.8487394957983193
1,41,81,10,9,19,0.8403361344537815
1,42,81,10,8,20,0.8487394957983193
1,43,82,9,7,21,0.865546218487395
1,44,81,10,7,21,0.8571428571428571
1,45,81,10,7,21,0.8571428571428571
1,46,81,10,7,21,0.8571428571428571
1,47,81,10,7,21,0.8571428571428571
1,48,81,10,7,21,0.8571428571428571
1,49,81,10,7,21,0.8571428571428571
1,50,82,9,7,21,0.865546218487395
1,51,83,8,5,23,0.8907563025210085
1,52,85,6,5,23,0.907563025210084
1,53,87,4,7,21,0.907563025210084
1,54,86,5,6,22,0.907563025210084
2,2,82,9,23,5,0.7310924369747899
2,3,88,3,9,19,0.8991596638655462
2,4,81,10,4,24,0.8823529411764706
2,5,83,8,6,22,0.8823529411764706
2,6,83,8,7,21,0.8739495798319328
2,7,81,10,4,24,0.8823529411764706
2,8,82,9,5,23,0.8823529411764706
2,9,82,9,5,23,0.8823529411764706
2,10,83,8,6,22,0.8823529411764706
2,11,83,8,5,23,0.8907563025210085
2,12,83,8,5,23,0.8907563025210085
2,13,84,7,7,21,0.8823529411764706
2,14,83,8,8,20,0.865546218487395
2,15,84,7,9,19,0.865546218487395
2,16,83,8,9,19,0.8571428571428571
2,17,83,8,9,19,0.8571428571428571
2,18,83,8,10,18,0.8487394957983193
2,19,84,7,11,17,0.8487394957983193
2,20,84,7,11,17,0.8487394957983193
2,21,81,10,10,18,0.8319327731092437
2,22,83,8,10,18,0.8487394957983193
2,23,83,8,10,18,0.8487394957983193
2,24,83,8,10,18,0.8487394957983193
2,25,83,8,10,18,0.8487394957983193
2,26,83,8,10,18,0.8487394957983193
2,27,82,9,12,16,0.8235294117647058
2,28,82,9,11,17,0.8319327731092437
2,29,82,9,10,18,0.8403361344537815
2,30,83,8,11,17,0.8403361344537815
2,31,82,9,11,17,0.8319327731092437
2,32,81,10,10,18,0.8319327731092437
2,33,81,10,10,18,0.8319327731092437
2,34,80,11,10,18,0.8235294117647058
2,35,80,11,9,19,0.8319327731092437
2,36,80,11,8,20,0.8403361344537815
2,37,81,10,10,18,0.8319327731092437
2,38,85,6,10,18,0.865546218487395
2,39,81,10,10,18,0.8319327731092437
2,40,81,10,10,18,0.8319327731092437
2,41,82,9,10,18,0.8403361344537815
2,42,82,9,10,18,0.8403361344537815
2,43,82,9,10,18,0.8403361344537815
2,44,81,10,7,21,0.8571428571428571
2,45,81,10,7,21,0.8571428571428571
2,46,81,10,6,22,0.865546218487395
2,47,81,10,7,21,0.8571428571428571
2,48,81,10,6,22,0.865546218487395
2,49,81,10,7,21,0.8571428571428571
2,50,84,7,8,20,0.8739495798319328
2,51,84,7,6,22,0.8907563025210085
2,52,84,7,5,23,0.8991596638655462
2,53,86,5,6,22,0.907563025210084
2,54,86,5,6,22,0.907563025210084
3,3,78,13,10,18,0.8067226890756303
3,4,76,15,9,19,0.7983193277310925
3,5,80,11,4,24,0.8739495798319328
3,6,80,11,9,19,0.8319327731092437
3,7,77,14,4,24,0.8487394957983193
3,8,80,11,5,23,0.865546218487395
3,9,80,11,5,23,0.865546218487395
3,10,84,7,6,22,0.8907563025210085
3,11,84,7,5,23,0.8991596638655462
3,12,84,7,5,23,0.8991596638655462
3,13,83,8,7,21,0.8739495798319328
3,14,82,9,8,20,0.8571428571428571
3,15,83,8,9,19,0.8571428571428571
3,16,82,9,9,19,0.8487394957983193
3,17,82,9,9,19,0.8487394957983193
3,18,83,8,9,19,0.8571428571428571
3,19,84,7,11,17,0.8487394957983193
3,20,84,7,10,18,0.8571428571428571
3,21,85,6,10,18,0.865546218487395
3,22,84,7,10,18,0.8571428571428571
3,23,83,8,10,18,0.8487394957983193
3,24,83,8,10,18,0.8487394957983193
3,25,83,8,9,19,0.8571428571428571
3,26,82,9,11,17,0.8319327731092437
3,27,82,9,11,17,0.8319327731092437
3,28,82,9,11,17,0.8319327731092437
3,29,82,9,11,17,0.8319327731092437
3,30,83,8,11,17,0.8403361344537815
3,31,82,9,10,18,0.8403361344537815
3,32,81,10,10,18,0.8319327731092437
3,33,82,9,10,18,0.8403361344537815
3,34,80,11,10,18,0.8235294117647058
3,35,80,11,9,19,0.8319327731092437
3,36,80,11,9,19,0.8319327731092437
3,37,81,10,10,18,0.8319327731092437
3,38,82,9,10,18,0.8403361344537815
3,39,83,8,10,18,0.8487394957983193
3,40,82,9,10,18,0.8403361344537815
3,41,82,9,10,18,0.8403361344537815
3,42,82,9,10,18,0.8403361344537815
3,43,82,9,10,18,0.8403361344537815
3,44,81,10,8,20,0.8487394957983193
3,45,81,10,6,22,0.865546218487395
3,46,80,11,6,22,0.8571428571428571
3,47,80,11,6,22,0.8571428571428571
3,48,80,11,6,22,0.8571428571428571
3,49,80,11,6,22,0.8571428571428571
3,50,83,8,6,22,0.8823529411764706
3,51,84,7,6,22,0.8907563025210085
3,52,85,6,5,23,0.907563025210084
3,53,87,4,6,22,0.9159663865546218
3,54,89,2,7,21,0.9243697478991597
4,4,78,13,14,14,0.773109243697479
4,5,79,12,5,23,0.8571428571428571
4,6,77,14,9,19,0.8067226890756303
4,7,80,11,7,21,0.8487394957983193
4,8,80,11,4,24,0.8739495798319328
4,9,80,11,5,23,0.865546218487395
4,10,81,10,6,22,0.865546218487395
4,11,85,6,7,21,0.8907563025210085
4,12,85,6,7,21,0.8907563025210085
4,13,84,7,7,21,0.8823529411764706
4,14,82,9,7,21,0.865546218487395
4,15,83,8,9,19,0.8571428571428571
4,16,83,8,9,19,0.8571428571428571
4,17,83,8,9,19,0.8571428571428571
4,18,83,8,9,19,0.8571428571428571
4,19,84,7,11,17,0.8487394957983193
4,20,85,6,10,18,0.865546218487395
4,21,85,6,11,17,0.8571428571428571
4,22,84,7,10,18,0.8571428571428571
4,23,84,7,10,18,0.8571428571428571
4,24,83,8,9,19,0.8571428571428571
4,25,83,8,9,19,0.8571428571428571
4,26,82,9,10,18,0.8403361344537815
4,27,82,9,11,17,0.8319327731092437
4,28,82,9,11,17,0.8319327731092437
4,29,83,8,12,16,0.8319327731092437
4,30,83,8,11,17,0.8403361344537815
4,31,82,9,11,17,0.8319327731092437
4,32,80,11,10,18,0.8235294117647058
4,33,83,8,11,17,0.8403361344537815
4,34,80,11,10,18,0.8235294117647058
4,35,80,11,11,17,0.8151260504201681
4,36,80,11,9,19,0.8319327731092437
4,37,80,11,9,19,0.8319327731092437
4,38,80,11,10,18,0.8235294117647058
4,39,82,9,10,18,0.8403361344537815
4,40,82,9,10,18,0.8403361344537815
4,41,82,9,10,18,0.8403361344537815
4,42,82,9,10,18,0.8403361344537815
4,43,82,9,9,19,0.8487394957983193
4,44,81,10,6,22,0.865546218487395
4,45,81,10,6,22,0.865546218487395
4,46,81,10,6,22,0.865546218487395
4,47,81,10,6,22,0.865546218487395
4,48,81,10,6,22,0.865546218487395
4,49,81,10,6,22,0.865546218487395
4,50,83,8,7,21,0.8739495798319328
4,51,83,8,6,22,0.8823529411764706
4,52,85,6,5,23,0.907563025210084
4,53,85,6,6,22,0.8991596638655462
4,54,85,6,6,22,0.8991596638655462
5,5,80,11,23,5,0.7142857142857143
5,6,82,9,7,21,0.865546218487395
5,7,82,9,8,20,0.8571428571428571
5,8,80,11,6,22,0.8571428571428571
5,9,80,11,9,19,0.8319327731092437
5,10,83,8,8,20,0.865546218487395
5,11,85,6,8,20,0.8823529411764706
5,12,86,5,8,20,0.8907563025210085
5,13,83,8,8,20,0.865546218487395
5,14,81,10,10,18,0.8319327731092437
5,15,82,9,9,19,0.8487394957983193
5,16,83,8,10,18,0.8487394957983193
5,17,82,9,10,18,0.8403361344537815
5,18,82,9,11,17,0.8319327731092437
5,19,83,8,10,18,0.8487394957983193
5,20,84,7,10,18,0.8571428571428571
5,21,82,9,10,18,0.8403361344537815
5,22,81,10,10,18,0.8319327731092437
5,23,84,7,10,18,0.8571428571428571
5,24,82,9,9,19,0.8487394957983193
5,25,82,9,9,19,0.8487394957983193
5,26,82,9,10,18,0.8403361344537815
5,27,82,9,11,17,0.8319327731092437
5,28,81,10,9,19,0.8403361344537815
5,29,83,8,9,19,0.8571428571428571
5,30,82,9,11,17,0.8319327731092437
5,31,81,10,9,19,0.8403361344537815
5,32,82,9,10,18,0.8403361344537815
5,33,80,11,8,20,0.8403361344537815
5,34,80,11,7,21,0.8487394957983193
5,35,82,9,7,21,0.865546218487395
5,36,81,10,7,21,0.8571428571428571
5,37,79,12,6,22,0.8487394957983193
5,38,80,11,6,22,0.8571428571428571
5,39,80,11,5,23,0.865546218487395
5,40,81,10,6,22,0.865546218487395
5,41,81,10,6,22,0.865546218487395
5,42,80,11,6,22,0.8571428571428571
5,43,80,11,5,23,0.865546218487395
5,44,79,12,5,23,0.8571428571428571
5,45,79,12,5,23,0.8571428571428571
5,46,79,12,5,23,0.8571428571428571
5,47,79,12,5,23,0.8571428571428571
5,48,79,12,5,23,0.8571428571428571
5,49,79,12,5,23,0.8571428571428571
5,50,83,8,7,21,0.8739495798319328
5,51,84,7,6,22,0.8907563025210085
5,52,87,4,7,21,0.907563025210084
5,53,88,3,9,19,0.8991596638655462
5,54,86,5,7,21,0.8991596638655462
6,6,75,16,11,17,0.773109243697479
6,7,74,17,9,19,0.7815126050420168
6,8,77,14,5,23,0.8403361344537815
6,9,78,13,7,21,0.8319327731092437
6,10,82,9,7,21,0.865546218487395
6,11,85,6,8,20,0.8823529411764706
6,12,86,5,9,19,0.8823529411764706
6,13,82,9,9,19,0.8487394957983193
6,14,81,10,10,18,0.8319327731092437
6,15,82,9,9,19,0.8487394957983193
6,16,81,10,10,18,0.8319327731092437
6,17,82,9,10,18,0.8403361344537815
6,18,82,9,11,17,0.8319327731092437
6,19,83,8,10,18,0.8487394957983193
6,20,83,8,10,18,0.8487394957983193
6,21,82,9,10,18,0.8403361344537815
6,22,82,9,10,18,0.8403361344537815
6,23,83,8,11,17,0.8403361344537815
6,24,83,8,10,18,0.8487394957983193
6,25,83,8,9,19,0.8571428571428571
6,26,82,9,10,18,0.8403361344537815
6,27,82,9,11,17,0.8319327731092437
6,28,82,9,10,18,0.8403361344537815
6,29,82,9,10,18,0.8403361344537815
6,30,84,7,11,17,0.8487394957983193
6,31,82,9,11,17,0.8319327731092437
6,32,82,9,10,18,0.8403361344537815
6,33,82,9,10,18,0.8403361344537815
6,34,81,10,10,18,0.8319327731092437
