features_begin_index,features_mid_index,tn,fp,fn,tp,acc
1,1,122,10,20,8,0.8125
1,2,120,12,19,9,0.80625
1,3,114,18,15,13,0.79375
1,4,111,21,11,17,0.8
1,5,108,24,10,18,0.7875
1,6,109,23,10,18,0.79375
1,7,108,24,8,20,0.8
1,8,108,24,8,20,0.8
1,9,107,25,8,20,0.79375
1,10,107,25,9,19,0.7875
1,11,107,25,8,20,0.79375
1,12,107,25,8,20,0.79375
1,13,107,25,8,20,0.79375
1,14,106,26,7,21,0.79375
1,15,106,26,7,21,0.79375
1,16,104,28,7,21,0.78125
1,17,103,29,7,21,0.775
1,18,101,31,6,22,0.76875
1,19,101,31,6,22,0.76875
1,20,102,30,6,22,0.775
1,21,102,30,6,22,0.775
1,22,102,30,6,22,0.775
1,23,102,30,6,22,0.775
1,24,102,30,7,21,0.76875
1,25,101,31,7,21,0.7625
1,26,101,31,7,21,0.7625
1,27,102,30,7,21,0.76875
1,28,104,28,7,21,0.78125
1,29,105,27,6,22,0.79375
1,30,106,26,8,20,0.7875
1,31,108,24,10,18,0.7875
1,32,108,24,10,18,0.7875
1,33,108,24,10,18,0.7875
1,34,108,24,10,18,0.7875
1,35,108,24,9,19,0.79375
1,36,109,23,11,17,0.7875
1,37,110,22,11,17,0.79375
1,38,111,21,11,17,0.8
1,39,111,21,13,15,0.7875
1,40,111,21,13,15,0.7875
1,41,110,22,13,15,0.78125
1,42,111,21,13,15,0.7875
1,43,111,21,13,15,0.7875
1,44,112,20,13,15,0.79375
1,45,112,20,13,15,0.79375
1,46,112,20,13,15,0.79375
1,47,112,20,13,15,0.79375
1,48,112,20,13,15,0.79375
1,49,112,20,11,17,0.80625
1,50,112,20,10,18,0.8125
1,51,110,22,8,20,0.8125
1,52,110,22,6,22,0.825
1,53,110,22,6,22,0.825
2,2,127,5,26,2,0.80625
2,3,119,13,17,11,0.8125
2,4,113,19,13,15,0.8
2,5,110,22,12,16,0.7875
2,6,107,25,11,17,0.775
2,7,109,23,11,17,0.7875
2,8,108,24,11,17,0.78125
2,9,108,24,10,18,0.7875
2,10,110,22,9,19,0.80625
2,11,109,23,8,20,0.80625
2,12,107,25,9,19,0.7875
2,13,107,25,9,19,0.7875
2,14,106,26,8,20,0.7875
2,15,106,26,8,20,0.7875
2,16,104,28,8,20,0.775
2,17,104,28,7,21,0.78125
2,18,104,28,7,21,0.78125
2,19,102,30,7,21,0.76875
2,20,101,31,7,21,0.7625
2,21,100,32,7,21,0.75625
2,22,102,30,7,21,0.76875
2,23,102,30,7,21,0.76875
2,24,102,30,7,21,0.76875
2,25,101,31,7,21,0.7625
2,26,102,30,7,21,0.76875
2,27,101,31,7,21,0.7625
2,28,104,28,8,20,0.775
2,29,106,26,8,20,0.7875
2,30,107,25,9,19,0.7875
2,31,108,24,10,18,0.7875
2,32,108,24,10,18,0.7875
2,33,108,24,10,18,0.7875
2,34,108,24,11,17,0.78125
2,35,110,22,11,17,0.79375
2,36,111,21,11,17,0.8
2,37,111,21,11,17,0.8
2,38,111,21,11,17,0.8
2,39,111,21,12,16,0.79375
2,40,111,21,13,15,0.7875
2,41,111,21,13,15,0.7875
2,42,111,21,13,15,0.7875
2,43,111,21,13,15,0.7875
2,44,111,21,13,15,0.7875
2,45,111,21,13,15,0.7875
2,46,112,20,13,15,0.79375
2,47,112,20,14,14,0.7875
2,48,112,20,13,15,0.79375
2,49,112,20,11,17,0.80625
2,50,112,20,10,18,0.8125
2,51,110,22,9,19,0.80625
2,52,110,22,6,22,0.825
2,53,110,22,6,22,0.825
3,3,126,6,21,7,0.83125
3,4,114,18,15,13,0.79375
3,5,113,19,14,14,0.79375
3,6,111,21,12,16,0.79375
3,7,110,22,11,17,0.79375
3,8,109,23,12,16,0.78125
3,9,108,24,10,18,0.7875
3,10,110,22,11,17,0.79375
3,11,108,24,10,18,0.7875
3,12,107,25,9,19,0.7875
3,13,107,25,9,19,0.7875
3,14,106,26,8,20,0.7875
3,15,107,25,9,19,0.7875
3,16,106,26,7,21,0.79375
3,17,105,27,7,21,0.7875
3,18,105,27,7,21,0.7875
3,19,102,30,6,22,0.775
3,20,103,29,7,21,0.775
3,21,102,30,7,21,0.76875
3,22,103,29,7,21,0.775
3,23,103,29,7,21,0.775
3,24,103,29,7,21,0.775
3,25,102,30,7,21,0.76875
3,26,103,29,7,21,0.775
3,27,103,29,7,21,0.775
3,28,104,28,8,20,0.775
3,29,105,27,7,21,0.7875
3,30,107,25,9,19,0.7875
3,31,108,24,10,18,0.7875
3,32,108,24,10,18,0.7875
3,33,108,24,10,18,0.7875
3,34,108,24,10,18,0.7875
3,35,110,22,11,17,0.79375
3,36,111,21,11,17,0.8
3,37,111,21,11,17,0.8
3,38,111,21,13,15,0.7875
3,39,111,21,13,15,0.7875
3,40,111,21,13,15,0.7875
3,41,111,21,13,15,0.7875
3,42,111,21,13,15,0.7875
3,43,111,21,13,15,0.7875
3,44,111,21,13,15,0.7875
3,45,112,20,13,15,0.79375
3,46,112,20,13,15,0.79375
3,47,112,20,13,15,0.79375
3,48,112,20,13,15,0.79375
3,49,112,20,11,17,0.80625
3,50,112,20,10,18,0.8125
3,51,110,22,9,19,0.80625
3,52,110,22,6,22,0.825
3,53,110,22,6,22,0.825
4,4,125,7,21,7,0.825
4,5,120,12,19,9,0.80625
4,6,112,20,14,14,0.7875
4,7,110,22,12,16,0.7875
4,8,108,24,12,16,0.775
4,9,110,22,12,16,0.7875
4,10,110,22,15,13,0.76875
4,11,108,24,11,17,0.78125
4,12,108,24,9,19,0.79375
4,13,107,25,9,19,0.7875
4,14,107,25,9,19,0.7875
4,15,107,25,9,19,0.7875
4,16,105,27,8,20,0.78125
4,17,105,27,8,20,0.78125
4,18,105,27,7,21,0.7875
4,19,103,29,7,21,0.775
4,20,104,28,7,21,0.78125
4,21,102,30,7,21,0.76875
4,22,103,29,7,21,0.775
4,23,103,29,7,21,0.775
4,24,104,28,7,21,0.78125
4,25,102,30,7,21,0.76875
4,26,103,29,7,21,0.775
4,27,103,29,7,21,0.775
4,28,104,28,8,20,0.775
4,29,105,27,8,20,0.78125
4,30,106,26,9,19,0.78125
4,31,108,24,10,18,0.7875
4,32,109,23,10,18,0.79375
4,33,109,23,9,19,0.8
4,34,109,23,9,19,0.8
4,35,110,22,10,18,0.8
4,36,111,21,12,16,0.79375
4,37,111,21,13,15,0.7875
4,38,111,21,13,15,0.7875
4,39,111,21,13,15,0.7875
4,40,111,21,13,15,0.7875
4,41,111,21,13,15,0.7875
4,42,111,21,13,15,0.7875
4,43,111,21,13,15,0.7875
4,44,111,21,13,15,0.7875
4,45,111,21,13,15,0.7875
4,46,112,20,13,15,0.79375
4,47,112,20,14,14,0.7875
4,48,112,20,13,15,0.79375
4,49,112,20,12,16,0.8
4,50,112,20,10,18,0.8125
4,51,111,21,10,18,0.80625
4,52,110,22,6,22,0.825
4,53,110,22,6,22,0.825
5,5,132,0,28,0,0.825
5,6,117,15,18,10,0.79375
5,7,115,17,15,13,0.8
5,8,115,17,14,14,0.80625
5,9,113,19,15,13,0.7875
5,10,114,18,18,10,0.775
5,11,112,20,12,16,0.8
5,12,109,23,10,18,0.79375
5,13,108,24,9,19,0.79375
5,14,106,26,8,20,0.7875
5,15,106,26,8,20,0.7875
5,16,105,27,9,19,0.775
5,17,105,27,9,19,0.775
5,18,105,27,8,20,0.78125
5,19,104,28,8,20,0.775
5,20,103,29,8,20,0.76875
5,21,101,31,8,20,0.75625
5,22,101,31,8,20,0.75625
5,23,101,31,8,20,0.75625
5,24,102,30,8,20,0.7625
5,25,103,29,8,20,0.76875
5,26,104,28,8,20,0.775
5,27,103,29,8,20,0.76875
5,28,106,26,9,19,0.78125
5,29,108,24,9,19,0.79375
5,30,109,23,10,18,0.79375
5,31,111,21,11,17,0.8
5,32,111,21,11,17,0.8
5,33,111,21,11,17,0.8
5,34,111,21,11,17,0.8
5,35,111,21,11,17,0.8
5,36,111,21,12,16,0.79375
5,37,111,21,13,15,0.7875
5,38,111,21,13,15,0.7875
5,39,111,21,13,15,0.7875
5,40,111,21,14,14,0.78125
5,41,111,21,14,14,0.78125
5,42,111,21,13,15,0.7875
5,43,111,21,13,15,0.7875
5,44,111,21,13,15,0.7875
5,45,111,21,14,14,0.78125
5,46,111,21,14,14,0.78125
5,47,112,20,14,14,0.7875
5,48,112,20,13,15,0.79375
5,49,112,20,11,17,0.80625
5,50,112,20,11,17,0.80625
5,51,112,20,10,18,0.8125
5,52,111,21,6,22,0.83125
5,53,112,20,6,22,0.8375
6,6,127,5,23,5,0.825
6,7,117,15,19,9,0.7875
6,8,115,17,19,9,0.775
6,9,114,18,17,11,0.78125
6,10,114,18,19,9,0.76875
6,11,112,20,12,16,0.8
6,12,109,23,11,17,0.7875
6,13,109,23,10,18,0.79375
6,14,106,26,10,18,0.775
6,15,106,26,11,17,0.76875
6,16,105,27,8,20,0.78125
6,17,105,27,8,20,0.78125
6,18,104,28,8,20,0.775
6,19,104,28,8,20,0.775
6,20,104,28,8,20,0.775
6,21,103,29,8,20,0.76875
6,22,102,30,8,20,0.7625
6,23,102,30,8,20,0.7625
6,24,103,29,8,20,0.76875
6,25,103,29,8,20,0.76875
6,26,104,28,8,20,0.775
6,27,104,28,8,20,0.775
