features_begin_index,features_mid_index,tn,fp,fn,tp,acc
2,2,141,14,17,11,0.830601092896
2,3,132,23,7,21,0.83606557377
2,4,131,24,6,22,0.83606557377
2,5,133,22,4,24,0.857923497268
2,6,128,27,3,25,0.83606557377
2,7,127,28,4,24,0.825136612022
2,8,127,28,4,24,0.825136612022
2,9,126,29,4,24,0.819672131148
2,10,125,30,4,24,0.814207650273
2,11,126,29,4,24,0.819672131148
2,12,125,30,4,24,0.814207650273
2,13,125,30,4,24,0.814207650273
2,14,124,31,4,24,0.808743169399
2,15,130,25,2,26,0.852459016393
2,16,135,20,3,25,0.874316939891
2,17,134,21,3,25,0.868852459016
2,18,136,19,3,25,0.879781420765
2,19,138,17,3,25,0.890710382514
3,3,147,8,16,12,0.868852459016
3,4,134,21,8,20,0.841530054645
3,5,132,23,4,24,0.852459016393
3,6,131,24,4,24,0.846994535519
3,7,127,28,4,24,0.825136612022
3,8,128,27,4,24,0.830601092896
3,9,127,28,4,24,0.825136612022
3,10,126,29,4,24,0.819672131148
3,11,126,29,4,24,0.819672131148
3,12,125,30,4,24,0.814207650273
3,13,125,30,4,24,0.814207650273
3,14,126,29,4,24,0.819672131148
3,15,129,26,5,23,0.830601092896
3,16,136,19,3,25,0.879781420765
3,17,136,19,3,25,0.879781420765
3,18,136,19,3,25,0.879781420765
3,19,140,15,3,25,0.901639344262
4,4,141,14,17,11,0.830601092896
4,5,131,24,7,21,0.830601092896
4,6,132,23,6,22,0.841530054645
4,7,132,23,4,24,0.852459016393
4,8,128,27,4,24,0.830601092896
4,9,125,30,4,24,0.814207650273
4,10,126,29,4,24,0.819672131148
4,11,126,29,4,24,0.819672131148
4,12,126,29,4,24,0.819672131148
4,13,128,27,4,24,0.830601092896
4,14,126,29,4,24,0.819672131148
4,15,130,25,5,23,0.83606557377
4,16,135,20,3,25,0.874316939891
4,17,136,19,3,25,0.879781420765
4,18,137,18,3,25,0.885245901639
4,19,139,16,2,26,0.901639344262
5,5,142,13,15,13,0.846994535519
5,6,130,25,8,20,0.819672131148
5,7,129,26,6,22,0.825136612022
5,8,128,27,5,23,0.825136612022
5,9,126,29,5,23,0.814207650273
5,10,126,29,4,24,0.819672131148
5,11,127,28,5,23,0.819672131148
5,12,125,30,6,22,0.803278688525
5,13,127,28,7,21,0.808743169399
5,14,128,27,6,22,0.819672131148
5,15,131,24,5,23,0.841530054645
5,16,137,18,3,25,0.885245901639
5,17,137,18,3,25,0.885245901639
5,18,138,17,3,25,0.890710382514
5,19,139,16,2,26,0.901639344262
6,6,145,10,14,14,0.868852459016
6,7,135,20,10,18,0.83606557377
6,8,129,26,6,22,0.825136612022
6,9,128,27,6,22,0.819672131148
6,10,128,27,7,21,0.814207650273
6,11,128,27,7,21,0.814207650273
6,12,127,28,7,21,0.808743169399
6,13,128,27,7,21,0.814207650273
6,14,128,27,8,20,0.808743169399
6,15,133,22,5,23,0.852459016393
6,16,139,16,3,25,0.896174863388
6,17,138,17,3,25,0.890710382514
6,18,138,17,2,26,0.896174863388
6,19,139,16,1,27,0.907103825137
7,7,145,10,24,4,0.814207650273
7,8,134,21,10,18,0.830601092896
7,9,132,23,9,19,0.825136612022
7,10,131,24,9,19,0.819672131148
7,11,127,28,8,20,0.803278688525
7,12,127,28,9,19,0.79781420765
7,13,130,25,10,18,0.808743169399
7,14,129,26,9,19,0.808743169399
7,15,136,19,5,23,0.868852459016
7,16,138,17,3,25,0.890710382514
7,17,138,17,2,26,0.896174863388
7,18,139,16,2,26,0.901639344262
7,19,139,16,1,27,0.907103825137
8,8,142,13,14,14,0.852459016393
8,9,136,19,15,13,0.814207650273
8,10,134,21,10,18,0.830601092896
8,11,131,24,9,19,0.819672131148
8,12,132,23,10,18,0.819672131148
8,13,134,21,10,18,0.830601092896
8,14,131,24,10,18,0.814207650273
8,15,137,18,5,23,0.874316939891
8,16,138,17,3,25,0.890710382514
8,17,139,16,3,25,0.896174863388
8,18,139,16,3,25,0.896174863388
8,19,139,16,1,27,0.907103825137
9,9,146,9,25,3,0.814207650273
9,10,142,13,18,10,0.830601092896
9,11,139,16,16,12,0.825136612022
9,12,138,17,17,11,0.814207650273
9,13,138,17,14,14,0.830601092896
9,14,136,19,13,15,0.825136612022
9,15,139,16,5,23,0.885245901639
9,16,139,16,3,25,0.896174863388
9,17,139,16,3,25,0.896174863388
9,18,139,16,3,25,0.896174863388
9,19,140,15,1,27,0.912568306011
10,10,151,4,22,6,0.857923497268
10,11,142,13,21,7,0.814207650273
10,12,141,14,19,9,0.819672131148
10,13,141,14,14,14,0.846994535519
10,14,138,17,14,14,0.830601092896
10,15,141,14,5,23,0.896174863388
10,16,139,16,3,25,0.896174863388
10,17,139,16,3,25,0.896174863388
10,18,139,16,4,24,0.890710382514
10,19,140,15,1,27,0.912568306011
11,11,148,7,26,2,0.819672131148
11,12,146,9,21,7,0.83606557377
11,13,143,12,15,13,0.852459016393
11,14,140,15,15,13,0.83606557377
11,15,139,16,3,25,0.896174863388
11,16,139,16,3,25,0.896174863388
11,17,139,16,4,24,0.890710382514
11,18,139,16,4,24,0.890710382514
11,19,140,15,1,27,0.912568306011
12,12,148,7,24,4,0.830601092896
12,13,147,8,18,10,0.857923497268
12,14,142,13,16,12,0.841530054645
12,15,140,15,3,25,0.901639344262
12,16,141,14,3,25,0.907103825137
12,17,140,15,3,25,0.901639344262
12,18,139,16,4,24,0.890710382514
12,19,140,15,2,26,0.907103825137
13,13,152,3,20,8,0.874316939891
13,14,145,10,18,10,0.846994535519
13,15,142,13,5,23,0.901639344262
13,16,140,15,5,23,0.890710382514
13,17,140,15,5,23,0.890710382514
13,18,139,16,4,24,0.890710382514
13,19,140,15,4,24,0.896174863388
14,14,146,9,24,4,0.819672131148
14,15,144,11,6,22,0.907103825137
14,16,141,14,5,23,0.896174863388
14,17,139,16,4,24,0.890710382514
14,18,139,16,4,24,0.890710382514
14,19,141,14,3,25,0.907103825137
15,15,143,12,6,22,0.901639344262
15,16,139,16,4,24,0.890710382514
15,17,139,16,4,24,0.890710382514
15,18,138,17,4,24,0.885245901639
15,19,141,14,4,24,0.901639344262
16,16,143,12,6,22,0.901639344262
16,17,139,16,4,24,0.890710382514
16,18,139,16,4,24,0.890710382514
16,19,141,14,3,25,0.907103825137
17,17,143,12,8,20,0.890710382514
17,18,139,16,4,24,0.890710382514
17,19,142,13,3,25,0.912568306011
18,18,143,12,6,22,0.901639344262
18,19,144,11,2,26,0.928961748634
19,19,147,8,4,24,0.934426229508
