features_begin_index,features_mid_index,leaf_node_num,tn,fp,fn,tp,acc
1,1,3,128,4,20,8,0.85
1,2,3,125,7,4,24,0.93125
1,3,3,131,1,7,21,0.95
1,4,3,127,5,5,23,0.9375
1,5,3,129,3,8,20,0.93125
1,6,3,129,3,5,23,0.95
1,7,3,128,4,5,23,0.94375
1,8,3,128,4,4,24,0.95
1,9,3,128,4,4,24,0.95
1,10,3,128,4,4,24,0.95
1,11,3,129,3,5,23,0.95
1,12,3,129,3,5,23,0.95
1,13,3,127,5,5,23,0.9375
1,14,3,126,6,3,25,0.94375
1,15,3,126,6,3,25,0.94375
1,16,3,128,4,4,24,0.95
1,17,3,125,7,2,26,0.94375
1,18,3,125,7,2,26,0.94375
1,19,3,127,5,4,24,0.94375
1,20,3,126,6,4,24,0.9375
1,21,3,128,4,7,21,0.93125
1,22,3,129,3,7,21,0.9375
1,23,3,128,4,6,22,0.9375
1,24,3,128,4,6,22,0.9375
1,25,3,127,5,6,22,0.93125
1,26,3,128,4,6,22,0.9375
1,27,3,127,5,6,22,0.93125
1,28,3,127,5,6,22,0.93125
1,29,3,127,5,6,22,0.93125
1,30,3,127,5,6,22,0.93125
1,31,3,128,4,7,21,0.93125
1,32,3,128,4,6,22,0.9375
1,33,3,126,6,3,25,0.94375
1,34,3,127,5,2,26,0.95625
1,35,3,127,5,2,26,0.95625
1,36,3,127,5,2,26,0.95625
1,37,3,127,5,2,26,0.95625
1,38,3,127,5,2,26,0.95625
1,39,3,127,5,2,26,0.95625
1,40,3,127,5,2,26,0.95625
1,41,3,126,6,2,26,0.95
1,42,3,127,5,2,26,0.95625
1,43,3,127,5,2,26,0.95625
1,44,3,126,6,2,26,0.95
1,45,3,127,5,2,26,0.95625
1,46,3,126,6,2,26,0.95
1,47,3,127,5,2,26,0.95625
1,48,3,130,2,4,24,0.9625
1,49,3,130,2,4,24,0.9625
1,50,3,130,2,4,24,0.9625
1,51,3,130,2,4,24,0.9625
1,52,3,128,4,1,27,0.96875
1,53,3,129,3,0,28,0.98125
2,2,3,127,5,10,18,0.90625
2,3,3,130,2,11,17,0.91875
2,4,3,128,4,5,23,0.94375
2,5,3,128,4,6,22,0.9375
2,6,3,129,3,5,23,0.95
