features_begin_index,features_mid_index,tn,fp,fn,tp,acc
1,1,132,0,28,0,0.825
1,2,127,5,25,3,0.8125
1,3,131,1,24,4,0.84375
1,4,131,1,25,3,0.8375
1,5,131,1,24,4,0.84375
1,6,132,0,25,3,0.84375
1,7,132,0,24,4,0.85
1,8,132,0,25,3,0.84375
1,9,131,1,23,5,0.85
1,10,130,2,23,5,0.84375
1,11,131,1,26,2,0.83125
1,12,132,0,26,2,0.8375
1,13,130,2,26,2,0.825
1,14,131,1,27,1,0.825
1,15,130,2,26,2,0.825
1,16,129,3,25,3,0.825
1,17,131,1,26,2,0.83125
1,18,131,1,27,1,0.825
1,19,131,1,26,2,0.83125
1,20,131,1,25,3,0.8375
1,21,131,1,24,4,0.84375
1,22,130,2,25,3,0.83125
1,23,130,2,25,3,0.83125
1,24,130,2,25,3,0.83125
1,25,129,3,25,3,0.825
1,26,131,1,24,4,0.84375
1,27,131,1,24,4,0.84375
1,28,131,1,25,3,0.8375
1,29,131,1,27,1,0.825
1,30,131,1,27,1,0.825
1,31,132,0,27,1,0.83125
1,32,132,0,24,4,0.85
1,33,131,1,23,5,0.85
1,34,131,1,23,5,0.85
1,35,131,1,24,4,0.84375
1,36,131,1,24,4,0.84375
1,37,131,1,24,4,0.84375
1,38,131,1,24,4,0.84375
1,39,131,1,24,4,0.84375
1,40,131,1,24,4,0.84375
1,41,131,1,25,3,0.8375
1,42,131,1,24,4,0.84375
1,43,131,1,24,4,0.84375
1,44,131,1,24,4,0.84375
1,45,131,1,24,4,0.84375
1,46,131,1,25,3,0.8375
1,47,131,1,25,3,0.8375
1,48,131,1,23,5,0.85
1,49,131,1,22,6,0.85625
1,50,132,0,22,6,0.8625
1,51,132,0,22,6,0.8625
1,52,131,1,20,8,0.86875
1,53,131,1,19,9,0.875
2,2,132,0,28,0,0.825
2,3,130,2,26,2,0.825
2,4,130,2,27,1,0.81875
2,5,130,2,28,0,0.8125
2,6,130,2,27,1,0.81875
2,7,132,0,27,1,0.83125
2,8,132,0,27,1,0.83125
2,9,131,1,24,4,0.84375
2,10,130,2,26,2,0.825
2,11,131,1,27,1,0.825
2,12,132,0,26,2,0.8375
2,13,129,3,27,1,0.8125
2,14,130,2,26,2,0.825
2,15,129,3,24,4,0.83125
2,16,130,2,26,2,0.825
2,17,131,1,26,2,0.83125
2,18,130,2,27,1,0.81875
2,19,131,1,25,3,0.8375
2,20,130,2,24,4,0.8375
2,21,130,2,25,3,0.83125
2,22,129,3,24,4,0.83125
2,23,130,2,24,4,0.8375
2,24,129,3,23,5,0.8375
2,25,130,2,25,3,0.83125
2,26,131,1,23,5,0.85
2,27,131,1,24,4,0.84375
2,28,131,1,25,3,0.8375
2,29,131,1,27,1,0.825
2,30,131,1,27,1,0.825
2,31,131,1,27,1,0.825
2,32,132,0,23,5,0.85625
2,33,132,0,23,5,0.85625
2,34,131,1,23,5,0.85
2,35,131,1,24,4,0.84375
2,36,131,1,24,4,0.84375
2,37,131,1,25,3,0.8375
2,38,131,1,25,3,0.8375
2,39,131,1,25,3,0.8375
2,40,132,0,25,3,0.84375
2,41,132,0,25,3,0.84375
2,42,131,1,25,3,0.8375
2,43,131,1,25,3,0.8375
2,44,131,1,25,3,0.8375
2,45,131,1,26,2,0.83125
2,46,131,1,26,2,0.83125
2,47,131,1,26,2,0.83125
2,48,131,1,23,5,0.85
2,49,131,1,22,6,0.85625
2,50,132,0,22,6,0.8625
2,51,130,2,20,8,0.8625
2,52,131,1,20,8,0.86875
2,53,130,2,19,9,0.86875
3,3,127,5,22,6,0.83125
3,4,131,1,23,5,0.85
3,5,132,0,26,2,0.8375
3,6,131,1,28,0,0.81875
3,7,132,0,28,0,0.825
3,8,132,0,28,0,0.825
3,9,131,1,25,3,0.8375
3,10,132,0,27,1,0.83125
3,11,131,1,27,1,0.825
3,12,132,0,26,2,0.8375
3,13,129,3,27,1,0.8125
3,14,129,3,24,4,0.83125
3,15,128,4,24,4,0.825
3,16,130,2,21,7,0.85625
3,17,129,3,25,3,0.825
3,18,130,2,24,4,0.8375
3,19,131,1,24,4,0.84375
3,20,130,2,23,5,0.84375
3,21,131,1,22,6,0.85625
3,22,129,3,23,5,0.8375
3,23,129,3,23,5,0.8375
3,24,130,2,23,5,0.84375
3,25,130,2,24,4,0.8375
3,26,130,2,24,4,0.8375
3,27,131,1,25,3,0.8375
3,28,131,1,25,3,0.8375
3,29,131,1,26,2,0.83125
3,30,131,1,26,2,0.83125
3,31,131,1,27,1,0.825
3,32,132,0,23,5,0.85625
3,33,131,1,23,5,0.85
3,34,131,1,23,5,0.85
3,35,131,1,23,5,0.85
3,36,131,1,23,5,0.85
3,37,131,1,24,4,0.84375
3,38,131,1,24,4,0.84375
3,39,131,1,25,3,0.8375
3,40,131,1,25,3,0.8375
3,41,132,0,26,2,0.8375
3,42,131,1,25,3,0.8375
3,43,131,1,24,4,0.84375
3,44,131,1,24,4,0.84375
3,45,131,1,25,3,0.8375
3,46,131,1,25,3,0.8375
3,47,131,1,25,3,0.8375
3,48,131,1,23,5,0.85
3,49,131,1,22,6,0.85625
3,50,131,1,23,5,0.85
3,51,131,1,21,7,0.8625
3,52,130,2,20,8,0.8625
3,53,130,2,18,10,0.875
4,4,128,4,21,7,0.84375
4,5,132,0,27,1,0.83125
4,6,132,0,27,1,0.83125
4,7,132,0,27,1,0.83125
4,8,132,0,28,0,0.825
4,9,132,0,26,2,0.8375
4,10,132,0,26,2,0.8375
4,11,129,3,26,2,0.81875
4,12,132,0,27,1,0.83125
4,13,127,5,24,4,0.81875
4,14,127,5,24,4,0.81875
4,15,127,5,24,4,0.81875
4,16,127,5,23,5,0.825
4,17,129,3,24,4,0.83125
4,18,130,2,23,5,0.84375
4,19,130,2,22,6,0.85
4,20,130,2,23,5,0.84375
4,21,131,1,21,7,0.8625
4,22,130,2,22,6,0.85
4,23,129,3,22,6,0.84375
4,24,129,3,22,6,0.84375
4,25,129,3,23,5,0.8375
4,26,130,2,23,5,0.84375
4,27,130,2,25,3,0.83125
4,28,130,2,25,3,0.83125
4,29,131,1,25,3,0.8375
4,30,131,1,27,1,0.825
4,31,131,1,27,1,0.825
4,32,132,0,23,5,0.85625
4,33,131,1,22,6,0.85625
4,34,131,1,23,5,0.85
4,35,131,1,23,5,0.85
4,36,131,1,23,5,0.85
4,37,131,1,24,4,0.84375
4,38,131,1,24,4,0.84375
4,39,131,1,25,3,0.8375
4,40,131,1,25,3,0.8375
4,41,131,1,24,4,0.84375
4,42,131,1,23,5,0.85
4,43,131,1,23,5,0.85
4,44,131,1,23,5,0.85
4,45,131,1,24,4,0.84375
4,46,130,2,25,3,0.83125
4,47,130,2,25,3,0.83125
4,48,131,1,23,5,0.85
4,49,131,1,22,6,0.85625
4,50,131,1,22,6,0.85625
4,51,131,1,21,7,0.8625
4,52,130,2,20,8,0.8625
4,53,130,2,18,10,0.875
5,5,132,0,28,0,0.825
5,6,131,1,28,0,0.81875
5,7,132,0,27,1,0.83125
5,8,132,0,28,0,0.825
5,9,132,0,28,0,0.825
5,10,132,0,26,2,0.8375
5,11,129,3,27,1,0.8125
5,12,130,2,26,2,0.825
5,13,128,4,24,4,0.825
5,14,128,4,25,3,0.81875
5,15,128,4,23,5,0.83125
5,16,128,4,23,5,0.83125
5,17,129,3,24,4,0.83125
5,18,128,4,25,3,0.81875
5,19,131,1,24,4,0.84375
5,20,131,1,23,5,0.85
5,21,131,1,25,3,0.8375
5,22,130,2,23,5,0.84375
5,23,130,2,23,5,0.84375
5,24,130,2,22,6,0.85
5,25,130,2,24,4,0.8375
5,26,130,2,23,5,0.84375
5,27,131,1,24,4,0.84375
5,28,131,1,26,2,0.83125
5,29,131,1,26,2,0.83125
5,30,131,1,28,0,0.81875
5,31,131,1,26,2,0.83125
5,32,130,2,24,4,0.8375
5,33,131,1,22,6,0.85625
5,34,131,1,24,4,0.84375
5,35,131,1,25,3,0.8375
5,36,131,1,25,3,0.8375
5,37,131,1,25,3,0.8375
5,38,131,1,25,3,0.8375
5,39,131,1,25,3,0.8375
5,40,131,1,23,5,0.85
5,41,131,1,24,4,0.84375
5,42,131,1,23,5,0.85
5,43,131,1,23,5,0.85
5,44,131,1,23,5,0.85
5,45,131,1,24,4,0.84375
5,46,131,1,24,4,0.84375
5,47,131,1,25,3,0.8375
5,48,131,1,23,5,0.85
5,49,131,1,23,5,0.85
5,50,131,1,21,7,0.8625
5,51,130,2,21,7,0.85625
5,52,130,2,21,7,0.85625
5,53,130,2,19,9,0.86875
6,6,132,0,26,2,0.8375
6,7,131,1,26,2,0.83125
6,8,132,0,25,3,0.84375
6,9,131,1,25,3,0.8375
6,10,132,0,25,3,0.84375
6,11,130,2,25,3,0.83125
6,12,132,0,27,1,0.83125
6,13,130,2,25,3,0.83125
6,14,128,4,26,2,0.8125
6,15,128,4,25,3,0.81875
6,16,129,3,25,3,0.825
6,17,129,3,25,3,0.825
6,18,130,2,24,4,0.8375
6,19,131,1,23,5,0.85
6,20,131,1,24,4,0.84375
6,21,131,1,23,5,0.85
6,22,131,1,23,5,0.85
6,23,131,1,24,4,0.84375
6,24,130,2,23,5,0.84375
6,25,130,2,24,4,0.8375
6,26,130,2,24,4,0.8375
6,27,131,1,24,4,0.84375
6,28,131,1,26,2,0.83125
6,29,131,1,26,2,0.83125
6,30,131,1,28,0,0.81875
6,31,132,0,26,2,0.8375
6,32,130,2,25,3,0.83125
6,33,131,1,23,5,0.85
