features_begin_index,features_mid_index,tn,fp,fn,tp,acc
1,1,146,9,12,16,0.885245901639
1,2,149,6,17,11,0.874316939891
1,3,149,6,19,9,0.863387978142
1,4,146,9,17,11,0.857923497268
1,5,145,10,14,14,0.868852459016
1,6,150,5,18,10,0.874316939891
1,7,148,7,19,9,0.857923497268
1,8,148,7,17,11,0.868852459016
1,9,147,8,19,9,0.852459016393
1,10,150,5,19,9,0.868852459016
1,11,149,6,22,6,0.846994535519
1,12,150,5,22,6,0.852459016393
1,13,152,3,24,4,0.852459016393
1,14,150,5,14,14,0.896174863388
1,15,149,6,9,19,0.918032786885
1,16,148,7,9,19,0.912568306011
1,17,147,8,9,19,0.907103825137
1,18,147,8,7,21,0.918032786885
1,19,148,7,8,20,0.918032786885
2,2,150,5,14,14,0.896174863388
2,3,148,7,14,14,0.885245901639
2,4,147,8,17,11,0.863387978142
2,5,145,10,16,12,0.857923497268
2,6,150,5,23,5,0.846994535519
2,7,148,7,23,5,0.83606557377
2,8,151,4,19,9,0.874316939891
2,9,150,5,21,7,0.857923497268
2,10,151,4,20,8,0.868852459016
2,11,151,4,22,6,0.857923497268
2,12,154,1,23,5,0.868852459016
2,13,153,2,25,3,0.852459016393
2,14,152,3,15,13,0.901639344262
2,15,150,5,10,18,0.918032786885
2,16,149,6,9,19,0.918032786885
2,17,148,7,9,19,0.912568306011
2,18,149,6,8,20,0.92349726776
2,19,148,7,8,20,0.918032786885
3,3,146,9,17,11,0.857923497268
3,4,151,4,17,11,0.885245901639
3,5,145,10,13,15,0.874316939891
3,6,148,7,16,12,0.874316939891
3,7,148,7,16,12,0.874316939891
3,8,148,7,19,9,0.857923497268
3,9,149,6,22,6,0.846994535519
3,10,150,5,20,8,0.863387978142
3,11,151,4,23,5,0.852459016393
3,12,153,2,23,5,0.863387978142
3,13,151,4,24,4,0.846994535519
3,14,151,4,12,16,0.912568306011
3,15,149,6,10,18,0.912568306011
3,16,148,7,10,18,0.907103825137
3,17,149,6,9,19,0.918032786885
3,18,148,7,8,20,0.918032786885
3,19,151,4,9,19,0.928961748634
4,4,149,6,17,11,0.874316939891
4,5,147,8,14,14,0.879781420765
4,6,150,5,18,10,0.874316939891
4,7,153,2,19,9,0.885245901639
4,8,146,9,20,8,0.841530054645
4,9,148,7,17,11,0.868852459016
4,10,149,6,19,9,0.863387978142
4,11,154,1,23,5,0.868852459016
4,12,154,1,23,5,0.868852459016
4,13,154,1,24,4,0.863387978142
4,14,149,6,11,17,0.907103825137
4,15,149,6,11,17,0.907103825137
4,16,149,6,9,19,0.918032786885
4,17,147,8,8,20,0.912568306011
4,18,149,6,7,21,0.928961748634
4,19,150,5,6,22,0.939890710383
5,5,149,6,19,9,0.863387978142
5,6,153,2,17,11,0.896174863388
5,7,152,3,18,10,0.885245901639
5,8,148,7,20,8,0.852459016393
5,9,151,4,17,11,0.885245901639
5,10,150,5,23,5,0.846994535519
5,11,155,0,24,4,0.868852459016
5,12,155,0,23,5,0.874316939891
5,13,155,0,24,4,0.868852459016
5,14,151,4,10,18,0.92349726776
5,15,149,6,11,17,0.907103825137
5,16,149,6,8,20,0.92349726776
5,17,147,8,9,19,0.907103825137
5,18,149,6,8,20,0.92349726776
5,19,151,4,6,22,0.945355191257
6,6,151,4,21,7,0.863387978142
6,7,151,4,22,6,0.857923497268
6,8,150,5,21,7,0.857923497268
6,9,151,4,20,8,0.868852459016
6,10,150,5,22,6,0.852459016393
6,11,152,3,22,6,0.863387978142
6,12,155,0,21,7,0.885245901639
6,13,155,0,23,5,0.874316939891
6,14,151,4,10,18,0.92349726776
6,15,150,5,7,21,0.934426229508
6,16,148,7,7,21,0.92349726776
6,17,147,8,7,21,0.918032786885
6,18,147,8,7,21,0.918032786885
6,19,149,6,6,22,0.934426229508
7,7,145,10,16,12,0.857923497268
7,8,147,8,14,14,0.879781420765
