features_begin_index,features_mid_index,tn,fp,fn,tp,acc
1,1,133,0,28,0,0.8260869565217391
1,2,133,0,28,0,0.8260869565217391
1,3,130,3,21,7,0.8509316770186336
1,4,128,5,19,9,0.8509316770186336
1,5,129,4,23,5,0.8322981366459627
1,6,129,4,21,7,0.84472049689441
1,7,130,3,21,7,0.8509316770186336
1,8,133,0,26,2,0.8385093167701864
1,9,132,1,25,3,0.8385093167701864
1,10,131,2,23,5,0.84472049689441
1,11,129,4,19,9,0.8571428571428571
1,12,128,5,17,11,0.8633540372670807
1,13,128,5,16,12,0.8695652173913043
1,14,126,7,16,12,0.8571428571428571
1,15,126,7,15,13,0.8633540372670807
1,16,128,5,16,12,0.8695652173913043
1,17,127,6,17,11,0.8571428571428571
1,18,133,0,18,10,0.8881987577639752
1,19,125,8,15,13,0.8571428571428571
1,20,126,7,15,13,0.8633540372670807
1,21,126,7,16,12,0.8571428571428571
1,22,131,2,16,12,0.8881987577639752
1,23,129,4,12,16,0.9006211180124224
1,24,129,4,13,15,0.8944099378881988
1,25,129,4,13,15,0.8944099378881988
1,26,128,5,13,15,0.8881987577639752
1,27,128,5,10,18,0.906832298136646
1,28,128,5,10,18,0.906832298136646
1,29,127,6,10,18,0.9006211180124224
1,30,128,5,10,18,0.906832298136646
1,31,128,5,10,18,0.906832298136646
1,32,128,5,10,18,0.906832298136646
1,33,129,4,10,18,0.9130434782608695
1,34,129,4,10,18,0.9130434782608695
1,35,129,4,10,18,0.9130434782608695
1,36,129,4,11,17,0.906832298136646
1,37,129,4,11,17,0.906832298136646
1,38,129,4,10,18,0.9130434782608695
1,39,129,4,10,18,0.9130434782608695
1,40,129,4,10,18,0.9130434782608695
1,41,130,3,11,17,0.9130434782608695
1,42,129,4,11,17,0.906832298136646
1,43,129,4,11,17,0.906832298136646
1,44,129,4,11,17,0.906832298136646
1,45,129,4,11,17,0.906832298136646
1,46,129,4,11,17,0.906832298136646
1,47,129,4,11,17,0.906832298136646
1,48,130,3,10,18,0.9192546583850931
1,49,128,5,6,22,0.9316770186335404
1,50,126,7,5,23,0.9254658385093167
1,51,127,6,5,23,0.9316770186335404
1,52,132,1,5,23,0.9627329192546584
1,53,131,2,2,26,0.9751552795031055
2,2,133,0,28,0,0.8260869565217391
2,3,133,0,28,0,0.8260869565217391
2,4,133,0,28,0,0.8260869565217391
2,5,133,0,28,0,0.8260869565217391
2,6,131,2,21,7,0.8571428571428571
2,7,131,2,23,5,0.84472049689441
2,8,131,2,25,3,0.8322981366459627
2,9,132,1,25,3,0.8385093167701864
2,10,131,2,24,4,0.8385093167701864
2,11,131,2,24,4,0.8385093167701864
2,12,130,3,22,6,0.84472049689441
2,13,131,2,20,8,0.8633540372670807
2,14,130,3,23,5,0.8385093167701864
2,15,130,3,22,6,0.84472049689441
2,16,130,3,22,6,0.84472049689441
2,17,130,3,22,6,0.84472049689441
2,18,132,1,21,7,0.8633540372670807
2,19,129,4,19,9,0.8571428571428571
2,20,131,2,19,9,0.8695652173913043
2,21,131,2,19,9,0.8695652173913043
2,22,130,3,20,8,0.8571428571428571
2,23,127,6,14,14,0.8757763975155279
2,24,129,4,18,10,0.8633540372670807
2,25,130,3,19,9,0.8633540372670807
