features_begin_index,features_mid_index,tn,fp,fn,tp,acc
1,1,128,6,20,8,0.83950617284
1,2,124,10,19,9,0.820987654321
1,3,124,10,18,10,0.827160493827
1,4,124,10,18,10,0.827160493827
1,5,124,10,17,11,0.833333333333
1,6,122,12,15,13,0.833333333333
1,7,122,12,17,11,0.820987654321
1,8,124,10,17,11,0.833333333333
1,9,127,7,14,14,0.87037037037
1,10,126,8,14,14,0.864197530864
1,11,125,9,12,16,0.87037037037
1,12,126,8,13,15,0.87037037037
1,13,126,8,13,15,0.87037037037
1,14,127,7,11,17,0.888888888889
1,15,127,7,11,17,0.888888888889
1,16,128,6,11,17,0.895061728395
1,17,129,5,10,18,0.907407407407
1,18,128,6,11,17,0.895061728395
1,19,128,6,9,19,0.907407407407
1,20,129,5,11,17,0.901234567901
1,21,128,6,10,18,0.901234567901
1,22,128,6,8,20,0.913580246914
1,23,128,6,8,20,0.913580246914
1,24,130,4,9,19,0.91975308642
1,25,130,4,10,18,0.913580246914
1,26,131,3,9,19,0.925925925926
1,27,130,4,10,18,0.913580246914
1,28,131,3,8,20,0.932098765432
1,29,132,2,7,21,0.944444444444
1,30,132,2,6,22,0.950617283951
1,31,131,3,6,22,0.944444444444
1,32,134,0,5,23,0.969135802469
1,33,134,0,5,23,0.969135802469
1,34,134,0,5,23,0.969135802469
1,35,134,0,5,23,0.969135802469
1,36,134,0,5,23,0.969135802469
1,37,134,0,5,23,0.969135802469
1,38,134,0,5,23,0.969135802469
1,39,134,0,5,23,0.969135802469
1,40,134,0,5,23,0.969135802469
1,41,134,0,5,23,0.969135802469
1,42,134,0,5,23,0.969135802469
1,43,134,0,4,24,0.975308641975
1,44,134,0,4,24,0.975308641975
1,45,134,0,4,24,0.975308641975
1,46,134,0,4,24,0.975308641975
1,47,133,1,6,22,0.956790123457
1,48,131,3,5,23,0.950617283951
1,49,131,3,4,24,0.956790123457
1,50,133,1,4,24,0.969135802469
1,51,133,1,4,24,0.969135802469
1,52,134,0,1,27,0.993827160494
1,53,134,0,0,28,1.0
2,2,132,2,25,3,0.833333333333
2,3,131,3,21,7,0.851851851852
2,4,128,6,22,6,0.827160493827
2,5,128,6,22,6,0.827160493827
2,6,129,5,21,7,0.83950617284
2,7,129,5,20,8,0.845679012346
2,8,129,5,20,8,0.845679012346
2,9,128,6,17,11,0.858024691358
2,10,128,6,17,11,0.858024691358
2,11,127,7,16,12,0.858024691358
2,12,128,6,17,11,0.858024691358
2,13,128,6,17,11,0.858024691358
2,14,128,6,17,11,0.858024691358
2,15,128,6,17,11,0.858024691358
2,16,127,7,17,11,0.851851851852
2,17,128,6,15,13,0.87037037037
2,18,129,5,14,14,0.882716049383
2,19,129,5,15,13,0.876543209877
2,20,128,6,15,13,0.87037037037
2,21,128,6,15,13,0.87037037037
2,22,130,4,15,13,0.882716049383
2,23,130,4,16,12,0.876543209877
2,24,130,4,16,12,0.876543209877
2,25,130,4,16,12,0.876543209877
2,26,130,4,13,15,0.895061728395
2,27,130,4,13,15,0.895061728395
2,28,130,4,13,15,0.895061728395
2,29,130,4,12,16,0.901234567901
2,30,131,3,11,17,0.913580246914
2,31,131,3,11,17,0.913580246914
2,32,130,4,8,20,0.925925925926
2,33,130,4,8,20,0.925925925926
2,34,132,2,6,22,0.950617283951
2,35,130,4,7,21,0.932098765432
2,36,131,3,6,22,0.944444444444
2,37,130,4,6,22,0.938271604938
2,38,130,4,6,22,0.938271604938
2,39,129,5,7,21,0.925925925926
2,40,131,3,6,22,0.944444444444
2,41,130,4,7,21,0.932098765432
2,42,131,3,6,22,0.944444444444
2,43,130,4,6,22,0.938271604938
2,44,129,5,6,22,0.932098765432
2,45,129,5,6,22,0.932098765432
2,46,130,4,6,22,0.938271604938
2,47,130,4,6,22,0.938271604938
2,48,130,4,4,24,0.950617283951
2,49,131,3,4,24,0.956790123457
2,50,132,2,5,23,0.956790123457
2,51,132,2,5,23,0.956790123457
2,52,134,0,2,26,0.987654320988
2,53,134,0,0,28,1.0
3,3,130,4,23,5,0.833333333333
3,4,130,4,21,7,0.845679012346
3,5,129,5,21,7,0.83950617284
3,6,129,5,20,8,0.845679012346
3,7,129,5,20,8,0.845679012346
3,8,129,5,20,8,0.845679012346
3,9,128,6,17,11,0.858024691358
3,10,128,6,16,12,0.864197530864
