features_begin_index,features_mid_index,tn,fp,fn,tp,acc
1,1,128,6,20,8,0.8395061728395061
1,2,124,10,19,9,0.8209876543209876
1,3,124,10,18,10,0.8271604938271605
1,4,124,10,18,10,0.8271604938271605
1,5,124,10,17,11,0.8333333333333334
1,6,122,12,15,13,0.8333333333333334
1,7,122,12,17,11,0.8209876543209876
1,8,124,10,17,11,0.8333333333333334
1,9,127,7,14,14,0.8703703703703703
1,10,126,8,14,14,0.8641975308641975
1,11,125,9,12,16,0.8703703703703703
1,12,126,8,13,15,0.8703703703703703
1,13,126,8,13,15,0.8703703703703703
1,14,127,7,11,17,0.8888888888888888
1,15,127,7,11,17,0.8888888888888888
1,16,128,6,11,17,0.8950617283950617
1,17,129,5,10,18,0.9074074074074074
1,18,128,6,11,17,0.8950617283950617
1,19,128,6,9,19,0.9074074074074074
1,20,129,5,11,17,0.9012345679012346
1,21,128,6,10,18,0.9012345679012346
1,22,128,6,8,20,0.9135802469135802
1,23,128,6,8,20,0.9135802469135802
1,24,130,4,9,19,0.9197530864197531
1,25,130,4,10,18,0.9135802469135802
1,26,131,3,9,19,0.9259259259259259
1,27,130,4,10,18,0.9135802469135802
1,28,131,3,8,20,0.9320987654320988
1,29,132,2,7,21,0.9444444444444444
1,30,132,2,6,22,0.9506172839506173
1,31,131,3,6,22,0.9444444444444444
1,32,134,0,5,23,0.9691358024691358
1,33,134,0,5,23,0.9691358024691358
1,34,134,0,5,23,0.9691358024691358
1,35,134,0,5,23,0.9691358024691358
1,36,134,0,5,23,0.9691358024691358
1,37,134,0,5,23,0.9691358024691358
1,38,134,0,5,23,0.9691358024691358
1,39,134,0,5,23,0.9691358024691358
1,40,134,0,5,23,0.9691358024691358
1,41,134,0,5,23,0.9691358024691358
1,42,134,0,5,23,0.9691358024691358
1,43,134,0,4,24,0.9753086419753086
1,44,134,0,4,24,0.9753086419753086
1,45,134,0,4,24,0.9753086419753086
1,46,134,0,4,24,0.9753086419753086
1,47,133,1,6,22,0.9567901234567902
1,48,131,3,5,23,0.9506172839506173
1,49,131,3,4,24,0.9567901234567902
1,50,133,1,4,24,0.9691358024691358
1,51,133,1,4,24,0.9691358024691358
1,52,134,0,1,27,0.9938271604938271
2,2,132,2,25,3,0.8333333333333334
2,3,131,3,21,7,0.8518518518518519
2,4,128,6,22,6,0.8271604938271605
2,5,128,6,22,6,0.8271604938271605
2,6,129,5,21,7,0.8395061728395061
2,7,129,5,20,8,0.845679012345679
2,8,129,5,20,8,0.845679012345679
2,9,128,6,17,11,0.8580246913580247
2,10,128,6,17,11,0.8580246913580247
2,11,127,7,16,12,0.8580246913580247
2,12,128,6,17,11,0.8580246913580247
2,13,128,6,17,11,0.8580246913580247
2,14,128,6,17,11,0.8580246913580247
2,15,128,6,17,11,0.8580246913580247
2,16,127,7,17,11,0.8518518518518519
2,17,128,6,15,13,0.8703703703703703
2,18,129,5,14,14,0.8827160493827161
2,19,129,5,15,13,0.8765432098765432
2,20,128,6,15,13,0.8703703703703703
2,21,128,6,15,13,0.8703703703703703
2,22,130,4,15,13,0.8827160493827161
2,23,130,4,16,12,0.8765432098765432
2,24,130,4,16,12,0.8765432098765432
2,25,130,4,16,12,0.8765432098765432
2,26,130,4,13,15,0.8950617283950617
2,27,130,4,13,15,0.8950617283950617
2,28,130,4,13,15,0.8950617283950617
2,29,130,4,12,16,0.9012345679012346
2,30,131,3,11,17,0.9135802469135802
2,31,131,3,11,17,0.9135802469135802
2,32,130,4,8,20,0.9259259259259259
2,33,130,4,8,20,0.9259259259259259
2,34,132,2,6,22,0.9506172839506173
2,35,130,4,7,21,0.9320987654320988
2,36,131,3,6,22,0.9444444444444444
2,37,130,4,6,22,0.9382716049382716
2,38,130,4,6,22,0.9382716049382716
2,39,129,5,7,21,0.9259259259259259
2,40,131,3,6,22,0.9444444444444444
2,41,130,4,7,21,0.9320987654320988
2,42,131,3,6,22,0.9444444444444444
2,43,130,4,6,22,0.9382716049382716
2,44,129,5,6,22,0.9320987654320988
2,45,129,5,6,22,0.9320987654320988
2,46,130,4,6,22,0.9382716049382716
2,47,130,4,6,22,0.9382716049382716
2,48,130,4,4,24,0.9506172839506173
2,49,131,3,4,24,0.9567901234567902
2,50,132,2,5,23,0.9567901234567902
2,51,132,2,5,23,0.9567901234567902
2,52,134,0,2,26,0.9876543209876543
3,3,130,4,23,5,0.8333333333333334
3,4,130,4,21,7,0.845679012345679
3,5,129,5,21,7,0.8395061728395061
3,6,129,5,20,8,0.845679012345679
3,7,129,5,20,8,0.845679012345679
3,8,129,5,20,8,0.845679012345679
3,9,128,6,17,11,0.8580246913580247
3,10,128,6,16,12,0.8641975308641975
3,11,127,7,16,12,0.8580246913580247
3,12,128,6,16,12,0.8641975308641975
3,13,128,6,17,11,0.8580246913580247
3,14,128,6,16,12,0.8641975308641975
3,15,128,6,16,12,0.8641975308641975
3,16,127,7,15,13,0.8641975308641975
3,17,128,6,15,13,0.8703703703703703
3,18,128,6,15,13,0.8703703703703703
3,19,127,7,16,12,0.8580246913580247
3,20,128,6,15,13,0.8703703703703703
3,21,127,7,15,13,0.8641975308641975
3,22,131,3,16,12,0.8827160493827161
3,23,130,4,16,12,0.8765432098765432
3,24,130,4,16,12,0.8765432098765432
3,25,130,4,16,12,0.8765432098765432
3,26,130,4,13,15,0.8950617283950617
3,27,130,4,13,15,0.8950617283950617
3,28,130,4,13,15,0.8950617283950617
3,29,129,5,12,16,0.8950617283950617
3,30,131,3,11,17,0.9135802469135802
3,31,131,3,11,17,0.9135802469135802
3,32,130,4,7,21,0.9320987654320988
3,33,131,3,7,21,0.9382716049382716
3,34,131,3,7,21,0.9382716049382716
3,35,131,3,7,21,0.9382716049382716
3,36,131,3,6,22,0.9444444444444444
3,37,130,4,6,22,0.9382716049382716
3,38,131,3,7,21,0.9382716049382716
3,39,132,2,9,19,0.9320987654320988
3,40,129,5,7,21,0.9259259259259259
3,41,131,3,5,23,0.9506172839506173
3,42,131,3,6,22,0.9444444444444444
3,43,131,3,6,22,0.9444444444444444
3,44,130,4,6,22,0.9382716049382716
3,45,130,4,6,22,0.9382716049382716
3,46,130,4,6,22,0.9382716049382716
3,47,132,2,7,21,0.9444444444444444
3,48,130,4,4,24,0.9506172839506173
3,49,130,4,3,25,0.9567901234567902
3,50,132,2,4,24,0.9629629629629629
3,51,132,2,4,24,0.9629629629629629
3,52,132,2,2,26,0.9753086419753086
4,4,129,5,21,7,0.8395061728395061
4,5,128,6,21,7,0.8333333333333334
4,6,128,6,19,9,0.845679012345679
4,7,127,7,18,10,0.845679012345679
4,8,129,5,20,8,0.845679012345679
4,9,130,4,20,8,0.8518518518518519
4,10,129,5,19,9,0.8518518518518519
4,11,128,6,18,10,0.8518518518518519
4,12,129,5,17,11,0.8641975308641975
4,13,129,5,17,11,0.8641975308641975
4,14,129,5,17,11,0.8641975308641975
4,15,129,5,16,12,0.8703703703703703
4,16,127,7,18,10,0.845679012345679
4,17,128,6,17,11,0.8580246913580247
4,18,129,5,17,11,0.8641975308641975
4,19,129,5,17,11,0.8641975308641975
4,20,129,5,16,12,0.8703703703703703
4,21,129,5,16,12,0.8703703703703703
4,22,130,4,18,10,0.8641975308641975
4,23,130,4,18,10,0.8641975308641975
4,24,126,8,18,10,0.8395061728395061
4,25,127,7,17,11,0.8518518518518519
4,26,128,6,16,12,0.8641975308641975
4,27,129,5,15,13,0.8765432098765432
4,28,129,5,15,13,0.8765432098765432
4,29,130,4,15,13,0.8827160493827161
4,30,129,5,14,14,0.8827160493827161
4,31,129,5,14,14,0.8827160493827161
4,32,127,7,13,15,0.8765432098765432
4,33,127,7,13,15,0.8765432098765432
4,34,127,7,13,15,0.8765432098765432
4,35,129,5,14,14,0.8827160493827161
4,36,127,7,13,15,0.8765432098765432
4,37,128,6,13,15,0.8827160493827161
4,38,128,6,13,15,0.8827160493827161
4,39,127,7,13,15,0.8765432098765432
4,40,127,7,13,15,0.8765432098765432
4,41,129,5,14,14,0.8827160493827161
4,42,127,7,13,15,0.8765432098765432
4,43,127,7,13,15,0.8765432098765432
4,44,127,7,13,15,0.8765432098765432
4,45,127,7,13,15,0.8765432098765432
4,46,127,7,13,15,0.8765432098765432
4,47,127,7,13,15,0.8765432098765432
4,48,130,4,5,23,0.9444444444444444
4,49,130,4,5,23,0.9444444444444444
4,50,131,3,5,23,0.9506172839506173
4,51,131,3,5,23,0.9506172839506173
4,52,132,2,3,25,0.9691358024691358
5,5,134,0,26,2,0.8395061728395061
5,6,129,5,26,2,0.808641975308642
5,7,126,8,22,6,0.8148148148148148
5,8,127,7,20,8,0.8333333333333334
5,9,127,7,20,8,0.8333333333333334
5,10,128,6,18,10,0.8518518518518519
5,11,127,7,18,10,0.845679012345679
5,12,128,6,16,12,0.8641975308641975
5,13,128,6,16,12,0.8641975308641975
5,14,128,6,16,12,0.8641975308641975
5,15,128,6,14,14,0.8765432098765432
5,16,126,8,15,13,0.8580246913580247
5,17,127,7,15,13,0.8641975308641975
5,18,128,6,14,14,0.8765432098765432
5,19,128,6,14,14,0.8765432098765432
5,20,128,6,15,13,0.8703703703703703
5,21,129,5,13,15,0.8888888888888888
5,22,129,5,16,12,0.8703703703703703
5,23,129,5,16,12,0.8703703703703703
5,24,130,4,16,12,0.8765432098765432
5,25,129,5,16,12,0.8703703703703703
5,26,130,4,15,13,0.8827160493827161
5,27,129,5,18,10,0.8580246913580247
5,28,130,4,16,12,0.8765432098765432
5,29,130,4,15,13,0.8827160493827161
5,30,130,4,15,13,0.8827160493827161
5,31,126,8,14,14,0.8641975308641975
5,32,128,6,10,18,0.9012345679012346
5,33,128,6,10,18,0.9012345679012346
5,34,129,5,10,18,0.9074074074074074
5,35,129,5,10,18,0.9074074074074074
5,36,129,5,10,18,0.9074074074074074
5,37,128,6,10,18,0.9012345679012346
5,38,128,6,10,18,0.9012345679012346
5,39,128,6,11,17,0.8950617283950617
5,40,128,6,11,17,0.8950617283950617
5,41,130,4,12,16,0.9012345679012346
5,42,129,5,10,18,0.9074074074074074
5,43,130,4,12,16,0.9012345679012346
5,44,128,6,11,17,0.8950617283950617
5,45,128,6,11,17,0.8950617283950617
5,46,129,5,10,18,0.9074074074074074
5,47,130,4,12,16,0.9012345679012346
5,48,130,4,5,23,0.9444444444444444
5,49,130,4,5,23,0.9444444444444444
5,50,130,4,5,23,0.9444444444444444
5,51,130,4,5,23,0.9444444444444444
5,52,132,2,3,25,0.9691358024691358
6,6,129,5,25,3,0.8148148148148148
6,7,126,8,21,7,0.8209876543209876
6,8,128,6,20,8,0.8395061728395061
6,9,127,7,19,9,0.8395061728395061
6,10,128,6,19,9,0.845679012345679
6,11,127,7,19,9,0.8395061728395061
6,12,129,5,18,10,0.8580246913580247
6,13,129,5,18,10,0.8580246913580247
6,14,129,5,18,10,0.8580246913580247
6,15,128,6,17,11,0.8580246913580247
6,16,127,7,17,11,0.8518518518518519
6,17,128,6,15,13,0.8703703703703703
6,18,128,6,16,12,0.8641975308641975
6,19,128,6,16,12,0.8641975308641975
6,20,129,5,15,13,0.8765432098765432
