features_begin_index,features_mid_index,tn,fp,fn,tp,acc
1,1,128,2,24,4,0.8354430379746836
1,2,129,1,22,6,0.8544303797468354
1,3,128,2,21,7,0.8544303797468354
1,4,128,2,21,7,0.8544303797468354
1,5,126,4,20,8,0.8481012658227848
1,6,126,4,20,8,0.8481012658227848
1,7,126,4,20,8,0.8481012658227848
1,8,128,2,20,8,0.8607594936708861
1,9,128,2,20,8,0.8607594936708861
1,10,128,2,20,8,0.8607594936708861
1,11,126,4,20,8,0.8481012658227848
1,12,128,2,20,8,0.8607594936708861
1,13,128,2,20,8,0.8607594936708861
1,14,128,2,20,8,0.8607594936708861
1,15,128,2,19,9,0.8670886075949367
1,16,128,2,19,9,0.8670886075949367
1,17,128,2,19,9,0.8670886075949367
1,18,128,2,19,9,0.8670886075949367
1,19,126,4,18,10,0.8607594936708861
1,20,126,4,18,10,0.8607594936708861
1,21,126,4,19,9,0.8544303797468354
1,22,126,4,21,7,0.8417721518987342
1,23,126,4,20,8,0.8481012658227848
1,24,126,4,20,8,0.8481012658227848
1,25,126,4,20,8,0.8481012658227848
1,26,126,4,20,8,0.8481012658227848
1,27,127,3,20,8,0.8544303797468354
1,28,127,3,19,9,0.8607594936708861
1,29,127,3,19,9,0.8607594936708861
1,30,127,3,19,9,0.8607594936708861
1,31,127,3,19,9,0.8607594936708861
1,32,127,3,19,9,0.8607594936708861
1,33,127,3,19,9,0.8607594936708861
1,34,127,3,19,9,0.8607594936708861
1,35,127,3,19,9,0.8607594936708861
1,36,127,3,19,9,0.8607594936708861
1,37,127,3,19,9,0.8607594936708861
1,38,127,3,19,9,0.8607594936708861
1,39,127,3,19,9,0.8607594936708861
1,40,127,3,19,9,0.8607594936708861
1,41,127,3,19,9,0.8607594936708861
1,42,127,3,19,9,0.8607594936708861
1,43,127,3,19,9,0.8607594936708861
1,44,127,3,19,9,0.8607594936708861
1,45,127,3,19,9,0.8607594936708861
1,46,126,4,11,17,0.9050632911392406
1,47,125,5,11,17,0.8987341772151899
1,48,125,5,11,17,0.8987341772151899
1,49,125,5,10,18,0.9050632911392406
1,50,126,4,8,20,0.9240506329113924
1,51,127,3,8,20,0.930379746835443
2,2,130,0,28,0,0.8227848101265823
2,3,129,1,23,5,0.8481012658227848
2,4,128,2,22,6,0.8481012658227848
2,5,127,3,21,7,0.8481012658227848
2,6,127,3,21,7,0.8481012658227848
2,7,126,4,22,6,0.8354430379746836
2,8,127,3,22,6,0.8417721518987342
2,9,127,3,22,6,0.8417721518987342
2,10,127,3,22,6,0.8417721518987342
2,11,128,2,22,6,0.8481012658227848
2,12,128,2,22,6,0.8481012658227848
2,13,129,1,22,6,0.8544303797468354
2,14,126,4,20,8,0.8481012658227848
2,15,128,2,21,7,0.8544303797468354
2,16,128,2,21,7,0.8544303797468354
2,17,128,2,21,7,0.8544303797468354
2,18,126,4,21,7,0.8417721518987342
2,19,126,4,21,7,0.8417721518987342
2,20,126,4,21,7,0.8417721518987342
2,21,126,4,21,7,0.8417721518987342
2,22,126,4,21,7,0.8417721518987342
2,23,126,4,21,7,0.8417721518987342
2,24,126,4,22,6,0.8354430379746836
2,25,126,4,22,6,0.8354430379746836
2,26,126,4,21,7,0.8417721518987342
2,27,126,4,19,9,0.8544303797468354
2,28,126,4,19,9,0.8544303797468354
2,29,126,4,19,9,0.8544303797468354
2,30,127,3,19,9,0.8607594936708861
2,31,127,3,18,10,0.8670886075949367
2,32,127,3,18,10,0.8670886075949367
2,33,127,3,18,10,0.8670886075949367
2,34,127,3,18,10,0.8670886075949367
2,35,127,3,18,10,0.8670886075949367
2,36,127,3,18,10,0.8670886075949367
2,37,127,3,18,10,0.8670886075949367
2,38,127,3,18,10,0.8670886075949367
2,39,127,3,18,10,0.8670886075949367
2,40,127,3,18,10,0.8670886075949367
2,41,127,3,18,10,0.8670886075949367
2,42,127,3,18,10,0.8670886075949367
2,43,127,3,18,10,0.8670886075949367
2,44,127,3,18,10,0.8670886075949367
2,45,127,3,18,10,0.8670886075949367
2,46,125,5,9,19,0.9113924050632911
2,47,125,5,9,19,0.9113924050632911
2,48,125,5,9,19,0.9113924050632911
2,49,125,5,9,19,0.9113924050632911
2,50,127,3,8,20,0.930379746835443
2,51,127,3,8,20,0.930379746835443
3,3,128,2,24,4,0.8354430379746836
3,4,128,2,23,5,0.8417721518987342
3,5,128,2,21,7,0.8544303797468354
3,6,128,2,21,7,0.8544303797468354
3,7,127,3,21,7,0.8481012658227848
3,8,127,3,21,7,0.8481012658227848
3,9,127,3,21,7,0.8481012658227848
3,10,127,3,21,7,0.8481012658227848
3,11,128,2,21,7,0.8544303797468354
3,12,127,3,21,7,0.8481012658227848
3,13,128,2,21,7,0.8544303797468354
