features_begin_index,features_mid_index,tn,fp,fn,tp,acc
1,1,148,7,18,10,0.863387978142
1,2,145,10,19,9,0.841530054645
1,3,145,10,19,9,0.841530054645
1,4,147,8,19,9,0.852459016393
1,5,147,8,19,9,0.852459016393
1,6,146,9,19,9,0.846994535519
1,7,145,10,19,9,0.841530054645
1,8,147,8,19,9,0.852459016393
1,9,148,7,18,10,0.863387978142
1,10,148,7,17,11,0.868852459016
1,11,146,9,15,13,0.868852459016
1,12,147,8,13,15,0.885245901639
1,13,148,7,12,16,0.896174863388
1,14,148,7,13,15,0.890710382514
1,15,148,7,12,16,0.896174863388
1,16,147,8,12,16,0.890710382514
1,17,148,7,11,17,0.901639344262
1,18,148,7,10,18,0.907103825137
1,19,150,5,11,17,0.912568306011
1,20,150,5,11,17,0.912568306011
1,21,150,5,11,17,0.912568306011
1,22,151,4,11,17,0.918032786885
1,23,151,4,12,16,0.912568306011
1,24,151,4,13,15,0.907103825137
1,25,151,4,13,15,0.907103825137
1,26,151,4,13,15,0.907103825137
1,27,151,4,12,16,0.912568306011
1,28,151,4,10,18,0.92349726776
1,29,151,4,10,18,0.92349726776
1,30,150,5,9,19,0.92349726776
1,31,150,5,10,18,0.918032786885
1,32,153,2,10,18,0.934426229508
1,33,153,2,10,18,0.934426229508
1,34,153,2,10,18,0.934426229508
1,35,153,2,9,19,0.939890710383
1,36,153,2,9,19,0.939890710383
1,37,153,2,9,19,0.939890710383
1,38,153,2,9,19,0.939890710383
1,39,153,2,9,19,0.939890710383
1,40,153,2,9,19,0.939890710383
1,41,153,2,9,19,0.939890710383
1,42,153,2,9,19,0.939890710383
1,43,153,2,9,19,0.939890710383
1,44,153,2,9,19,0.939890710383
1,45,153,2,9,19,0.939890710383
1,46,153,2,9,19,0.939890710383
1,47,153,2,9,19,0.939890710383
1,48,151,4,5,23,0.950819672131
1,49,150,5,5,23,0.945355191257
1,50,150,5,5,23,0.945355191257
1,51,150,5,5,23,0.945355191257
1,52,152,3,4,24,0.96174863388
2,2,152,3,25,3,0.846994535519
2,3,150,5,20,8,0.863387978142
2,4,145,10,21,7,0.830601092896
2,5,145,10,21,7,0.830601092896
2,6,148,7,21,7,0.846994535519
2,7,147,8,20,8,0.846994535519
2,8,147,8,20,8,0.846994535519
2,9,148,7,21,7,0.846994535519
2,10,148,7,20,8,0.852459016393
2,11,148,7,18,10,0.863387978142
2,12,148,7,16,12,0.874316939891
2,13,148,7,16,12,0.874316939891
2,14,148,7,16,12,0.874316939891
2,15,148,7,16,12,0.874316939891
2,16,148,7,16,12,0.874316939891
2,17,148,7,17,11,0.868852459016
2,18,149,6,16,12,0.879781420765
2,19,149,6,16,12,0.879781420765
2,20,149,6,16,12,0.879781420765
2,21,149,6,16,12,0.879781420765
2,22,149,6,16,12,0.879781420765
2,23,147,8,17,11,0.863387978142
2,24,147,8,18,10,0.857923497268
2,25,147,8,18,10,0.857923497268
2,26,148,7,17,11,0.868852459016
2,27,148,7,17,11,0.868852459016
2,28,148,7,17,11,0.868852459016
2,29,149,6,15,13,0.885245901639
2,30,149,6,15,13,0.885245901639
2,31,149,6,16,12,0.879781420765
2,32,149,6,12,16,0.901639344262
2,33,149,6,12,16,0.901639344262
2,34,149,6,12,16,0.901639344262
2,35,149,6,12,16,0.901639344262
2,36,149,6,12,16,0.901639344262
2,37,149,6,12,16,0.901639344262
2,38,149,6,12,16,0.901639344262
2,39,149,6,12,16,0.901639344262
2,40,150,5,12,16,0.907103825137
2,41,150,5,12,16,0.907103825137
2,42,149,6,12,16,0.901639344262
2,43,149,6,12,16,0.901639344262
2,44,149,6,12,16,0.901639344262
2,45,149,6,12,16,0.901639344262
2,46,149,6,12,16,0.901639344262
2,47,149,6,12,16,0.901639344262
2,48,150,5,5,23,0.945355191257
2,49,150,5,5,23,0.945355191257
2,50,150,5,6,22,0.939890710383
2,51,151,4,6,22,0.945355191257
2,52,152,3,5,23,0.956284153005
3,3,150,5,20,8,0.863387978142
3,4,147,8,19,9,0.852459016393
3,5,145,10,20,8,0.83606557377
3,6,151,4,20,8,0.868852459016
3,7,147,8,20,8,0.846994535519
3,8,148,7,20,8,0.852459016393
3,9,150,5,21,7,0.857923497268
3,10,150,5,20,8,0.863387978142
3,11,148,7,18,10,0.863387978142
3,12,148,7,16,12,0.874316939891
3,13,148,7,16,12,0.874316939891
3,14,148,7,17,11,0.868852459016
3,15,148,7,17,11,0.868852459016
3,16,149,6,17,11,0.874316939891
3,17,149,6,17,11,0.874316939891
3,18,149,6,17,11,0.874316939891
3,19,149,6,17,11,0.874316939891
3,20,149,6,17,11,0.874316939891
3,21,149,6,16,12,0.879781420765
3,22,150,5,17,11,0.879781420765
3,23,147,8,19,9,0.852459016393
3,24,147,8,18,10,0.857923497268
3,25,147,8,19,9,0.852459016393
3,26,148,7,19,9,0.857923497268
3,27,148,7,18,10,0.863387978142
3,28,148,7,16,12,0.874316939891
3,29,149,6,16,12,0.879781420765
3,30,149,6,16,12,0.879781420765
3,31,149,6,16,12,0.879781420765
3,32,149,6,13,15,0.896174863388
3,33,149,6,13,15,0.896174863388
3,34,149,6,13,15,0.896174863388
3,35,149,6,13,15,0.896174863388
3,36,149,6,13,15,0.896174863388
3,37,149,6,13,15,0.896174863388
3,38,149,6,13,15,0.896174863388
3,39,149,6,13,15,0.896174863388
3,40,149,6,13,15,0.896174863388
3,41,149,6,13,15,0.896174863388
3,42,149,6,13,15,0.896174863388
3,43,148,7,13,15,0.890710382514
3,44,149,6,13,15,0.896174863388
3,45,149,6,13,15,0.896174863388
3,46,149,6,13,15,0.896174863388
3,47,149,6,13,15,0.896174863388
3,48,150,5,5,23,0.945355191257
3,49,150,5,6,22,0.939890710383
3,50,150,5,6,22,0.939890710383
3,51,150,5,6,22,0.939890710383
3,52,151,4,5,23,0.950819672131
4,4,149,6,20,8,0.857923497268
4,5,147,8,19,9,0.852459016393
4,6,147,8,21,7,0.841530054645
