features_begin_index,features_mid_index,leaf_node_num,tn,fp,fn,tp,acc
1,1,3,126,0,28,0,0.8181818181818182
1,2,3,126,0,26,2,0.8311688311688312
1,3,3,126,0,26,2,0.8311688311688312
1,4,3,126,0,24,4,0.8441558441558441
1,5,3,126,0,24,4,0.8441558441558441
1,6,3,125,1,22,6,0.8506493506493507
1,7,3,126,0,24,4,0.8441558441558441
1,8,3,126,0,21,7,0.8636363636363636
1,9,3,126,0,17,11,0.8896103896103896
1,10,3,126,0,19,9,0.8766233766233766
1,11,3,125,1,19,9,0.8701298701298701
1,12,3,126,0,18,10,0.8831168831168831
1,13,3,125,1,16,12,0.8896103896103896
1,14,3,126,0,21,7,0.8636363636363636
1,15,3,125,1,18,10,0.8766233766233766
1,16,3,126,0,20,8,0.8701298701298701
1,17,3,126,0,17,11,0.8896103896103896
1,18,3,126,0,16,12,0.8961038961038961
1,19,3,126,0,19,9,0.8766233766233766
1,20,3,126,0,20,8,0.8701298701298701
1,21,3,126,0,17,11,0.8896103896103896
1,22,3,126,0,20,8,0.8701298701298701
1,23,3,126,0,15,13,0.9025974025974026
1,24,3,126,0,21,7,0.8636363636363636
1,25,3,126,0,18,10,0.8831168831168831
1,26,3,125,1,15,13,0.8961038961038961
1,27,3,126,0,18,10,0.8831168831168831
1,28,3,126,0,16,12,0.8961038961038961
1,29,3,126,0,22,6,0.8571428571428571
1,30,3,126,0,17,11,0.8896103896103896
1,31,3,126,0,19,9,0.8766233766233766
1,32,3,126,0,16,12,0.8961038961038961
1,33,3,126,0,19,9,0.8766233766233766
1,34,3,126,0,17,11,0.8896103896103896
1,35,3,125,1,20,8,0.8636363636363636
1,36,3,126,0,18,10,0.8831168831168831
1,37,3,125,1,16,12,0.8896103896103896
1,38,3,126,0,19,9,0.8766233766233766
1,39,3,126,0,16,12,0.8961038961038961
1,40,3,125,1,17,11,0.8831168831168831
1,41,3,125,1,14,14,0.9025974025974026
1,42,3,126,0,10,18,0.935064935064935
1,43,3,125,1,13,15,0.9090909090909091
1,44,3,125,1,12,16,0.9155844155844156
1,45,3,126,0,10,18,0.935064935064935
2,2,3,124,2,18,10,0.8701298701298701
2,3,3,126,0,23,5,0.8506493506493507
2,4,3,126,0,24,4,0.8441558441558441
2,5,3,126,0,25,3,0.8376623376623377
2,6,3,126,0,24,4,0.8441558441558441
2,7,3,126,0,21,7,0.8636363636363636
2,8,3,126,0,18,10,0.8831168831168831
2,9,3,126,0,18,10,0.8831168831168831
2,10,3,125,1,19,9,0.8701298701298701
2,11,3,126,0,18,10,0.8831168831168831
2,12,3,126,0,21,7,0.8636363636363636
2,13,3,125,1,20,8,0.8636363636363636
2,14,3,125,1,17,11,0.8831168831168831
2,15,3,126,0,20,8,0.8701298701298701
2,16,3,126,0,18,10,0.8831168831168831
2,17,3,126,0,18,10,0.8831168831168831
2,18,3,126,0,19,9,0.8766233766233766
2,19,3,126,0,19,9,0.8766233766233766
2,20,3,126,0,21,7,0.8636363636363636
2,21,3,126,0,19,9,0.8766233766233766
2,22,3,126,0,20,8,0.8701298701298701
2,23,3,125,1,17,11,0.8831168831168831
2,24,3,124,2,18,10,0.8701298701298701
2,25,3,125,1,18,10,0.8766233766233766
2,26,3,126,0,18,10,0.8831168831168831
2,27,3,126,0,17,11,0.8896103896103896
2,28,3,126,0,16,12,0.8961038961038961
2,29,3,125,1,18,10,0.8766233766233766
2,30,3,126,0,20,8,0.8701298701298701
2,31,3,126,0,18,10,0.8831168831168831
2,32,3,126,0,20,8,0.8701298701298701
2,33,3,126,0,17,11,0.8896103896103896
2,34,3,124,2,17,11,0.8766233766233766
2,35,3,126,0,16,12,0.8961038961038961
2,36,3,126,0,16,12,0.8961038961038961
2,37,3,125,1,21,7,0.8571428571428571
2,38,3,126,0,15,13,0.9025974025974026
2,39,3,126,0,15,13,0.9025974025974026
2,40,3,126,0,17,11,0.8896103896103896
2,41,3,126,0,13,15,0.9155844155844156
2,42,3,125,1,14,14,0.9025974025974026
2,43,3,125,1,17,11,0.8831168831168831
2,44,3,126,0,9,19,0.9415584415584416
2,45,3,126,0,10,18,0.935064935064935
3,3,3,124,2,23,5,0.8376623376623377
3,4,3,126,0,28,0,0.8181818181818182
3,5,3,125,1,25,3,0.8311688311688312
3,6,3,125,1,20,8,0.8636363636363636
3,7,3,126,0,20,8,0.8701298701298701
3,8,3,126,0,21,7,0.8636363636363636
3,9,3,125,1,18,10,0.8766233766233766
3,10,3,125,1,21,7,0.8571428571428571
3,11,3,125,1,16,12,0.8896103896103896
3,12,3,126,0,17,11,0.8896103896103896
3,13,3,125,1,18,10,0.8766233766233766
3,14,3,126,0,19,9,0.8766233766233766
3,15,3,126,0,19,9,0.8766233766233766
3,16,3,126,0,17,11,0.8896103896103896
3,17,3,126,0,21,7,0.8636363636363636
3,18,3,126,0,16,12,0.8961038961038961
3,19,3,126,0,18,10,0.8831168831168831
3,20,3,126,0,18,10,0.8831168831168831
3,21,3,125,1,18,10,0.8766233766233766
3,22,3,126,0,19,9,0.8766233766233766
3,23,3,125,1,17,11,0.8831168831168831
3,24,3,125,1,19,9,0.8701298701298701
3,25,3,126,0,18,10,0.8831168831168831
3,26,3,125,1,18,10,0.8766233766233766
3,27,3,125,1,17,11,0.8831168831168831
3,28,3,125,1,18,10,0.8766233766233766
3,29,3,126,0,20,8,0.8701298701298701
3,30,3,126,0,20,8,0.8701298701298701
3,31,3,125,1,17,11,0.8831168831168831
3,32,3,126,0,18,10,0.8831168831168831
3,33,3,125,1,16,12,0.8896103896103896
3,34,3,126,0,19,9,0.8766233766233766
3,35,3,126,0,21,7,0.8636363636363636
3,36,3,125,1,19,9,0.8701298701298701
3,37,3,126,0,21,7,0.8636363636363636
3,38,3,126,0,17,11,0.8896103896103896
3,39,3,126,0,15,13,0.9025974025974026
3,40,3,126,0,16,12,0.8961038961038961
3,41,3,125,1,15,13,0.8961038961038961
3,42,3,126,0,19,9,0.8766233766233766
3,43,3,126,0,17,11,0.8896103896103896
3,44,3,124,2,7,21,0.9415584415584416
3,45,3,125,1,10,18,0.9285714285714286
4,4,3,126,0,28,0,0.8181818181818182
4,5,3,126,0,21,7,0.8636363636363636
4,6,3,126,0,23,5,0.8506493506493507
4,7,3,124,2,23,5,0.8376623376623377
