features_begin_index,features_mid_index,leaf_node_num,tn,fp,fn,tp,acc
2,2,3,145,10,13,15,0.874316939891
2,3,3,151,4,8,20,0.934426229508
2,4,3,148,7,10,18,0.907103825137
2,5,3,153,2,11,17,0.928961748634
2,6,3,152,3,5,23,0.956284153005
2,7,3,151,4,6,22,0.945355191257
2,8,3,152,3,6,22,0.950819672131
2,9,3,153,2,9,19,0.939890710383
2,10,3,153,2,7,21,0.950819672131
2,11,3,149,6,8,20,0.92349726776
2,12,3,152,3,6,22,0.950819672131
2,13,3,152,3,6,22,0.950819672131
2,14,3,152,3,5,23,0.956284153005
2,15,3,153,2,3,25,0.972677595628
2,16,3,154,1,4,24,0.972677595628
2,17,3,154,1,4,24,0.972677595628
2,18,3,152,3,4,24,0.96174863388
2,19,3,154,1,3,25,0.978142076503
2,20,3,152,3,3,25,0.967213114754
3,3,3,147,8,12,16,0.890710382514
3,4,3,152,3,13,15,0.912568306011
3,5,3,151,4,8,20,0.934426229508
3,6,3,150,5,8,20,0.928961748634
3,7,3,153,2,8,20,0.945355191257
3,8,3,153,2,11,17,0.928961748634
3,9,3,151,4,9,19,0.928961748634
3,10,3,154,1,8,20,0.950819672131
3,11,3,153,2,7,21,0.950819672131
3,12,3,150,5,8,20,0.928961748634
3,13,3,153,2,9,19,0.939890710383
3,14,3,153,2,7,21,0.950819672131
3,15,3,152,3,3,25,0.967213114754
3,16,3,152,3,5,23,0.956284153005
3,17,3,153,2,5,23,0.96174863388
3,18,3,153,2,5,23,0.96174863388
3,19,3,153,2,4,24,0.967213114754
3,20,3,153,2,2,26,0.978142076503
4,4,3,151,4,23,5,0.852459016393
4,5,3,149,6,11,17,0.907103825137
4,6,3,149,6,12,16,0.901639344262
4,7,3,149,6,9,19,0.918032786885
4,8,3,153,2,13,15,0.918032786885
4,9,3,151,4,8,20,0.934426229508
4,10,3,149,6,9,19,0.918032786885
4,11,3,155,0,9,19,0.950819672131
4,12,3,151,4,10,18,0.92349726776
4,13,3,152,3,7,21,0.945355191257
4,14,3,153,2,9,19,0.939890710383
4,15,3,150,5,7,21,0.934426229508
4,16,3,150,5,6,22,0.939890710383
4,17,3,153,2,4,24,0.967213114754
4,18,3,152,3,5,23,0.956284153005
4,19,3,154,1,4,24,0.972677595628
4,20,3,155,0,2,26,0.989071038251
5,5,3,147,8,11,17,0.896174863388
5,6,3,147,8,9,19,0.907103825137
5,7,3,151,4,10,18,0.92349726776
5,8,3,154,1,10,18,0.939890710383
5,9,3,150,5,8,20,0.928961748634
5,10,3,152,3,9,19,0.934426229508
5,11,3,155,0,7,21,0.96174863388
5,12,3,152,3,9,19,0.934426229508
5,13,3,153,2,9,19,0.939890710383
5,14,3,153,2,9,19,0.939890710383
5,15,3,152,3,2,26,0.972677595628
5,16,3,150,5,6,22,0.939890710383
5,17,3,150,5,3,25,0.956284153005
5,18,3,151,4,7,21,0.939890710383
5,19,3,154,1,4,24,0.972677595628
5,20,3,155,0,2,26,0.989071038251
6,6,3,146,9,11,17,0.890710382514
6,7,3,152,3,15,13,0.901639344262
6,8,3,151,4,14,14,0.901639344262
6,9,3,150,5,11,17,0.912568306011
6,10,3,153,2,12,16,0.92349726776
6,11,3,150,5,12,16,0.907103825137
6,12,3,154,1,9,19,0.945355191257
6,13,3,152,3,10,18,0.928961748634
6,14,3,154,1,10,18,0.939890710383
6,15,3,151,4,5,23,0.950819672131
6,16,3,152,3,5,23,0.956284153005
6,17,3,153,2,6,22,0.956284153005
6,18,3,150,5,5,23,0.945355191257
6,19,3,154,1,4,24,0.972677595628
6,20,3,154,1,3,25,0.978142076503
7,7,3,149,6,18,10,0.868852459016
7,8,3,148,7,11,17,0.901639344262
7,9,3,154,1,12,16,0.928961748634
7,10,3,154,1,11,17,0.934426229508
7,11,3,154,1,12,16,0.928961748634
7,12,3,152,3,9,19,0.934426229508
7,13,3,154,1,12,16,0.928961748634
7,14,3,154,1,13,15,0.92349726776
7,15,3,152,3,6,22,0.950819672131
7,16,3,150,5,5,23,0.945355191257
7,17,3,149,6,3,25,0.950819672131
7,18,3,148,7,4,24,0.939890710383
7,19,3,153,2,6,22,0.956284153005
7,20,3,154,1,6,22,0.96174863388
8,8,3,144,11,9,19,0.890710382514
8,9,3,150,5,10,18,0.918032786885
8,10,3,145,10,12,16,0.879781420765
8,11,3,152,3,8,20,0.939890710383
8,12,3,151,4,10,18,0.92349726776
8,13,3,153,2,11,17,0.928961748634
8,14,3,149,6,11,17,0.907103825137
8,15,3,152,3,5,23,0.956284153005
8,16,3,151,4,6,22,0.945355191257
8,17,3,150,5,7,21,0.934426229508
8,18,3,152,3,6,22,0.950819672131
8,19,3,154,1,1,27,0.989071038251
8,20,3,155,0,4,24,0.978142076503
9,9,3,151,4,23,5,0.852459016393
9,10,3,149,6,18,10,0.868852459016
9,11,3,152,3,12,16,0.918032786885
9,12,3,150,5,13,15,0.901639344262
9,13,3,153,2,12,16,0.92349726776
9,14,3,151,4,12,16,0.912568306011
9,15,3,150,5,6,22,0.939890710383
9,16,3,150,5,5,23,0.945355191257
9,17,3,151,4,6,22,0.945355191257
9,18,3,150,5,7,21,0.934426229508
9,19,3,153,2,4,24,0.967213114754
9,20,3,153,2,5,23,0.96174863388
10,10,3,152,3,17,11,0.890710382514
10,11,3,152,3,14,14,0.907103825137
10,12,3,152,3,13,15,0.912568306011
10,13,3,154,1,11,17,0.934426229508
10,14,3,153,2,13,15,0.918032786885
10,15,3,152,3,4,24,0.96174863388
10,16,3,148,7,6,22,0.928961748634
10,17,3,150,5,5,23,0.945355191257
10,18,3,149,6,8,20,0.92349726776
10,19,3,153,2,5,23,0.96174863388
10,20,3,153,2,3,25,0.972677595628
11,11,3,151,4,17,11,0.885245901639
11,12,3,152,3,14,14,0.907103825137
11,13,3,152,3,13,15,0.912568306011
11,14,3,154,1,12,16,0.928961748634
11,15,3,150,5,7,21,0.934426229508
11,16,3,149,6,6,22,0.934426229508
11,17,3,148,7,5,23,0.934426229508
11,18,3,150,5,8,20,0.928961748634
11,19,3,154,1,4,24,0.972677595628
11,20,3,154,1,3,25,0.978142076503
12,12,3,151,4,23,5,0.852459016393
12,13,3,150,5,14,14,0.896174863388
12,14,3,153,2,16,12,0.901639344262
12,15,3,151,4,6,22,0.945355191257
12,16,3,149,6,6,22,0.934426229508
12,17,3,150,5,6,22,0.939890710383
12,18,3,151,4,6,22,0.945355191257
12,19,3,153,2,5,23,0.96174863388
12,20,3,154,1,5,23,0.967213114754
13,13,3,147,8,13,15,0.885245901639
13,14,3,151,4,16,12,0.890710382514
13,15,3,150,5,6,22,0.939890710383
13,16,3,151,4,8,20,0.934426229508
13,17,3,148,7,6,22,0.928961748634
13,18,3,152,3,6,22,0.950819672131
13,19,3,152,3,4,24,0.96174863388
13,20,3,153,2,6,22,0.956284153005
14,14,3,147,8,20,8,0.846994535519
14,15,3,145,10,6,22,0.912568306011
14,16,3,149,6,7,21,0.928961748634
14,17,3,148,7,7,21,0.92349726776
14,18,3,146,9,6,22,0.918032786885
14,19,3,153,2,4,24,0.967213114754
14,20,3,153,2,6,22,0.956284153005
15,15,3,146,9,7,21,0.912568306011
15,16,3,146,9,7,21,0.912568306011
15,17,3,146,9,6,22,0.918032786885
15,18,3,146,9,6,22,0.918032786885
15,19,3,152,3,6,22,0.950819672131
15,20,3,152,3,4,24,0.96174863388
16,16,3,146,9,7,21,0.912568306011
16,17,3,148,7,9,19,0.912568306011
16,18,3,145,10,6,22,0.912568306011
