features_begin_index,features_mid_index,tn,fp,fn,tp,acc
1,1,134,0,28,0,0.827160493827
1,2,121,13,15,13,0.827160493827
1,3,125,9,19,9,0.827160493827
1,4,125,9,19,9,0.827160493827
1,5,125,9,19,9,0.827160493827
1,6,123,11,14,14,0.845679012346
1,7,126,8,17,11,0.845679012346
1,8,125,9,14,14,0.858024691358
1,9,127,7,16,12,0.858024691358
1,10,128,6,17,11,0.858024691358
1,11,125,9,12,16,0.87037037037
1,12,126,8,11,17,0.882716049383
1,13,126,8,11,17,0.882716049383
1,14,126,8,12,16,0.876543209877
1,15,126,8,12,16,0.876543209877
1,16,125,9,12,16,0.87037037037
1,17,128,6,10,18,0.901234567901
1,18,130,4,11,17,0.907407407407
1,19,128,6,10,18,0.901234567901
1,20,128,6,10,18,0.901234567901
1,21,128,6,10,18,0.901234567901
1,22,131,3,12,16,0.907407407407
1,23,131,3,12,16,0.907407407407
1,24,131,3,13,15,0.901234567901
1,25,132,2,14,14,0.901234567901
1,26,132,2,14,14,0.901234567901
1,27,131,3,10,18,0.91975308642
1,28,130,4,8,20,0.925925925926
1,29,130,4,9,19,0.91975308642
1,30,130,4,8,20,0.925925925926
1,31,130,4,7,21,0.932098765432
1,32,131,3,7,21,0.938271604938
1,33,131,3,7,21,0.938271604938
1,34,131,3,6,22,0.944444444444
1,35,131,3,4,24,0.956790123457
1,36,131,3,4,24,0.956790123457
1,37,131,3,5,23,0.950617283951
1,38,131,3,5,23,0.950617283951
1,39,131,3,5,23,0.950617283951
1,40,131,3,4,24,0.956790123457
1,41,132,2,5,23,0.956790123457
1,42,132,2,4,24,0.962962962963
1,43,132,2,5,23,0.956790123457
1,44,132,2,6,22,0.950617283951
1,45,132,2,6,22,0.950617283951
1,46,132,2,6,22,0.950617283951
1,47,132,2,6,22,0.950617283951
1,48,131,3,5,23,0.950617283951
1,49,130,4,5,23,0.944444444444
1,50,130,4,4,24,0.950617283951
1,51,130,4,4,24,0.950617283951
1,52,132,2,4,24,0.962962962963
1,53,134,0,0,28,1.0
2,2,134,0,28,0,0.827160493827
2,3,132,2,25,3,0.833333333333
2,4,132,2,25,3,0.833333333333
2,5,132,2,25,3,0.833333333333
2,6,131,3,21,7,0.851851851852
2,7,132,2,22,6,0.851851851852
2,8,131,3,21,7,0.851851851852
2,9,131,3,20,8,0.858024691358
2,10,131,3,21,7,0.851851851852
2,11,131,3,22,6,0.845679012346
2,12,130,4,19,9,0.858024691358
2,13,129,5,16,12,0.87037037037
2,14,128,6,15,13,0.87037037037
2,15,128,6,15,13,0.87037037037
2,16,130,4,17,11,0.87037037037
2,17,129,5,15,13,0.876543209877
2,18,131,3,16,12,0.882716049383
2,19,131,3,16,12,0.882716049383
2,20,130,4,16,12,0.876543209877
2,21,130,4,15,13,0.882716049383
2,22,133,1,17,11,0.888888888889
2,23,133,1,17,11,0.888888888889
2,24,132,2,16,12,0.888888888889
2,25,132,2,17,11,0.882716049383
