features_begin_index,features_mid_index,tn,fp,fn,tp,acc
2,2,152,3,22,6,0.863387978142
2,3,153,2,22,6,0.868852459016
2,4,153,2,16,12,0.901639344262
2,5,151,4,17,11,0.885245901639
2,6,153,2,17,11,0.896174863388
2,7,155,0,18,10,0.901639344262
2,8,155,0,19,9,0.896174863388
2,9,154,1,19,9,0.890710382514
2,10,155,0,19,9,0.896174863388
2,11,155,0,18,10,0.901639344262
2,12,154,1,16,12,0.907103825137
2,13,155,0,14,14,0.92349726776
2,14,155,0,15,13,0.918032786885
2,15,153,2,8,20,0.945355191257
2,16,153,2,6,22,0.956284153005
2,17,154,1,7,21,0.956284153005
2,18,154,1,7,21,0.956284153005
2,19,155,0,5,23,0.972677595628
3,3,154,1,27,1,0.846994535519
3,4,153,2,23,5,0.863387978142
3,5,153,2,23,5,0.863387978142
3,6,154,1,23,5,0.868852459016
3,7,154,1,21,7,0.879781420765
3,8,154,1,21,7,0.879781420765
3,9,154,1,20,8,0.885245901639
3,10,155,0,20,8,0.890710382514
3,11,155,0,18,10,0.901639344262
3,12,155,0,17,11,0.907103825137
3,13,155,0,18,10,0.901639344262
3,14,155,0,18,10,0.901639344262
3,15,152,3,8,20,0.939890710383
3,16,152,3,8,20,0.939890710383
3,17,152,3,7,21,0.945355191257
3,18,151,4,7,21,0.939890710383
3,19,154,1,6,22,0.96174863388
4,4,154,1,26,2,0.852459016393
4,5,154,1,27,1,0.846994535519
4,6,153,2,24,4,0.857923497268
4,7,154,1,20,8,0.885245901639
4,8,154,1,20,8,0.885245901639
4,9,154,1,17,11,0.901639344262
4,10,155,0,19,9,0.896174863388
4,11,155,0,18,10,0.901639344262
4,12,154,1,16,12,0.907103825137
4,13,155,0,17,11,0.907103825137
4,14,155,0,16,12,0.912568306011
4,15,152,3,8,20,0.939890710383
4,16,152,3,8,20,0.939890710383
4,17,153,2,8,20,0.945355191257
4,18,153,2,8,20,0.945355191257
4,19,154,1,3,25,0.978142076503
5,5,155,0,28,0,0.846994535519
5,6,154,1,26,2,0.852459016393
5,7,152,3,19,9,0.879781420765
5,8,153,2,19,9,0.885245901639
5,9,154,1,20,8,0.885245901639
5,10,155,0,20,8,0.890710382514
5,11,155,0,17,11,0.907103825137
5,12,155,0,18,10,0.901639344262
5,13,155,0,18,10,0.901639344262
5,14,155,0,19,9,0.896174863388
5,15,152,3,8,20,0.939890710383
5,16,152,3,8,20,0.939890710383
5,17,153,2,8,20,0.945355191257
5,18,154,1,7,21,0.956284153005
5,19,154,1,5,23,0.967213114754
6,6,153,2,25,3,0.852459016393
6,7,152,3,18,10,0.885245901639
6,8,152,3,18,10,0.885245901639
6,9,154,1,20,8,0.885245901639
6,10,154,1,20,8,0.885245901639
6,11,155,0,18,10,0.901639344262
6,12,155,0,19,9,0.896174863388
6,13,155,0,16,12,0.912568306011
6,14,155,0,18,10,0.901639344262
6,15,152,3,8,20,0.939890710383
6,16,153,2,8,20,0.945355191257
6,17,153,2,8,20,0.945355191257
6,18,154,1,8,20,0.950819672131
6,19,155,0,4,24,0.978142076503
7,7,155,0,28,0,0.846994535519
7,8,155,0,22,6,0.879781420765
7,9,155,0,25,3,0.863387978142
7,10,155,0,25,3,0.863387978142
7,11,154,1,20,8,0.885245901639
7,12,155,0,20,8,0.890710382514
