features_begin_index,features_mid_index,tn,fp,fn,tp,acc
1,1,130,0,28,0,0.8227848101265823
1,2,130,0,27,1,0.8291139240506329
1,3,129,1,24,4,0.8417721518987342
1,4,129,1,23,5,0.8481012658227848
1,5,129,1,24,4,0.8417721518987342
1,6,129,1,24,4,0.8417721518987342
1,7,129,1,25,3,0.8354430379746836
1,8,130,0,25,3,0.8417721518987342
1,9,130,0,25,3,0.8417721518987342
1,10,130,0,25,3,0.8417721518987342
1,11,130,0,25,3,0.8417721518987342
1,12,130,0,25,3,0.8417721518987342
1,13,130,0,25,3,0.8417721518987342
1,14,130,0,25,3,0.8417721518987342
1,15,130,0,25,3,0.8417721518987342
1,16,130,0,25,3,0.8417721518987342
1,17,130,0,25,3,0.8417721518987342
1,18,130,0,25,3,0.8417721518987342
1,19,130,0,25,3,0.8417721518987342
1,20,130,0,25,3,0.8417721518987342
1,21,130,0,25,3,0.8417721518987342
1,22,130,0,25,3,0.8417721518987342
1,23,130,0,25,3,0.8417721518987342
1,24,130,0,25,3,0.8417721518987342
1,25,130,0,25,3,0.8417721518987342
1,26,130,0,25,3,0.8417721518987342
1,27,130,0,25,3,0.8417721518987342
1,28,130,0,25,3,0.8417721518987342
1,29,130,0,25,3,0.8417721518987342
1,30,130,0,24,4,0.8481012658227848
1,31,130,0,24,4,0.8481012658227848
1,32,130,0,24,4,0.8481012658227848
1,33,130,0,24,4,0.8481012658227848
1,34,130,0,24,4,0.8481012658227848
1,35,130,0,24,4,0.8481012658227848
1,36,130,0,24,4,0.8481012658227848
1,37,130,0,24,4,0.8481012658227848
1,38,130,0,24,4,0.8481012658227848
1,39,130,0,23,5,0.8544303797468354
1,40,130,0,23,5,0.8544303797468354
1,41,130,0,23,5,0.8544303797468354
1,42,130,0,24,4,0.8481012658227848
1,43,130,0,23,5,0.8544303797468354
1,44,130,0,24,4,0.8481012658227848
1,45,130,0,23,5,0.8544303797468354
1,46,130,0,21,7,0.8670886075949367
1,47,130,0,19,9,0.879746835443038
1,48,130,0,19,9,0.879746835443038
1,49,130,0,19,9,0.879746835443038
1,50,130,0,19,9,0.879746835443038
1,51,129,1,14,14,0.9050632911392406
2,2,130,0,28,0,0.8227848101265823
2,3,129,1,24,4,0.8417721518987342
2,4,129,1,23,5,0.8481012658227848
2,5,129,1,24,4,0.8417721518987342
2,6,129,1,25,3,0.8354430379746836
2,7,130,0,26,2,0.8354430379746836
2,8,130,0,25,3,0.8417721518987342
2,9,130,0,25,3,0.8417721518987342
2,10,130,0,25,3,0.8417721518987342
2,11,130,0,25,3,0.8417721518987342
2,12,130,0,25,3,0.8417721518987342
2,13,130,0,25,3,0.8417721518987342
2,14,130,0,25,3,0.8417721518987342
2,15,130,0,25,3,0.8417721518987342
2,16,130,0,25,3,0.8417721518987342
2,17,130,0,25,3,0.8417721518987342
2,18,130,0,25,3,0.8417721518987342
2,19,130,0,25,3,0.8417721518987342
2,20,130,0,25,3,0.8417721518987342
2,21,130,0,25,3,0.8417721518987342
2,22,130,0,25,3,0.8417721518987342
2,23,130,0,25,3,0.8417721518987342
2,24,130,0,25,3,0.8417721518987342
2,25,130,0,25,3,0.8417721518987342
2,26,130,0,25,3,0.8417721518987342
2,27,130,0,25,3,0.8417721518987342
2,28,130,0,25,3,0.8417721518987342
2,29,130,0,25,3,0.8417721518987342
2,30,130,0,24,4,0.8481012658227848
2,31,130,0,24,4,0.8481012658227848
2,32,130,0,24,4,0.8481012658227848
2,33,130,0,24,4,0.8481012658227848
2,34,130,0,24,4,0.8481012658227848
2,35,130,0,24,4,0.8481012658227848
2,36,130,0,24,4,0.8481012658227848
2,37,130,0,24,4,0.8481012658227848
2,38,130,0,24,4,0.8481012658227848
2,39,130,0,24,4,0.8481012658227848
2,40,130,0,24,4,0.8481012658227848
2,41,130,0,24,4,0.8481012658227848
2,42,130,0,24,4,0.8481012658227848
2,43,130,0,24,4,0.8481012658227848
2,44,130,0,24,4,0.8481012658227848
2,45,130,0,24,4,0.8481012658227848
2,46,130,0,20,8,0.8734177215189873
2,47,130,0,19,9,0.879746835443038
2,48,130,0,19,9,0.879746835443038
2,49,130,0,19,9,0.879746835443038
2,50,130,0,19,9,0.879746835443038
2,51,129,1,13,15,0.9113924050632911
3,3,128,2,24,4,0.8354430379746836
3,4,129,1,22,6,0.8544303797468354
3,5,129,1,22,6,0.8544303797468354
3,6,129,1,26,2,0.8291139240506329
3,7,129,1,26,2,0.8291139240506329
