features_begin_index,features_mid_index,tn,fp,fn,tp,acc
1,1,128,6,22,6,0.827160493827
1,2,130,4,21,7,0.845679012346
1,3,130,4,20,8,0.851851851852
1,4,131,3,20,8,0.858024691358
1,5,134,0,22,6,0.864197530864
1,6,134,0,22,6,0.864197530864
1,7,134,0,22,6,0.864197530864
1,8,134,0,25,3,0.845679012346
1,9,134,0,26,2,0.83950617284
1,10,134,0,25,3,0.845679012346
1,11,134,0,25,3,0.845679012346
1,12,134,0,20,8,0.876543209877
1,13,131,3,16,12,0.882716049383
1,14,130,4,14,14,0.888888888889
1,15,131,3,14,14,0.895061728395
1,16,131,3,14,14,0.895061728395
1,17,131,3,14,14,0.895061728395
1,18,131,3,13,15,0.901234567901
1,19,131,3,13,15,0.901234567901
1,20,131,3,13,15,0.901234567901
1,21,131,3,13,15,0.901234567901
1,22,131,3,13,15,0.901234567901
1,23,132,2,13,15,0.907407407407
1,24,132,2,13,15,0.907407407407
1,25,132,2,14,14,0.901234567901
1,26,132,2,14,14,0.901234567901
1,27,132,2,14,14,0.901234567901
1,28,133,1,14,14,0.907407407407
1,29,133,1,15,13,0.901234567901
1,30,133,1,14,14,0.907407407407
1,31,134,0,14,14,0.913580246914
1,32,133,1,13,15,0.913580246914
1,33,133,1,13,15,0.913580246914
1,34,133,1,13,15,0.913580246914
1,35,133,1,14,14,0.907407407407
1,36,133,1,14,14,0.907407407407
1,37,133,1,14,14,0.907407407407
1,38,133,1,14,14,0.907407407407
1,39,133,1,14,14,0.907407407407
1,40,133,1,14,14,0.907407407407
1,41,133,1,14,14,0.907407407407
1,42,133,1,14,14,0.907407407407
1,43,133,1,14,14,0.907407407407
1,44,133,1,14,14,0.907407407407
1,45,133,1,14,14,0.907407407407
1,46,133,1,14,14,0.907407407407
1,47,133,1,14,14,0.907407407407
1,48,133,1,11,17,0.925925925926
1,49,132,2,7,21,0.944444444444
1,50,132,2,7,21,0.944444444444
1,51,131,3,5,23,0.950617283951
1,52,129,5,4,24,0.944444444444
1,53,134,0,3,25,0.981481481481
2,2,134,0,26,2,0.83950617284
2,3,132,2,24,4,0.83950617284
2,4,133,1,22,6,0.858024691358
2,5,134,0,23,5,0.858024691358
2,6,134,0,24,4,0.851851851852
2,7,134,0,26,2,0.83950617284
2,8,134,0,26,2,0.83950617284
2,9,134,0,26,2,0.83950617284
2,10,134,0,25,3,0.845679012346
2,11,134,0,25,3,0.845679012346
2,12,134,0,20,8,0.876543209877
2,13,130,4,16,12,0.876543209877
2,14,131,3,15,13,0.888888888889
2,15,131,3,14,14,0.895061728395
2,16,131,3,14,14,0.895061728395
2,17,131,3,14,14,0.895061728395
2,18,131,3,14,14,0.895061728395
2,19,131,3,14,14,0.895061728395
2,20,131,3,13,15,0.901234567901
2,21,131,3,13,15,0.901234567901
2,22,131,3,14,14,0.895061728395
2,23,132,2,14,14,0.901234567901
2,24,132,2,14,14,0.901234567901
2,25,132,2,15,13,0.895061728395
2,26,132,2,14,14,0.901234567901
2,27,132,2,14,14,0.901234567901
2,28,133,1,15,13,0.901234567901
2,29,133,1,15,13,0.901234567901
2,30,133,1,15,13,0.901234567901
2,31,134,0,15,13,0.907407407407
2,32,133,1,14,14,0.907407407407
2,33,133,1,14,14,0.907407407407
2,34,133,1,14,14,0.907407407407
2,35,133,1,14,14,0.907407407407
2,36,133,1,14,14,0.907407407407
2,37,133,1,14,14,0.907407407407
2,38,133,1,14,14,0.907407407407
2,39,133,1,14,14,0.907407407407
2,40,133,1,14,14,0.907407407407
2,41,133,1,14,14,0.907407407407
2,42,133,1,14,14,0.907407407407
2,43,133,1,14,14,0.907407407407
2,44,133,1,14,14,0.907407407407
2,45,133,1,14,14,0.907407407407
2,46,133,1,16,12,0.895061728395
2,47,133,1,16,12,0.895061728395
2,48,133,1,11,17,0.925925925926
2,49,132,2,8,20,0.938271604938
2,50,132,2,7,21,0.944444444444
2,51,131,3,5,23,0.950617283951
2,52,129,5,5,23,0.938271604938
2,53,133,1,3,25,0.975308641975
3,3,132,2,23,5,0.845679012346
3,4,132,2,21,7,0.858024691358
3,5,133,1,23,5,0.851851851852
3,6,134,0,24,4,0.851851851852
3,7,134,0,23,5,0.858024691358
3,8,134,0,26,2,0.83950617284
3,9,134,0,26,2,0.83950617284
3,10,134,0,25,3,0.845679012346
3,11,134,0,23,5,0.858024691358
3,12,134,0,20,8,0.876543209877
3,13,130,4,16,12,0.876543209877
3,14,131,3,13,15,0.901234567901
3,15,131,3,14,14,0.895061728395
3,16,131,3,15,13,0.888888888889
3,17,131,3,14,14,0.895061728395
3,18,130,4,14,14,0.888888888889
3,19,130,4,13,15,0.895061728395
3,20,130,4,13,15,0.895061728395
3,21,130,4,13,15,0.895061728395
3,22,131,3,13,15,0.901234567901
3,23,132,2,13,15,0.907407407407
3,24,132,2,14,14,0.901234567901
3,25,132,2,14,14,0.901234567901
3,26,132,2,14,14,0.901234567901
3,27,132,2,14,14,0.901234567901
3,28,133,1,15,13,0.901234567901
3,29,133,1,15,13,0.901234567901
3,30,133,1,16,12,0.895061728395
3,31,134,0,16,12,0.901234567901
3,32,133,1,14,14,0.907407407407
3,33,133,1,14,14,0.907407407407
3,34,133,1,14,14,0.907407407407
3,35,133,1,14,14,0.907407407407
3,36,133,1,14,14,0.907407407407
3,37,133,1,14,14,0.907407407407
3,38,133,1,14,14,0.907407407407
3,39,133,1,14,14,0.907407407407
3,40,133,1,14,14,0.907407407407
3,41,133,1,14,14,0.907407407407
3,42,133,1,14,14,0.907407407407
3,43,133,1,14,14,0.907407407407
3,44,133,1,14,14,0.907407407407
3,45,133,1,14,14,0.907407407407
3,46,133,1,15,13,0.901234567901
3,47,133,1,15,13,0.901234567901
3,48,133,1,11,17,0.925925925926
3,49,132,2,8,20,0.938271604938
3,50,132,2,7,21,0.944444444444
3,51,132,2,5,23,0.956790123457
3,52,129,5,5,23,0.938271604938
3,53,134,0,3,25,0.981481481481
4,4,132,2,24,4,0.83950617284
4,5,134,0,25,3,0.845679012346
4,6,134,0,25,3,0.845679012346
4,7,134,0,26,2,0.83950617284
4,8,134,0,26,2,0.83950617284
4,9,134,0,26,2,0.83950617284
4,10,134,0,25,3,0.845679012346
4,11,134,0,23,5,0.858024691358
4,12,134,0,18,10,0.888888888889
4,13,130,4,15,13,0.882716049383
4,14,131,3,12,16,0.907407407407
4,15,130,4,13,15,0.895061728395
4,16,131,3,15,13,0.888888888889
