features_begin_index,features_mid_index,tn,fp,fn,tp,acc
1,1,114,18,21,7,0.75625
1,2,121,11,19,9,0.8125
1,3,127,5,23,5,0.825
1,4,129,3,24,4,0.83125
1,5,118,14,19,9,0.79375
1,6,124,8,25,3,0.79375
1,7,127,5,25,3,0.8125
1,8,121,11,23,5,0.7875
1,9,126,6,24,4,0.8125
1,10,122,10,23,5,0.79375
1,11,125,7,23,5,0.8125
1,12,128,4,28,0,0.8
1,13,126,6,27,1,0.79375
1,14,128,4,27,1,0.80625
1,15,130,2,27,1,0.81875
1,16,131,1,28,0,0.81875
1,17,129,3,28,0,0.80625
1,18,128,4,28,0,0.8
1,19,130,2,28,0,0.8125
1,20,128,4,27,1,0.80625
1,21,132,0,27,1,0.83125
1,22,128,4,24,4,0.825
1,23,132,0,28,0,0.825
1,24,132,0,28,0,0.825
1,25,132,0,28,0,0.825
1,26,131,1,28,0,0.81875
1,27,131,1,28,0,0.81875
1,28,131,1,26,2,0.83125
1,29,129,3,26,2,0.81875
1,30,131,1,26,2,0.83125
1,31,130,2,24,4,0.8375
1,32,131,1,27,1,0.825
1,33,131,1,24,4,0.84375
1,34,130,2,25,3,0.83125
1,35,130,2,25,3,0.83125
1,36,130,2,25,3,0.83125
1,37,130,2,25,3,0.83125
1,38,129,3,25,3,0.825
1,39,129,3,25,3,0.825
1,40,129,3,24,4,0.83125
1,41,129,3,24,4,0.83125
1,42,129,3,24,4,0.83125
1,43,129,3,24,4,0.83125
1,44,129,3,24,4,0.83125
1,45,129,3,24,4,0.83125
1,46,129,3,24,4,0.83125
1,47,127,5,19,9,0.85
1,48,122,10,19,9,0.81875
1,49,123,9,18,10,0.83125
1,50,121,11,16,12,0.83125
1,51,123,9,15,13,0.85
1,52,124,8,17,11,0.84375
2,2,123,9,25,3,0.7875
2,3,123,9,21,7,0.8125
2,4,130,2,26,2,0.825
2,5,124,8,23,5,0.80625
2,6,126,6,25,3,0.80625
2,7,126,6,24,4,0.8125
2,8,126,6,23,5,0.81875
2,9,122,10,24,4,0.7875
2,10,126,6,24,4,0.8125
2,11,128,4,24,4,0.825
2,12,126,6,26,2,0.8
2,13,127,5,27,1,0.8
2,14,130,2,28,0,0.8125
2,15,129,3,27,1,0.8125
2,16,129,3,28,0,0.80625
2,17,128,4,28,0,0.8
2,18,127,5,27,1,0.8
2,19,128,4,27,1,0.80625
2,20,129,3,27,1,0.8125
2,21,130,2,28,0,0.8125
2,22,130,2,28,0,0.8125
2,23,130,2,28,0,0.8125
2,24,130,2,28,0,0.8125
2,25,132,0,28,0,0.825
2,26,132,0,28,0,0.825
2,27,132,0,27,1,0.83125
2,28,131,1,27,1,0.825
2,29,130,2,27,1,0.81875
2,30,129,3,27,1,0.8125
2,31,130,2,26,2,0.825
2,32,130,2,25,3,0.83125
2,33,130,2,26,2,0.825
2,34,130,2,27,1,0.81875
2,35,131,1,26,2,0.83125
2,36,129,3,26,2,0.81875
2,37,129,3,24,4,0.83125
2,38,129,3,24,4,0.83125
2,39,127,5,23,5,0.825
2,40,129,3,26,2,0.81875
2,41,129,3,23,5,0.8375
2,42,129,3,23,5,0.8375
2,43,128,4,23,5,0.83125
2,44,129,3,24,4,0.83125
2,45,129,3,23,5,0.8375
2,46,129,3,24,4,0.83125
2,47,128,4,19,9,0.85625
2,48,123,9,19,9,0.825
2,49,125,7,19,9,0.8375
2,50,124,8,16,12,0.85
2,51,124,8,16,12,0.85
2,52,125,7,17,11,0.85
3,3,116,16,23,5,0.75625
3,4,118,14,21,7,0.78125
3,5,119,13,22,6,0.78125
3,6,124,8,25,3,0.79375
3,7,126,6,24,4,0.8125
3,8,125,7,23,5,0.8125
3,9,128,4,25,3,0.81875
3,10,129,3,25,3,0.825
3,11,127,5,24,4,0.81875
3,12,125,7,28,0,0.78125
3,13,127,5,28,0,0.79375
3,14,126,6,28,0,0.7875
3,15,130,2,27,1,0.81875
3,16,129,3,28,0,0.80625
3,17,128,4,27,1,0.80625
3,18,129,3,27,1,0.8125
3,19,129,3,27,1,0.8125
3,20,129,3,27,1,0.8125
3,21,131,1,27,1,0.825
3,22,128,4,25,3,0.81875
3,23,130,2,28,0,0.8125
3,24,132,0,28,0,0.825
3,25,131,1,28,0,0.81875
3,26,132,0,28,0,0.825
3,27,131,1,28,0,0.81875
3,28,131,1,27,1,0.825
3,29,131,1,27,1,0.825
3,30,130,2,27,1,0.81875
3,31,130,2,26,2,0.825
