features_begin_index,features_mid_index,tn,fp,fn,tp,acc
1,1,127,7,16,12,0.858024691358
1,2,127,7,20,8,0.833333333333
1,3,121,13,18,10,0.808641975309
1,4,127,7,21,7,0.827160493827
1,5,128,6,19,9,0.845679012346
1,6,127,7,21,7,0.827160493827
1,7,126,8,19,9,0.833333333333
1,8,126,8,21,7,0.820987654321
1,9,125,9,22,6,0.808641975309
1,10,125,9,23,5,0.802469135802
1,11,125,9,22,6,0.808641975309
1,12,127,7,22,6,0.820987654321
1,13,124,10,20,8,0.814814814815
1,14,131,3,27,1,0.814814814815
1,15,125,9,26,2,0.783950617284
1,16,127,7,26,2,0.796296296296
1,17,125,9,26,2,0.783950617284
1,18,127,7,23,5,0.814814814815
1,19,126,8,25,3,0.796296296296
1,20,128,6,25,3,0.808641975309
1,21,128,6,26,2,0.802469135802
1,22,128,6,26,2,0.802469135802
1,23,128,6,27,1,0.796296296296
1,24,129,5,26,2,0.808641975309
1,25,130,4,25,3,0.820987654321
1,26,130,4,27,1,0.808641975309
1,27,130,4,26,2,0.814814814815
1,28,127,7,24,4,0.808641975309
1,29,126,8,22,6,0.814814814815
1,30,127,7,22,6,0.820987654321
1,31,128,6,22,6,0.827160493827
1,32,126,8,20,8,0.827160493827
1,33,130,4,21,7,0.845679012346
1,34,130,4,22,6,0.83950617284
1,35,129,5,22,6,0.833333333333
1,36,127,7,22,6,0.820987654321
1,37,126,8,22,6,0.814814814815
1,38,126,8,22,6,0.814814814815
1,39,125,9,21,7,0.814814814815
1,40,126,8,22,6,0.814814814815
1,41,126,8,22,6,0.814814814815
1,42,125,9,21,7,0.814814814815
1,43,122,12,20,8,0.802469135802
1,44,122,12,20,8,0.802469135802
1,45,122,12,20,8,0.802469135802
1,46,122,12,20,8,0.802469135802
1,47,122,12,19,9,0.808641975309
1,48,125,9,12,16,0.87037037037
1,49,126,8,11,17,0.882716049383
1,50,124,10,11,17,0.87037037037
1,51,124,10,10,18,0.876543209877
1,52,124,10,10,18,0.876543209877
1,53,127,7,11,17,0.888888888889
2,2,130,4,21,7,0.845679012346
2,3,120,14,21,7,0.783950617284
2,4,125,9,21,7,0.814814814815
2,5,126,8,20,8,0.827160493827
2,6,127,7,19,9,0.83950617284
2,7,127,7,21,7,0.827160493827
2,8,124,10,23,5,0.796296296296
2,9,124,10,22,6,0.802469135802
2,10,125,9,23,5,0.802469135802
2,11,129,5,24,4,0.820987654321
2,12,129,5,24,4,0.820987654321
2,13,127,7,23,5,0.814814814815
2,14,131,3,28,0,0.808641975309
2,15,129,5,26,2,0.808641975309
2,16,129,5,26,2,0.808641975309
2,17,128,6,26,2,0.802469135802
2,18,128,6,26,2,0.802469135802
2,19,129,5,27,1,0.802469135802
2,20,128,6,26,2,0.802469135802
2,21,129,5,27,1,0.802469135802
2,22,130,4,28,0,0.802469135802
2,23,129,5,28,0,0.796296296296
2,24,131,3,28,0,0.808641975309
2,25,130,4,26,2,0.814814814815
2,26,130,4,27,1,0.808641975309
2,27,130,4,27,1,0.808641975309
2,28,131,3,28,0,0.808641975309
2,29,128,6,25,3,0.808641975309
2,30,127,7,25,3,0.802469135802
2,31,126,8,24,4,0.802469135802
2,32,130,4,23,5,0.833333333333
2,33,130,4,22,6,0.83950617284
2,34,130,4,22,6,0.83950617284
2,35,131,3,22,6,0.845679012346
2,36,132,2,22,6,0.851851851852
2,37,132,2,22,6,0.851851851852
2,38,131,3,21,7,0.851851851852
2,39,128,6,20,8,0.83950617284
2,40,125,9,20,8,0.820987654321
2,41,124,10,20,8,0.814814814815
2,42,123,11,20,8,0.808641975309
2,43,124,10,20,8,0.814814814815
2,44,123,11,20,8,0.808641975309
2,45,122,12,20,8,0.802469135802
2,46,121,13,20,8,0.796296296296
2,47,121,13,20,8,0.796296296296
2,48,126,8,14,14,0.864197530864
2,49,126,8,11,17,0.882716049383
2,50,124,10,12,16,0.864197530864
2,51,124,10,11,17,0.87037037037
2,52,123,11,11,17,0.864197530864
2,53,128,6,11,17,0.895061728395
3,3,120,14,22,6,0.777777777778
3,4,134,0,28,0,0.827160493827
3,5,127,7,21,7,0.827160493827
3,6,124,10,22,6,0.802469135802
3,7,124,10,20,8,0.814814814815
3,8,123,11,21,7,0.802469135802
3,9,123,11,23,5,0.79012345679
3,10,125,9,23,5,0.802469135802
3,11,123,11,22,6,0.796296296296
3,12,128,6,24,4,0.814814814815
3,13,122,12,22,6,0.79012345679
3,14,129,5,26,2,0.808641975309
3,15,129,5,26,2,0.808641975309
3,16,129,5,26,2,0.808641975309
3,17,128,6,26,2,0.802469135802
3,18,128,6,26,2,0.802469135802
3,19,129,5,27,1,0.802469135802
3,20,128,6,26,2,0.802469135802
3,21,129,5,27,1,0.802469135802
3,22,129,5,26,2,0.808641975309
3,23,129,5,28,0,0.796296296296
3,24,129,5,28,0,0.796296296296
3,25,130,4,27,1,0.808641975309
3,26,130,4,27,1,0.808641975309
3,27,130,4,27,1,0.808641975309
3,28,128,6,25,3,0.808641975309
3,29,126,8,23,5,0.808641975309
3,30,127,7,25,3,0.802469135802
3,31,126,8,24,4,0.802469135802
3,32,131,3,22,6,0.845679012346
3,33,131,3,22,6,0.845679012346
3,34,130,4,22,6,0.83950617284
3,35,131,3,22,6,0.845679012346
3,36,132,2,22,6,0.851851851852
3,37,128,6,22,6,0.827160493827
3,38,129,5,22,6,0.833333333333
3,39,126,8,21,7,0.820987654321
3,40,125,9,21,7,0.814814814815
3,41,126,8,21,7,0.820987654321
3,42,122,12,20,8,0.802469135802
3,43,122,12,20,8,0.802469135802
3,44,122,12,20,8,0.802469135802
3,45,122,12,20,8,0.802469135802
3,46,121,13,20,8,0.796296296296
3,47,121,13,20,8,0.796296296296
3,48,125,9,14,14,0.858024691358
3,49,126,8,11,17,0.882716049383
3,50,124,10,11,17,0.87037037037
3,51,123,11,11,17,0.864197530864
3,52,124,10,11,17,0.87037037037
3,53,126,8,9,19,0.895061728395
4,4,123,11,18,10,0.820987654321
4,5,125,9,21,7,0.814814814815
4,6,122,12,22,6,0.79012345679
4,7,123,11,20,8,0.808641975309
4,8,122,12,20,8,0.802469135802
4,9,124,10,23,5,0.796296296296
