,comp 1,comp 2,comp 3,comp 4,comp 5,comp 6,comp 7,comp 8,comp 9,comp 10,comp 11,comp 12,comp 13,comp 14,comp 15,comp 16,comp 17,comp 18,comp 19,comp 20,comp 21,comp 22,comp 23,comp 24,comp 25,comp 26,comp 27,indicator
active_num_days,0.136264967363,0.143384566612,-0.161793642405,0.121202668703,-0.0294019521784,-0.0122300280225,0.00143514281779,-0.189447097689,0.12413008207,0.0846782139806,0.268680307065,0.0492049462304,-0.137429337478,0.0206854100993,0.169798535687,0.148162210399,0.0385002306918,0.0250652176287,0.195069953428,0.228692491952,0.22823149664,0.341034097182,0.319458395275,0.0440550789756,0.255772626892,0.28748824628,0.267875284892,
active_avg_count,0.133170762834,-0.00178481836878,0.0510407348765,-0.172660481471,0.142433162281,-0.199834703086,-0.160298619787,0.255724941427,-0.169532359743,0.166491034805,-0.105248610797,-0.0752186498813,-0.0648744798765,-0.0698061913085,-0.044003792049,-0.193107075434,-0.0716449831687,0.0982462502325,0.238476617487,0.119337009055,0.129772808967,-0.0599763742196,-0.237254966416,-0.135060453632,0.162248455721,-0.347290875177,0.456622240424,
active_sum_count,0.178208046839,0.0717358360172,-0.0429776291183,-0.0497898955093,0.0310666172365,-0.00476002041993,-0.124873897938,-0.0130952700026,0.025755535465,0.141570246424,0.124649619721,-0.0854347586968,-0.0589278891155,0.0109652667035,0.0492038718107,-0.0672331959623,0.0985593813688,-0.0339605373558,0.0689133892269,0.0439969956841,-0.00418311990975,0.0264659573292,-0.0695858524012,-0.0878036088422,-0.0136383317926,-0.0184867421821,-0.163804888773,
problem_num_days,0.144969158228,0.11909324929,-0.150732054955,0.0959985155105,-0.0483450192056,-0.0599731223502,-0.000704625496145,-0.175563269181,0.144399488059,0.115217836565,0.279913191934,-0.043441317106,-0.0257881157493,0.0401571569258,0.0626255398573,0.150853156019,0.260191194595,0.0845516867014,0.11187983805,0.219317670709,0.118964736077,-0.119051439429,-0.164843004786,-0.141920077148,-0.108943100753,-0.43628968775,-0.0353216108959,
problem_avg_count,0.0826231451917,0.150371114251,-0.0872925371337,-0.180388965538,0.0819892440327,-0.219496532888,-0.184683360995,0.333097220703,-0.135041191146,0.321935568635,0.106228813973,-0.206106078507,-0.106409665631,-0.0166411627622,-0.132263847809,-0.0404949745182,-0.016175047573,-0.137221818581,-0.0900429931674,-0.259621733799,-0.0767941280363,0.0799660117699,0.0464008928324,0.221942544042,0.0235978095527,0.290423629245,0.14765278627,
problem_sum_count,0.131193743357,0.182257624275,-0.126838572889,-0.083920434372,0.0232500125168,-0.101581533969,-0.166645964101,0.0675078060453,-0.00206964500339,0.242815322181,0.280038981684,-0.171838042718,-0.0688480532249,0.0942208107632,-0.0675922112086,-0.0512674494662,0.120288949615,-0.0817360213761,-0.0327307622667,-0.0270725682169,0.0576991525449,0.00118122537947,0.00462247263129,-0.00793384888071,-0.118760801437,0.0109618223955,-0.523057056457,
video_num_days,0.159176389885,0.113469038503,-0.0749875472945,0.108633537279,-0.0384489194344,-0.0551144197081,0.0347904782437,-0.173219319128,0.165723064704,-0.0130836275654,0.0579988861291,-0.201502595645,0.192871233906,-0.0841996739091,-0.079022309522,0.0788006583686,0.0485307965601,0.13443221114,-0.020316081045,-0.0935398237056,-0.186987343697,0.0457522244824,-0.0629456090382,-0.0419630463257,0.156004541667,0.0333135599351,0.328235818009,
video_avg_count,0.145617693965,-0.144307870585,0.109659951235,-0.103917739279,0.178329683047,-0.0182984338302,-0.0334896886129,0.0284946837571,-0.140134921687,-0.0331794338626,-0.133457064688,0.129241631386,-0.0777839010015,0.00710589589236,0.122481588291,-0.120487671887,-0.150515787327,0.0656000084689,0.186539541547,0.152378834488,0.476488651772,-0.0624081330051,-0.00228288042448,-0.0669541664052,0.19125451423,0.0768153581825,-0.286385428223,
video_sum_count,0.174634603476,-0.0906223093957,0.0915823876527,-0.0654733617757,0.0906740835433,0.107130800269,-0.016445059,-0.0522802060082,-0.00622239440259,0.0320796847684,-0.035592625637,-0.0141365136897,-0.0213349316134,0.0889258631221,0.0672530233446,0.0185186526494,0.0138429487252,0.0853542807848,0.00392499720735,-0.0223318904219,-0.0105662159711,-0.0121142950486,-0.00911904520852,0.0241548368263,0.0261752424498,0.0671438417385,0.00052076163254,
forum_num_days,0.021113648604,0.173709196316,0.0306489189353,0.395466857224,0.258865625891,0.19071943334,-0.0741104425868,0.125925996451,-0.104864687428,0.01386632784,-0.01109223389,0.0437887864633,0.0555717799941,0.0241721169432,-0.033309211706,-0.0526808151876,0.0187255566074,-0.0628367456439,-0.0126102964732,-0.0178768174704,-0.0617422221849,-0.0739389842058,-0.0404424691131,0.000283034354501,0.048856378939,0.0297068129089,-0.0245356120237,
forum_avg_count,0.0175966917289,0.17097938726,0.0339268447612,0.4006150556,0.263040374501,0.179195939072,-0.0754538002674,0.127218260268,-0.103578210702,0.0150949110979,0.0187596056489,0.0346859336946,0.0466883986899,0.027878543245,-0.0822213679043,0.00801889947062,-0.0315307629867,0.0192441284416,0.0437214682826,0.0065426448032,0.00175097503104,-0.0250915474677,0.059448542551,-0.0682326443252,-0.0902466173864,-0.0791969366719,0.0193214414905,
forum_sum_count,0.0191275413328,0.181739006788,0.0322073850739,0.393989859796,0.256022496375,0.185025889983,-0.0588155022201,0.131774363425,-0.118266266813,-0.00994549358033,0.0214652534985,0.0362621848179,0.0348952696518,0.033654678688,-0.00331493776893,-0.00357246890945,-0.0439215057565,-9.93351195354e-05,0.0484623191155,-0.0173258930438,0.0168305196604,0.0512053881571,0.0102071454215,0.0437721118633,-0.00484116660788,-0.00713843172775,0.0159141154648,
num_watched,0.167945634422,0.0938838001941,0.0870059935858,-0.0356124754297,0.0848101535084,-0.0842945284926,-0.122876052393,-0.135079215894,0.0422319831449,-0.11364732531,-0.122283726931,-0.0708573984401,0.0768611696409,-0.126351812129,-0.0986620370152,-0.027477449895,0.000146673106364,0.00456061618144,-0.0743716920847,0.00454752351134,0.0564039657917,0.0415423527005,0.222113161841,0.0490300919745,-0.0160163910726,-0.0925077682803,-0.0882766433455,
num_complete,0.161261005964,0.110571425609,0.142551550705,-0.0808892981148,-0.00765104470294,-0.0397200600719,-0.149455037861,-0.118215530775,-0.0454579095695,-0.110084439171,-0.0226952583591,-0.0174199677437,0.135567665823,-0.0408278496114,-0.164966467234,-0.0294169677276,-0.0664388453631,0.0939860253327,0.0386541049147,-0.0176144630617,-0.0240132162509,0.0589999400425,0.313651359567,0.0157301534624,0.0324525461144,-0.124591905269,-0.126148627633,
num_incomplete,0.0971529578392,-0.00489836073864,-0.120728286637,0.11476049803,0.307310021038,-0.168252910901,0.0201461208126,-0.11144060714,0.27376075251,-0.0629580400181,-0.345325052489,-0.187722975074,-0.134589526849,-0.306437521474,0.146519200372,-0.00710225097851,0.193091967918,-0.257122354342,-0.362090505502,0.0663510848014,0.259240959174,-0.0313695124612,-0.162499369971,0.119238476102,-0.147923208888,0.0501683770141,0.0689061235148,
complete_rate,0.154682784983,0.137311362214,0.073885795969,0.00586287424753,-0.0933399935721,-0.131144308067,-0.0564012233609,-0.0492668393553,-0.127809944902,-0.191757617123,0.0965091599709,0.00271284393876,0.279260465317,-0.137713945621,-0.0315994145844,0.0475533639129,0.0336863860323,0.214636548686,0.0639252648329,0.00183565406654,0.115628458945,-0.225163273813,-0.244530284298,0.120268702515,-0.122625422513,0.246200801142,-0.0695726501291,
incomplete_rate,0.0330495951735,-0.0889040278398,-0.252840356722,0.141794271067,0.188893782032,-0.23551826312,0.25627130549,0.0881319445604,0.278638870184,0.00997960661003,-0.290307041718,-0.130880707842,-0.237611858222,0.359156688427,-0.0834282035723,-0.0736275122228,-0.0395383237813,0.274677573161,0.106608055275,-0.133223471845,-0.153368118154,0.082694811337,0.0905222341857,-0.152043261347,0.116256397033,-0.0237021748044,-0.194206234937,
watched_time_hour,0.14549894559,0.0245749603562,-0.0267861887985,0.0572599214997,-0.0446211767719,-0.22747218573,-0.069351925212,-0.0435162256181,0.0626244254805,-0.0435241413284,0.0359762028429,-0.00452464207857,0.388559774153,0.560155339163,0.276351895667,0.0514473116881,-0.244163725401,-0.400672708424,-0.144184254261,-0.138742719444,0.109575402798,-0.19549306171,-0.00311904935892,-0.0528714223549,0.0474951519214,-0.0866612626393,0.108915841369,
