,comp 1,comp 2,comp 3,comp 4,comp 5,comp 6,comp 7,comp 8,comp 9,comp 10,comp 11,comp 12,comp 13,comp 14,indicator
active_num_days,0.13868196801,0.163371374897,-0.114893384546,-0.051427821769,0.140027509036,0.0293446282192,-0.0719714908839,0.103527164986,0.0766973963162,-0.0983162055489,-0.21297400838,-0.0398620229748,-0.172244687276,-0.0485906583954,
active_avg_count,0.153665336554,-0.00589219911517,0.0530989803332,-0.0333831967146,0.00871781105286,0.183041168014,0.0061144350246,-0.233247827823,-0.180143132033,-0.13094666474,0.227750468449,0.243451026165,0.0272780531443,-0.00035780296241,
active_sum_count,0.170157227284,0.0821302646729,0.0336026124264,-0.0663504590763,0.0591251149896,0.00287261766408,-0.0293128429759,-0.0723002995272,-0.0446725200132,-0.142800953496,-0.147446168301,0.0586965738995,-0.008410312978,0.0534435793266,
problem_num_days,0.141711880356,0.151200379807,-0.0941034357856,-0.0579610077475,0.153948982348,0.0191572030623,-0.0794110980138,0.0652740903265,0.105984086025,-0.161040932586,-0.318384889589,-0.0401301403693,-0.0351616608861,-0.0666925775879,
problem_avg_count,0.124081253085,0.125821007539,-0.053166050649,-0.0865492141837,-0.0271874663201,0.220836933188,0.126778532106,-0.262984153681,-0.283345993012,-0.339036149739,-0.0994693850992,0.195935550838,0.00962849413926,0.2179907583,
problem_sum_count,0.144190817014,0.185361820855,-0.0270258712606,-0.100152340384,0.0413111925172,0.044358588531,0.0378841656387,-0.131546572749,-0.175216200461,-0.262012337292,-0.200113379143,0.0912145700814,-0.0608660399125,0.0861662482101,
video_num_days,0.158765226041,0.101886501174,-0.0894323252086,0.0288231070843,0.0736332631315,0.0090303650688,-0.0960809440719,0.0392324039134,0.137384086987,0.0689295803712,-0.226561893675,-0.178413151757,0.142539069092,-0.0999494520832,
video_avg_count,0.129190399139,-0.155664223641,0.154073223322,0.015614927996,0.0617700488153,0.124371565866,-0.0247238336571,-0.0465230901109,-0.111882582965,0.00972209875899,0.448233681304,0.300469613987,-0.0351883868016,-0.258721536756,
video_sum_count,0.159432955448,-0.118188767054,0.181391920301,0.00808644341821,0.0399526935464,-0.0384663350131,-0.0359492824257,-0.0107259373822,-0.00400024326085,-0.00391768439596,-0.0233260174327,-0.0102685263389,-0.00975117131005,0.0796393318968,
forum_num_days,0.0364583177072,0.185771477989,0.00833825924277,0.354811869944,0.299583110794,-0.204014669295,0.116215636572,-0.090657761228,-0.0458448568458,-0.0286011652538,0.0794451418506,0.025377514941,0.051352066364,0.0267675304553,
