,comp 1,comp 2,comp 3,comp 4,comp 5,comp 6,comp 7,comp 8,comp 9,comp 10,comp 11,comp 12,comp 13,comp 14,comp 15,comp 16,comp 17,comp 18,comp 19,comp 20,comp 21,comp 22,comp 23,comp 24,comp 25,indicator
active_num_days,0.135911859552,-0.198829463784,-0.0115363164277,-0.0516291050822,0.0700848484443,0.00229724998615,-0.0919318478542,0.0928046849858,-0.0956325102405,-0.0975720625828,-0.320258464424,-0.0798242153652,-0.0236666274003,-0.0197799856452,0.170247011837,0.204999674761,0.178250606895,0.194611455417,0.122030878657,0.421557035392,-0.516436915817,0.0301465803763,-0.125124334636,-0.150376106693,0.074839607869,
active_avg_count,0.153840642867,0.0707083922884,0.0363614894972,-0.0369308586892,0.0421539970487,0.254861329379,-0.00499778942424,-0.17794961249,-0.092499589979,-0.0326697497779,0.2363284774,0.0844614615411,0.0720837939289,0.0684617610918,-0.0934748456362,0.00893385998677,-0.0296507556232,0.201800586238,-0.285850463889,0.0198599585307,0.249774475578,-0.12020907205,-0.128722967414,-0.0755780992169,-0.0618431791661,
active_sum_count,0.169205875374,-0.0208314744939,0.0498601947524,-0.0914149179243,0.0372483454857,0.0662570324387,-0.0441215017457,-0.113573321432,-0.126891906858,-0.101731809621,-0.0670302344733,-0.0714721507958,0.106334998634,-0.0405058854079,0.0257720248118,-0.00852591404436,-0.0299175255852,-0.0030788049409,0.0322421254564,-0.0251088897364,0.0921618798139,-0.0284728896402,-0.0526211480146,0.0331022734682,0.0283263070521,
problem_num_days,0.13293351615,-0.185687104074,-0.0101369290193,-0.0584709119811,0.0928306586617,0.0449214435935,-0.114914948882,0.09365008845,-0.143869790089,-0.114801946247,-0.384009222093,-0.250045327032,0.185206748939,0.00965170110421,0.195554795573,-0.0986104322969,0.0194496219769,0.197306463932,-0.3446476235,-0.0873071626735,0.118374586633,-0.23378796547,0.168177923991,0.061825664315,-0.168570500354,
problem_avg_count,0.116863110242,-0.131702903455,0.0444600701271,-0.0408598553692,-0.0183344001225,0.329417915305,0.144551950397,-0.350639639861,-0.245716618024,-0.150032199988,0.0982132728057,0.0842561741364,0.198603809958,-0.108470472404,-0.201978865856,0.117174929628,-0.138851375721,-0.0769067490945,0.239293886545,0.0853331474093,-0.180084373229,0.144266358004,0.0597444181499,-0.0700242257638,-0.241388933423,
problem_sum_count,0.131690437727,-0.161226580061,0.0514285894764,-0.0969252708701,0.0231480638341,0.195261844319,0.0472806706277,-0.267438462687,-0.290985161935,-0.138861422828,-0.0425068974393,-0.0285243129626,0.211538801702,-0.106448264197,-0.0890660415853,-0.085935371503,-0.036023779759,-0.00495147266316,0.000903503290684,-0.0625817790832,0.0935955478847,-0.0443801437882,0.0531881746686,0.00759010666452,0.297946185437,
video_num_days,0.153207119924,-0.148950712264,-0.0120205149865,0.0340783660545,0.0404524130936,-0.00994964805252,-0.0896056623281,0.0888531027459,0.0667556728787,0.064274866424,-0.189941067668,-0.261514542629,0.0184006291276,-0.231325744785,-0.0958132160074,-0.174509423227,-0.1136901315,-0.0431904578096,-0.0159394573665,-0.0659707450355,0.137247833023,0.227641953481,-0.13731639355,-0.169672086313,0.216968398408,
video_avg_count,0.134132570595,0.214991690294,0.0446626585477,-0.0246681159887,0.0798121706687,0.116942126623,-0.00905742007979,0.0197835968028,-0.0447098606612,0.0261187998408,0.245346784536,0.121378407643,-0.0231835565172,0.199022660473,-0.0408747534676,0.1925897454,0.11625022205,0.340904739275,-0.324580817281,0.058865680576,-0.132814406153,-0.0184134718206,-0.19389654972,-0.028611777948,0.0913146874189,
video_sum_count,0.1496987114,0.200481347181,0.0703789349426,-0.0485394698456,0.0332861402581,-0.0303270535485,-0.0371920906766,0.00591799276324,-0.0212829532272,-0.0341595311512,-0.0172259368517,0.0194220424728,-0.00330145932719,-0.0215555161021,0.119783258498,0.00533164179042,-0.0340634597818,-0.0193397985762,-0.00363457472859,-0.0105009738004,-0.0217308083027,0.0401169225495,-0.00760724187824,-0.00190608826965,0.0872609359443,
forum_num_days,0.0326127116945,-0.133232272473,0.287597082335,0.225564421629,0.337393195904,-0.214866930804,0.0158943014503,-0.118242672427,0.00679928278906,-0.036979330081,0.0910247108266,-0.016312425085,-0.0275269885424,0.106568108492,-0.0140821324201,-0.0441940506517,0.0289962462499,0.0016690576745,0.196732574233,-0.168914048868,0.150320275666,-0.116866897238,0.0685808955702,-0.232675060281,0.277219768543,
