username,active_num_days,active_avg_count,active_sum_count,problem_num_days,problem_avg_count,problem_sum_count,video_num_days,video_avg_count,video_sum_count,forum_num_days,forum_avg_count,forum_sum_count,num_watched,num_complete,num_incomplete,complete_rate,watched_time_hour,watched_time_weekday,seek_video_sum,seek_video_avg,pause_video_sum,pause_video_avg,stop_video_sum,stop_video_avg,video_forward_seek_sum,video_forward_seek_avg,video_backward_seek_sum,video_backward_seek_avg,video_pause_forward_seek_sum,video_pause_forward_seek_avg,video_pause_backward_seek_sum,video_pause_backward_seek_avg,video_stop_backward_seek_sum,all_type_video_forward_seek_sum,all_type_video_forward_seek_avg,all_type_video_backward_seek_sum,all_type_video_backward_seek_avg,all_type_video_seek_sum,all_type_video_seek_avg,video_pause_sum,video_pause_avg,video_stop_sum,video_stop_avg,video_play_sum,video_play_avg,video_events_sum,video_events_avg,mt_practice_sum,mt_unit_sum,mt_online_num_day,mt_online_practice_num_day,hw_mean,qz_mean,indicator,final_score
Y1050160,1.75,323.75,423.25,1.75,30.20833333,38.75,1.75,31.20833333,40.5,0.0,0.0,0.0,4.5,1.5,3.0,0.15,7.728500471,1.5,3.5,0.7625,4.5,1.0,0.0,0.0,12.5,3.075,5.5,1.3625,8.25,2.925,2.75,0.4625,0.0,20.75,6.0,8.25,1.825,29.0,7.825,14.5,4.2875,0.0,0.0,33.5,8.825,77.0,20.9375,0.0,0.0,0.0,0.0,0.0,49.25,0,30
Y1050161,1.25,140.0,222.25,0.75,19.375,29.0,0.25,10.75,10.75,0.0,0.0,0.0,1.5,0.25,1.25,0.041666667000000004,2.71495443,0.75,0.75,0.125,1.5,0.25,0.0,0.0,1.5,0.25,1.25,0.208333333,3.25,0.541666667,0.5,0.083333333,0.0,4.75,0.791666667,1.75,0.291666667,6.5,1.083333333,5.25,0.875,0.0,0.0,8.0,1.333333333,19.75,3.291666668,0.0,0.0,0.0,0.0,0.0,63.75,0,40
Y1050162,2.75,466.16666669999995,1347.5,2.5,21.54166667,54.75,2.5,113.91666670000001,297.75,0.0,0.0,0.0,11.0,9.0,2.0,0.807371795,10.38678324,5.25,9.75,0.861538461,10.75,0.9833333329999999,0.25,0.019230768999999998,48.5,3.8833333339999996,90.5,8.293589745,98.5,9.08525641,29.5,2.719871795,0.25,147.0,12.96858974,120.25,11.03269231,267.25,24.00128205,138.25,12.74839744,0.25,0.019230768999999998,278.25,25.00128205,684.0,61.77019231,0.0,0.0,0.0,0.0,0.0,43.75,0,30
Y1050164,0.75,9.083333332999999,27.25,0.0,0.0,0.0,0.75,1.0,3.0,0.0,0.0,0.0,1.5,1.0,0.5,0.166666667,1.857594407,0.5,0.25,0.041666667000000004,1.0,0.166666667,0.5,0.083333333,0.0,0.0,0.0,0.0,0.25,0.041666667000000004,0.0,0.0,0.25,0.25,0.041666667000000004,0.25,0.041666667000000004,0.5,0.083333333,1.25,0.208333333,0.5,0.083333333,2.0,0.333333333,4.25,0.708333333,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Y1050165,0.75,18.625,36.25,0.0,0.0,0.0,0.5,4.25,8.5,0.0,0.0,0.0,0.75,0.25,0.5,0.083333333,1.874548204,0.5,0.5,0.166666667,0.75,0.25,0.25,0.083333333,0.75,0.25,0.25,0.083333333,5.5,1.8333333330000001,0.25,0.083333333,0.0,6.25,2.083333333,0.5,0.166666667,6.75,2.25,6.25,2.083333333,0.25,0.083333333,7.5,2.5,20.75,6.9166666679999995,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Y1050166,1.75,37.25,98.5,0.75,1.625,3.0,1.25,3.666666667,8.75,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.212530134,1.25,0.5,0.333333333,1.0,0.5,0.0,0.0,1.0,0.333333333,0.25,0.25,3.0,1.6666666669999999,1.0,1.0,0.0,4.0,2.0,1.25,1.25,5.25,3.25,5.0,3.166666667,0.0,0.0,6.25,3.75,16.5,10.16666667,0.0,0.0,0.0,0.0,0.0,41.25,0,20
Y1050167,1.75,213.04166669999998,466.5,1.0,53.125,59.75,1.25,13.5,19.5,0.0,0.0,0.0,6.0,3.0,3.0,0.412247475,4.8198809339999995,3.5,2.0,0.246843435,5.25,0.666666667,0.75,0.152777778,1.25,0.168560606,1.0,0.145833333,5.75,0.8017676770000001,0.75,0.113005051,0.25,7.0,0.970328283,2.0,0.321338384,9.0,1.291666667,10.75,1.405934344,0.75,0.152777778,15.0,2.041666667,35.5,4.892045455,1.0,0.75,1.25,0.75,1.8333333330000001,71.5,0,30
Y1050168,1.5,89.375,238.25,1.0,8.375,15.25,1.0,7.0,20.0,0.0,0.0,0.0,2.75,2.0,0.75,0.222222222,5.439475494,2.25,1.5,0.166666667,2.0,0.41666666700000005,1.25,0.13888888900000002,6.25,0.694444445,3.75,0.41666666700000005,2.0,0.222222222,2.0,0.222222222,1.0,8.25,0.916666667,6.75,0.75,15.0,1.6666666669999999,6.0,0.8611111109999999,1.5,0.166666667,17.75,2.166666667,40.25,4.86111111,1.0,1.0,0.25,1.0,1.4583333330000001,15.0,0,10
Y1050169,1.75,198.25,526.25,1.5,20.0,43.5,1.75,29.33333333,79.0,0.0,0.0,0.0,6.0,3.0,3.0,0.375,3.9557465730000003,2.25,3.5,0.522727273,5.75,0.727272727,0.25,0.022727273,30.5,4.409090909,10.75,0.977272727,22.5,2.045454545,4.0,0.363636364,0.0,53.0,6.454545455,14.75,1.3409090909999999,67.75,7.795454545,31.75,3.0909090910000003,0.25,0.022727273,73.75,8.545454545,173.5,19.45454545,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Y1050170,2.0,225.52083330000002,532.75,1.25,32.75,45.25,1.5,28.4375,48.5,0.0,0.0,0.0,7.75,7.0,0.75,0.657738095,4.658444252,4.0,3.25,0.315476191,7.5,0.729166667,1.5,0.139880953,1.5,0.125,4.0,0.407738095,26.0,2.375,4.75,0.440476191,0.0,27.5,2.5,8.75,0.8482142859999999,36.25,3.348214286,36.75,3.389880952,1.5,0.139880953,44.0,4.098214286,118.5,10.97619048,2.0,1.75,1.25,1.75,4.7125,0.0,0,10
