username,active_num_days,active_avg_count,active_sum_count,problem_num_days,problem_avg_count,problem_sum_count,video_num_days,video_avg_count,video_sum_count,forum_num_days,num_watched,num_complete,num_incomplete,complete_rate,incomplete_rate,watched_time_hour,watched_time_weekday,seek_video_sum,seek_video_avg,pause_video_sum,pause_video_avg,stop_video_sum,stop_video_avg,video_forward_seek_sum,video_forward_seek_avg,video_backward_seek_sum,video_backward_seek_avg,video_pause_forward_seek_sum,video_pause_forward_seek_avg,video_pause_backward_seek_sum,video_pause_backward_seek_avg,video_stop_backward_seek_sum,video_stop_backward_seek_avg,all_type_video_forward_seek_sum,all_type_video_forward_seek_avg,all_type_video_backward_seek_sum,all_type_video_backward_seek_avg,all_type_video_seek_sum,all_type_video_seek_avg,video_pause_sum,video_pause_avg,video_stop_sum,video_stop_avg,video_play_sum,video_play_avg,video_events_sum,video_events_avg,mt_practice_sum,mt_unit_sum,mt_online_num_day,mt_online_practice_num_day,hw_mean,qz_mean,indicator,final_score
Y1050274,2.5,250.5,508.5,1.5,30.4166666675,42.75,1.5,24.8333333325,38.0,0.0,8.25,6.5,1.75,0.77752976175,0.22247023825,7.912424554,5.0,3.5,0.3526785715,8.25,1.0,0.0,0.0,11.75,1.31696428575,3.75,0.36160714275,10.5,1.52604166675,2.25,0.20758928575,0.0,0.0,22.25,2.8430059525,6.0,0.5691964285,28.25,3.412202381,20.75,2.69791666675,0.0,0.0,36.5,4.412202381,85.5,10.5223214275,2.25,2.25,1.0,2.25,8.744285714,6.5,1.0,80.0
Y1050275,2.0,110.833333325,488.5,1.0,11.6666666675,18.5,1.5,22.7,86.5,0.0,10.5,8.75,1.75,0.400735294,0.099264706,6.2186767475,2.25,6.75,0.318014706,9.75,0.45404411775,0.75,0.0220588235,8.0,0.4025735295,21.5,0.775735294,26.25,0.84375,10.75,0.3161764705,0.0,0.0,34.25,1.2463235295,32.25,1.09191176475,66.5,2.338235294,45.0,1.5625,0.75,0.0220588235,77.0,2.838235294,189.25,6.7610294125,0.75,0.75,0.25,0.75,2.857142857,3.75,0.0,20.0
Y1050276,1.75,296.375,621.75,1.0,72.75,72.75,1.0,35.0,42.75,0.0,8.0,5.75,2.25,0.6021634615,0.1478365385,2.010076299,5.0,1.0,0.0697115385,7.5,0.6474358975,0.5,0.1025641025,1.0,0.07331730775,1.75,0.123798077,25.0,1.9611378205,4.0,0.40705128225,0.0,0.0,26.0,2.03445512825,5.75,0.530849359,31.75,2.565304487,36.5,3.015625,0.5,0.1025641025,39.75,3.315304487,108.5,8.9987980775,2.25,2.25,1.5,2.25,7.089285714,3.75,0.0,40.0
Y1050277,1.0,302.833333325,661.5,0.75,10.4166666675,31.25,1.0,30.583333325,88.75,0.0,6.75,6.0,0.75,0.25,0.25,6.5625318425,2.0,4.0,0.16666666675,6.75,0.5,1.0,0.04166666675,6.0,0.25,13.75,0.57291666675,44.5,1.85416666675,10.25,0.42708333325,0.0,0.0,50.5,2.10416666675,24.0,1.0,74.5,3.1041666675,60.5,2.73958333325,1.0,0.04166666675,81.25,3.6041666675,217.25,9.4895833325,0.0,0.0,0.0,0.0,0.0,1.5,0.0,10.0
Y1050278,3.25,135.125,383.5,1.25,18.3333333325,29.5,2.25,7.16666666675,14.5,0.0,6.25,4.0,2.25,0.625,0.375,10.3070330645,5.0,2.0,0.33333333325,4.75,0.725,1.5,0.24166666675,1.25,0.125,2.5,0.375,2.0,0.33333333325,1.0,0.14166666675,0.0,0.0,3.25,0.45833333325,3.5,0.51666666675,6.75,0.975,6.75,1.03333333325,1.5,0.24166666675,13.0,1.975,28.0,4.225,2.25,2.25,1.75,2.25,6.863571429,4.5,0.0,54.0
Y1050279,4.5,445.8125,2043.5,4.5,35.9791666675,158.5,3.5,51.6166666675,186.0,0.0,15.5,12.5,3.0,0.79970029975,0.20029970025,8.062458153,1.75,6.75,0.405969031,15.25,0.98214285725,1.0,0.05981518475,10.0,0.5184815185,13.75,0.76173826175,99.5,6.14410589425,31.5,2.06893106925,0.25,0.01923076925,109.5,6.6625874125,45.5,2.8499001,155.0,9.512487511,143.75,9.051448552,1.0,0.05981518475,170.5,10.512487511,470.25,29.13623876,2.25,2.25,2.0,2.25,9.553571429,6.25,1.0,70.0
Y1050280,2.25,77.958333335,133.25,0.25,6.5,6.5,1.25,8.75,12.5,0.0,3.5,3.0,0.5,0.875,0.125,2.2209793495,2.75,0.25,0.04166666675,3.0,0.91666666675,1.25,0.4166666665,0.0,0.0,0.25,0.04166666675,5.5,1.45833333325,1.75,0.33333333325,0.0,0.0,5.5,1.45833333325,2.0,0.375,7.5,1.83333333325,9.5,2.375,1.25,0.4166666665,11.0,2.83333333325,29.25,7.4583333325,0.5,0.5,0.5,0.5,0.5,2.0,0.0,10.0
Y1050281,0.5,64.5,64.5,0.25,2.0,2.0,0.25,10.0,10.0,0.0,0.75,0.25,0.5,0.08333333325,0.16666666675,3.05304975,0.25,0.75,0.25,0.75,0.25,0.25,0.08333333325,0.75,0.25,1.0,0.33333333325,6.25,2.08333333325,0.5,0.16666666675,0.0,0.0,7.0,2.33333333325,1.5,0.5,8.5,2.8333333325,7.25,2.41666666675,0.25,0.08333333325,9.25,3.0833333325,25.25,8.4166666675,0.0,0.0,0.0,0.0,0.0,1.5,0.0,10.0
Y1050282,1.5,139.583333325,293.5,1.25,10.625,17.5,1.5,17.7083333325,42.0,0.0,3.75,2.75,1.0,0.47916666675,0.27083333325,3.73536177925,1.75,1.75,0.33333333325,3.0,0.57291666675,1.0,0.15625,5.25,1.25,2.5,0.34375,8.25,1.28125,1.25,0.1875,0.0,0.0,13.5,2.53125,3.75,0.53125,17.25,3.0625,11.5,1.88541666675,1.0,0.15625,21.0,3.8125,50.75,8.91666666675,0.0,0.0,0.0,0.0,0.0,3.0,0.0,10.0
Y1050283,1.75,133.25,254.75,0.75,13.375,23.0,1.25,12.25,24.0,0.0,4.0,1.5,2.5,0.45,0.3,3.93343366875,1.75,1.75,0.25,3.75,0.7,0.5,0.075,4.5,0.525,6.25,0.7,3.5,0.475,1.75,0.5,0.25,0.05,8.0,1.0,8.25,1.25,16.25,2.25,8.5,1.6,0.5,0.075,20.25,3.0,45.5,6.925,0.25,0.25,0.25,0.25,0.428571429,3.25,0.0,20.0
Y1050284,3.0,105.349999993,256.75,0.25,5.25,5.25,2.5,13.4166666658,22.75,0.0,4.5,0.75,3.75,0.1964285715,0.8035714285,7.25158502525,2.0,1.25,0.3714285715,4.25,0.95,0.25,0.03571428575,1.0,0.14285714275,1.75,0.33928571425,10.25,3.49821428575,2.5,0.98214285725,0.0,0.0,11.25,3.6410714285,4.25,1.3214285715,15.5,4.9625,16.5,5.26964285725,0.25,0.03571428575,20.0,5.9625,52.25,16.2303571425,0.0,0.0,0.0,0.0,0.0,4.5,0.0,30.0
Y1050285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y1050286,3.5,222.466666675,829.5,2.0,20.4166666675,42.5,3.0,50.8541666675,159.0,0.0,8.75,8.0,0.75,0.925,0.075,3.4802774255,2.5,4.5,0.39375,8.75,1.0,1.5,0.20416666675,10.25,0.78125,8.75,0.62708333325,72.75,8.84583333325,9.5,0.99583333325,0.5,0.04791666675,83.0,9.627083335,18.75,1.67083333325,101.75,11.2979166675,89.5,10.6270833325,1.5,0.20416666675,110.75,12.3145833325,303.5,34.44375,1.25,1.25,1.0,1.25,3.833571429,6.75,1.0,72.0
Y1050287,3.0,199.0625,591.5,1.75,18.75,33.75,2.5,32.125,80.75,0.0,10.25,8.0,2.25,0.81593406575,0.18406593425,4.801855738,2.5,6.5,0.6016483515,9.0,0.8914835165,2.25,0.22115384625,10.25,0.89972527475,12.25,1.1153846155,26.5,2.8543956045,5.75,0.563186813,1.25,0.09478021975,36.75,3.75412087925,19.25,1.7733516485,56.0,5.5274725275,39.25,4.142857143,2.5,0.2403846155,66.5,6.56318681325,164.25,16.4739011,0.0,0.0,0.0,0.0,0.0,7.5,0.0,50.0
Y1050288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y1050289,4.0,411.7,1830.5,1.75,26.2083333325,59.0,3.0,103.2625,387.0,0.25,15.75,11.0,4.75,0.48101190475,0.26898809525,3.8902582645,0.75,15.25,0.7217261905,15.5,0.74,3.75,0.15458333325,54.25,2.5486309525,136.25,6.4439285715,111.0,5.2295238095,45.75,2.18833333325,1.0,0.04166666675,165.25,7.77815476175,183.0,8.6739285725,348.25,16.4520833325,168.25,7.9866666675,3.75,0.15458333325,364.0,17.2020833325,884.25,41.7954166675,0.0,0.0,0.0,0.0,1.285714286,7.5,1.0,60.0
Y1050290,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y1050291,1.25,340.0,625.75,0.75,68.5,68.5,0.75,45.25,45.25,0.0,8.5,5.5,3.0,0.580952381,0.169047619,3.585950442,2.25,3.0,0.18214285725,7.25,0.52142857125,2.5,0.28809523825,3.25,0.2726190475,2.5,0.15833333325,16.25,0.813095238,9.25,0.47976190475,0.0,0.0,19.5,1.08571428575,11.75,0.638095238,31.25,1.72380952375,30.25,1.669047619,2.5,0.28809523825,39.75,2.47380952375,103.75,6.154761905,0.0,0.0,0.0,0.0,0.0,7.25,0.0,40.0
Y1050292,4.25,201.8375,969.25,3.5,29.725,119.75,3.5,18.3333333332,76.0,0.0,7.5,2.0,5.5,0.22897727275,0.77102272725,11.271324285,1.5,4.25,0.64886363625,7.0,0.94375,0.25,0.03125,40.0,4.99772727275,9.0,1.7875,11.25,1.58181818175,2.5,0.259659091,0.0,0.0,51.25,6.5795454545,11.5,2.047159091,62.75,8.6267045455,20.5,2.76022727275,0.25,0.03125,70.25,9.6267045455,153.75,21.0448863625,2.25,2.25,1.5,2.25,5.976428571,5.25,0.0,50.0
Y1050293,2.5,480.5625,923.75,2.25,46.875,81.75,2.25,55.0,89.75,0.0,13.5,12.75,0.75,0.9464285715,0.0535714285,14.589010975,2.0,4.0,0.30219780225,13.25,0.98214285725,4.5,0.33516483525,5.5,0.4134615385,6.75,0.510989011,55.0,4.162087912,3.5,0.2623626375,0.5,0.0384615385,60.5,4.5755494505,10.75,0.81181318675,71.25,5.38736263725,67.5,5.08928571425,4.75,0.3543956045,84.75,6.38736263725,228.25,17.2184065925,2.25,2.25,0.75,2.25,8.398571429,8.5,1.0,80.0
Y1050294,2.25,174.3125,517.25,2.0,15.7916666675,42.5,2.0,17.7083333325,48.0,0.0,7.5,7.25,0.25,0.73076923075,0.01923076925,6.52378397225,2.5,2.75,0.30631868125,6.75,0.67582417575,2.25,0.2233516485,9.0,0.94780219775,4.25,0.48763736275,16.75,1.7467032965,6.5,0.6516483515,0.75,0.09065934075,25.75,2.6945054945,11.5,1.229945055,37.25,3.9244505495,28.5,2.925,2.5,0.25906593425,44.75,4.6744505495,113.0,11.782967034,0.0,0.0,0.0,0.0,0.0,5.25,0.0,40.0
Y1050295,3.75,215.679166675,994.75,3.25,25.8333333325,117.25,2.5,16.1041666668,55.75,0.0,9.0,4.25,4.75,0.3446969695,0.4053030305,11.8681262725,2.5,7.0,0.553030303,6.25,0.60227272725,1.25,0.06818181825,14.25,1.07954545475,5.0,0.42424242425,14.5,1.424242424,6.25,0.700757576,0.0,0.0,28.75,2.50378787875,11.25,1.125,40.0,3.62878787875,24.5,2.518939394,1.25,0.06818181825,49.0,4.37878787875,114.75,10.5946969678,0.25,0.25,0.25,0.25,0.571428571,5.5,0.0,30.0
Y1050296,2.0,224.0,489.25,1.0,21.875,43.75,1.0,18.125,36.25,0.0,6.75,4.5,2.25,0.28181818175,0.21818181825,2.150883882,2.0,3.5,0.31363636375,5.25,0.39318181825,1.5,0.06818181825,7.5,0.8045454545,7.0,0.3954545455,6.5,0.334090909,2.5,0.15227272725,0.0,0.0,14.0,1.13863636375,9.5,0.54772727275,23.5,1.68636363625,13.25,0.834090909,1.5,0.06818181825,30.25,2.18636363625,68.5,4.775,0.75,0.75,0.25,0.75,2.142857143,3.0,0.0,20.0
Y1050297,0.75,5.5,8.25,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.25,0.0,0.25,0.0,0.25,3.4856385425,0.75,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.25,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,10.0
Y1050298,1.0,163.75,180.75,0.75,15.5,15.5,1.0,13.5,16.25,0.0,3.0,2.25,0.75,0.5625,0.1875,6.84082706675,3.5,1.25,0.3125,2.75,0.6875,0.5,0.125,3.5,0.875,3.25,0.8125,4.75,1.1875,1.0,0.25,0.0,0.0,8.25,2.0625,4.25,1.0625,12.5,3.125,8.25,2.0625,0.5,0.125,15.5,3.875,36.75,9.1875,0.0,0.0,0.0,0.0,0.0,3.0,0.0,10.0
Y1050299,0.5,93.875,187.75,0.25,17.0,17.0,0.25,21.5,21.5,0.0,1.5,1.0,0.5,0.16666666675,0.08333333325,2.830280315,1.0,1.25,0.20833333325,1.25,0.20833333325,0.0,0.0,7.5,1.25,4.25,0.70833333325,3.0,0.5,0.75,0.125,0.0,0.0,10.5,1.75,5.0,0.83333333325,15.5,2.5833333325,4.75,0.79166666675,0.0,0.0,17.0,2.8333333325,37.25,6.2083333325,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0
Y1050300,2.0,121.166666675,311.75,1.0,30.125,34.5,1.0,16.875,25.5,0.0,2.25,0.75,1.5,0.29166666675,0.45833333325,5.8472353665,3.25,2.25,0.75,1.5,0.625,0.25,0.125,13.5,3.95833333325,4.0,1.125,1.5,0.41666666675,0.75,0.29166666675,0.0,0.0,15.0,4.375,4.75,1.41666666675,19.75,5.79166666675,3.25,1.16666666675,0.25,0.125,22.0,6.54166666675,45.25,13.625,0.0,0.0,0.0,0.0,0.0,3.0,0.0,10.0
Y1050301,1.25,179.083333325,403.25,1.0,14.5833333325,35.75,1.0,19.5,45.5,0.0,4.25,4.0,0.25,0.48076923075,0.01923076925,6.6023157325,1.75,2.5,0.3221153845,3.25,0.423076923,0.5,0.0384615385,26.75,2.4471153845,4.0,0.39423076925,4.0,0.5240384615,1.75,0.264423077,0.0,0.0,30.75,2.97115384625,5.75,0.65865384625,36.5,3.62980769225,8.5,1.173076923,0.5,0.0384615385,40.75,4.1298076925,86.25,8.971153845,0.75,0.75,0.25,0.75,2.142857143,0.0,0.0,10.0
Y1050302,2.0,125.516666675,421.25,1.75,12.0,39.0,1.5,11.7499999993,35.25,0.0,7.0,4.5,2.5,0.3055555555,0.1944444445,5.59270290775,1.0,2.5,0.161111111,6.0,0.42222222225,0.5,0.05,5.25,0.336111111,7.25,0.413888889,9.5,0.57222222225,2.5,0.15,0.25,0.025,14.75,0.90833333325,10.0,0.588888889,24.75,1.49722222225,18.0,1.1444444445,0.5,0.05,31.75,1.99722222225,75.0,4.68888889,0.75,0.75,0.5,0.75,3.5,0.0,0.0,10.0
Y1050303,2.75,272.229166675,759.0,1.75,26.375,39.25,2.5,51.833333325,144.25,0.0,9.0,6.25,2.75,0.68928571425,0.31071428575,8.818660263,2.25,7.0,0.77142857125,7.25,0.86071428575,2.0,0.192857143,58.0,5.65,28.25,2.71071428575,25.75,2.53214285725,5.25,0.52142857125,1.0,0.08571428575,83.75,8.18214285725,34.5,3.317857143,118.25,11.4999999993,36.25,3.71428571425,2.0,0.192857143,127.25,12.4999999993,283.75,27.9071428575,0.75,0.75,0.25,0.75,2.690714286,3.5,0.0,20.0
Y1050304,1.0,137.833333325,346.5,0.75,18.75,34.25,1.0,13.0,32.5,0.0,4.75,2.75,2.0,0.23958333325,0.26041666675,5.7206205975,0.75,1.25,0.078125,4.75,0.5,1.0,0.0625,9.5,0.59375,3.0,0.1875,9.75,1.21875,2.75,0.23958333325,0.0,0.0,19.25,1.8125,5.75,0.42708333325,25.0,2.23958333325,16.25,1.89583333325,1.0,0.0625,29.75,2.73958333325,72.0,6.9375,0.0,0.0,0.0,0.0,0.0,1.5,0.0,10.0
Y1050305,3.75,186.175,751.5,2.5,28.125,71.0,2.25,18.1875,45.75,0.0,8.25,4.75,3.5,0.345238095,0.404761905,8.12501559375,1.0,3.75,0.369047619,8.0,0.738095238,1.75,0.09920634925,11.5,2.73015873025,4.75,0.41666666675,15.0,0.96031746025,3.0,0.22222222225,0.25,0.011904762,26.5,3.6904761905,8.0,0.650793651,34.5,4.34126984225,24.5,1.83333333325,1.75,0.09920634925,42.75,5.09126984225,103.5,11.3650793665,0.75,0.75,0.25,0.75,3.071428571,4.75,0.0,20.0
Y1050306,3.75,115.233333342,495.75,2.0,11.8333333332,39.75,2.0,9.5,27.5,0.0,3.75,0.5,3.25,0.07777777775,0.67222222225,7.0198856055,1.75,2.25,0.538888889,3.25,0.45,0.0,0.0,4.0,1.46666666675,4.5,0.5,7.5,0.96666666675,2.5,0.27777777775,0.0,0.0,11.5,2.43333333325,7.0,0.77777777775,18.5,3.211111111,13.0,1.6444444445,0.0,0.0,22.25,3.961111111,53.75,8.8166666675,1.75,1.75,1.5,1.75,4.053571429,0.75,0.0,10.0
Y1050307,0.75,94.5,176.75,0.5,9.25,18.5,0.75,6.625,11.75,0.0,2.5,1.5,1.0,0.26190476175,0.23809523825,3.640919624,1.0,1.0,0.1904761905,2.0,0.380952381,0.25,0.03571428575,4.25,0.7023809525,0.5,0.0714285715,3.0,0.4285714285,0.0,0.0,0.0,0.0,7.25,1.130952381,0.5,0.0714285715,7.75,1.2023809525,5.0,0.8095238095,0.25,0.03571428575,10.25,1.7023809525,23.25,3.75,0.75,0.75,0.25,0.75,2.023571429,0.0,0.0,10.0
Y1050308,5.25,249.373214275,1355.0,4.0,15.6958333333,62.25,4.75,55.217261905,262.75,0.0,10.75,6.25,4.5,0.50921052625,0.49078947375,6.84353499275,1.5,7.25,0.68646616525,10.75,1.0,0.75,0.0810150375,55.75,3.55958646625,47.5,3.5791353385,96.25,8.2312030065,25.5,2.59454887225,0.5,0.06785714275,152.0,11.7907894725,73.5,6.24154135325,225.5,18.0323308275,131.75,11.7815789475,0.75,0.0810150375,236.25,19.0323308275,594.25,48.9272556375,0.75,0.75,0.25,0.75,2.410714286,0.0,0.0,10.0
Y1050309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y1050310,1.0,81.416666675,153.25,1.0,7.75,14.75,0.75,5.25,7.75,0.0,2.75,1.75,1.0,0.33035714275,0.16964285725,3.386424969,0.5,1.0,0.16964285725,2.25,0.40178571425,0.5,0.09821428575,0.0,0.0,1.75,0.33035714275,1.5,0.2410714285,0.75,0.16071428575,0.0,0.0,1.5,0.2410714285,2.5,0.4910714285,4.0,0.73214285725,4.25,0.76785714275,0.5,0.09821428575,6.75,1.23214285725,15.5,2.83035714275,0.0,0.0,0.0,0.0,0.0,2.5,0.0,10.0
Y1050311,5.25,393.20238095,2045.75,4.5,31.329166665,142.0,4.75,44.648809525,215.75,0.0,19.75,9.5,10.25,0.4620159935,0.5379840065,3.58896645175,2.0,16.25,0.81165824925,17.75,0.9175084175,1.5,0.08175505025,63.75,2.92098063975,28.25,1.3767887205,64.0,3.40467171725,19.25,0.94497053875,0.25,0.01136363625,127.75,6.325652357,47.75,2.3331228955,175.5,8.65877525375,91.0,4.73211279475,1.5,0.08175505025,195.25,9.65877525375,463.25,23.13141835,0.25,0.25,0.25,0.25,0.392857143,3.5,0.0,20.0
Y1050312,0.75,63.125,115.5,0.25,6.5,6.5,0.5,9.75,9.75,0.0,3.0,0.5,2.5,0.05,0.45,3.45448894725,2.0,2.0,0.2,2.75,0.475,0.0,0.0,2.25,0.225,0.25,0.025,3.25,0.725,0.0,0.0,0.0,0.0,5.5,0.95,0.25,0.025,5.75,0.975,4.5,1.05,0.0,0.0,8.75,1.475,19.0,3.5,0.0,0.0,0.0,0.0,0.0,2.5,0.0,10.0
Y1050313,1.75,122.2,345.0,1.25,4.625,14.75,1.75,15.95,51.75,0.0,6.25,3.5,2.75,0.31666666675,0.43333333325,4.311405233,2.25,4.0,0.38333333325,6.0,0.7375,0.0,0.0,7.0,0.6875,10.0,0.7125,16.0,1.27916666675,2.75,0.1375,0.0,0.0,23.0,1.96666666675,12.75,0.85,35.75,2.81666666675,23.75,2.10416666675,0.0,0.0,42.0,3.56666666675,101.5,8.4875,1.0,1.0,0.75,1.0,2.357142857,3.25,0.0,30.0
Y1050314,1.0,425.625,851.25,0.75,67.625,95.0,1.0,32.0,64.0,0.0,10.0,7.5,2.5,0.37878787875,0.12121212125,5.266743385,1.0,6.0,0.3106060605,8.25,0.40782828275,2.25,0.11237373725,11.25,0.59722222225,8.0,0.41666666675,14.5,0.6843434345,4.75,0.23863636375,0.5,0.02272727275,25.75,1.2815656565,13.25,0.678030303,39.0,1.9595959595,26.0,1.25252525275,2.25,0.11237373725,49.0,2.4595959595,116.25,5.78409091,2.0,2.0,1.25,2.0,3.142857143,2.5,0.0,30.0
Y1050315,1.75,529.3125,1322.5,1.25,23.5833333325,62.5,1.75,133.0,300.75,0.0,12.75,8.75,4.0,0.42946428575,0.32053571425,8.5468958675,2.0,11.5,0.67053571425,12.75,0.75,0.5,0.025,114.25,5.9901785715,39.75,2.237797619,90.0,5.062797619,12.5,0.74791666675,0.25,0.0125,204.25,11.0529761897,52.5,2.99821428575,256.75,14.051190475,113.25,6.44583333325,0.5,0.025,269.5,14.801190475,640.0,35.323214285,0.75,0.75,0.5,0.75,2.369285714,3.5,0.0,20.0
Y1050316,2.5,292.16666665,947.0,1.0,51.375,102.75,2.0,23.4166666675,64.5,0.0,9.75,9.0,0.75,0.6964285715,0.0535714285,8.695004245,0.75,3.0,0.225503663,9.0,0.69207875475,2.25,0.17353479875,4.25,0.320054945,9.25,0.70627289375,27.0,2.05815018325,5.25,0.387591575,0.5,0.0384615385,31.25,2.37820512825,15.0,1.1323260075,46.25,3.5105311355,40.25,3.06066849825,2.25,0.17353479875,56.0,4.2605311355,144.75,11.0052655668,1.0,1.0,0.5,1.0,1.285714286,2.5,0.0,10.0
Y1050317,3.75,412.416666675,1488.0,2.75,31.6875,97.5,3.25,55.0208333325,196.5,0.0,16.75,11.0,5.75,0.66862706,0.33137294,4.96004993975,1.75,7.75,0.469630516,16.5,0.986111111,1.5,0.09743819775,9.25,0.54572036125,28.75,1.64493620425,49.25,2.581572302,15.0,0.824345428,1.0,0.070391414,58.5,3.12729266325,44.75,2.53967304625,103.25,5.66696570975,79.75,4.32309941525,1.5,0.09743819775,120.0,6.66696570975,304.5,16.7544690325,2.25,2.25,1.0,2.25,6.357142857,5.75,0.0,55.0
Y1050318,4.75,288.5125,1373.5,2.75,18.0,52.0,4.0,50.625,189.5,0.0,16.0,14.25,1.75,0.878205128,0.121794872,7.7964831255,1.0,13.5,0.84424603175,15.25,0.939102564,4.25,0.258318071,20.5,1.42261904775,64.25,3.96001220975,61.75,3.856456044,18.25,1.13530219775,1.0,0.0654761905,82.25,5.27907509175,83.5,5.16079059825,165.75,10.4398656893,91.75,5.733440171,4.25,0.258318071,181.75,11.4398656885,443.5,27.87148962,2.25,2.25,2.0,2.25,5.0,6.0,0.0,40.0
