evaluation_num,kfold_split_num,label_val_predict,label_val_test,positive_error,negative_error,positive_error_rate,negative_error_rate
1.0,1.0,11.0361335375,10.0,1.0361335375,0.0,0.10361335375,0.0
1.0,1.0,18.346126548,10.0,8.346126548,0.0,0.8346126548,0.0
1.0,1.0,7.56126293069,10.0,0.0,-2.43873706931,0.0,-0.243873706931
1.0,1.0,12.8657344986,10.0,2.8657344986,0.0,0.28657344986,0.0
1.0,1.0,22.3331439077,20.0,2.3331439077,0.0,0.116657195385,0.0
1.0,1.0,21.8134938596,20.0,1.8134938596,0.0,0.09067469298,0.0
1.0,1.0,22.3741798545,30.0,0.0,-7.6258201455,0.0,-0.25419400485
1.0,1.0,22.8933180438,30.0,0.0,-7.1066819562,0.0,-0.23688939854
1.0,1.0,35.0423444444,33.0,2.0423444444,0.0,0.0618892255879,0.0
1.0,1.0,48.1527444931,40.0,8.1527444931,0.0,0.203818612328,0.0
1.0,1.0,73.3166113987,73.0,0.3166113987,0.0,0.00433714244795,0.0
1.0,1.0,86.2367790558,85.0,1.2367790558,0.0,0.0145503418329,0.0
1.0,1.0,83.9841428928,88.0,0.0,-4.0158571072,0.0,-0.0456347398545
1.0,2.0,6.60791470294,10.0,0.0,-3.39208529706,0.0,-0.339208529706
1.0,2.0,7.00470132049,10.0,0.0,-2.99529867951,0.0,-0.299529867951
1.0,2.0,7.72886087409,10.0,0.0,-2.27113912591,0.0,-0.227113912591
1.0,2.0,19.303166354,20.0,0.0,-0.696833646,0.0,-0.0348416823
1.0,2.0,15.7925100527,20.0,0.0,-4.2074899473,0.0,-0.210374497365
1.0,2.0,17.7539853526,20.0,0.0,-2.2460146474,0.0,-0.11230073237
1.0,2.0,32.8088298985,30.0,2.8088298985,0.0,0.0936276632833,0.0
1.0,2.0,35.0145332048,30.0,5.0145332048,0.0,0.167151106827,0.0
1.0,2.0,26.0510121916,30.0,0.0,-3.9489878084,0.0,-0.131632926947
1.0,2.0,34.7801709973,40.0,0.0,-5.2198290027,0.0,-0.130495725068
1.0,2.0,38.1494311182,40.0,0.0,-1.8505688818,0.0,-0.046264222045
1.0,2.0,44.1175619834,54.0,0.0,-9.8824380166,0.0,-0.183008111419
1.0,2.0,42.1158224484,59.0,0.0,-16.8841775516,0.0,-0.286172500875
1.0,3.0,7.18176182055,0.0,7.18176182055,0.0,inf,0.0
1.0,3.0,7.18176182055,0.0,7.18176182055,0.0,inf,0.0
1.0,3.0,7.18176182055,10.0,0.0,-2.81823817945,0.0,-0.281823817945
1.0,3.0,12.7751167723,10.0,2.7751167723,0.0,0.27751167723,0.0
1.0,3.0,21.6244335712,20.0,1.6244335712,0.0,0.08122167856,0.0
1.0,3.0,23.1266937474,20.0,3.1266937474,0.0,0.15633468737,0.0
1.0,3.0,31.3731791381,38.0,0.0,-6.6268208619,0.0,-0.174390022682
1.0,3.0,43.0119685619,40.0,3.0119685619,0.0,0.0752992140475,0.0
1.0,3.0,50.9653468087,40.0,10.9653468087,0.0,0.274133670217,0.0
1.0,3.0,62.7949894877,60.0,2.7949894877,0.0,0.0465831581283,0.0
1.0,3.0,62.5325523274,70.0,0.0,-7.4674476726,0.0,-0.106677823894
1.0,3.0,79.6874105009,80.0,0.0,-0.3125894991,0.0,-0.00390736873875
1.0,3.0,79.5627985533,80.0,0.0,-0.4372014467,0.0,-0.00546501808375
1.0,4.0,7.16126246893,0.0,7.16126246893,0.0,inf,0.0
1.0,4.0,7.16126246893,0.0,7.16126246893,0.0,inf,0.0
1.0,4.0,7.16126246893,10.0,0.0,-2.83873753107,0.0,-0.283873753107
1.0,4.0,7.87098494453,10.0,0.0,-2.12901505547,0.0,-0.212901505547
1.0,4.0,7.87508676479,10.0,0.0,-2.12491323521,0.0,-0.212491323521
1.0,4.0,21.2805121305,20.0,1.2805121305,0.0,0.064025606525,0.0
1.0,4.0,28.4487006978,30.0,0.0,-1.5512993022,0.0,-0.05170997674
1.0,4.0,46.5992037882,40.0,6.5992037882,0.0,0.164980094705,0.0
1.0,4.0,47.5356669573,40.0,7.5356669573,0.0,0.188391673932,0.0
1.0,4.0,46.4947872222,40.0,6.4947872222,0.0,0.162369680555,0.0
1.0,4.0,71.3385416735,66.0,5.3385416735,0.0,0.080886995053,0.0
1.0,4.0,84.28865072,80.0,4.28865072,0.0,0.053608134,0.0
1.0,4.0,90.0284213465,90.0,0.0284213465,0.0,0.000315792738889,0.0
1.0,5.0,6.84005944263,0.0,6.84005944263,0.0,inf,0.0
1.0,5.0,6.53869198614,0.0,6.53869198614,0.0,inf,0.0
1.0,5.0,7.33234101965,10.0,0.0,-2.66765898035,0.0,-0.266765898035
1.0,5.0,7.43606956456,10.0,0.0,-2.56393043544,0.0,-0.256393043544
1.0,5.0,6.79873279292,20.0,0.0,-13.2012672071,0.0,-0.660063360354
1.0,5.0,15.5216461927,20.0,0.0,-4.4783538073,0.0,-0.223917690365
1.0,5.0,23.5139224911,30.0,0.0,-6.4860775089,0.0,-0.21620258363
1.0,5.0,31.1951296269,40.0,0.0,-8.8048703731,0.0,-0.220121759327
1.0,5.0,31.279140526,40.0,0.0,-8.720859474,0.0,-0.21802148685
1.0,5.0,17.6528878357,40.0,0.0,-22.3471121643,0.0,-0.558677804108
1.0,5.0,46.2274948956,58.0,0.0,-11.7725051044,0.0,-0.202974225938
1.0,5.0,78.1226452041,80.0,0.0,-1.8773547959,0.0,-0.0234669349488
1.0,5.0,89.2712567351,91.0,0.0,-1.7287432649,0.0,-0.0189971787352
1.0,6.0,19.035706266,10.0,9.035706266,0.0,0.9035706266,0.0
1.0,6.0,10.9901417351,10.0,0.9901417351,0.0,0.09901417351,0.0
1.0,6.0,7.29095219773,10.0,0.0,-2.70904780227,0.0,-0.270904780227
1.0,6.0,25.2664389185,20.0,5.2664389185,0.0,0.263321945925,0.0
1.0,6.0,30.3001780389,27.0,3.3001780389,0.0,0.122228816256,0.0
1.0,6.0,39.4324432163,45.0,0.0,-5.5675567837,0.0,-0.123723484082
1.0,6.0,38.9405040722,49.0,0.0,-10.0594959278,0.0,-0.205295835261
1.0,6.0,42.4572231384,50.0,0.0,-7.5427768616,0.0,-0.150855537232
1.0,6.0,53.0953425132,50.0,3.0953425132,0.0,0.061906850264,0.0
1.0,6.0,45.2701083941,57.0,0.0,-11.7298916059,0.0,-0.205787572033
1.0,6.0,67.1702875624,63.0,4.1702875624,0.0,0.066195040673,0.0
1.0,6.0,71.9689692868,70.0,1.9689692868,0.0,0.0281281326686,0.0
1.0,6.0,85.4524055157,85.0,0.4524055157,0.0,0.00532241783176,0.0
1.0,7.0,9.90278870574,10.0,0.0,-0.09721129426,0.0,-0.009721129426
1.0,7.0,7.08154028801,10.0,0.0,-2.91845971199,0.0,-0.291845971199
1.0,7.0,7.43306164705,10.0,0.0,-2.56693835295,0.0,-0.256693835295
1.0,7.0,8.7044295824,10.0,0.0,-1.2955704176,0.0,-0.12955704176
1.0,7.0,18.0466071144,20.0,0.0,-1.9533928856,0.0,-0.09766964428
1.0,7.0,25.7501700246,20.0,5.7501700246,0.0,0.28750850123,0.0
1.0,7.0,24.7629818077,20.0,4.7629818077,0.0,0.238149090385,0.0
1.0,7.0,22.720553935,20.0,2.720553935,0.0,0.13602769675,0.0
1.0,7.0,32.8577679896,30.0,2.8577679896,0.0,0.0952589329867,0.0
1.0,7.0,44.4659415434,40.0,4.4659415434,0.0,0.111648538585,0.0
1.0,7.0,56.6765687525,49.0,7.6765687525,0.0,0.156664668418,0.0
1.0,7.0,71.8658276995,68.0,3.8658276995,0.0,0.0568504073456,0.0
1.0,7.0,80.3426352057,75.0,5.3426352057,0.0,0.071235136076,0.0
1.0,8.0,19.9205937917,10.0,9.9205937917,0.0,0.99205937917,0.0
1.0,8.0,7.31004893119,10.0,0.0,-2.68995106881,0.0,-0.268995106881
1.0,8.0,15.2005967417,20.0,0.0,-4.7994032583,0.0,-0.239970162915
1.0,8.0,21.8871745561,20.0,1.8871745561,0.0,0.094358727805,0.0
1.0,8.0,26.094070086,30.0,0.0,-3.905929914,0.0,-0.1301976638
1.0,8.0,43.7042373261,36.0,7.7042373261,0.0,0.214006592392,0.0
1.0,8.0,51.3934718179,58.0,0.0,-6.6065281821,0.0,-0.113905658312
1.0,8.0,71.9369428805,68.0,3.9369428805,0.0,0.0578962188309,0.0
1.0,8.0,68.5878872131,70.0,0.0,-1.4121127869,0.0,-0.0201730398129
1.0,8.0,79.8248793295,70.0,9.8248793295,0.0,0.140355418993,0.0
1.0,8.0,94.2664637119,95.0,0.0,-0.7335362881,0.0,-0.00772143461158
1.0,8.0,93.0597022788,99.0,0.0,-5.9402977212,0.0,-0.0600030072848
1.0,8.0,96.2155588262,99.0,0.0,-2.7844411738,0.0,-0.0281256684222
1.0,9.0,9.04182958467,0.0,9.04182958467,0.0,inf,0.0
1.0,9.0,7.73366602467,0.0,7.73366602467,0.0,inf,0.0
1.0,9.0,15.8111447455,10.0,5.8111447455,0.0,0.58111447455,0.0
1.0,9.0,7.78918561843,10.0,0.0,-2.21081438157,0.0,-0.221081438157
1.0,9.0,7.78918561843,10.0,0.0,-2.21081438157,0.0,-0.221081438157
1.0,9.0,13.0159519594,20.0,0.0,-6.9840480406,0.0,-0.34920240203
1.0,9.0,24.4474717693,30.0,0.0,-5.5525282307,0.0,-0.185084274357
1.0,9.0,40.2077836852,30.0,10.2077836852,0.0,0.340259456173,0.0
1.0,9.0,36.738745633,40.0,0.0,-3.261254367,0.0,-0.081531359175
1.0,9.0,50.948709942,40.0,10.948709942,0.0,0.27371774855,0.0
1.0,9.0,82.0081339866,75.0,7.0081339866,0.0,0.093441786488,0.0
1.0,9.0,86.5873157415,90.0,0.0,-3.4126842585,0.0,-0.0379187139833
1.0,10.0,6.96203648807,0.0,6.96203648807,0.0,inf,0.0
1.0,10.0,11.1125451449,10.0,1.1125451449,0.0,0.11125451449,0.0
1.0,10.0,7.77831640357,10.0,0.0,-2.22168359643,0.0,-0.222168359643
1.0,10.0,27.2951214115,20.0,7.2951214115,0.0,0.364756070575,0.0
1.0,10.0,23.441805528,20.0,3.441805528,0.0,0.1720902764,0.0
1.0,10.0,34.3948528973,30.0,4.3948528973,0.0,0.146495096577,0.0
1.0,10.0,25.2726117693,30.0,0.0,-4.7273882307,0.0,-0.15757960769
1.0,10.0,51.3584838256,40.0,11.3584838256,0.0,0.28396209564,0.0
1.0,10.0,39.9045393239,50.0,0.0,-10.0954606761,0.0,-0.201909213522
1.0,10.0,79.5047045027,82.0,0.0,-2.4952954973,0.0,-0.0304304328939
1.0,10.0,83.2472161257,90.0,0.0,-6.7527838743,0.0,-0.0750309319367
1.0,10.0,80.7098854706,90.0,0.0,-9.2901145294,0.0,-0.103223494771
2.0,1.0,9.01065839148,0.0,9.01065839148,0.0,inf,0.0
2.0,1.0,7.14808099644,0.0,7.14808099644,0.0,inf,0.0
2.0,1.0,7.14808099644,10.0,0.0,-2.85191900356,0.0,-0.285191900356
2.0,1.0,7.88066153456,10.0,0.0,-2.11933846544,0.0,-0.211933846544
2.0,1.0,7.97405081274,10.0,0.0,-2.02594918726,0.0,-0.202594918726
2.0,1.0,13.2494007959,10.0,3.2494007959,0.0,0.32494007959,0.0
2.0,1.0,27.3364292187,20.0,7.3364292187,0.0,0.366821460935,0.0
2.0,1.0,32.1180694316,30.0,2.1180694316,0.0,0.0706023143867,0.0
2.0,1.0,24.0971555774,30.0,0.0,-5.9028444226,0.0,-0.196761480753
2.0,1.0,51.399804268,40.0,11.399804268,0.0,0.2849951067,0.0
2.0,1.0,39.8716137108,49.0,0.0,-9.1283862892,0.0,-0.186293597739
2.0,1.0,80.0549622585,80.0,0.0549622585,0.0,0.00068702823125,0.0
2.0,1.0,85.8573015213,90.0,0.0,-4.1426984787,0.0,-0.0460299830967
2.0,2.0,7.09329977557,0.0,7.09329977557,0.0,inf,0.0
2.0,2.0,7.09329977557,0.0,7.09329977557,0.0,inf,0.0
2.0,2.0,7.88415964339,10.0,0.0,-2.11584035661,0.0,-0.211584035661
2.0,2.0,18.0388098112,20.0,0.0,-1.9611901888,0.0,-0.09805950944
2.0,2.0,21.659107242,20.0,1.659107242,0.0,0.0829553621,0.0
2.0,2.0,29.5101063832,27.0,2.5101063832,0.0,0.0929669030815,0.0
2.0,2.0,26.9082023557,30.0,0.0,-3.0917976443,0.0,-0.103059921477
2.0,2.0,35.8946045396,40.0,0.0,-4.1053954604,0.0,-0.10263488651
2.0,2.0,45.127635189,57.0,0.0,-11.872364811,0.0,-0.208287101947
2.0,2.0,72.2638032115,68.0,4.2638032115,0.0,0.0627029884044,0.0
2.0,2.0,62.5843573057,70.0,0.0,-7.4156426943,0.0,-0.105937752776
2.0,2.0,80.6812338292,75.0,5.6812338292,0.0,0.0757497843893,0.0
2.0,2.0,80.0351417404,90.0,0.0,-9.9648582596,0.0,-0.110720647329
2.0,3.0,9.7234474319,10.0,0.0,-0.2765525681,0.0,-0.02765525681
2.0,3.0,7.33674805326,10.0,0.0,-2.66325194674,0.0,-0.266325194674
2.0,3.0,6.92492838365,10.0,0.0,-3.07507161635,0.0,-0.307507161635
