evaluation_num,kfold_split_num,label_val_predict,label_val_test,positive_error,negative_error,positive_error_rate,negative_error_rate
1.0,1.0,43.0949951651,30.0,13.0949951651,0.0,0.436499838837,0.0
1.0,1.0,30.9547704316,30.0,0.9547704316,0.0,0.0318256810533,0.0
1.0,1.0,27.5645764112,10.0,17.5645764112,0.0,1.75645764112,0.0
1.0,1.0,77.1964188854,90.0,0.0,-12.8035811146,0.0,-0.142262012384
1.0,1.0,14.5335819304,10.0,4.5335819304,0.0,0.45335819304,0.0
1.0,1.0,74.8870852822,99.0,0.0,-24.1129147178,0.0,-0.243564795129
1.0,1.0,67.9772513482,70.0,0.0,-2.0227486518,0.0,-0.0288964093114
1.0,1.0,9.5520197755,10.0,0.0,-0.4479802245,0.0,-0.04479802245
1.0,1.0,11.794772488,10.0,1.794772488,0.0,0.1794772488,0.0
1.0,1.0,9.5520197755,20.0,0.0,-10.4479802245,0.0,-0.522399011225
1.0,1.0,11.8179918943,10.0,1.8179918943,0.0,0.18179918943,0.0
1.0,1.0,11.3520950947,20.0,0.0,-8.6479049053,0.0,-0.432395245265
1.0,1.0,62.65152771,40.0,22.65152771,0.0,0.56628819275,0.0
1.0,2.0,23.3659025392,20.0,3.3659025392,0.0,0.16829512696,0.0
1.0,2.0,21.3264484585,20.0,1.3264484585,0.0,0.066322422925,0.0
1.0,2.0,10.1489945124,10.0,0.1489945124,0.0,0.01489945124,0.0
1.0,2.0,88.2756924809,88.0,0.2756924809,0.0,0.00313286910114,0.0
1.0,2.0,76.0565900785,70.0,6.0565900785,0.0,0.0865227154071,0.0
1.0,2.0,10.1489945124,10.0,0.1489945124,0.0,0.01489945124,0.0
1.0,2.0,89.214904647,99.0,0.0,-9.785095353,0.0,-0.098839347
1.0,2.0,13.48248997,10.0,3.48248997,0.0,0.348248997,0.0
1.0,2.0,30.0764614418,20.0,10.0764614418,0.0,0.50382307209,0.0
1.0,2.0,10.1489945124,0.0,10.1489945124,0.0,inf,0.0
1.0,2.0,28.3888558373,40.0,0.0,-11.6111441627,0.0,-0.290278604068
1.0,2.0,85.3079179074,63.0,22.3079179074,0.0,0.354093935038,0.0
1.0,2.0,30.9700453507,38.0,0.0,-7.0299546493,0.0,-0.184998806561
1.0,3.0,28.0229422665,40.0,0.0,-11.9770577335,0.0,-0.299426443338
1.0,3.0,9.71686166658,0.0,9.71686166658,0.0,inf,0.0
1.0,3.0,9.71686166658,10.0,0.0,-0.28313833342,0.0,-0.028313833342
1.0,3.0,14.206155593,10.0,4.206155593,0.0,0.4206155593,0.0
1.0,3.0,73.952902901,80.0,0.0,-6.047097099,0.0,-0.0755887137375
1.0,3.0,78.1830706497,90.0,0.0,-11.8169293503,0.0,-0.131299215003
1.0,3.0,76.4781279607,85.0,0.0,-8.5218720393,0.0,-0.100257318109
1.0,3.0,11.2157980772,20.0,0.0,-8.7842019228,0.0,-0.43921009614
1.0,3.0,27.458061678,50.0,0.0,-22.541938322,0.0,-0.45083876644
1.0,3.0,9.71686166658,10.0,0.0,-0.28313833342,0.0,-0.028313833342
1.0,3.0,11.5864457289,10.0,1.5864457289,0.0,0.15864457289,0.0
1.0,3.0,11.8182372569,10.0,1.8182372569,0.0,0.18182372569,0.0
1.0,3.0,32.9045637598,30.0,2.9045637598,0.0,0.0968187919933,0.0
