evaluation_num,score,num_of_same,num_of_positive,num_of_negative,posi_error,nega_error,max_posi_error,min_nega_error,mean_posi_error_rate,mean_nega_error_rate,max_posi_error_rate,min_naga_error_rate
1,0 to 10,0,9,0,14.4634250136,,14.8308181382,0.0,inf,0.0,inf,0.0
1,10 to 20,0,28,0,5.61267714956,,20.1030750139,0.0,0.561267714956,0.0,2.01030750139,0.0
1,20 to 30,0,7,14,9.46893933014,-4.68910788023,21.9406785097,-5.9138537463,0.432816080378,-0.234455394011,0.812617722581,-0.295692687315
1,30 to 40,0,3,13,9.1387278201,-10.7276068816,14.7613161394,-16.1887582839,0.294253701869,-0.347337857261,0.492043871313,-0.531334731213
1,40 to 50,0,7,11,7.05393805824,-12.9516548735,14.9628806428,-25.8210218716,0.174365339246,-0.316338908588,0.37407201607,-0.64552554679
1,50 to 60,0,1,7,4.7019457774,-10.5223278674,4.7019457774,-18.2758879506,0.094038915548,-0.188023405188,0.094038915548,-0.309760812722
1,60 to 70,0,5,0,14.4820684225,,22.2704672346,0.0,0.227324881083,0.0,0.37117445391,0.0
1,70 to 80,0,7,0,6.10320098909,,11.6247604826,0.0,0.0857943405023,0.0,0.166068006894,0.0
1,80 to 90,0,2,6,2.4076943113,-4.90723517538,4.2659617979,-7.2497636239,0.0300961788913,-0.0591149309685,0.0533245224738,-0.088411751511
1,90 to 100,0,0,8,,-11.3182841726,0.0,-25.0296024839,0.0,-0.119840662252,0.0,-0.252824267514
2,0 to 10,0,9,0,14.5453716665,,15.0132998973,0.0,inf,0.0,inf,0.0
2,10 to 20,0,28,0,5.75087906264,,20.1525810004,0.0,0.575087906264,0.0,2.01525810004,0.0
2,20 to 30,0,7,14,9.75209868497,-4.78885194525,24.0384740648,-6.1555371757,0.443089241536,-0.239442597263,0.890313854252,-0.307776858785
2,30 to 40,0,3,13,8.58427657637,-10.6121421271,13.187843211,-17.1432037297,0.275510637629,-0.343536024784,0.4395947737,-0.52049674041
2,40 to 50,0,7,11,9.97344253041,-12.8942795768,32.0745302354,-26.1918026138,0.246715518967,-0.315637986994,0.801863255885,-0.654795065345
2,50 to 60,0,1,7,2.8657952081,-10.6364971179,2.8657952081,-18.1992329857,0.057315904162,-0.189955758429,0.057315904162,-0.308461576029
2,60 to 70,0,5,0,14.6397771558,,22.3121915882,0.0,0.229570730223,0.0,0.371869859803,0.0
2,70 to 80,0,6,1,7.35654951837,-0.1540703353,12.788829921,-0.1540703353,0.103466607241,-0.00205427113733,0.175189450973,-0.00205427113733
2,80 to 90,0,2,6,8.34040796185,-4.53680460618,15.7283083614,-7.8096421874,0.104255099523,-0.0548871269665,0.196603854517,-0.0952395388707
2,90 to 100,0,0,8,,-12.1346426987,0.0,-25.9384193749,0.0,-0.128806514788,0.0,-0.26200423611
3,0 to 10,0,9,0,14.9840450952,,15.4874715507,0.0,inf,0.0,inf,0.0
3,10 to 20,0,28,0,5.79758526491,,19.9386516179,0.0,0.579758526491,0.0,1.99386516179,0.0
3,20 to 30,0,7,14,8.7615735184,-4.69265306124,21.9671647971,-6.5158739834,0.397398741111,-0.234632653062,0.813598696189,-0.32579369917
3,30 to 40,0,3,13,9.06566554907,-10.9785956392,15.0494154321,-17.4007098968,0.291466356891,-0.355112757097,0.50164718107,-0.55052913278
3,40 to 50,0,7,11,8.12141305981,-12.898614681,21.733284357,-26.5639115797,0.201303315067,-0.315614745858,0.543332108925,-0.664097789492
3,50 to 60,0,1,7,4.5147931583,-10.3711061243,4.5147931583,-18.3808650189,0.090295863166,-0.184692456084,0.090295863166,-0.311540085066
3,60 to 70,0,5,0,14.2508722801,,21.8690873541,0.0,0.223547486125,0.0,0.364484789235,0.0
3,70 to 80,0,7,0,6.19579555471,,12.0116184824,0.0,0.0871219407162,0.0,0.164542718937,0.0
3,80 to 90,0,2,6,3.0053103512,-5.53134082455,4.6350868563,-8.3021704047,0.03756637939,-0.0667018298624,0.0579385857038,-0.101245980545
3,90 to 100,0,0,8,,-11.7379365707,0.0,-26.2341461806,0.0,-0.124489491795,0.0,-0.264991375562
4,0 to 10,0,9,0,14.7016371212,,15.0894775785,0.0,inf,0.0,inf,0.0
4,10 to 20,0,28,0,5.72123092033,,19.5199257965,0.0,0.572123092033,0.0,1.95199257965,0.0
4,20 to 30,0,7,14,9.21254042201,-4.8375412273,21.9947906466,-6.2237679406,0.419895927311,-0.241877061365,0.8146218758,-0.31118839703
4,30 to 40,0,3,13,8.92248649677,-10.7602478105,14.9913942148,-17.4863653024,0.286957350423,-0.3479277821,0.499713140493,-0.538879431907
4,40 to 50,0,7,11,7.4936720792,-12.9016609173,17.9049263705,-26.2726770542,0.187160150277,-0.315725393095,0.447623159263,-0.656816926355
4,50 to 60,0,1,7,4.0305747126,-10.6289006027,4.0305747126,-18.6116868803,0.080611494252,-0.189626691543,0.080611494252,-0.315452320005
4,60 to 70,0,5,0,14.5897772361,,22.7536131011,0.0,0.228811981991,0.0,0.379226885018,0.0
4,70 to 80,0,6,1,7.19306140138,-0.4484736975,11.7054624864,-0.4484736975,0.100981785863,-0.0059796493,0.163595475917,-0.0059796493
